Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1841,$0.1858,$0.1838,$0.1851,"$55,886","$1,517,799"
"Dec 30, 2022",$0.1852,$0.1858,$0.1841,$0.1841,"$59,213","$1,509,347"
"Dec 29, 2022",$0.185,$0.1861,$0.1844,$0.1852,"$61,798","$1,518,555"
"Dec 28, 2022",$0.1865,$0.1873,$0.1844,$0.185,"$61,890","$1,517,050"
"Dec 27, 2022",$0.1884,$0.1893,$0.1865,$0.1865,"$60,246","$1,529,234"
"Dec 26, 2022",$0.1885,$0.189,$0.1869,$0.1884,"$60,669","$1,544,990"
"Dec 25, 2022",$0.1888,$0.1891,$0.1865,$0.1885,"$59,568","$1,545,305"
"Dec 24, 2022",$0.1883,$0.189,$0.1874,$0.1888,"$54,114","$1,548,131"
"Dec 23, 2022",$0.1911,$0.1917,$0.1877,$0.1883,"$53,071","$1,543,820"
"Dec 22, 2022",$0.1909,$0.1923,$0.1891,$0.1911,"$47,797","$1,566,878"
"Dec 21, 2022",$0.1928,$0.1932,$0.1904,$0.1909,"$63,983","$1,564,922"
"Dec 20, 2022",$0.1918,$0.1939,$0.1918,$0.1928,"$58,292","$1,580,890"
"Dec 19, 2022",$0.1935,$0.1948,$0.1914,$0.1918,"$76,708","$1,572,349"
"Dec 18, 2022",$0.1948,$0.1957,$0.1919,$0.1935,"$73,347","$1,586,525"
"Dec 17, 2022",$0.195,$0.1974,$0.1944,$0.1948,"$73,609","$1,597,281"
"Dec 16, 2022",$0.1978,$0.2002,$0.1943,$0.195,"$73,345","$1,599,121"
"Dec 15, 2022",$0.2013,$0.2021,$0.1977,$0.1978,"$73,639","$1,621,576"
"Dec 14, 2022",$0.2027,$0.2051,$0.201,$0.2013,"$81,636","$1,650,711"
"Dec 13, 2022",$0.2012,$0.2061,$0.2001,$0.2027,"$87,958","$1,661,708"
"Dec 12, 2022",$0.202,$0.2022,$0.2001,$0.2012,"$64,205","$1,649,671"
"Dec 11, 2022",$0.2024,$0.2048,$0.2014,$0.2021,"$108,573","$1,656,660"
"Dec 10, 2022",$0.1997,$0.2049,$0.1995,$0.2024,"$122,975","$1,659,678"
"Dec 09, 2022",$0.2023,$0.2053,$0.1997,$0.1997,"$143,982","$1,636,972"
"Dec 08, 2022",$0.2016,$0.2042,$0.1991,$0.2023,"$147,949","$1,658,462"
"Dec 07, 2022",$0.2007,$0.2032,$0.1996,$0.2016,"$178,063","$1,652,899"
"Dec 06, 2022",$0.2015,$0.2033,$0.2,$0.2007,"$202,078","$1,645,687"
"Dec 05, 2022",$0.2052,$0.2101,$0.2007,$0.2014,"$198,866","$1,651,629"
"Dec 04, 2022",$0.2012,$0.2056,$0.2,$0.2052,"$191,383","$1,682,820"
"Dec 03, 2022",$0.2062,$0.207,$0.2001,$0.2012,"$178,252","$1,649,795"
"Dec 02, 2022",$0.2044,$0.2064,$0.202,$0.2062,"$192,706","$1,690,601"
"Dec 01, 2022",$0.2134,$0.2141,$0.2034,$0.2043,"$171,402","$1,675,439"
"Nov 30, 2022",$0.2089,$0.2171,$0.2088,$0.2134,"$201,229","$1,749,338"
"Nov 29, 2022",$0.21,$0.214,$0.207,$0.2089,"$171,371","$1,712,652"
"Nov 28, 2022",$0.2089,$0.211,$0.2075,$0.21,"$145,590","$1,721,953"
"Nov 27, 2022",$0.2103,$0.2124,$0.2088,$0.2089,"$60,246","$1,712,742"
"Nov 26, 2022",$0.2105,$0.2125,$0.21,$0.2103,"$62,509","$1,724,368"
"Nov 25, 2022",$0.2136,$0.2138,$0.2098,$0.2105,"$63,945","$1,725,946"
"Nov 24, 2022",$0.2093,$0.2152,$0.2081,$0.2136,"$63,721","$1,751,303"
"Nov 23, 2022",$0.2113,$0.2129,$0.2092,$0.2093,"$58,972","$1,716,161"
"Nov 22, 2022",$0.2195,$0.2202,$0.2041,$0.2113,"$59,471","$1,732,208"
"Nov 21, 2022",$0.2026,$0.22,$0.2018,$0.2196,"$57,335","$1,800,225"
"Nov 20, 2022",$0.1988,$0.2038,$0.198,$0.2027,"$52,662","$1,661,568"
"Nov 19, 2022",$0.2012,$0.2017,$0.1978,$0.1988,"$50,404","$1,630,224"
"Nov 18, 2022",$0.2031,$0.2039,$0.2003,$0.2012,"$46,717","$1,649,994"
"Nov 17, 2022",$0.1895,$0.2032,$0.1877,$0.2031,"$49,603","$1,665,575"
"Nov 16, 2022",$0.1971,$0.1988,$0.1879,$0.1895,"$48,409","$1,553,471"
"Nov 15, 2022",$0.1994,$0.2037,$0.1971,$0.1971,"$54,707","$1,616,020"
"Nov 14, 2022",$0.1868,$0.1995,$0.1859,$0.1994,"$57,725","$1,634,833"
"Nov 13, 2022",$0.1898,$0.1922,$0.1848,$0.1868,"$46,135","$1,531,544"
"Nov 12, 2022",$0.1876,$0.202,$0.1875,$0.1898,"$46,766","$1,556,294"
"Nov 11, 2022",$0.209,$0.2096,$0.1873,$0.1876,"$55,100","$1,538,209"
"Nov 10, 2022",$0.1861,$0.2193,$0.1852,$0.2091,"$59,263","$1,714,089"
"Nov 09, 2022",$0.1683,$0.1887,$0.1681,$0.1861,"$61,596","$1,526,140"
"Nov 08, 2022",$0.1695,$0.1741,$0.1588,$0.1683,"$59,492","$1,379,502"
"Nov 07, 2022",$0.1729,$0.1743,$0.1676,$0.1695,"$56,823","$1,390,125"
