Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001065,$0.001118,$0.00106,$0.001102,"$53,141","$1,168,405"
"Dec 30, 2022",$0.001087,$0.001149,$0.001059,$0.001065,"$52,139","$1,129,651"
"Dec 29, 2022",$0.001081,$0.001132,$0.001067,$0.001087,"$55,335","$1,152,258"
"Dec 28, 2022",$0.001097,$0.001103,$0.001071,$0.001081,"$55,679","$1,146,689"
"Dec 27, 2022",$0.001105,$0.001179,$0.001089,$0.001097,"$57,653","$1,163,566"
"Dec 26, 2022",$0.0011,$0.001165,$0.001096,$0.001105,"$55,351","$1,171,704"
"Dec 25, 2022",$0.001095,$0.001125,$0.001095,$0.0011,"$56,008","$1,166,911"
"Dec 24, 2022",$0.001081,$0.001135,$0.001076,$0.001095,"$57,319","$1,161,394"
"Dec 23, 2022",$0.001113,$0.001149,$0.001074,$0.001081,"$57,260","$1,146,222"
"Dec 22, 2022",$0.001156,$0.001167,$0.001107,$0.001113,"$52,784","$1,180,364"
"Dec 21, 2022",$0.001115,$0.001165,$0.001097,$0.001156,"$58,043","$1,225,979"
"Dec 20, 2022",$0.001133,$0.001171,$0.001099,$0.001115,"$58,698","$1,182,352"
"Dec 19, 2022",$0.001045,$0.00114,$0.001041,$0.001133,"$57,948","$1,200,945"
"Dec 18, 2022",$0.001095,$0.001142,$0.001045,$0.001045,"$53,016","$1,108,577"
"Dec 17, 2022",$0.001136,$0.001142,$0.001063,$0.001095,"$56,294","$1,161,254"
"Dec 16, 2022",$0.00111,$0.00116,$0.001078,$0.001137,"$53,956","$1,205,169"
"Dec 15, 2022",$0.001174,$0.001191,$0.001105,$0.00111,"$50,751","$1,176,792"
"Dec 14, 2022",$0.001222,$0.001226,$0.001068,$0.001174,"$57,681","$1,244,761"
"Dec 13, 2022",$0.001102,$0.001227,$0.001099,$0.001222,"$61,545","$1,295,829"
"Dec 12, 2022",$0.001152,$0.00117,$0.001017,$0.001102,"$56,804","$1,168,216"
"Dec 11, 2022",$0.00112,$0.001176,$0.001014,$0.001152,"$66,313","$1,221,530"
"Dec 10, 2022",$0.001101,$0.001171,$0.001089,$0.00112,"$64,842","$1,188,159"
"Dec 09, 2022",$0.001207,$0.001207,$0.00107,$0.001101,"$74,321","$1,167,982"
"Dec 08, 2022",$0.001192,$0.001326,$0.001145,$0.001207,"$130,987","$1,280,074"
"Dec 07, 2022",$0.001193,$0.001406,$0.001042,$0.001192,"$213,897","$1,263,538"
"Dec 06, 2022",$0.001167,$0.001206,$0.001115,$0.001193,"$53,613","$1,265,085"
"Dec 05, 2022",$0.001111,$0.001171,$0.001108,$0.001167,"$57,642","$1,237,321"
"Dec 04, 2022",$0.001139,$0.001248,$0.00111,$0.001111,"$63,865","$1,177,732"
"Dec 03, 2022",$0.001103,$0.001214,$0.001098,$0.001139,"$56,904","$1,207,884"
"Dec 02, 2022",$0.001121,$0.001125,$0.001087,$0.001103,"$52,432","$1,169,473"
