Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.006058,$0.007725,$0.00591,$0.005921,"$78,463","$2,099,903"
"Dec 30, 2022",$0.005117,$0.008297,$0.005117,$0.006058,"$332,694","$2,148,595"
"Dec 29, 2022",$0.005005,$0.005362,$0.004909,$0.005117,"$9,960","$1,814,737"
"Dec 28, 2022",$0.005881,$0.006137,$0.004439,$0.005005,"$30,059","$1,775,041"
"Dec 27, 2022",$0.006017,$0.006209,$0.005434,$0.005881,"$45,387","$2,085,967"
"Dec 26, 2022",$0.006417,$0.008316,$0.005517,$0.006017,"$205,951","$2,134,153"
"Dec 25, 2022",$0.004746,$0.008978,$0.004746,$0.006353,"$513,188","$2,253,297"
"Dec 24, 2022",$0.004682,$0.004874,$0.004617,$0.004746,"$14,071","$1,683,125"
"Dec 23, 2022",$0.004681,$0.005003,$0.004618,$0.004682,"$16,840","$1,660,446"
"Dec 22, 2022",$0.0045,$0.005734,$0.0045,$0.004682,"$58,707","$1,660,627"
"Dec 21, 2022",$0.004687,$0.005076,$0.004491,$0.0045,"$19,930","$1,595,955"
"Dec 20, 2022",$0.004242,$0.005965,$0.004175,$0.004687,"$134,458","$1,662,426"
"Dec 19, 2022",$0.004355,$0.004813,$0.004102,$0.004242,"$27,827","$1,504,337"
"Dec 18, 2022",$0.004355,$0.004483,$0.004226,$0.004355,"$6,061","$1,544,404"
"Dec 17, 2022",$0.00461,$0.005129,$0.00429,$0.004355,"$33,245","$1,544,404"
"Dec 16, 2022",$0.004288,$0.005765,$0.004222,$0.00461,"$122,339","$1,635,136"
"Dec 15, 2022",$0.004301,$0.004378,$0.004288,$0.004288,$354,"$1,520,895"
"Dec 14, 2022",$0.004368,$0.00443,$0.004237,$0.004301,"$2,637","$1,525,594"
"Dec 13, 2022",$0.004399,$0.004593,$0.004337,$0.004368,"$6,621","$1,549,240"
"Dec 12, 2022",$0.004294,$0.004874,$0.00423,$0.004399,"$29,487","$1,560,313"
"Dec 11, 2022",$0.004358,$0.004486,$0.004294,$0.004294,"$4,566","$1,522,955"
"Dec 10, 2022",$0.004494,$0.004614,$0.00423,$0.004358,"$6,601","$1,545,686"
"Dec 09, 2022",$0.004424,$0.004556,$0.004296,$0.004494,"$5,515","$1,593,793"
"Dec 08, 2022",$0.004613,$0.004676,$0.00435,$0.004424,"$6,284","$1,569,070"
"Dec 07, 2022",$0.004543,$0.005313,$0.004351,$0.004613,"$47,412","$1,636,179"
