Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.003863,$0.003886,$0.003745,$0.003756,"$69,333","$4,683,712"
"Dec 30, 2022",$0.003852,$0.004009,$0.003774,$0.003862,"$63,980","$4,815,425"
"Dec 29, 2022",$0.003928,$0.003974,$0.003789,$0.00386,"$69,798","$4,812,992"
"Dec 28, 2022",$0.003967,$0.003971,$0.0039,$0.003933,"$63,854","$4,903,380"
"Dec 27, 2022",$0.003938,$0.004004,$0.00392,$0.003966,"$57,511","$4,943,663"
"Dec 26, 2022",$0.004003,$0.004031,$0.003908,$0.003941,"$55,955","$4,912,715"
"Dec 25, 2022",$0.003987,$0.004046,$0.003942,$0.004,"$57,245","$4,977,472"
"Dec 24, 2022",$0.004043,$0.004105,$0.003967,$0.003995,"$64,597","$4,972,898"
"Dec 23, 2022",$0.003975,$0.004089,$0.003928,$0.004047,"$61,416","$5,039,636"
"Dec 22, 2022",$0.003954,$0.004022,$0.003901,$0.004001,"$57,040","$4,981,690"
"Dec 21, 2022",$0.004,$0.00406,$0.003916,$0.003959,"$44,920","$4,928,706"
"Dec 20, 2022",$0.003954,$0.004064,$0.003926,$0.004001,"$49,818","$4,980,839"
"Dec 19, 2022",$0.004034,$0.00412,$0.003904,$0.003954,"$58,385","$4,918,927"
"Dec 18, 2022",$0.004058,$0.004083,$0.003997,$0.004033,"$58,774","$5,016,327"
"Dec 17, 2022",$0.004005,$0.004096,$0.003932,$0.004058,"$59,199","$5,047,501"
"Dec 16, 2022",$0.004307,$0.004355,$0.003992,$0.004008,"$63,981","$4,985,888"
"Dec 15, 2022",$0.004422,$0.004431,$0.004227,$0.004301,"$57,835","$5,353,470"
"Dec 14, 2022",$0.004444,$0.004504,$0.004332,$0.004407,"$55,197","$5,485,199"
"Dec 13, 2022",$0.00431,$0.004437,$0.004208,$0.004433,"$60,910","$5,516,739"
"Dec 12, 2022",$0.004555,$0.004559,$0.004171,$0.00432,"$71,868","$5,376,428"
"Dec 11, 2022",$0.004545,$0.004657,$0.004472,$0.004559,"$70,506","$5,672,709"
"Dec 10, 2022",$0.004569,$0.004593,$0.004459,$0.004572,"$50,267","$5,687,962"
"Dec 09, 2022",$0.004524,$0.004622,$0.004427,$0.004571,"$49,927","$5,685,974"
"Dec 08, 2022",$0.00443,$0.004575,$0.004295,$0.004521,"$62,940","$5,624,349"
"Dec 07, 2022",$0.004519,$0.004592,$0.004305,$0.004419,"$63,924","$5,486,412"
"Dec 06, 2022",$0.004408,$0.004684,$0.004388,$0.004524,"$71,831","$5,616,609"
"Dec 05, 2022",$0.004427,$0.004533,$0.004366,$0.00441,"$55,693","$5,473,456"
"Dec 04, 2022",$0.004384,$0.00447,$0.004339,$0.004428,"$55,805","$5,496,376"
"Dec 03, 2022",$0.004559,$0.004561,$0.004379,$0.004387,"$64,094","$5,444,626"
"Dec 02, 2022",$0.004556,$0.004562,$0.004455,$0.004561,"$41,013","$5,654,687"
"Dec 01, 2022",$0.004562,$0.004667,$0.00448,$0.004555,"$50,912","$5,646,478"
"Nov 30, 2022",$0.004408,$0.004629,$0.004392,$0.004565,"$59,943","$5,658,751"
"Nov 29, 2022",$0.004442,$0.004592,$0.004374,$0.004413,"$230,488","$5,469,667"
"Nov 28, 2022",$0.004477,$0.004493,$0.004337,$0.004439,"$235,951","$5,508,501"
"Nov 27, 2022",$0.004522,$0.004581,$0.004393,$0.004477,"$227,451","$5,555,855"
"Nov 26, 2022",$0.004398,$0.004665,$0.004353,$0.00452,"$229,954","$5,598,447"
"Nov 25, 2022",$0.004395,$0.004476,$0.004247,$0.004396,"$233,808","$5,444,345"
"Nov 24, 2022",$0.004325,$0.004433,$0.0043,$0.004397,"$64,316","$5,445,932"
"Nov 23, 2022",$0.004402,$0.004632,$0.004266,$0.004325,"$80,012","$5,355,487"
"Nov 22, 2022",$0.004224,$0.004427,$0.00414,$0.004405,"$90,362","$5,451,453"
"Nov 21, 2022",$0.004424,$0.004466,$0.004165,$0.004221,"$94,301","$5,223,830"
"Nov 20, 2022",$0.004664,$0.004702,$0.004416,$0.004428,"$97,181","$5,481,489"
"Nov 19, 2022",$0.004655,$0.00467,$0.004501,$0.00467,"$88,934","$5,781,494"
"Nov 18, 2022",$0.004623,$0.004763,$0.004422,$0.004659,"$99,521","$5,767,240"
"Nov 17, 2022",$0.004799,$0.00483,$0.004593,$0.004631,"$93,692","$5,732,578"
"Nov 16, 2022",$0.004902,$0.004975,$0.00472,$0.004795,"$94,098","$5,931,060"
"Nov 15, 2022",$0.004831,$0.004931,$0.004777,$0.004903,"$114,303","$6,062,793"
"Nov 14, 2022",$0.004695,$0.004946,$0.004584,$0.004832,"$102,031","$5,974,383"
"Nov 13, 2022",$0.005154,$0.005236,$0.004678,$0.004686,"$103,754","$5,793,785"
"Nov 12, 2022",$0.005386,$0.005409,$0.005117,$0.005153,"$75,327","$6,370,787"
"Nov 11, 2022",$0.005462,$0.005493,$0.005189,$0.005382,"$79,962","$6,652,383"
"Nov 10, 2022",$0.004818,$0.005758,$0.004818,$0.005465,"$103,661","$6,753,932"
"Nov 09, 2022",$0.005533,$0.005538,$0.004788,$0.004829,"$91,433","$5,967,186"
"Nov 08, 2022",$0.006274,$0.006296,$0.005356,$0.00553,"$93,789","$6,805,365"
"Nov 07, 2022",$0.006146,$0.006336,$0.006011,$0.00628,"$96,603","$7,728,534"
"Nov 06, 2022",$0.006214,$0.006232,$0.00613,$0.006151,"$90,417","$7,568,678"
"Nov 05, 2022",$0.006423,$0.006457,$0.0062,$0.006208,"$75,516","$7,638,997"
"Nov 04, 2022",$0.006133,$0.006452,$0.006104,$0.006425,"$99,438","$7,904,615"
"Nov 03, 2022",$0.006092,$0.006253,$0.006057,$0.006134,"$68,323","$7,533,670"
"Nov 02, 2022",$0.006091,$0.006226,$0.006015,$0.006093,"$96,074","$7,482,222"
"Nov 01, 2022",$0.00615,$0.006283,$0.006081,$0.00609,"$84,126","$7,478,349"
"Oct 31, 2022",$0.006338,$0.006369,$0.006113,$0.006145,"$91,975","$7,545,073"
"Oct 30, 2022",$0.006443,$0.006486,$0.006279,$0.006335,"$78,749","$7,777,393"
"Oct 29, 2022",$0.006363,$0.006521,$0.006343,$0.006446,"$111,100","$7,912,738"
"Oct 28, 2022",$0.006316,$0.006378,$0.006196,$0.006358,"$80,811","$7,805,877"
"Oct 27, 2022",$0.006526,$0.006542,$0.006307,$0.006317,"$77,988","$7,741,218"
"Oct 26, 2022",$0.006243,$0.006535,$0.006232,$0.006528,"$113,346","$7,999,927"
"Oct 25, 2022",$0.005765,$0.006395,$0.005732,$0.006243,"$108,226","$7,649,092"
"Oct 24, 2022",$0.005788,$0.005797,$0.005715,$0.005771,"$94,749","$7,070,091"
"Oct 23, 2022",$0.005669,$0.005792,$0.00555,$0.005788,"$93,428","$7,090,701"
"Oct 22, 2022",$0.005622,$0.00575,$0.005569,$0.005672,"$79,970","$6,939,581"
"Oct 21, 2022",$0.00564,$0.005857,$0.005519,$0.005621,"$98,559","$6,876,119"
"Oct 20, 2022",$0.005736,$0.00579,$0.005618,$0.005644,"$91,143","$6,903,394"
"Oct 19, 2022",$0.005602,$0.005813,$0.005529,$0.005737,"$96,225","$7,017,549"
"Oct 18, 2022",$0.005674,$0.005878,$0.00557,$0.005597,"$102,626","$6,842,265"
"Oct 17, 2022",$0.005469,$0.005677,$0.00537,$0.005675,"$87,581","$6,938,547"
"Oct 16, 2022",$0.005396,$0.005538,$0.005394,$0.005466,"$89,084","$6,682,670"
"Oct 15, 2022",$0.00544,$0.005493,$0.005348,$0.005399,"$78,502","$6,595,613"
"Oct 14, 2022",$0.005448,$0.005655,$0.005416,$0.005438,"$84,481","$6,643,258"
"Oct 13, 2022",$0.005554,$0.005595,$0.005301,$0.005451,"$100,927","$6,658,672"
"Oct 12, 2022",$0.005428,$0.005659,$0.005391,$0.00555,"$96,725","$6,778,092"
"Oct 11, 2022",$0.005518,$0.005536,$0.005326,$0.00544,"$172,726","$6,643,321"
"Oct 10, 2022",$0.005415,$0.005644,$0.00539,$0.005518,"$74,776","$6,662,777"
"Oct 09, 2022",$0.005473,$0.005684,$0.005391,$0.005415,"$108,990","$6,538,212"
"Oct 08, 2022",$0.005488,$0.005526,$0.005381,$0.005475,"$71,842","$7,128,024"
"Oct 07, 2022",$0.005708,$0.005732,$0.005477,$0.005488,"$64,929","$6,762,534"
"Oct 06, 2022",$0.005768,$0.005807,$0.005656,$0.005708,"$78,609","$7,535,390"
"Oct 05, 2022",$0.005693,$0.005781,$0.005573,$0.005774,"$69,015","$7,019,305"
"Oct 04, 2022",$0.005662,$0.005706,$0.00562,$0.005693,"$76,243","$7,399,401"
"Oct 03, 2022",$0.005535,$0.005676,$0.005491,$0.005663,"$73,509","$7,394,428"
"Oct 02, 2022",$0.005629,$0.005676,$0.005501,$0.005539,"$96,311","$9,417,933"
"Oct 01, 2022",$0.005676,$0.005783,$0.005612,$0.005623,"$76,283","$9,597,266"
"Sep 30, 2022",$0.005717,$0.005797,$0.005634,$0.00568,"$76,696","$6,908,133"
"Sep 29, 2022",$0.005852,$0.005868,$0.005656,$0.005715,"$98,740","$6,950,251"
"Sep 28, 2022",$0.005763,$0.005864,$0.005557,$0.00585,"$150,754","$10,731,544"
"Sep 27, 2022",$0.00574,$0.006044,$0.005726,$0.005758,"$103,687","$10,563,377"
"Sep 26, 2022",$0.005721,$0.005833,$0.00557,$0.005744,"$143,073","$14,410,579"
"Sep 25, 2022",$0.005969,$0.006013,$0.005559,$0.005715,"$127,958","$10,988,002"
"Sep 24, 2022",$0.005939,$0.006065,$0.005924,$0.005971,"$139,295","$10,940,834"
"Sep 23, 2022",$0.005814,$0.006,$0.005707,$0.005931,"$156,524","$8,491,526"
"Sep 22, 2022",$0.005739,$0.005822,$0.005638,$0.005815,"$192,429","$8,323,564"
"Sep 21, 2022",$0.005869,$0.006056,$0.005715,$0.005744,"$235,059","$4,878,462"
"Sep 20, 2022",$0.006125,$0.006138,$0.005831,$0.005868,"$195,493","$4,962,149"
"Sep 19, 2022",$0.005992,$0.006198,$0.005765,$0.006122,"$235,616","$4,658,248"
"Sep 18, 2022",$0.006322,$0.006353,$0.005978,$0.005988,"$179,572","$10,438,275"
"Sep 17, 2022",$0.006247,$0.006337,$0.006139,$0.006321,"$219,050","$4,808,680"
"Sep 16, 2022",$0.006348,$0.006406,$0.006209,$0.006249,"$199,952","$7,784,752"
"Sep 15, 2022",$0.006696,$0.006849,$0.006346,$0.006354,"$335,994","$4,831,560"
"Sep 14, 2022",$0.006782,$0.006907,$0.006639,$0.006698,"$221,493","$5,099,115"
"Sep 13, 2022",$0.0072,$0.007288,$0.00676,$0.006769,"$267,102","$5,716,495"
"Sep 12, 2022",$0.007245,$0.007293,$0.007122,$0.007197,"$178,698","$5,477,301"
"Sep 11, 2022",$0.007295,$0.007314,$0.007202,$0.00725,"$188,759","$6,122,797"
"Sep 10, 2022",$0.007107,$0.00742,$0.007086,$0.007299,"$176,310","$5,555,949"
"Sep 09, 2022",$0.00666,$0.007154,$0.006599,$0.007101,"$232,000","$5,407,916"
"Sep 08, 2022",$0.006612,$0.006701,$0.00652,$0.006655,"$192,009","$5,027,630"
"Sep 07, 2022",$0.006538,$0.006641,$0.00626,$0.006614,"$203,070","$5,230,139"
"Sep 06, 2022",$0.006685,$0.006938,$0.006512,$0.006543,"$226,304","$5,172,901"
"Sep 05, 2022",$0.006674,$0.006733,$0.006509,$0.006692,"$635,642","$4,718,885"
"Sep 04, 2022",$0.006544,$0.00669,$0.00651,$0.00667,"$681,777","$5,255,701"
"Sep 03, 2022",$0.006582,$0.006708,$0.006529,$0.006544,"$395,403","$4,616,931"
"Sep 02, 2022",$0.006465,$0.006663,$0.006445,$0.006578,"$382,629","$4,640,400"
"Sep 01, 2022",$0.006658,$0.006687,$0.006355,$0.006458,"$508,538","$4,555,944"
"Aug 31, 2022",$0.00651,$0.006691,$0.006435,$0.006658,"$212,372","$4,709,174"
"Aug 30, 2022",$0.00646,$0.006611,$0.006237,$0.006518,"$190,972","$5,733,743"
"Aug 29, 2022",$0.006346,$0.006475,$0.006129,$0.006458,"$231,318","$5,096,636"
"Aug 28, 2022",$0.00644,$0.006519,$0.006339,$0.006349,"$301,071","$4,490,022"
"Aug 27, 2022",$0.006672,$0.006701,$0.006394,$0.006443,"$199,965","$4,556,000"
"Aug 26, 2022",$0.007177,$0.00718,$0.006656,$0.006668,"$190,721","$5,257,954"
"Aug 25, 2022",$0.007484,$0.00753,$0.007168,$0.007179,"$489,982","$5,078,677"
"Aug 24, 2022",$0.00749,$0.007554,$0.007409,$0.007482,"$136,464","$10,517,948"
"Aug 23, 2022",$0.007441,$0.007512,$0.007273,$0.00749,"$128,221","$11,973,365"
"Aug 22, 2022",$0.007535,$0.007658,$0.007249,$0.007438,"$197,344","$5,261,096"
"Aug 21, 2022",$0.007479,$0.007595,$0.007466,$0.007538,"$792,459","$5,331,703"
"Aug 20, 2022",$0.007486,$0.007574,$0.007408,$0.007474,"$413,294","$5,285,998"
"Aug 19, 2022",$0.008168,$0.008181,$0.007471,$0.007488,"$280,128","$5,895,676"
"Aug 18, 2022",$0.008487,$0.008604,$0.008164,$0.008173,"$282,191","$9,056,996"
"Aug 17, 2022",$0.008663,$0.00881,$0.00845,$0.008486,"$200,669","$11,730,555"
"Aug 16, 2022",$0.008795,$0.008837,$0.008602,$0.008668,"$141,804","$11,982,990"
