Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02323,$0.02332,$0.02279,$0.02279,"$273,881","$13,987,946"
"Dec 30, 2022",$0.02312,$0.0279,$0.02239,$0.02322,"$710,237","$14,251,475"
"Dec 29, 2022",$0.02304,$0.02329,$0.02256,$0.02312,"$256,485","$14,080,106"
"Dec 28, 2022",$0.02389,$0.02393,$0.02296,$0.02304,"$269,316","$14,030,087"
"Dec 27, 2022",$0.02559,$0.02574,$0.02383,$0.0239,"$388,777","$14,578,173"
"Dec 26, 2022",$0.025,$0.02562,$0.02476,$0.02558,"$348,027","$15,596,360"
"Dec 25, 2022",$0.02478,$0.02515,$0.02452,$0.02504,"$314,444","$15,183,140"
"Dec 24, 2022",$0.02479,$0.02509,$0.02469,$0.02478,"$314,695","$14,972,873"
"Dec 23, 2022",$0.02448,$0.02481,$0.02418,$0.02479,"$378,855","$14,980,965"
"Dec 22, 2022",$0.02456,$0.02483,$0.02372,$0.02449,"$250,455","$14,802,246"
"Dec 21, 2022",$0.0264,$0.02739,$0.02444,$0.02454,"$592,358","$14,833,195"
"Dec 20, 2022",$0.02302,$0.02735,$0.02296,$0.0264,"$646,710","$15,959,771"
"Dec 19, 2022",$0.02271,$0.02483,$0.02236,$0.02302,"$526,310","$13,914,161"
"Dec 18, 2022",$0.02301,$0.02325,$0.02256,$0.02271,"$391,547","$13,726,187"
"Dec 17, 2022",$0.02295,$0.02349,$0.02272,$0.023,"$225,428","$13,904,236"
"Dec 16, 2022",$0.02541,$0.02563,$0.02277,$0.02296,"$289,276","$13,879,086"
"Dec 15, 2022",$0.02665,$0.02673,$0.02522,$0.02541,"$183,565","$15,358,998"
"Dec 14, 2022",$0.02736,$0.02761,$0.02654,$0.02664,"$277,193","$16,101,952"
"Dec 13, 2022",$0.0275,$0.02812,$0.02686,$0.02734,"$210,873","$16,463,994"
"Dec 12, 2022",$0.02802,$0.02802,$0.02723,$0.0275,"$253,086","$16,556,790"
"Dec 11, 2022",$0.02861,$0.02869,$0.02792,$0.02802,"$449,445","$16,848,596"
"Dec 10, 2022",$0.02855,$0.02878,$0.02838,$0.02861,"$197,740","$17,206,437"
"Dec 09, 2022",$0.02895,$0.02921,$0.02854,$0.02855,"$92,704","$17,169,418"
"Dec 08, 2022",$0.02793,$0.02914,$0.02772,$0.02895,"$124,528","$17,405,373"
"Dec 07, 2022",$0.02952,$0.02963,$0.02767,$0.02793,"$245,437","$16,790,950"
"Dec 06, 2022",$0.02936,$0.02974,$0.02899,$0.02951,"$261,061","$17,741,346"
"Dec 05, 2022",$0.02906,$0.0297,$0.02898,$0.02936,"$216,988","$17,650,861"
"Dec 04, 2022",$0.02814,$0.02906,$0.02809,$0.02906,"$211,564","$17,474,284"
"Dec 03, 2022",$0.03142,$0.03151,$0.02807,$0.02812,"$344,901","$16,911,675"
"Dec 02, 2022",$0.03077,$0.03153,$0.03071,$0.03141,"$275,494","$18,892,335"
"Dec 01, 2022",$0.03145,$0.03154,$0.03074,$0.03074,"$315,289","$18,488,672"
