Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001197,$0.001319,$0.001077,$0.001142,"$632,148","$3,655,180"
"Dec 30, 2022",$0.001104,$0.00135,$0.001091,$0.001196,"$618,765","$3,828,345"
"Dec 29, 2022",$0.001265,$0.001373,$0.001091,$0.001107,"$651,910","$3,543,336"
"Dec 28, 2022",$0.0009853,$0.001361,$0.0009816,$0.001264,"$628,580","$4,044,498"
"Dec 27, 2022",$0.0009838,$0.001003,$0.0009568,$0.000984,"$586,019","$3,148,832"
"Dec 26, 2022",$0.0009864,$0.001048,$0.00096,$0.0009801,"$460,027","$3,136,224"
"Dec 25, 2022",$0.001029,$0.001039,$0.000964,$0.0009866,"$593,081","$3,157,226"
"Dec 24, 2022",$0.0009767,$0.001062,$0.0009519,$0.001029,"$609,284","$3,292,822"
"Dec 23, 2022",$0.001057,$0.001058,$0.0009558,$0.0009782,"$613,540","$3,130,149"
"Dec 22, 2022",$0.001028,$0.001067,$0.0009987,$0.001056,"$587,295","$3,378,161"
"Dec 21, 2022",$0.001043,$0.001043,$0.001002,$0.001019,"$594,564","$3,260,186"
"Dec 20, 2022",$0.00116,$0.001168,$0.001035,$0.001043,"$599,305","$3,337,653"
"Dec 19, 2022",$0.001279,$0.001308,$0.001131,$0.001158,"$592,161","$3,706,991"
"Dec 18, 2022",$0.001445,$0.001448,$0.001245,$0.00128,"$583,670","$4,095,332"
"Dec 17, 2022",$0.00108,$0.00159,$0.001017,$0.001445,"$627,347","$4,623,851"
"Dec 16, 2022",$0.001348,$0.001398,$0.001013,$0.00108,"$619,629","$3,454,610"
"Dec 15, 2022",$0.001652,$0.001658,$0.001344,$0.001344,"$631,332","$4,300,776"
"Dec 14, 2022",$0.001452,$0.001669,$0.001452,$0.001652,"$578,538","$5,286,353"
"Dec 13, 2022",$0.001574,$0.001649,$0.001348,$0.001449,"$625,909","$4,636,303"
"Dec 12, 2022",$0.001671,$0.001854,$0.001513,$0.001573,"$645,593","$5,033,561"
"Dec 11, 2022",$0.001256,$0.0017,$0.001237,$0.001677,"$1,177,751","$5,365,012"
"Dec 10, 2022",$0.0013,$0.00137,$0.001209,$0.001255,"$273,831","$4,015,658"
"Dec 09, 2022",$0.001002,$0.001398,$0.000989,$0.001305,"$309,460","$4,174,767"
"Dec 08, 2022",$0.000953,$0.001016,$0.0009316,$0.001003,"$260,691","$3,209,406"
"Dec 07, 2022",$0.001003,$0.00103,$0.0009254,$0.0009516,"$265,285","$3,045,054"
"Dec 06, 2022",$0.0008939,$0.001174,$0.0008906,$0.001005,"$286,428","$3,216,630"
"Dec 05, 2022",$0.0008111,$0.0009293,$0.0007966,$0.0008949,"$260,133","$2,863,557"
"Dec 04, 2022",$0.0008315,$0.0008496,$0.0008065,$0.0008111,"$343,152","$2,595,521"
"Dec 03, 2022",$0.0007678,$0.0009565,$0.000767,$0.000831,"$288,128","$2,659,237"
"Dec 02, 2022",$0.0007313,$0.001011,$0.0007298,$0.0007678,"$295,609","$2,457,028"
"Dec 01, 2022",$0.0005138,$0.0007363,$0.0005117,$0.0007316,"$265,688","$2,341,126"
"Nov 30, 2022",$0.0005035,$0.0005179,$0.0005015,$0.0005138,"$222,346","$1,644,166"
"Nov 29, 2022",$0.0005064,$0.0005161,$0.0004913,$0.0005035,"$108,761","$1,611,100"
"Nov 28, 2022",$0.0005192,$0.0005266,$0.0005023,$0.0005051,"$116,990","$1,616,326"
"Nov 27, 2022",$0.000513,$0.0005248,$0.0005083,$0.0005192,"$93,228","$1,661,520"
"Nov 26, 2022",$0.0005127,$0.0005191,$0.0005085,$0.0005097,"$115,431","$1,630,939"
"Nov 25, 2022",$0.0005015,$0.0005168,$0.000497,$0.0005135,"$116,298","$1,643,200"
"Nov 24, 2022",$0.0005205,$0.0005223,$0.000495,$0.0005033,"$114,901","$1,610,405"
"Nov 23, 2022",$0.0004982,$0.0005303,$0.000497,$0.00052,"$107,174","$1,664,033"
"Nov 22, 2022",$0.0004965,$0.0005035,$0.0004897,$0.0004981,"$136,964","$1,593,799"
"Nov 21, 2022",$0.0004781,$0.000619,$0.000476,$0.0004997,"$150,299","$1,599,069"
"Nov 20, 2022",$0.0004818,$0.0004878,$0.0004754,$0.0004776,"$164,993","$1,528,337"
"Nov 19, 2022",$0.0004887,$0.0004905,$0.0004789,$0.0004817,"$107,009","$1,541,556"
"Nov 18, 2022",$0.0005151,$0.000521,$0.0004775,$0.000489,"$147,367","$1,564,649"
"Nov 17, 2022",$0.0005345,$0.0005392,$0.0005113,$0.0005155,"$138,241","$1,649,678"
"Nov 16, 2022",$0.0005167,$0.0005419,$0.0005044,$0.0005345,"$137,594","$1,710,258"
"Nov 15, 2022",$0.0005648,$0.0005789,$0.0004984,$0.0005171,"$166,916","$1,654,752"
"Nov 14, 2022",$0.0005474,$0.0005663,$0.0005368,$0.0005648,"$140,008","$1,807,415"
"Nov 13, 2022",$0.0006397,$0.0006625,$0.0005373,$0.0005474,"$157,039","$1,751,785"
"Nov 12, 2022",$0.0006414,$0.0006571,$0.0006168,$0.00064,"$125,480","$2,048,020"
"Nov 11, 2022",$0.000617,$0.000644,$0.000615,$0.0006415,"$128,674","$2,052,752"
"Nov 10, 2022",$0.0005757,$0.0006271,$0.0005719,$0.0006171,"$134,466","$1,974,844"
"Nov 09, 2022",$0.0006225,$0.000638,$0.0005649,$0.0005758,"$130,104","$1,842,466"
"Nov 08, 2022",$0.000631,$0.0006762,$0.0006027,$0.0006217,"$146,310","$1,989,560"
"Nov 07, 2022",$0.0006464,$0.0006586,$0.0006307,$0.0006307,"$117,556","$2,018,299"
"Nov 06, 2022",$0.0006348,$0.0006604,$0.0006316,$0.0006465,"$123,268","$2,068,686"
"Nov 05, 2022",$0.0006657,$0.0006772,$0.0006242,$0.0006348,"$118,515","$2,031,278"
"Nov 04, 2022",$0.0006259,$0.0006762,$0.0006146,$0.0006664,"$130,036","$2,132,621"
"Nov 03, 2022",$0.0006629,$0.0006732,$0.0006251,$0.0006257,"$103,731","$2,002,366"
"Nov 02, 2022",$0.000684,$0.0006859,$0.000654,$0.0006628,"$101,258","$2,121,013"
"Nov 01, 2022",$0.000779,$0.0007799,$0.0006774,$0.0006843,"$114,235","$2,189,692"
"Oct 31, 2022",$0.0007719,$0.0007948,$0.0007657,$0.0007787,"$124,915","$2,491,848"
"Oct 30, 2022",$0.0008183,$0.0008284,$0.0007537,$0.0007719,"$130,926","$2,469,942"
"Oct 29, 2022",$0.0007431,$0.0008245,$0.000733,$0.0008179,"$212,644","$2,617,128"
"Oct 28, 2022",$0.000706,$0.0007513,$0.0006993,$0.0007431,"$124,570","$2,377,980"
"Oct 27, 2022",$0.000656,$0.0007394,$0.0006517,$0.000706,"$147,780","$2,259,099"
"Oct 26, 2022",$0.0006353,$0.0006654,$0.0006323,$0.000656,"$148,463","$2,099,134"
"Oct 25, 2022",$0.0007263,$0.0007263,$0.0006345,$0.0006354,"$154,161","$2,033,238"
"Oct 24, 2022",$0.0006812,$0.0007389,$0.0006681,$0.0007263,"$168,071","$2,324,220"
"Oct 23, 2022",$0.0006397,$0.0007013,$0.000636,$0.0006814,"$162,672","$2,180,320"
"Oct 22, 2022",$0.0006441,$0.0006583,$0.0006305,$0.0006399,"$135,382","$2,047,686"
"Oct 21, 2022",$0.0006888,$0.0006889,$0.0006029,$0.0006441,"$146,707","$2,061,235"
"Oct 20, 2022",$0.000562,$0.0008633,$0.0005587,$0.0006888,"$205,121","$2,204,220"
"Oct 19, 2022",$0.0005453,$0.0005737,$0.0005156,$0.0005624,"$125,941","$1,799,693"
