Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02003,$0.02041,$0.01989,$0.02038,"$1,106","$1,078,196"
"Dec 30, 2022",$0.02027,$0.02032,$0.01942,$0.01999,"$9,970","$1,057,327"
"Dec 29, 2022",$0.02013,$0.02056,$0.02009,$0.02027,"$4,248","$1,072,136"
"Dec 28, 2022",$0.02032,$0.02043,$0.01993,$0.02013,$313,"$1,064,710"
"Dec 27, 2022",$0.0204,$0.0208,$0.0202,$0.0203,"$2,114","$1,073,578"
"Dec 26, 2022",$0.02037,$0.02053,$0.02018,$0.02051,$361,"$1,084,766"
"Dec 25, 2022",$0.02034,$0.02055,$0.02021,$0.02038,$172,"$1,078,138"
"Dec 24, 2022",$0.02048,$0.02056,$0.02027,$0.02034,$5,"$1,076,001"
"Dec 23, 2022",$0.02034,$0.0206,$0.02016,$0.02048,"$2,181","$1,083,188"
"Dec 22, 2022",$0.02078,$0.02094,$0.01989,$0.02034,"$2,675","$1,075,895"
"Dec 21, 2022",$0.02229,$0.02237,$0.02022,$0.02076,"$14,039","$1,098,164"
"Dec 20, 2022",$0.02135,$0.02254,$0.02127,$0.02229,$47,"$1,178,925"
"Dec 19, 2022",$0.02246,$0.02267,$0.0212,$0.02135,"$1,220","$1,129,500"
"Dec 18, 2022",$0.02183,$0.02271,$0.02158,$0.02246,$587,"$1,187,802"
"Dec 17, 2022",$0.02047,$0.02194,$0.01971,$0.02183,"$2,929","$1,154,511"
"Dec 16, 2022",$0.02284,$0.02322,$0.01999,$0.02047,"$1,723","$1,082,909"
"Dec 15, 2022",$0.02314,$0.02315,$0.02244,$0.02283,"$2,839","$1,207,306"
"Dec 14, 2022",$0.02323,$0.02422,$0.02293,$0.02316,"$7,105","$1,225,202"
"Dec 13, 2022",$0.0231,$0.02392,$0.0214,$0.0232,"$2,783","$1,227,224"
"Dec 12, 2022",$0.02387,$0.02412,$0.02266,$0.02314,"$4,867","$1,223,834"
"Dec 11, 2022",$0.02414,$0.02453,$0.02379,$0.02387,$260,"$1,262,634"
"Dec 10, 2022",$0.02401,$0.02437,$0.02392,$0.02414,$66,"$1,276,756"
"Dec 09, 2022",$0.02398,$0.02548,$0.02366,$0.02401,"$29,727","$1,270,058"
"Dec 08, 2022",$0.02338,$0.0241,$0.02321,$0.02398,$440,"$1,268,351"
"Dec 07, 2022",$0.02326,$0.02434,$0.0225,$0.02338,"$35,493","$1,236,771"
"Dec 06, 2022",$0.02316,$0.02346,$0.02308,$0.02324,$874,"$1,229,448"
"Dec 05, 2022",$0.02431,$0.02454,$0.02296,$0.02316,"$6,705","$1,224,970"
"Dec 04, 2022",$0.02395,$0.02437,$0.02364,$0.02437,"$3,416","$1,289,250"
"Dec 03, 2022",$0.02449,$0.02454,$0.02383,$0.02401,"$3,179","$1,270,219"
"Dec 02, 2022",$0.02448,$0.02459,$0.02393,$0.0245,$793,"$1,295,790"
"Dec 01, 2022",$0.02587,$0.02588,$0.02436,$0.02448,"$3,417","$1,294,612"
"Nov 30, 2022",$0.02527,$0.02616,$0.02505,$0.02587,"$1,944","$1,368,158"
"Nov 29, 2022",$0.02463,$0.02627,$0.02431,$0.02527,"$7,633","$1,336,646"
"Nov 28, 2022",$0.02795,$0.02819,$0.02358,$0.02462,"$22,445","$1,302,206"
"Nov 27, 2022",$0.02848,$0.02886,$0.02795,$0.02795,$603,"$1,478,382"
"Nov 26, 2022",$0.02742,$0.02894,$0.02737,$0.02849,$647,"$1,507,113"
"Nov 25, 2022",$0.02751,$0.02777,$0.02698,$0.0274,$33,"$1,449,112"
"Nov 24, 2022",$0.0273,$0.02775,$0.02692,$0.02751,"$1,921","$1,455,102"
"Nov 23, 2022",$0.02447,$0.02759,$0.02439,$0.02732,"$2,372","$1,444,872"
"Nov 22, 2022",$0.02342,$0.02458,$0.0232,$0.02455,$760,"$1,298,736"
"Nov 21, 2022",$0.02435,$0.02442,$0.02306,$0.02341,$777,"$1,238,126"
"Nov 20, 2022",$0.02506,$0.02525,$0.02406,$0.02437,"$3,791","$1,289,135"
"Nov 19, 2022",$0.02503,$0.02523,$0.02464,$0.02506,$994,"$1,325,614"
"Nov 18, 2022",$0.02462,$0.0254,$0.02459,$0.02503,"$2,183","$1,324,092"
"Nov 17, 2022",$0.02494,$0.02506,$0.02417,$0.02461,"$2,105","$1,301,683"
"Nov 16, 2022",$0.02464,$0.02502,$0.02445,$0.02495,"$3,292","$1,319,609"
"Nov 15, 2022",$0.02577,$0.02711,$0.02444,$0.02464,"$36,663","$1,303,100"
"Nov 14, 2022",$0.02546,$0.02683,$0.02457,$0.02568,"$2,704","$1,358,280"
"Nov 13, 2022",$0.02627,$0.02644,$0.02529,$0.02543,"$1,986","$1,345,145"
"Nov 12, 2022",$0.02664,$0.03237,$0.02485,$0.02628,"$3,059","$1,389,886"
"Nov 11, 2022",$0.02809,$0.02818,$0.02574,$0.02659,"$1,001","$1,406,642"
"Nov 10, 2022",$0.02496,$0.02861,$0.0248,$0.02813,"$3,312","$1,487,915"
"Nov 09, 2022",$0.03074,$0.03107,$0.02401,$0.02505,"$8,293","$1,324,913"
"Nov 08, 2022",$0.03446,$0.03646,$0.02826,$0.03074,"$20,066","$1,625,971"
"Nov 07, 2022",$0.03504,$0.03534,$0.03356,$0.03446,"$1,500","$1,822,499"
"Nov 06, 2022",$0.03598,$0.0366,$0.03502,$0.03506,"$1,325","$1,854,553"
"Nov 05, 2022",$0.03669,$0.03726,$0.0358,$0.03602,$243,"$1,905,138"
"Nov 04, 2022",$0.03494,$0.03793,$0.03489,$0.0366,"$2,532","$1,936,121"
"Nov 03, 2022",$0.03346,$0.03561,$0.03332,$0.03509,"$1,260","$1,856,150"
"Nov 02, 2022",$0.03428,$0.0345,$0.0332,$0.03346,$865,"$1,769,601"
"Nov 01, 2022",$0.03335,$0.03528,$0.03298,$0.03428,"$38,316","$1,813,358"
"Oct 31, 2022",$0.03062,$0.03358,$0.03001,$0.03335,"$9,208","$1,763,821"
"Oct 30, 2022",$0.02957,$0.03111,$0.02953,$0.03062,$486,"$1,619,840"
"Oct 29, 2022",$0.02917,$0.0301,$0.02889,$0.02957,$282,"$1,564,102"
"Oct 28, 2022",$0.02787,$0.02936,$0.0277,$0.02917,$972,"$1,543,022"
"Oct 27, 2022",$0.02807,$0.02838,$0.02765,$0.02787,$650,"$1,474,348"
"Oct 26, 2022",$0.02734,$0.02819,$0.02724,$0.02807,$492,"$1,484,636"
"Oct 25, 2022",$0.02647,$0.02781,$0.02615,$0.02732,$669,"$1,444,977"
"Oct 24, 2022",$0.0266,$0.02666,$0.02623,$0.02647,$921,"$1,400,058"
"Oct 23, 2022",$0.02608,$0.02663,$0.02594,$0.02657,"$1,214","$1,405,367"
"Oct 22, 2022",$0.02619,$0.02631,$0.02599,$0.02608,$155,"$1,379,274"
"Oct 21, 2022",$0.02545,$0.02629,$0.02518,$0.02619,"$6,583","$1,385,132"
"Oct 20, 2022",$0.02489,$0.02554,$0.02465,$0.02542,"$1,399","$1,344,584"
"Oct 19, 2022",$0.02522,$0.02528,$0.02483,$0.02491,$101,"$1,317,314"
"Oct 18, 2022",$0.02533,$0.02542,$0.02483,$0.02522,"$1,130","$1,333,805"
"Oct 17, 2022",$0.02481,$0.02553,$0.02473,$0.02533,"$3,408","$1,339,639"
"Oct 16, 2022",$0.02439,$0.02492,$0.02437,$0.02481,$120,"$1,312,222"
"Oct 15, 2022",$0.02436,$0.02462,$0.02423,$0.02439,"$1,175","$1,289,924"
"Oct 14, 2022",$0.02443,$0.02491,$0.02422,$0.02436,$7,"$1,288,562"
"Oct 13, 2022",$0.02466,$0.02562,$0.02323,$0.02443,"$32,497","$1,292,292"
"Oct 12, 2022",$0.02444,$0.02471,$0.02427,$0.02466,"$1,487","$1,304,330"
"Oct 11, 2022",$0.02472,$0.02474,$0.02408,$0.02444,"$4,113","$1,292,811"
"Oct 10, 2022",$0.02643,$0.0267,$0.0247,$0.02472,"$8,922","$1,307,429"
"Oct 09, 2022",$0.0265,$0.02673,$0.0263,$0.02643,"$1,005","$1,397,751"
"Oct 08, 2022",$0.02686,$0.02693,$0.02638,$0.02651,"$3,374","$1,402,259"
"Oct 07, 2022",$0.02671,$0.02705,$0.02642,$0.02675,$684,"$1,415,026"
"Oct 06, 2022",$0.02778,$0.02816,$0.02636,$0.02671,$143,"$1,413,011"
"Oct 05, 2022",$0.02802,$0.02812,$0.02731,$0.02782,"$1,319","$1,471,739"
"Oct 04, 2022",$0.02746,$0.0285,$0.02741,$0.02803,"$2,673","$1,482,453"
"Oct 03, 2022",$0.02706,$0.02771,$0.02701,$0.02747,$596,"$1,452,901"
"Oct 02, 2022",$0.02701,$0.02741,$0.02676,$0.02709,$864,"$1,432,738"
"Oct 01, 2022",$0.0274,$0.02862,$0.02668,$0.02701,"$1,876","$1,428,869"
"Sep 30, 2022",$0.02758,$0.0278,$0.02704,$0.0274,"$4,090","$1,449,166"
"Sep 29, 2022",$0.02827,$0.02852,$0.02725,$0.02769,"$3,659","$1,464,464"
"Sep 28, 2022",$0.02753,$0.02844,$0.02669,$0.0282,"$4,063","$1,491,666"
"Sep 27, 2022",$0.02725,$0.02848,$0.02684,$0.02758,"$4,549","$1,458,645"
"Sep 26, 2022",$0.02686,$0.02739,$0.02671,$0.02726,"$4,385","$1,441,779"
"Sep 25, 2022",$0.02705,$0.02756,$0.02667,$0.02688,$256,"$1,421,609"
"Sep 24, 2022",$0.02712,$0.02797,$0.02697,$0.02701,"$6,222","$1,428,433"
"Sep 23, 2022",$0.02694,$0.02724,$0.02636,$0.02712,$741,"$1,434,574"
