Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001568,$0.00159,$0.001529,$0.00156,"$72,174","$3,938,707"
"Dec 30, 2022",$0.001633,$0.001644,$0.001542,$0.001569,"$69,972","$3,961,275"
"Dec 29, 2022",$0.001633,$0.001683,$0.001609,$0.001631,"$76,769","$4,119,012"
"Dec 28, 2022",$0.00174,$0.001761,$0.001601,$0.001632,"$107,159","$4,121,172"
"Dec 27, 2022",$0.001768,$0.001797,$0.001664,$0.001741,"$82,693","$4,395,087"
"Dec 26, 2022",$0.001822,$0.001904,$0.001692,$0.001768,"$124,472","$4,465,067"
"Dec 25, 2022",$0.001766,$0.002328,$0.001648,$0.001816,"$317,632","$4,586,056"
"Dec 24, 2022",$0.001522,$0.00178,$0.001515,$0.001767,"$177,404","$4,460,939"
"Dec 23, 2022",$0.001463,$0.001589,$0.001454,$0.001527,"$110,712","$3,854,764"
"Dec 22, 2022",$0.001406,$0.001485,$0.001379,$0.001467,"$75,865","$3,703,203"
"Dec 21, 2022",$0.001288,$0.001451,$0.001284,$0.001405,"$79,076","$3,548,724"
"Dec 20, 2022",$0.001301,$0.00134,$0.001266,$0.001288,"$55,112","$3,253,137"
"Dec 19, 2022",$0.001344,$0.001363,$0.001267,$0.001302,"$94,955","$3,288,924"
"Dec 18, 2022",$0.001322,$0.001354,$0.001263,$0.001343,"$99,202","$3,390,428"
"Dec 17, 2022",$0.001157,$0.001435,$0.001124,$0.001323,"$123,365","$3,340,489"
"Dec 16, 2022",$0.001034,$0.001249,$0.001015,$0.001162,"$88,862","$2,934,947"
"Dec 15, 2022",$0.00102,$0.001052,$0.0009906,$0.001034,"$73,610","$2,612,168"
"Dec 14, 2022",$0.001002,$0.001029,$0.0009716,$0.001029,"$74,676","$2,597,163"
"Dec 13, 2022",$0.0009487,$0.001012,$0.0009415,$0.001003,"$87,567","$2,532,557"
"Dec 12, 2022",$0.000914,$0.0009517,$0.0008973,$0.0009498,"$75,291","$2,398,422"
"Dec 11, 2022",$0.0009168,$0.0009224,$0.0009095,$0.0009141,"$69,020","$2,308,341"
"Dec 10, 2022",$0.0009223,$0.0009261,$0.0009089,$0.0009149,"$60,393","$2,310,291"
"Dec 09, 2022",$0.0009456,$0.0009489,$0.0009015,$0.0009226,"$59,544","$2,329,671"
"Dec 08, 2022",$0.0009719,$0.0009894,$0.0009083,$0.0009452,"$120,646","$2,386,658"
"Dec 07, 2022",$0.0009711,$0.0009833,$0.0009523,$0.0009717,"$96,923","$2,453,587"
"Dec 06, 2022",$0.0009326,$0.0009711,$0.0009277,$0.0009682,"$111,127","$2,444,854"
"Dec 05, 2022",$0.0009371,$0.0009451,$0.0009235,$0.0009325,"$103,836","$2,354,670"
"Dec 04, 2022",$0.0009586,$0.0009586,$0.0009198,$0.0009341,"$93,909","$2,358,640"
"Dec 03, 2022",$0.0009538,$0.0009611,$0.0009299,$0.0009574,"$101,441","$2,417,637"
"Dec 02, 2022",$0.0009121,$0.0009606,$0.0009116,$0.0009542,"$94,364","$2,409,585"
