Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$56.16,$57.81,$55.95,$56.45,"$267,746","$31,555,555"
"Dec 30, 2022",$57.91,$57.96,$56.08,$56.12,"$144,484","$31,367,978"
"Dec 29, 2022",$57.44,$58.09,$56.05,$57.91,"$202,100","$32,369,537"
"Dec 28, 2022",$59.94,$59.97,$57.12,$57.44,"$58,381","$32,105,650"
"Dec 27, 2022",$59.75,$60.51,$59.43,$59.95,"$54,232","$33,510,471"
"Dec 26, 2022",$58.38,$59.81,$58.29,$59.76,"$82,141","$33,402,451"
"Dec 25, 2022",$59.16,$59.30,$57.81,$58.33,"$67,049","$32,604,364"
"Dec 24, 2022",$59.49,$59.70,$58.96,$59.16,"$55,226","$33,068,949"
"Dec 23, 2022",$60.18,$60.71,$59.40,$59.50,"$50,020","$33,261,208"
"Dec 22, 2022",$60.14,$60.55,$58.74,$60.18,"$64,939","$33,637,815"
"Dec 21, 2022",$60.86,$60.92,$59.86,$60.11,"$50,986","$33,601,818"
"Dec 20, 2022",$58.16,$61.31,$58.04,$60.86,"$47,968","$34,018,497"
"Dec 19, 2022",$60.93,$61.81,$57.45,$58.16,"$77,420","$32,511,071"
"Dec 18, 2022",$61.35,$61.76,$60.56,$60.93,"$47,927","$34,059,719"
"Dec 17, 2022",$60.17,$61.54,$59.11,$61.33,"$68,748","$34,285,058"
"Dec 16, 2022",$67.21,$67.84,$59.72,$60.19,"$89,307","$33,647,846"
"Dec 15, 2022",$68.30,$68.55,$66.94,$67.20,"$79,946","$37,561,988"
"Dec 14, 2022",$68.55,$70.45,$68.21,$68.24,"$118,079","$38,146,445"
"Dec 13, 2022",$68.66,$70.75,$66.79,$68.53,"$90,216","$38,307,570"
"Dec 12, 2022",$68.63,$68.77,$66.65,$68.65,"$79,427","$38,375,488"
"Dec 11, 2022",$68.65,$70.03,$68.46,$68.63,"$61,928","$38,362,289"
"Dec 10, 2022",$69.18,$72.08,$68.52,$68.65,"$61,525","$38,374,425"
"Dec 09, 2022",$70.80,$71.15,$68.89,$69.18,"$51,626","$38,671,470"
