Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.09563,$0.09717,$0.09427,$0.09655,$281,"$17,990,899"
"Dec 30, 2022",$0.09596,$0.09599,$0.09455,$0.09563,"$39,005","$17,819,424"
"Dec 29, 2022",$0.09708,$0.1001,$0.09367,$0.09596,"$382,455","$17,881,479"
"Dec 28, 2022",$0.09715,$0.1022,$0.09544,$0.09708,"$466,899","$18,089,418"
"Dec 27, 2022",$0.0979,$0.102,$0.09468,$0.09715,"$470,674","$18,103,902"
"Dec 26, 2022",$0.1005,$0.1008,$0.0936,$0.0979,"$420,036","$18,242,531"
"Dec 25, 2022",$0.09928,$0.1005,$0.09505,$0.1005,"$118,194","$18,726,043"
"Dec 24, 2022",$0.09584,$0.09929,$0.0829,$0.09928,"$164,387","$18,500,596"
"Dec 23, 2022",$0.09665,$0.1004,$0.09473,$0.09585,"$127,983","$17,860,048"
"Dec 22, 2022",$0.09484,$0.09997,$0.09283,$0.09666,"$253,748","$18,011,897"
"Dec 21, 2022",$0.09611,$0.09612,$0.09326,$0.09484,"$58,254",$0
"Dec 20, 2022",$0.09535,$0.09783,$0.09533,$0.09609,"$65,197",$0
"Dec 19, 2022",$0.1177,$0.1188,$0.09399,$0.09535,"$248,291",$0
"Dec 18, 2022",$0.101,$0.1194,$0.101,$0.1177,$0,$0
"Dec 17, 2022",$0.101,$0.101,$0.101,$0.101,$36,$0
"Dec 16, 2022",$0.1095,$0.1096,$0.101,$0.101,$36,$0
"Dec 15, 2022",$0.11,$0.1131,$0.1094,$0.1095,"$66,642",$0
"Dec 14, 2022",$0.1093,$0.1116,$0.1093,$0.11,"$47,862",$0
"Dec 13, 2022",$0.1099,$0.1175,$0.1066,$0.1093,"$67,485",$0
"Dec 12, 2022",$0.1094,$0.1129,$0.1093,$0.1099,"$66,323",$0
"Dec 11, 2022",$0.1097,$0.1154,$0.1094,$0.1094,"$2,052",$0
"Dec 10, 2022",$0.1078,$0.1097,$0.1078,$0.1097,"$22,060",$0
"Dec 09, 2022",$0.1095,$0.1096,$0.1067,$0.1078,"$65,475",$0
"Dec 08, 2022",$0.1095,$0.113,$0.1094,$0.1095,"$67,354",$0
"Dec 07, 2022",$0.1094,$0.1102,$0.1065,$0.1095,"$65,729",$0
"Dec 06, 2022",$0.1095,$0.1129,$0.1094,$0.1094,"$67,870",$0
"Dec 05, 2022",$0.11,$0.11,$0.1065,$0.1095,"$66,301",$0
"Dec 04, 2022",$0.1093,$0.1101,$0.1092,$0.11,"$2,108",$0
"Dec 03, 2022",$0.11,$0.11,$0.1092,$0.1093,$236,$0
"Dec 02, 2022",$0.1095,$0.116,$0.1076,$0.11,"$45,406",$0
"Dec 01, 2022",$0.1101,$0.1177,$0.1008,$0.1095,$0,$0
"Nov 30, 2022",$0.1093,$0.1117,$0.1091,$0.1101,"$52,131",$0
