Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$42.03,$43.20,$41.40,$41.46,"$3,873","$1,160,803"
"Dec 30, 2022",$42.41,$43.27,$41.90,$42.00,$746,"$1,175,877"
"Dec 29, 2022",$40.87,$42.58,$40.48,$42.41,"$1,198","$1,187,438"
"Dec 28, 2022",$41.94,$43.28,$40.65,$40.87,$259,"$1,144,340"
"Dec 27, 2022",$43.04,$43.22,$41.68,$41.95,$619,"$1,174,499"
"Dec 26, 2022",$43.30,$43.46,$42.53,$43.05,$141,"$1,205,396"
"Dec 25, 2022",$42.68,$43.42,$42.51,$43.26,"$1,114","$1,211,392"
"Dec 24, 2022",$42.97,$55.63,$42.58,$42.68,$267,"$1,194,983"
"Dec 23, 2022",$43.07,$43.43,$42.64,$42.98,$595,"$1,203,350"
"Dec 22, 2022",$42.61,$43.56,$41.94,$43.10,$130,"$1,206,893"
"Dec 21, 2022",$42.80,$55.51,$42.39,$42.59,$30,"$1,192,536"
"Dec 20, 2022",$41.17,$43.28,$41.07,$42.83,$33,"$1,199,213"
"Dec 19, 2022",$42.07,$59.32,$40.70,$41.17,$255,"$1,152,804"
"Dec 18, 2022",$42.73,$68.01,$42.00,$42.07,$66,"$1,177,967"
"Dec 17, 2022",$41.06,$67.92,$40.92,$42.72,"$1,178","$1,196,167"
"Dec 16, 2022",$44.39,$44.86,$40.75,$41.06,$63,"$1,149,634"
"Dec 15, 2022",$45.58,$45.67,$44.21,$44.38,$70,"$1,242,764"
"Dec 14, 2022",$46.39,$68.64,$45.39,$45.54,$75,"$1,275,212"
"Dec 13, 2022",$44.66,$68.60,$44.13,$46.38,$91,"$1,298,597"
"Dec 12, 2022",$44.51,$44.71,$43.46,$44.66,$22,"$1,250,413"
"Dec 11, 2022",$44.56,$45.22,$31.13,$44.51,$458,"$1,246,288"
"Dec 10, 2022",$44.40,$45.06,$36.01,$44.56,$160,"$1,247,681"
"Dec 09, 2022",$45.59,$45.81,$44.22,$44.40,$251,"$1,243,213"
"Dec 08, 2022",$43.60,$45.83,$43.31,$45.59,$36,"$1,276,473"
"Dec 07, 2022",$44.86,$44.94,$42.93,$43.60,$317,"$1,220,882"
"Dec 06, 2022",$44.80,$63.89,$43.89,$44.84,$407,"$1,255,534"
"Dec 05, 2022",$45.76,$46.87,$44.42,$44.80,$164,"$1,254,509"
"Dec 04, 2022",$44.63,$64.00,$44.56,$45.79,$17,"$1,282,186"
"Dec 03, 2022",$46.40,$46.64,$44.50,$44.58,$69,"$1,248,362"
"Dec 02, 2022",$45.47,$54.60,$45.13,$46.44,$50,"$1,300,341"
"Dec 01, 2022",$46.08,$46.13,$44.96,$45.44,$48,"$1,272,204"
"Nov 30, 2022",$45.17,$47.49,$44.55,$46.08,"$1,950","$1,290,297"
"Nov 29, 2022",$43.90,$46.27,$43.64,$45.17,$398,"$1,264,830"
"Nov 28, 2022",$43.96,$44.17,$31.02,$43.91,$401,"$1,229,572"
"Nov 27, 2022",$43.50,$45.12,$43.34,$43.96,$933,"$1,230,825"
"Nov 26, 2022",$41.46,$44.33,$41.42,$43.53,$264,"$1,218,746"
"Nov 25, 2022",$42.93,$42.93,$41.11,$41.47,$15,"$1,161,078"
"Nov 24, 2022",$42.04,$43.13,$41.88,$42.93,$33,"$1,201,959"
"Nov 23, 2022",$40.84,$42.48,$40.57,$42.04,$325,"$1,177,074"
"Nov 22, 2022",$39.26,$40.93,$31.97,$40.85,$176,"$1,143,675"
"Nov 21, 2022",$40.86,$40.89,$38.36,$39.26,$168,"$1,099,210"
"Nov 20, 2022",$54.76,$55.25,$40.65,$40.87,$79,"$1,144,480"
"Nov 19, 2022",$43.37,$54.78,$39.95,$54.76,$0,"$1,533,302"
"Nov 18, 2022",$42.09,$44.46,$42.06,$43.40,$638,"$1,215,219"
"Nov 17, 2022",$43.36,$43.79,$41.66,$42.08,$12,"$1,178,326"
"Nov 16, 2022",$44.75,$54.20,$42.41,$43.39,$24,"$1,214,977"
"Nov 15, 2022",$44.56,$46.04,$27.97,$44.74,$329,"$1,252,665"
"Nov 14, 2022",$37.95,$46.66,$37.95,$44.56,$116,"$1,247,670"
"Nov 13, 2022",$45.42,$46.01,$37.95,$37.95,$0.98,"$1,062,675"
"Nov 12, 2022",$46.76,$49.93,$27.86,$45.39,$45,"$1,270,857"
"Nov 11, 2022",$46.87,$49.89,$43.89,$46.76,$40,"$1,309,227"
"Nov 10, 2022",$39.75,$48.59,$39.48,$46.92,$0,"$1,313,665"
"Nov 09, 2022",$47.59,$47.67,$38.87,$39.84,$264,"$1,115,543"
"Nov 08, 2022",$55.80,$56.11,$44.94,$47.59,$264,"$1,332,453"
"Nov 07, 2022",$55.75,$57.00,$54.94,$55.80,$1,"$1,562,466"
"Nov 06, 2022",$57.42,$57.75,$55.69,$55.77,$213,"$1,561,609"
"Nov 05, 2022",$57.67,$58.34,$57.31,$57.42,$291,"$1,607,835"
"Nov 04, 2022",$56.57,$58.72,$54.91,$57.72,"$1,602","$1,616,207"
"Nov 03, 2022",$68.00,$79.99,$52.81,$56.57,"$16,136","$1,584,085"
"Nov 02, 2022",$82.79,$83.77,$68.00,$68.00,$0,"$1,903,996"
"Nov 01, 2022",$82.18,$83.99,$67.99,$82.79,$84,"$2,317,993"
"Oct 31, 2022",$83.64,$85.28,$80.89,$82.18,$25,"$2,301,042"
"Oct 30, 2022",$84.69,$84.96,$77.26,$83.64,$7,"$2,341,850"
"Oct 29, 2022",$81.38,$86.79,$81.10,$84.69,$63,"$2,371,459"
"Oct 28, 2022",$79.14,$89.75,$77.90,$81.38,"$6,278","$2,278,731"
"Oct 27, 2022",$82.39,$82.92,$78.96,$79.14,$492,"$2,215,847"
"Oct 26, 2022",$76.12,$84.11,$76.07,$82.39,$197,"$2,307,015"
"Oct 25, 2022",$72.88,$81.73,$71.78,$76.20,"$2,092","$2,133,719"
"Oct 24, 2022",$74.74,$75.06,$71.84,$72.88,$459,"$2,040,618"
"Oct 23, 2022",$71.87,$75.03,$55.01,$74.79,$131,"$2,094,027"
"Oct 22, 2022",$70.88,$72.07,$70.53,$71.87,$0,"$2,012,471"
"Oct 21, 2022",$69.31,$71.15,$68.44,$70.89,$70,"$1,984,927"
"Oct 20, 2022",$69.30,$70.45,$55.00,$69.26,$575,"$1,939,251"
"Oct 19, 2022",$66.83,$70.39,$63.22,$69.34,$731,"$1,941,431"
"Oct 18, 2022",$73.31,$73.85,$64.81,$66.83,$267,"$1,871,163"
"Oct 17, 2022",$74.98,$75.22,$71.30,$73.31,"$3,860","$2,052,577"
"Oct 16, 2022",$74.15,$75.96,$74.14,$74.98,$449,"$2,099,565"
"Oct 15, 2022",$75.15,$75.64,$72.03,$74.15,$80,"$2,076,221"
"Oct 14, 2022",$74.62,$80.31,$74.41,$75.15,"$3,658","$2,104,194"
"Oct 13, 2022",$73.02,$75.13,$69.53,$74.62,$179,"$2,089,336"
"Oct 12, 2022",$79.49,$80.38,$72.79,$73.02,"$5,352","$2,044,576"
"Oct 11, 2022",$72.37,$80.58,$71.35,$79.49,"$7,280","$2,225,708"
"Oct 10, 2022",$76.70,$77.45,$72.32,$72.37,"$3,044","$2,026,342"
"Oct 09, 2022",$74.71,$76.73,$0.0006488,$76.70,"$1,221","$2,147,620"
"Oct 08, 2022",$75.31,$84.26,$73.89,$74.69,$1,"$2,091,354"
"Oct 07, 2022",$75.43,$78.69,$0.0006372,$75.28,"$14,232","$2,107,877"
"Oct 06, 2022",$75.70,$77.24,$75.30,$75.40,"$7,200","$2,111,326"
"Oct 05, 2022",$77.19,$77.22,$73.87,$75.66,"$7,343","$2,118,378"
"Oct 04, 2022",$74.95,$77.83,$74.85,$77.21,"$9,111","$2,161,977"
"Oct 03, 2022",$72.21,$75.11,$71.79,$74.94,"$6,258","$2,098,307"
"Oct 02, 2022",$74.08,$89.99,$72.08,$72.21,"$8,745","$2,021,768"
"Oct 01, 2022",$74.01,$75.96,$66.44,$74.06,"$12,133","$2,073,640"
"Sep 30, 2022",$76.07,$77.89,$73.57,$74.02,"$9,074","$2,072,652"
