Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2702,$0.2748,$0.27,$0.2721,"$1,333,030","$24,655,993"
"Dec 30, 2022",$0.2725,$0.2745,$0.268,$0.2703,"$1,387,037","$24,492,847"
"Dec 29, 2022",$0.2707,$0.2744,$0.2697,$0.2725,"$1,535,957","$24,691,440"
"Dec 28, 2022",$0.2767,$0.2774,$0.2694,$0.2707,"$1,558,825","$24,530,145"
"Dec 27, 2022",$0.2858,$0.2859,$0.2741,$0.2766,"$1,719,065","$25,060,812"
"Dec 26, 2022",$0.2811,$0.2876,$0.2805,$0.2859,"$1,526,061","$25,908,265"
"Dec 25, 2022",$0.289,$0.2897,$0.2809,$0.2811,"$1,588,899","$25,467,771"
"Dec 24, 2022",$0.2835,$0.3018,$0.2834,$0.2891,"$2,768,879","$26,199,555"
"Dec 23, 2022",$0.2811,$0.2849,$0.2799,$0.2834,"$1,359,757","$25,680,952"
"Dec 22, 2022",$0.2795,$0.2879,$0.2737,$0.2812,"$1,627,549","$25,476,375"
"Dec 21, 2022",$0.2844,$0.2862,$0.2784,$0.2798,"$1,411,510","$25,355,013"
"Dec 20, 2022",$0.2701,$0.2907,$0.2692,$0.2844,"$1,840,454","$25,769,395"
"Dec 19, 2022",$0.2855,$0.2865,$0.2648,$0.27,"$1,790,566","$24,469,140"
"Dec 18, 2022",$0.2914,$0.2919,$0.2839,$0.2855,"$1,479,552","$25,871,462"
"Dec 17, 2022",$0.2795,$0.2968,$0.2728,$0.2914,"$3,614,508","$26,406,139"
"Dec 16, 2022",$0.3011,$0.3039,$0.2788,$0.2797,"$2,068,893","$25,345,683"
"Dec 15, 2022",$0.316,$0.3161,$0.301,$0.301,"$1,626,221","$27,276,191"
"Dec 14, 2022",$0.3178,$0.3206,$0.314,$0.316,"$1,359,105","$28,631,398"
"Dec 13, 2022",$0.3132,$0.3215,$0.3077,$0.3178,"$2,075,454","$28,796,918"
"Dec 12, 2022",$0.3226,$0.3227,$0.3101,$0.3132,"$1,919,894","$28,376,887"
"Dec 11, 2022",$0.3287,$0.3345,$0.3226,$0.3226,"$1,678,546","$29,233,456"
"Dec 10, 2022",$0.3289,$0.3326,$0.3263,$0.3287,"$1,910,781","$29,785,432"
"Dec 09, 2022",$0.3301,$0.3388,$0.3278,$0.329,"$1,951,447","$29,808,258"
"Dec 08, 2022",$0.3281,$0.3308,$0.3228,$0.3301,"$1,729,235","$29,909,281"
"Dec 07, 2022",$0.3431,$0.3462,$0.3277,$0.3281,"$1,589,833","$28,923,985"
"Dec 06, 2022",$0.3361,$0.3462,$0.3342,$0.3431,"$1,707,032","$30,247,241"
"Dec 05, 2022",$0.345,$0.3494,$0.3352,$0.3361,"$2,053,171","$29,631,769"
"Dec 04, 2022",$0.3376,$0.3481,$0.3376,$0.345,"$1,866,153","$30,414,346"
"Dec 03, 2022",$0.3478,$0.3507,$0.3373,$0.3376,"$2,369,434","$29,763,487"
"Dec 02, 2022",$0.3562,$0.3638,$0.3447,$0.3477,"$3,362,161","$30,658,685"
"Dec 01, 2022",$0.352,$0.3743,$0.3437,$0.3562,"$5,985,544","$31,400,312"
"Nov 30, 2022",$0.3326,$0.3637,$0.3315,$0.3527,"$6,129,859","$31,097,638"
"Nov 29, 2022",$0.3353,$0.364,$0.327,$0.3327,"$7,431,427","$29,330,957"
"Nov 28, 2022",$0.3161,$0.3493,$0.3097,$0.3353,"$10,503,985","$29,561,331"
"Nov 27, 2022",$0.3186,$0.3367,$0.3161,$0.3161,"$3,068,088","$27,871,201"
"Nov 26, 2022",$0.3107,$0.3204,$0.3099,$0.3186,"$2,067,410","$28,090,774"
"Nov 25, 2022",$0.3204,$0.3204,$0.3064,$0.3107,"$1,902,035","$27,390,670"
"Nov 24, 2022",$0.3273,$0.329,$0.3135,$0.3203,"$2,027,753","$28,234,498"
"Nov 23, 2022",$0.3154,$0.3278,$0.3134,$0.3273,"$3,169,528","$28,858,081"
"Nov 22, 2022",$0.3178,$0.3347,$0.3032,$0.3153,"$8,180,819","$27,796,856"
"Nov 21, 2022",$0.2969,$0.3675,$0.2842,$0.3177,"$19,765,136","$28,007,778"
"Nov 20, 2022",$0.3026,$0.3111,$0.2963,$0.297,"$2,386,361","$26,188,054"
"Nov 19, 2022",$0.3057,$0.3182,$0.3001,$0.3018,"$2,189,911","$26,609,950"
"Nov 18, 2022",$0.2994,$0.3072,$0.2973,$0.3059,"$1,332,293","$26,966,945"
"Nov 17, 2022",$0.3074,$0.3108,$0.2976,$0.2994,"$1,185,239","$26,392,114"
"Nov 16, 2022",$0.3004,$0.3125,$0.2988,$0.3075,"$1,907,434","$27,106,444"
"Nov 15, 2022",$0.2952,$0.3133,$0.2947,$0.2998,"$1,650,485","$26,429,521"
"Nov 14, 2022",$0.2952,$0.2986,$0.2797,$0.2951,"$1,889,626","$26,018,157"
"Nov 13, 2022",$0.3047,$0.3077,$0.2877,$0.2952,"$2,604,767","$26,021,711"
"Nov 12, 2022",$0.2971,$0.3232,$0.2856,$0.3053,"$3,427,351","$26,914,331"
"Nov 11, 2022",$0.3157,$0.3241,$0.289,$0.297,"$2,977,619","$26,188,117"
