Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1303,$0.1306,$0.1299,$0.1304,"$6,405,579","$4,238,495"
"Dec 30, 2022",$0.1302,$0.1307,$0.13,$0.1303,"$6,297,274","$4,235,893"
"Dec 29, 2022",$0.1304,$0.1305,$0.1301,$0.1302,"$6,318,011","$4,232,790"
"Dec 28, 2022",$0.1303,$0.1308,$0.1301,$0.1303,"$3,467,822","$4,233,881"
"Dec 27, 2022",$0.1303,$0.1309,$0.13,$0.1305,"$4,025,850","$4,242,977"
"Dec 26, 2022",$0.1303,$0.1307,$0.1299,$0.1304,"$6,210,505","$4,237,337"
"Dec 25, 2022",$0.1305,$0.1307,$0.13,$0.1303,"$4,803,777","$4,236,709"
"Dec 24, 2022",$0.1292,$0.1307,$0.1291,$0.1305,"$5,272","$4,241,373"
"Dec 23, 2022",$0.1289,$0.1303,$0.1286,$0.1292,"$10,553","$4,199,973"
"Dec 22, 2022",$0.1299,$0.1303,$0.1286,$0.1289,"$13,079","$4,189,322"
"Dec 21, 2022",$0.1295,$0.1304,$0.1295,$0.1299,"$8,281","$4,221,851"
"Dec 20, 2022",$0.1308,$0.1308,$0.1295,$0.1295,"$313,868","$4,209,885"
"Dec 19, 2022",$0.1304,$0.1318,$0.13,$0.1307,"$287,745","$4,247,982"
"Dec 18, 2022",$0.1303,$0.1313,$0.13,$0.1304,"$177,992","$2,836,590"
"Dec 17, 2022",$0.1303,$0.1327,$0.13,$0.1303,"$1,205,185","$2,833,932"
"Dec 16, 2022",$0.1306,$0.1308,$0.1297,$0.1303,"$14,733","$2,835,090"
"Dec 15, 2022",$0.1305,$0.1308,$0.13,$0.1306,"$90,798","$2,842,008"
"Dec 14, 2022",$0.1301,$0.1312,$0.1298,$0.1305,"$26,141","$2,838,468"
"Dec 13, 2022",$0.1299,$0.1309,$0.1298,$0.1301,"$33,057","$2,829,431"
"Dec 12, 2022",$0.1302,$0.1309,$0.1282,$0.1299,"$70,749","$2,826,772"
"Dec 11, 2022",$0.1308,$0.1309,$0.13,$0.1302,"$558,607","$2,833,149"
"Dec 10, 2022",$0.1308,$0.1311,$0.13,$0.1308,"$402,069","$2,844,321"
"Dec 09, 2022",$0.1305,$0.1308,$0.1301,$0.1308,"$5,126","$2,845,738"
"Dec 08, 2022",$0.1304,$0.1309,$0.1301,$0.1305,"$40,582","$2,839,615"
"Dec 07, 2022",$0.1301,$0.1309,$0.13,$0.1304,"$9,598","$2,836,308"
"Dec 06, 2022",$0.1305,$0.1307,$0.13,$0.1301,"$366,250","$2,829,311"
"Dec 05, 2022",$0.1307,$0.1308,$0.1299,$0.1305,"$1,029,640","$2,839,798"
"Dec 04, 2022",$0.1303,$0.1309,$0.1301,$0.1307,"$4,960","$2,842,868"
"Dec 03, 2022",$0.1312,$0.1314,$0.13,$0.1303,"$555,812","$2,834,058"
"Dec 02, 2022",$0.1305,$0.1319,$0.1301,$0.1312,"$5,320","$2,853,784"
"Dec 01, 2022",$0.1305,$0.1319,$0.13,$0.1305,"$4,814","$2,839,835"
"Nov 30, 2022",$0.1301,$0.1321,$0.1299,$0.1305,"$40,253","$2,839,702"
"Nov 29, 2022",$0.1304,$0.1308,$0.1271,$0.1301,"$9,443","$2,829,945"
"Nov 28, 2022",$0.1304,$0.131,$0.1299,$0.1304,"$21,883","$2,836,657"
"Nov 27, 2022",$0.1301,$0.1309,$0.1298,$0.1304,"$11,301","$2,837,549"
"Nov 26, 2022",$0.1301,$0.1305,$0.1297,$0.1301,"$15,020","$2,829,971"
"Nov 25, 2022",$0.1303,$0.1308,$0.1299,$0.1302,"$1,481,350","$2,831,695"
"Nov 24, 2022",$0.13,$0.1308,$0.1298,$0.1303,"$743,384","$2,835,044"
"Nov 23, 2022",$0.1296,$0.1335,$0.1249,$0.1301,"$85,189","$2,830,083"
"Nov 22, 2022",$0.1304,$0.1307,$0.128,$0.1296,"$33,143","$2,819,497"
"Nov 21, 2022",$0.1304,$0.1305,$0.1296,$0.1304,"$194,586","$2,836,065"
"Nov 20, 2022",$0.1311,$0.1312,$0.1298,$0.1304,"$420,572","$2,836,518"
"Nov 19, 2022",$0.1302,$0.1346,$0.1299,$0.1311,"$187,987","$2,852,825"
"Nov 18, 2022",$0.1302,$0.1307,$0.1298,$0.1302,"$20,496","$2,831,305"
"Nov 17, 2022",$0.13,$0.1316,$0.1297,$0.1302,"$886,207","$2,832,351"
"Nov 16, 2022",$0.1303,$0.1306,$0.1298,$0.13,"$56,653","$2,828,716"
"Nov 15, 2022",$0.1307,$0.1314,$0.1296,$0.1303,"$278,958","$2,834,498"
"Nov 14, 2022",$0.1296,$0.135,$0.128,$0.1307,"$437,241","$2,844,098"
"Nov 13, 2022",$0.131,$0.1315,$0.1275,$0.1297,"$465,883","$2,820,808"
"Nov 12, 2022",$0.1292,$0.1313,$0.1281,$0.131,"$886,025","$2,849,090"
"Nov 11, 2022",$0.1287,$0.1305,$0.1277,$0.1292,"$610,641","$2,811,176"
"Nov 10, 2022",$0.1276,$0.1326,$0.1152,$0.1287,"$53,323","$2,800,551"
"Nov 09, 2022",$0.1306,$0.1313,$0.1275,$0.1276,"$246,607","$2,774,790"
"Nov 08, 2022",$0.1294,$0.1329,$0.1293,$0.1306,"$1,196,297","$2,841,350"
"Nov 07, 2022",$0.1314,$0.1323,$0.129,$0.13,"$150,528","$2,827,047"
"Nov 06, 2022",$0.1301,$0.132,$0.1297,$0.1314,"$41,180","$2,859,080"
"Nov 05, 2022",$0.1294,$0.1328,$0.1291,$0.1311,"$140,375","$2,851,562"
"Nov 04, 2022",$0.1291,$0.13,$0.1282,$0.1294,"$634,754","$2,814,026"
"Nov 03, 2022",$0.1307,$0.1332,$0.1286,$0.1292,"$616,199","$2,810,061"
"Nov 02, 2022",$0.1299,$0.1308,$0.1298,$0.1306,"$357,650","$2,841,992"
"Nov 01, 2022",$0.1307,$0.1315,$0.1288,$0.1299,"$47,454","$2,826,218"
"Oct 31, 2022",$0.1309,$0.1317,$0.129,$0.1307,"$469,212","$2,842,839"
"Oct 30, 2022",$0.1298,$0.1318,$0.1296,$0.1309,"$252,320","$2,847,926"
"Oct 29, 2022",$0.1627,$0.1646,$0.1254,$0.1298,"$81,589","$2,823,860"
"Oct 28, 2022",$0.1506,$0.1654,$0.1299,$0.163,"$44,439","$3,545,504"
"Oct 27, 2022",$0.1774,$0.1779,$0.1407,$0.1506,"$56,560","$3,275,975"
"Oct 26, 2022",$0.2107,$0.2107,$0.162,$0.1774,"$2,903,117","$3,858,818"
"Oct 25, 2022",$0.2301,$0.2302,$0.199,$0.2107,"$2,070,718","$4,584,103"
"Oct 24, 2022",$0.23,$0.2428,$0.2255,$0.2301,"$5,234,617","$5,005,411"
"Oct 23, 2022",$0.1898,$0.2324,$0.1898,$0.23,"$6,181,218","$5,004,185"
"Oct 22, 2022",$0.1705,$0.1943,$0.1655,$0.1898,"$5,684,471","$4,129,106"
"Oct 21, 2022",$0.151,$0.1819,$0.1016,$0.1705,"$7,090,547","$3,708,415"
"Oct 20, 2022",$0.1009,$0.1579,$0.1001,$0.151,"$7,158,756","$3,284,733"
"Oct 19, 2022",$0.1572,$0.1572,$0.09552,$0.1009,"$3,792,892","$2,194,122"
"Oct 18, 2022",$0.291,$0.291,$0.1393,$0.157,"$316,481","$3,415,434"
"Oct 17, 2022",$0.2616,$0.3,$0.26,$0.291,"$10,694,421","$6,330,633"
"Oct 16, 2022",$0.2303,$0.2699,$0.2302,$0.2616,"$5,212,477","$5,690,323"
"Oct 15, 2022",$0.2001,$0.245,$0.2,$0.2303,"$1,054,483","$5,008,870"
"Oct 14, 2022",$0.1818,$0.2228,$0.1798,$0.2001,"$9,792,211","$4,352,502"
"Oct 13, 2022",$0.1603,$0.19,$0.1601,$0.1818,"$7,991,707","$3,954,729"
"Oct 12, 2022",$0.1407,$0.168,$0.1348,$0.1603,"$5,491,607","$3,487,263"
"Oct 11, 2022",$0.1191,$0.1499,$0.1173,$0.1407,"$7,180,337","$3,060,141"
