Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.007704,$0.007835,$0.00769,$0.00771,"$2,047,590","$122,682,150"
"Dec 30, 2022",$0.007637,$0.007742,$0.007604,$0.007704,"$2,201,895","$122,565,069"
"Dec 29, 2022",$0.007597,$0.007704,$0.007524,$0.007639,"$2,664,457","$121,521,823"
"Dec 28, 2022",$0.007673,$0.007773,$0.0075,$0.007597,"$3,623,368","$120,833,680"
"Dec 27, 2022",$0.007738,$0.007755,$0.007486,$0.007671,"$2,189,164","$121,982,955"
"Dec 26, 2022",$0.007641,$0.007744,$0.007585,$0.00774,"$2,056,898","$123,066,144"
"Dec 25, 2022",$0.007816,$0.007892,$0.00762,$0.007646,"$2,664,719","$121,557,877"
"Dec 24, 2022",$0.007928,$0.008039,$0.007808,$0.007816,"$2,389,427","$124,241,918"
"Dec 23, 2022",$0.008128,$0.008157,$0.007918,$0.007927,"$3,036,649","$125,981,780"
"Dec 22, 2022",$0.008121,$0.008206,$0.007916,$0.008123,"$3,893,842","$129,072,436"
"Dec 21, 2022",$0.008336,$0.008371,$0.008054,$0.008119,"$3,099,306","$128,999,016"
"Dec 20, 2022",$0.008147,$0.00854,$0.008038,$0.008343,"$3,889,271","$132,529,937"
"Dec 19, 2022",$0.008131,$0.008591,$0.007863,$0.008142,"$5,727,756","$129,320,233"
"Dec 18, 2022",$0.008325,$0.008329,$0.007985,$0.008125,"$2,896,036","$129,036,327"
"Dec 17, 2022",$0.007905,$0.008566,$0.007829,$0.008329,"$5,828,005","$132,248,175"
"Dec 16, 2022",$0.008686,$0.00917,$0.007856,$0.007908,"$10,174,968","$125,550,763"
"Dec 15, 2022",$0.009345,$0.009345,$0.008616,$0.008686,"$15,496,009","$137,881,308"
"Dec 14, 2022",$0.007971,$0.01067,$0.007971,$0.00935,"$45,746,442","$148,401,061"
"Dec 13, 2022",$0.007741,$0.009921,$0.007691,$0.007969,"$23,498,331","$126,460,055"
"Dec 12, 2022",$0.007739,$0.007822,$0.007508,$0.007742,"$2,244,749","$122,832,933"
"Dec 11, 2022",$0.007633,$0.007915,$0.007622,$0.007739,"$2,881,775","$122,774,689"
"Dec 10, 2022",$0.007513,$0.007789,$0.007492,$0.007633,"$3,541,646","$121,063,955"
"Dec 09, 2022",$0.00744,$0.007586,$0.007428,$0.007511,"$2,263,130","$119,118,454"
"Dec 08, 2022",$0.007345,$0.007469,$0.007302,$0.007442,"$1,846,865","$118,004,975"
"Dec 07, 2022",$0.007643,$0.007648,$0.007282,$0.007344,"$2,469,504","$116,438,785"
"Dec 06, 2022",$0.007562,$0.007789,$0.007546,$0.007643,"$2,490,787","$121,160,171"
"Dec 05, 2022",$0.00776,$0.00786,$0.007504,$0.00756,"$2,511,891","$119,818,783"
"Dec 04, 2022",$0.007665,$0.007833,$0.007591,$0.007761,"$3,775,518","$122,991,863"
"Dec 03, 2022",$0.007824,$0.007897,$0.007644,$0.007665,"$2,671,067","$121,452,120"
"Dec 02, 2022",$0.007707,$0.007847,$0.007671,$0.007828,"$2,272,090","$124,019,642"
"Dec 01, 2022",$0.007707,$0.007764,$0.007596,$0.007706,"$2,234,763","$122,057,675"
"Nov 30, 2022",$0.007366,$0.007717,$0.007361,$0.007707,"$2,256,766","$122,063,986"
"Nov 29, 2022",$0.007271,$0.007646,$0.00722,$0.007366,"$1,993,782","$116,645,037"
"Nov 28, 2022",$0.007586,$0.00763,$0.00717,$0.007269,"$3,401,955","$115,091,369"
"Nov 27, 2022",$0.007388,$0.007773,$0.007386,$0.007586,"$2,384,253","$120,088,902"
"Nov 26, 2022",$0.007504,$0.007616,$0.007356,$0.007389,"$2,383,377","$116,950,476"
"Nov 25, 2022",$0.007387,$0.007685,$0.007208,$0.00751,"$3,865,665","$118,840,502"
"Nov 24, 2022",$0.007356,$0.007445,$0.007162,$0.007395,"$3,151,617","$117,008,398"
"Nov 23, 2022",$0.006743,$0.007378,$0.006695,$0.007354,"$4,269,567","$116,342,647"
"Nov 22, 2022",$0.006661,$0.006811,$0.006532,$0.006743,"$2,164,153","$106,665,943"
"Nov 21, 2022",$0.006707,$0.006766,$0.00653,$0.006661,"$2,764,682","$105,350,552"
"Nov 20, 2022",$0.007088,$0.007165,$0.006695,$0.006704,"$2,389,051","$106,005,663"
"Nov 19, 2022",$0.006935,$0.007145,$0.006886,$0.007088,"$2,091,115","$112,071,995"
"Nov 18, 2022",$0.006888,$0.007167,$0.006847,$0.006938,"$2,552,289","$109,678,019"
"Nov 17, 2022",$0.006922,$0.006979,$0.006838,$0.006888,"$2,308,868","$108,874,300"
"Nov 16, 2022",$0.007044,$0.007156,$0.006799,$0.006921,"$3,110,090","$109,368,660"
"Nov 15, 2022",$0.006807,$0.007248,$0.006783,$0.007046,"$1,747,306","$111,325,246"
"Nov 14, 2022",$0.006769,$0.006912,$0.006305,$0.006803,"$2,574,819","$107,473,849"
"Nov 13, 2022",$0.00695,$0.007086,$0.006682,$0.006769,"$2,275,104","$106,922,557"
"Nov 12, 2022",$0.007284,$0.007317,$0.006924,$0.006949,"$1,504,611","$109,744,418"
