Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.00232,$0.002337,$0.002218,$0.002282,"$1,921,399","$6,976,531"
"Dec 30, 2022",$0.002324,$0.002423,$0.002275,$0.00232,"$2,079,617","$7,091,079"
"Dec 29, 2022",$0.002245,$0.002642,$0.002237,$0.002327,"$3,012,427","$7,113,052"
"Dec 28, 2022",$0.002647,$0.002671,$0.002214,$0.002247,"$3,112,728","$6,867,662"
"Dec 27, 2022",$0.002671,$0.002708,$0.002546,$0.002648,"$1,822,164","$8,093,247"
"Dec 26, 2022",$0.002784,$0.002802,$0.002643,$0.002671,"$1,952,422","$8,163,537"
"Dec 25, 2022",$0.002803,$0.002871,$0.00276,$0.002784,"$1,718,105","$8,509,551"
"Dec 24, 2022",$0.002841,$0.002981,$0.002755,$0.002805,"$2,010,657","$8,573,115"
"Dec 23, 2022",$0.002764,$0.002958,$0.002713,$0.002841,"$2,254,525","$8,683,546"
"Dec 22, 2022",$0.002786,$0.002983,$0.00268,$0.002764,"$2,360,493","$8,448,699"
"Dec 21, 2022",$0.002818,$0.002833,$0.002711,$0.002787,"$1,907,514","$8,517,284"
"Dec 20, 2022",$0.002722,$0.003033,$0.002679,$0.002819,"$2,013,186","$8,616,901"
"Dec 19, 2022",$0.002987,$0.003041,$0.002632,$0.002721,"$1,963,899","$8,317,921"
"Dec 18, 2022",$0.003022,$0.003348,$0.002933,$0.002986,"$1,896,508","$9,128,456"
"Dec 17, 2022",$0.002594,$0.003443,$0.002517,$0.003024,"$3,344,861","$9,243,742"
"Dec 16, 2022",$0.0029,$0.003033,$0.002592,$0.002592,"$2,065,485","$7,921,720"
"Dec 15, 2022",$0.003027,$0.003088,$0.002833,$0.0029,"$1,992,844","$8,864,818"
"Dec 14, 2022",$0.003144,$0.003295,$0.003011,$0.003027,"$2,079,455","$9,253,241"
"Dec 13, 2022",$0.00371,$0.003713,$0.00314,$0.003143,"$1,853,628","$4,300,658"
"Dec 12, 2022",$0.003327,$0.003716,$0.00312,$0.00371,"$1,840,213","$5,151,559"
"Dec 11, 2022",$0.003575,$0.00363,$0.003296,$0.003327,"$2,114,665","$4,619,888"
"Dec 10, 2022",$0.00364,$0.003711,$0.00354,$0.003573,"$2,188,962","$4,961,108"
"Dec 09, 2022",$0.003748,$0.003751,$0.003622,$0.003642,"$2,175,402","$5,056,973"
"Dec 08, 2022",$0.003852,$0.003867,$0.003559,$0.003747,"$4,466,096","$5,203,458"
"Dec 07, 2022",$0.003991,$0.004706,$0.00378,$0.003851,"$2,683,322","$5,347,320"
"Dec 06, 2022",$0.004775,$0.004803,$0.003511,$0.003993,"$3,528,674","$5,544,390"
"Dec 05, 2022",$0.004205,$0.004779,$0.003851,$0.004775,"$4,561,973","$6,630,605"
"Dec 04, 2022",$0.004726,$0.005037,$0.003962,$0.004205,"$5,206,069","$5,838,891"
"Dec 03, 2022",$0.004674,$0.004895,$0.004548,$0.004722,"$2,462,710","$6,556,359"
"Dec 02, 2022",$0.004687,$0.005049,$0.004207,$0.004674,"$2,640,149","$6,490,574"
"Dec 01, 2022",$0.004928,$0.00495,$0.004241,$0.004684,"$3,653,633","$6,503,686"
"Nov 30, 2022",$0.004664,$0.007506,$0.004436,$0.004932,"$3,800,381","$6,848,232"
"Nov 29, 2022",$0.00472,$0.005689,$0.004226,$0.004664,"$3,987,616","$6,476,258"
"Nov 28, 2022",$0.004741,$0.005912,$0.004598,$0.00472,"$4,461,126","$6,554,422"
"Nov 27, 2022",$0.005179,$0.006362,$0.004736,$0.00474,"$3,906,836","$6,582,308"
"Nov 26, 2022",$0.005157,$0.006756,$0.004968,$0.005181,"$3,954,270","$7,194,133"
"Nov 25, 2022",$0.005175,$0.006579,$0.00505,$0.00516,"$4,450,599","$7,165,296"
"Nov 24, 2022",$0.005871,$0.006939,$0.00512,$0.005171,"$5,428,160","$7,180,382"
"Nov 23, 2022",$0.005794,$0.008448,$0.004601,$0.005871,"$7,359,119","$8,151,944"
"Nov 22, 2022",$0.005113,$0.006159,$0.00491,$0.005795,"$8,827,561","$8,046,670"
"Nov 21, 2022",$0.005775,$0.00632,$0.005113,$0.005113,"$10,384,179","$7,099,387"
"Nov 20, 2022",$0.006864,$0.006983,$0.005617,$0.005766,"$13,923,019","$8,006,352"
"Nov 19, 2022",$0.006774,$0.007642,$0.006333,$0.006857,"$15,954,934","$9,520,883"
"Nov 18, 2022",$0.00542,$0.006873,$0.005391,$0.006774,"$12,567,326","$9,405,625"
"Nov 17, 2022",$0.005631,$0.006429,$0.005348,$0.005419,"$6,129,151","$7,524,369"
"Nov 16, 2022",$0.006016,$0.007914,$0.005554,$0.005634,"$8,704,603","$7,823,470"
"Nov 15, 2022",$0.005239,$0.007128,$0.004978,$0.006013,"$10,725,619","$8,349,132"
"Nov 14, 2022",$0.004979,$0.00549,$0.004704,$0.005249,"$6,412,165","$7,288,434"
"Nov 13, 2022",$0.004907,$0.005758,$0.004547,$0.004986,"$6,323,222","$6,922,570"
"Nov 12, 2022",$0.005741,$0.006911,$0.004884,$0.004903,"$4,209,217","$6,807,969"
"Nov 11, 2022",$0.006078,$0.007136,$0.005244,$0.005745,"$6,178,460","$7,976,906"
"Nov 10, 2022",$0.005258,$0.006853,$0.004948,$0.006083,"$8,384,732","$8,447,140"
"Nov 09, 2022",$0.006734,$0.007947,$0.004056,$0.005271,"$12,393,010","$7,318,469"
"Nov 08, 2022",$0.007962,$0.009459,$0.004218,$0.006734,"$22,721,696","$9,350,791"
"Nov 07, 2022",$0.005945,$0.008775,$0.005631,$0.007986,"$15,393,805","$11,103,549"
"Nov 06, 2022",$0.005581,$0.006817,$0.004925,$0.005908,"$6,646,524","$8,214,939"
"Nov 05, 2022",$0.005841,$0.006306,$0.004825,$0.005579,"$4,398,161","$7,757,427"
"Nov 04, 2022",$0.005722,$0.006717,$0.005372,$0.005843,"$7,764,650","$8,124,292"
"Nov 03, 2022",$0.004951,$0.005726,$0.004793,$0.005714,"$7,042,066","$7,944,460"
"Nov 02, 2022",$0.004465,$0.005581,$0.004382,$0.004941,"$8,067,432","$6,870,379"
"Nov 01, 2022",$0.004838,$0.005168,$0.004163,$0.004466,"$4,145,160","$6,210,029"
"Oct 31, 2022",$0.005392,$0.006379,$0.004393,$0.00485,"$10,602,731","$6,743,471"
"Oct 30, 2022",$0.005311,$0.005928,$0.004796,$0.005392,"$6,158,865","$7,496,855"
"Oct 29, 2022",$0.00581,$0.00581,$0.004513,$0.005313,"$6,723,267","$7,387,714"
"Oct 28, 2022",$0.005868,$0.006619,$0.005458,$0.005816,"$5,190,297","$8,086,855"
"Oct 27, 2022",$0.007134,$0.007211,$0.005854,$0.005866,"$4,010,414","$8,156,172"
"Oct 26, 2022",$0.006507,$0.007361,$0.005155,$0.007144,"$4,792,526","$9,933,403"
"Oct 25, 2022",$0.008197,$0.009306,$0.006157,$0.006507,"$10,684,469","$9,046,981"
"Oct 24, 2022",$0.005711,$0.008451,$0.005561,$0.008206,"$22,128,379","$11,409,035"
"Oct 23, 2022",$0.006317,$0.006934,$0.005554,$0.005717,"$14,556,758","$7,948,929"
"Oct 22, 2022",$0.004809,$0.006339,$0.004241,$0.006277,"$11,713,459","$8,727,340"
"Oct 21, 2022",$0.005285,$0.005648,$0.004759,$0.004809,"$5,188,684","$6,686,242"
"Oct 20, 2022",$0.006505,$0.006555,$0.005056,$0.005273,"$6,334,443","$7,332,154"
"Oct 19, 2022",$0.007232,$0.007239,$0.006489,$0.006505,"$3,695,711","$9,032,836"
"Oct 18, 2022",$0.007552,$0.008081,$0.006959,$0.007227,"$4,351,721","$10,034,348"
"Oct 17, 2022",$0.006339,$0.009182,$0.006124,$0.007554,"$12,911,573","$10,489,376"
"Oct 16, 2022",$0.006967,$0.007478,$0.00609,$0.006339,"$5,641,060","$8,801,707"
"Oct 15, 2022",$0.007161,$0.009531,$0.006716,$0.006977,"$9,365,474","$9,687,846"
"Oct 14, 2022",$0.009669,$0.01091,$0.00684,$0.007139,"$12,301,195","$9,912,248"
"Oct 13, 2022",$0.01159,$0.01441,$0.009154,$0.00967,"$21,046,907","$13,427,280"
"Oct 12, 2022",$0.01281,$0.01635,$0.01016,$0.0116,"$30,095,156","$16,113,051"
"Oct 11, 2022",$0.006255,$0.01732,$0.005797,$0.01278,"$33,941,508","$17,742,589"
"Oct 10, 2022",$0.004585,$0.006821,$0.00417,$0.006229,"$7,792,699","$8,649,557"
"Oct 09, 2022",$0.0058,$0.005859,$0.004088,$0.004584,"$9,029,476","$6,364,847"
"Oct 08, 2022",$0.00336,$0.005833,$0.003154,$0.005833,"$11,935,661","$8,099,937"
"Oct 07, 2022",$0.002679,$0.003493,$0.002679,$0.00336,"$2,813,284","$4,665,535"
"Oct 06, 2022",$0.002482,$0.002962,$0.002282,$0.002679,"$849,958","$3,719,745"
"Oct 05, 2022",$0.002903,$0.003042,$0.002481,$0.002481,"$1,138,794","$3,445,135"
"Oct 04, 2022",$0.0027,$0.003437,$0.002543,$0.002889,"$1,791,706","$4,011,589"
"Oct 03, 2022",$0.002131,$0.003694,$0.002123,$0.002695,"$3,470,953","$3,741,693"
"Oct 02, 2022",$0.002078,$0.002687,$0.001996,$0.002146,"$415,991","$2,980,214"
"Oct 01, 2022",$0.002074,$0.002562,$0.001971,$0.002081,"$278,749","$2,889,458"
"Sep 30, 2022",$0.002011,$0.002571,$0.001878,$0.002074,"$453,984","$2,880,274"
"Sep 29, 2022",$0.001894,$0.002271,$0.001861,$0.002014,"$958,235","$2,796,025"
"Sep 28, 2022",$0.001904,$0.001924,$0.001791,$0.001893,"$437,698","$2,628,870"
"Sep 27, 2022",$0.001932,$0.002641,$0.001809,$0.001925,"$602,976","$2,673,010"
"Sep 26, 2022",$0.001971,$0.002013,$0.001727,$0.001932,"$658,365","$2,682,152"
"Sep 25, 2022",$0.001907,$0.002153,$0.001749,$0.001971,"$304,531","$2,736,954"
"Sep 24, 2022",$0.001795,$0.001946,$0.001691,$0.001907,"$309,224","$2,647,668"
"Sep 23, 2022",$0.001456,$0.001942,$0.001389,$0.001792,"$719,825","$2,487,667"
"Sep 22, 2022",$0.001755,$0.001776,$0.001388,$0.001456,"$478,111","$2,021,466"
"Sep 21, 2022",$0.001739,$0.002071,$0.001695,$0.001754,"$419,620","$2,435,978"
"Sep 20, 2022",$0.002115,$0.002159,$0.001707,$0.00174,"$611,404","$2,415,735"
