Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.00001797,$0.00001825,$0.00001772,$0.00001808,"$17,759","$1,818,539"
"Dec 30, 2022",$0.00001805,$0.00001812,$0.00001776,$0.00001793,"$14,043","$1,803,732"
"Dec 29, 2022",$0.00001803,$0.00001828,$0.00001788,$0.00001805,"$5,654","$1,815,787"
"Dec 28, 2022",$0.00001935,$0.0000195,$0.00001801,$0.00001803,"$27,474","$1,813,861"
"Dec 27, 2022",$0.00001834,$0.00001952,$0.00001825,$0.00001932,"$6,132","$1,943,182"
"Dec 26, 2022",$0.00001891,$0.00001915,$0.00001824,$0.00001843,"$10,044","$1,853,756"
"Dec 25, 2022",$0.00001892,$0.00001905,$0.00001872,$0.00001893,"$13,221","$1,903,383"
"Dec 24, 2022",$0.00001891,$0.00002013,$0.00001867,$0.00001892,"$22,262","$1,902,884"
"Dec 23, 2022",$0.00001914,$0.00001934,$0.0000189,$0.00001891,"$18,785","$1,902,073"
"Dec 22, 2022",$0.00001804,$0.0000193,$0.00001783,$0.00001914,"$14,954","$1,925,289"
"Dec 21, 2022",$0.00001946,$0.00001952,$0.00001786,$0.00001804,"$10,681","$1,814,806"
"Dec 20, 2022",$0.00001839,$0.00001955,$0.00001835,$0.00001953,"$11,470","$1,964,127"
"Dec 19, 2022",$0.00001976,$0.00001994,$0.00001823,$0.00001839,"$7,583","$1,849,157"
"Dec 18, 2022",$0.00002027,$0.00002103,$0.0000184,$0.00001976,"$7,155","$1,987,118"
"Dec 17, 2022",$0.00001885,$0.00002037,$0.00001801,$0.0000203,"$6,868","$2,041,256"
"Dec 16, 2022",$0.00001849,$0.00001893,$0.00001729,$0.00001889,"$8,009","$1,899,844"
"Dec 15, 2022",$0.0000183,$0.00001882,$0.0000177,$0.00001848,"$1,639","$1,858,721"
"Dec 14, 2022",$0.00001872,$0.00001922,$0.00001819,$0.00001831,"$1,351","$1,841,790"
"Dec 13, 2022",$0.00001967,$0.00002015,$0.00001829,$0.0000187,"$1,028","$1,880,765"
"Dec 12, 2022",$0.00001946,$0.00001987,$0.0000189,$0.0000197,"$10,464","$1,981,729"
"Dec 11, 2022",$0.00001944,$0.00002002,$0.00001939,$0.00001946,"$1,089","$1,957,172"
"Dec 10, 2022",$0.00001862,$0.00001952,$0.00001805,$0.00001944,"$1,232","$1,955,564"
"Dec 09, 2022",$0.00001878,$0.00001886,$0.00001838,$0.00001862,"$30,548","$1,872,285"
"Dec 08, 2022",$0.00001552,$0.00002082,$0.00001544,$0.00001878,"$6,654","$1,888,786"
"Dec 07, 2022",$0.00001527,$0.00001576,$0.00001523,$0.00001552,$918,"$1,560,755"
"Dec 06, 2022",$0.0000149,$0.00001574,$0.00001485,$0.00001526,"$1,729","$1,534,918"
"Dec 05, 2022",$0.00001509,$0.00001529,$0.0000147,$0.0000149,"$3,268","$1,498,635"
"Dec 04, 2022",$0.00001541,$0.00001549,$0.00001498,$0.00001513,"$5,926","$1,521,507"
"Dec 03, 2022",$0.00001468,$0.00001596,$0.00001465,$0.00001545,"$6,941","$1,554,242"
"Dec 02, 2022",$0.00001491,$0.00001498,$0.00001437,$0.00001469,"$5,817","$1,477,541"
"Dec 01, 2022",$0.00001618,$0.00001619,$0.00001367,$0.00001491,"$6,642","$1,499,847"
"Nov 30, 2022",$0.00001596,$0.00001649,$0.00001578,$0.00001618,"$6,463","$1,627,467"
"Nov 29, 2022",$0.00001501,$0.00001614,$0.00001483,$0.00001596,"$6,501","$1,605,631"
"Nov 28, 2022",$0.00001544,$0.00001565,$0.00001349,$0.000015,"$5,748","$1,509,049"
"Nov 27, 2022",$0.00001539,$0.00001589,$0.00001536,$0.00001544,"$5,676","$1,552,510"
"Nov 26, 2022",$0.00001568,$0.00001651,$0.00001341,$0.00001539,"$6,001","$1,548,086"
"Nov 25, 2022",$0.00001601,$0.00001616,$0.00001371,$0.00001567,"$5,257","$1,575,541"
"Nov 24, 2022",$0.00001418,$0.00001924,$0.00001394,$0.00001601,"$12,741","$1,610,395"
"Nov 23, 2022",$0.00001739,$0.00001833,$0.0000141,$0.00001417,"$2,742","$1,425,639"
"Nov 22, 2022",$0.00001522,$0.00001747,$0.00001193,$0.00001745,"$9,497","$1,755,369"
"Nov 21, 2022",$0.00001557,$0.00001561,$0.00001413,$0.00001521,"$2,806","$1,529,497"
"Nov 20, 2022",$0.00001678,$0.0000169,$0.00001546,$0.00001558,"$2,064","$1,567,208"
"Nov 19, 2022",$0.00001674,$0.00001688,$0.00001607,$0.00001678,"$4,220","$1,687,247"
"Nov 18, 2022",$0.00001577,$0.00001682,$0.00001561,$0.00001674,"$7,779","$1,683,465"
"Nov 17, 2022",$0.00001681,$0.00001805,$0.00001536,$0.00001577,"$11,058","$1,585,838"
"Nov 16, 2022",$0.00001316,$0.0000169,$0.00001264,$0.00001682,"$81,365","$1,691,337"
"Nov 15, 2022",$0.00001286,$0.00001324,$0.00001259,$0.00001316,"$79,692",$0
"Nov 14, 2022",$0.00001289,$0.00001349,$0.00001209,$0.00001282,"$18,282",$0
"Nov 13, 2022",$0.00001297,$0.00001375,$0.00001245,$0.00001288,"$15,888",$0
"Nov 12, 2022",$0.0000123,$0.00001435,$0.00001036,$0.00001297,"$11,083",$0
"Nov 11, 2022",$0.00001266,$0.0000143,$0.0000122,$0.0000123,"$16,764",$0
"Nov 10, 2022",$0.00001052,$0.00001462,$0.00001046,$0.00001266,"$24,697",$0
"Nov 09, 2022",$0.00001348,$0.00001365,$0.000009273,$0.00001056,"$7,349",$0
"Nov 08, 2022",$0.00001526,$0.000016,$0.00001175,$0.00001349,"$23,024",$0
"Nov 07, 2022",$0.00001515,$0.00001631,$0.00001492,$0.00001526,"$23,339",$0
"Nov 06, 2022",$0.00001523,$0.00001549,$0.00001504,$0.00001515,"$30,320",$0
"Nov 05, 2022",$0.00001524,$0.00001593,$0.00001506,$0.00001525,"$7,316",$0
"Nov 04, 2022",$0.00001457,$0.00001551,$0.00001452,$0.0000152,"$4,726",$0
"Nov 03, 2022",$0.000015,$0.00001576,$0.00001455,$0.00001457,"$20,283",$0
"Nov 02, 2022",$0.00001505,$0.00001645,$0.00001475,$0.000015,"$20,528",$0
"Nov 01, 2022",$0.00001538,$0.00001634,$0.000015,$0.00001505,"$31,247",$0
