Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02632,$0.02634,$0.0248,$0.02543,"$1,049,337","$61,086,540"
"Dec 30, 2022",$0.02638,$0.02678,$0.02415,$0.02629,"$1,646,111","$63,160,780"
"Dec 29, 2022",$0.02707,$0.02714,$0.02611,$0.02654,"$1,377,192","$63,761,981"
"Dec 28, 2022",$0.02774,$0.02781,$0.02606,$0.02706,"$1,803,137","$64,988,751"
"Dec 27, 2022",$0.02963,$0.02972,$0.02765,$0.02774,"$1,198,457","$66,632,338"
"Dec 26, 2022",$0.02876,$0.03152,$0.02827,$0.02962,"$2,053,936","$71,150,156"
"Dec 25, 2022",$0.02922,$0.02926,$0.02833,$0.02878,"$2,071,194","$69,136,155"
"Dec 24, 2022",$0.02951,$0.02954,$0.02888,$0.02921,"$1,876,504","$70,166,245"
"Dec 23, 2022",$0.02867,$0.02959,$0.02858,$0.02953,"$10,417,623","$70,936,010"
"Dec 22, 2022",$0.02821,$0.02948,$0.02817,$0.02866,"$14,438,319","$68,832,773"
"Dec 21, 2022",$0.02668,$0.02898,$0.0265,$0.02816,"$2,657,021","$67,631,917"
"Dec 20, 2022",$0.02512,$0.02679,$0.02459,$0.02668,"$3,270,191","$64,092,578"
"Dec 19, 2022",$0.0281,$0.02828,$0.02474,$0.0251,"$2,932,486","$60,291,459"
"Dec 18, 2022",$0.02806,$0.02811,$0.02767,$0.02811,"$1,074,905","$67,526,414"
"Dec 17, 2022",$0.03024,$0.03055,$0.0277,$0.02811,"$4,122,212","$67,518,941"
"Dec 16, 2022",$0.0309,$0.03142,$0.03008,$0.03029,"$11,454,869","$72,758,126"
"Dec 15, 2022",$0.02927,$0.0314,$0.02922,$0.0309,"$21,128,188","$74,229,234"
"Dec 14, 2022",$0.0294,$0.02998,$0.02913,$0.02932,"$1,885,709","$70,439,417"
"Dec 13, 2022",$0.02996,$0.03009,$0.02875,$0.02941,"$2,164,712","$70,655,545"
"Dec 12, 2022",$0.03243,$0.03246,$0.02948,$0.02997,"$2,737,801","$71,978,787"
"Dec 11, 2022",$0.02988,$0.03469,$0.02979,$0.03241,"$2,187,557","$77,843,532"
"Dec 10, 2022",$0.03078,$0.03094,$0.0298,$0.02988,"$2,933,370","$71,780,219"
"Dec 09, 2022",$0.0322,$0.03241,$0.02979,$0.03078,"$3,179,498","$73,925,878"
"Dec 08, 2022",$0.03149,$0.0326,$0.03147,$0.03204,"$11,504,136","$76,956,329"
"Dec 07, 2022",$0.03183,$0.03201,$0.02893,$0.0316,"$3,689,639","$75,903,470"
"Dec 06, 2022",$0.03337,$0.03355,$0.03179,$0.03186,"$4,710,496","$76,520,925"
"Dec 05, 2022",$0.03334,$0.0353,$0.03205,$0.03337,"$5,194,743","$80,149,674"
"Dec 04, 2022",$0.03387,$0.03437,$0.03301,$0.03334,"$5,776,996","$80,086,256"
"Dec 03, 2022",$0.03409,$0.0344,$0.03312,$0.03384,"$7,484,110","$81,288,886"
"Dec 02, 2022",$0.03263,$0.03442,$0.03234,$0.0341,"$53,813,478","$81,905,783"
"Dec 01, 2022",$0.032,$0.04178,$0.03196,$0.03264,"$45,166,254","$78,403,613"
"Nov 30, 2022",$0.03214,$0.03218,$0.03114,$0.03202,"$6,959,861","$32,583,049"
"Nov 29, 2022",$0.02943,$0.03229,$0.02934,$0.03225,"$23,026,311","$32,823,458"
"Nov 28, 2022",$0.03136,$0.03168,$0.02929,$0.02944,"$4,945,176","$29,956,832"
"Nov 27, 2022",$0.03059,$0.0348,$0.02964,$0.03136,"$19,746,902","$31,912,452"
"Nov 26, 2022",$0.03075,$0.0328,$0.02959,$0.0306,"$61,228,362","$31,137,711"
"Nov 25, 2022",$0.03516,$0.03516,$0.02913,$0.03071,"$6,924,237","$31,254,438"
"Nov 24, 2022",$0.04139,$0.04139,$0.03301,$0.03515,"$42,068,739","$35,767,547"
"Nov 23, 2022",$0.03919,$0.06138,$0.03878,$0.04139,"$231,909,684","$42,123,136"
"Nov 22, 2022",$0.02548,$0.03903,$0.02548,$0.03899,"$141,528,718","$39,685,364"
"Nov 21, 2022",$0.02662,$0.02699,$0.02525,$0.02551,"$4,294,157","$25,960,893"
"Nov 20, 2022",$0.02763,$0.02798,$0.02637,$0.02649,"$7,216,171","$26,961,263"
"Nov 19, 2022",$0.02527,$0.03096,$0.02513,$0.02753,"$53,333,244","$28,017,222"
"Nov 18, 2022",$0.02514,$0.02566,$0.02506,$0.02527,"$3,870,142","$25,716,475"
"Nov 17, 2022",$0.02618,$0.0268,$0.02472,$0.02515,"$436,143","$25,593,763"
"Nov 16, 2022",$0.02548,$0.02663,$0.02269,$0.02615,"$3,733,986","$26,616,194"
"Nov 15, 2022",$0.02384,$0.0272,$0.02288,$0.02558,"$1,092,326","$26,028,874"
"Nov 14, 2022",$0.02506,$0.02508,$0.0228,$0.0239,"$2,369,934","$24,325,463"
"Nov 13, 2022",$0.02697,$0.02741,$0.0238,$0.02474,"$8,120,628","$25,180,759"
"Nov 12, 2022",$0.02652,$0.02758,$0.02631,$0.02698,"$2,018,323","$27,456,246"
"Nov 11, 2022",$0.02762,$0.03033,$0.02534,$0.0265,"$4,364,276","$26,968,404"
"Nov 10, 2022",$0.02504,$0.0278,$0.02478,$0.02769,"$1,614,999","$28,175,757"
"Nov 09, 2022",$0.0329,$0.03326,$0.02381,$0.02504,"$3,195,575","$25,485,761"
"Nov 08, 2022",$0.03782,$0.03945,$0.03053,$0.03291,"$8,007,893","$33,489,779"
"Nov 07, 2022",$0.03837,$0.03863,$0.03757,$0.03781,"$932,766","$38,474,700"
"Nov 06, 2022",$0.03944,$0.03961,$0.03836,$0.03839,"$1,281,075","$39,070,400"
"Nov 05, 2022",$0.03894,$0.0397,$0.03885,$0.03943,"$1,058,282","$40,129,770"
"Nov 04, 2022",$0.03699,$0.03887,$0.03699,$0.03887,"$929,192","$39,562,636"
"Nov 03, 2022",$0.03708,$0.0379,$0.03682,$0.03699,"$652,283","$37,644,255"
"Nov 02, 2022",$0.03798,$0.03841,$0.03699,$0.03703,"$706,961","$37,683,148"
"Nov 01, 2022",$0.03811,$0.03857,$0.03767,$0.03799,"$832,534","$38,662,667"
"Oct 31, 2022",$0.03818,$0.03821,$0.03764,$0.03811,"$970,983","$38,786,705"
"Oct 30, 2022",$0.03836,$0.0384,$0.03789,$0.03818,"$804,902","$38,860,672"
"Oct 29, 2022",$0.03766,$0.03941,$0.03755,$0.03829,"$1,780,923","$38,972,221"
"Oct 28, 2022",$0.03763,$0.03853,$0.0366,$0.03768,"$1,371,263","$38,347,161"
"Oct 27, 2022",$0.03881,$0.0398,$0.03759,$0.03763,"$5,603,650","$38,296,428"
"Oct 26, 2022",$0.03813,$0.03896,$0.0378,$0.03882,"$1,141,445","$39,506,847"
"Oct 25, 2022",$0.03676,$0.03844,$0.03663,$0.03813,"$1,090,171","$38,805,639"
"Oct 24, 2022",$0.03665,$0.0372,$0.0361,$0.03676,"$1,471,161","$37,410,730"
"Oct 23, 2022",$0.03631,$0.03703,$0.03589,$0.03665,"$924,006","$37,300,596"
"Oct 22, 2022",$0.03621,$0.03656,$0.03581,$0.03624,"$379,399","$36,884,472"
"Oct 21, 2022",$0.03633,$0.03649,$0.0349,$0.03621,"$737,137","$36,852,357"
"Oct 20, 2022",$0.03658,$0.03689,$0.03594,$0.03633,"$723,586","$36,977,292"
"Oct 19, 2022",$0.03796,$0.03998,$0.03658,$0.03658,"$5,084,089","$37,228,529"
"Oct 18, 2022",$0.0382,$0.03968,$0.03747,$0.03796,"$2,540,169","$38,627,243"
"Oct 17, 2022",$0.03717,$0.03832,$0.03657,$0.03814,"$822,120","$38,812,361"
"Oct 16, 2022",$0.03744,$0.03752,$0.03664,$0.03717,"$488,020","$37,832,800"
"Oct 15, 2022",$0.03717,$0.03793,$0.03697,$0.03738,"$497,563","$38,040,000"
"Oct 14, 2022",$0.03736,$0.03839,$0.03687,$0.03717,"$750,117","$37,830,827"
"Oct 13, 2022",$0.03877,$0.03904,$0.03525,$0.03736,"$1,510,736","$38,022,453"
"Oct 12, 2022",$0.0386,$0.03962,$0.0383,$0.03877,"$633,521","$39,456,558"
"Oct 11, 2022",$0.03925,$0.03959,$0.03836,$0.03867,"$743,089","$39,355,613"
"Oct 10, 2022",$0.04057,$0.04086,$0.03912,$0.03932,"$1,087,132","$40,014,307"
"Oct 09, 2022",$0.0405,$0.04105,$0.04029,$0.0405,"$1,002,948","$41,213,977"
"Oct 08, 2022",$0.04008,$0.04071,$0.03987,$0.04043,"$1,192,992","$41,143,029"
"Oct 07, 2022",$0.04056,$0.0409,$0.03998,$0.04007,"$1,430,916","$40,776,684"
"Oct 06, 2022",$0.04039,$0.04105,$0.04033,$0.04049,"$2,017,858","$41,204,290"
"Oct 05, 2022",$0.04085,$0.04324,$0.03999,$0.04039,"$5,569,566","$41,108,934"
"Oct 04, 2022",$0.04015,$0.04086,$0.03995,$0.04079,"$468,384","$41,511,478"
"Oct 03, 2022",$0.03976,$0.04021,$0.03943,$0.04021,"$398,970","$40,926,684"
"Oct 02, 2022",$0.04013,$0.0402,$0.03951,$0.03976,"$493,146","$40,467,075"
"Oct 01, 2022",$0.04044,$0.04051,$0.03986,$0.04013,"$490,886","$40,838,487"
"Sep 30, 2022",$0.04038,$0.04081,$0.03998,$0.04035,"$1,633,144","$41,066,428"
"Sep 29, 2022",$0.04037,$0.04121,$0.03997,$0.04038,"$2,776,572","$41,093,726"
"Sep 28, 2022",$0.04035,$0.04162,$0.03901,$0.04047,"$2,349,546","$41,183,566"
"Sep 27, 2022",$0.04071,$0.04133,$0.04007,$0.04042,"$1,020,368","$41,136,956"
"Sep 26, 2022",$0.0414,$0.04175,$0.03948,$0.04074,"$1,462,616","$41,462,386"
"Sep 25, 2022",$0.04111,$0.04328,$0.04104,$0.04147,"$5,636,279","$42,200,300"
"Sep 24, 2022",$0.04118,$0.04173,$0.0409,$0.04112,"$738,361","$41,844,424"
"Sep 23, 2022",$0.04134,$0.0425,$0.04048,$0.04117,"$2,858,060","$41,900,386"
"Sep 22, 2022",$0.04039,$0.04164,$0.03985,$0.04134,"$1,746,119","$42,072,917"
"Sep 21, 2022",$0.04064,$0.04194,$0.04015,$0.04048,"$1,456,875","$41,195,410"
"Sep 20, 2022",$0.04185,$0.04185,$0.04064,$0.04064,"$613,341","$41,356,295"
"Sep 19, 2022",$0.04091,$0.04239,$0.03975,$0.04185,"$2,775,982","$42,590,951"
"Sep 18, 2022",$0.04334,$0.04355,$0.04076,$0.04112,"$1,145,838","$41,845,463"
"Sep 17, 2022",$0.04321,$0.04355,$0.04299,$0.04334,"$799,464","$44,107,349"
"Sep 16, 2022",$0.04258,$0.04392,$0.04237,$0.04321,"$2,920,311","$43,971,752"
"Sep 15, 2022",$0.0436,$0.04421,$0.04232,$0.04258,"$3,108,193","$43,334,391"
"Sep 14, 2022",$0.04318,$0.04445,$0.0429,$0.0436,"$1,472,312","$44,370,540"
"Sep 13, 2022",$0.04731,$0.04731,$0.0429,$0.04354,"$3,568,471","$44,310,077"
"Sep 12, 2022",$0.04652,$0.04868,$0.04602,$0.04731,"$9,404,912","$48,151,644"
"Sep 11, 2022",$0.04581,$0.04724,$0.04523,$0.04652,"$4,100,911","$47,347,241"
"Sep 10, 2022",$0.04594,$0.04622,$0.04473,$0.04588,"$2,090,759","$46,695,722"
"Sep 09, 2022",$0.04462,$0.04662,$0.04447,$0.04594,"$4,447,527","$46,754,599"
"Sep 08, 2022",$0.0434,$0.04521,$0.04293,$0.04469,"$2,852,500","$45,477,898"
"Sep 07, 2022",$0.04262,$0.04354,$0.04109,$0.04347,"$1,534,235","$44,238,553"
"Sep 06, 2022",$0.04464,$0.04507,$0.04268,$0.04275,"$1,791,652","$43,509,407"
"Sep 05, 2022",$0.04529,$0.04536,$0.04391,$0.04464,"$1,458,566","$45,425,890"
"Sep 04, 2022",$0.04537,$0.04549,$0.04493,$0.04536,"$814,261","$46,163,674"
"Sep 03, 2022",$0.04539,$0.04564,$0.04502,$0.04543,"$677,498","$46,236,708"
"Sep 02, 2022",$0.04569,$0.04595,$0.04511,$0.04539,"$1,264,213","$46,197,144"
"Sep 01, 2022",$0.04678,$0.04708,$0.04458,$0.04577,"$2,273,170","$46,576,388"
"Aug 31, 2022",$0.04711,$0.04755,$0.04645,$0.04671,"$4,238,833","$47,537,341"
"Aug 30, 2022",$0.04896,$0.04963,$0.0465,$0.04704,"$15,534,631","$47,868,598"
"Aug 29, 2022",$0.04477,$0.0551,$0.04468,$0.04889,"$102,968,204","$49,751,796"
"Aug 28, 2022",$0.04625,$0.0467,$0.04477,$0.04477,"$1,564,062","$45,560,980"
"Aug 27, 2022",$0.04581,$0.05033,$0.04544,$0.04603,"$5,945,169","$46,846,897"
"Aug 26, 2022",$0.04856,$0.05148,$0.04566,$0.04588,"$9,937,990","$46,691,332"
"Aug 25, 2022",$0.04679,$0.05184,$0.04677,$0.04863,"$13,763,106","$49,495,908"
"Aug 24, 2022",$0.04696,$0.04765,$0.04621,$0.0468,"$1,526,494","$47,629,462"
"Aug 23, 2022",$0.0467,$0.04735,$0.04581,$0.04697,"$788,442","$47,797,440"
"Aug 22, 2022",$0.04765,$0.04899,$0.04538,$0.04655,"$1,929,664","$47,376,329"
"Aug 21, 2022",$0.04676,$0.04896,$0.04594,$0.04765,"$2,019,756","$48,491,447"
"Aug 20, 2022",$0.04603,$0.04758,$0.04594,$0.04676,"$1,157,729","$47,583,038"
"Aug 19, 2022",$0.05211,$0.05211,$0.04574,$0.04595,"$2,915,308","$46,767,008"
"Aug 18, 2022",$0.05249,$0.05331,$0.05197,$0.05204,"$1,126,396","$52,963,677"
"Aug 17, 2022",$0.05378,$0.05463,$0.05178,$0.05249,"$2,746,334","$53,422,518"
"Aug 16, 2022",$0.05591,$0.05591,$0.0536,$0.05378,"$2,968,534","$54,732,783"
"Aug 15, 2022",$0.05758,$0.05758,$0.05508,$0.05591,"$4,691,597","$56,901,552"
"Aug 14, 2022",$0.05666,$0.06004,$0.05658,$0.05766,"$25,673,450","$58,681,855"
"Aug 13, 2022",$0.05577,$0.05902,$0.05562,$0.05658,"$15,520,351","$57,585,987"
"Aug 12, 2022",$0.05497,$0.05613,$0.05429,$0.05562,"$6,245,246","$56,606,381"
"Aug 11, 2022",$0.05484,$0.06105,$0.05416,$0.05505,"$26,405,458","$56,028,504"
"Aug 10, 2022",$0.05319,$0.05485,$0.05166,$0.05484,"$10,118,995","$55,815,156"
"Aug 09, 2022",$0.05483,$0.05483,$0.05255,$0.05312,"$4,462,825","$54,058,720"
