Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01233,$0.0133,$0.01227,$0.01282,"$339,537","$6,847,863"
"Dec 30, 2022",$0.01304,$0.01657,$0.01174,$0.01234,"$394,124","$6,591,266"
"Dec 29, 2022",$0.01306,$0.01686,$0.01214,$0.01303,"$464,891","$6,964,445"
"Dec 28, 2022",$0.01459,$0.01706,$0.01283,$0.01306,"$956,316","$6,977,885"
"Dec 27, 2022",$0.01484,$0.01717,$0.01449,$0.01459,"$437,770","$7,797,472"
"Dec 26, 2022",$0.01671,$0.01689,$0.01472,$0.01484,"$422,644","$7,930,974"
"Dec 25, 2022",$0.01651,$0.0168,$0.01643,$0.01672,"$378,262","$8,935,339"
"Dec 24, 2022",$0.01658,$0.01669,$0.01647,$0.01651,"$527,647","$8,822,545"
"Dec 23, 2022",$0.01659,$0.01675,$0.01623,$0.01658,"$399,365","$8,860,287"
"Dec 22, 2022",$0.01694,$0.01708,$0.01626,$0.01659,"$563,788","$8,861,938"
"Dec 21, 2022",$0.0176,$0.01767,$0.01689,$0.01692,"$375,260","$9,042,466"
"Dec 20, 2022",$0.01712,$0.01775,$0.01706,$0.0176,"$228,896","$9,404,128"
"Dec 19, 2022",$0.01825,$0.01842,$0.01592,$0.01712,"$318,243","$9,148,427"
"Dec 18, 2022",$0.01775,$0.01843,$0.01591,$0.01825,"$177,145","$9,752,656"
"Dec 17, 2022",$0.01618,$0.01827,$0.01563,$0.01777,"$292,288","$9,492,321"
"Dec 16, 2022",$0.01775,$0.01821,$0.01589,$0.01622,"$449,161","$8,663,972"
"Dec 15, 2022",$0.01859,$0.02042,$0.01754,$0.01774,"$721,058","$9,480,239"
"Dec 14, 2022",$0.01945,$0.01961,$0.01858,$0.0186,"$602,710","$9,936,716"
"Dec 13, 2022",$0.02231,$0.02309,$0.01884,$0.01945,"$561,605","$10,390,395"
"Dec 12, 2022",$0.01898,$0.02245,$0.01827,$0.01942,"$780,686","$8,433,780"
"Dec 11, 2022",$0.01879,$0.0228,$0.01877,$0.01898,"$724,289","$8,240,852"
"Dec 10, 2022",$0.02249,$0.02278,$0.0183,$0.01881,"$1,374,206","$8,166,947"
