Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01131,$0.01132,$0.0109,$0.01115,"$471,045","$4,936,369"
"Dec 30, 2022",$0.01045,$0.01177,$0.01045,$0.01131,"$634,699","$5,006,268"
"Dec 29, 2022",$0.01424,$0.01437,$0.01038,$0.01048,"$590,109","$4,638,581"
"Dec 28, 2022",$0.01491,$0.01498,$0.01394,$0.01424,"$851,261","$6,303,186"
"Dec 27, 2022",$0.01556,$0.01557,$0.01476,$0.01491,"$669,003","$6,599,446"
"Dec 26, 2022",$0.0162,$0.01626,$0.01523,$0.01553,"$1,013,189","$6,877,790"
"Dec 25, 2022",$0.01727,$0.01727,$0.01599,$0.01619,"$1,002,244","$7,168,648"
"Dec 24, 2022",$0.01698,$0.01754,$0.01682,$0.01728,"$548,807","$7,651,803"
"Dec 23, 2022",$0.0168,$0.01782,$0.01671,$0.017,"$506,304","$7,526,271"
"Dec 22, 2022",$0.01692,$0.01715,$0.0166,$0.0168,"$285,169","$7,436,542"
"Dec 21, 2022",$0.01768,$0.01782,$0.01654,$0.01692,"$777,235","$7,490,250"
"Dec 20, 2022",$0.01737,$0.01846,$0.01665,$0.01768,"$403,238","$7,829,390"
"Dec 19, 2022",$0.01853,$0.01878,$0.01709,$0.01737,"$428,980","$7,690,328"
"Dec 18, 2022",$0.01843,$0.01886,$0.01774,$0.01853,"$72,732","$8,206,020"
"Dec 17, 2022",$0.0189,$0.01903,$0.01824,$0.01843,"$115,451","$8,158,704"
"Dec 16, 2022",$0.01899,$0.0193,$0.01886,$0.01891,"$120,368","$8,369,878"
"Dec 15, 2022",$0.01931,$0.01931,$0.01883,$0.01899,"$166,808","$8,408,091"
"Dec 14, 2022",$0.0195,$0.0195,$0.01917,$0.01921,"$97,616","$8,506,691"
"Dec 13, 2022",$0.01938,$0.01955,$0.01914,$0.0195,"$96,146","$8,631,538"
"Dec 12, 2022",$0.01949,$0.01965,$0.01915,$0.01938,"$165,857","$8,581,960"
"Dec 11, 2022",$0.02033,$0.02055,$0.01949,$0.01949,"$114,095","$8,629,380"
"Dec 10, 2022",$0.01929,$0.02039,$0.01921,$0.02033,"$105,494","$8,998,791"
"Dec 09, 2022",$0.01919,$0.01933,$0.01904,$0.01929,"$160,918","$8,541,059"
"Dec 08, 2022",$0.01918,$0.01924,$0.01907,$0.01919,"$99,249","$8,495,152"
"Dec 07, 2022",$0.01909,$0.01947,$0.01897,$0.01918,"$274,234","$8,490,443"
"Dec 06, 2022",$0.01915,$0.0205,$0.01898,$0.01909,"$528,140","$8,452,246"
"Dec 05, 2022",$0.01945,$0.01967,$0.01909,$0.01915,"$108,630","$8,476,896"
"Dec 04, 2022",$0.01929,$0.01948,$0.01919,$0.01945,"$91,187","$8,613,249"
"Dec 03, 2022",$0.01916,$0.01939,$0.01902,$0.01929,"$91,420","$8,541,611"
"Dec 02, 2022",$0.01912,$0.01919,$0.01884,$0.01916,"$121,633","$8,484,560"
"Dec 01, 2022",$0.01913,$0.01924,$0.01899,$0.01912,"$90,832","$8,465,571"
"Nov 30, 2022",$0.01885,$0.01921,$0.01885,$0.01913,"$129,457","$8,470,043"
"Nov 29, 2022",$0.02172,$0.02199,$0.01038,$0.01885,"$111,661","$8,345,240"
"Nov 28, 2022",$0.02187,$0.02204,$0.02157,$0.02172,"$73,419","$9,614,492"
"Nov 27, 2022",$0.01984,$0.02188,$0.01912,$0.02187,"$49,912","$9,683,363"
"Nov 26, 2022",$0.02215,$0.02215,$0.01915,$0.01964,"$86,286","$8,695,145"
"Nov 25, 2022",$0.02244,$0.02262,$0.02174,$0.02215,"$113,010","$9,805,374"
"Nov 24, 2022",$0.02254,$0.0229,$0.02167,$0.02244,"$244,589","$9,933,293"
"Nov 23, 2022",$0.02184,$0.02284,$0.0216,$0.02254,"$182,184","$9,979,167"
"Nov 22, 2022",$0.02162,$0.02191,$0.02109,$0.02184,"$122,835","$9,669,992"
"Nov 21, 2022",$0.02,$0.0224,$0.0196,$0.02162,"$144,646","$9,569,973"
"Nov 20, 2022",$0.0224,$0.02283,$0.01948,$0.01979,"$62,702","$8,761,954"
"Nov 19, 2022",$0.02225,$0.02318,$0.02225,$0.0224,"$92,868","$9,917,760"
"Nov 18, 2022",$0.02194,$0.02264,$0.02179,$0.02225,"$145,689","$9,851,870"
"Nov 17, 2022",$0.02207,$0.02214,$0.02158,$0.02194,"$147,201","$9,712,064"
"Nov 16, 2022",$0.02188,$0.02225,$0.02161,$0.02207,"$105,460","$9,771,643"
"Nov 15, 2022",$0.02241,$0.02272,$0.0219,$0.0219,"$154,429","$9,695,595"
"Nov 14, 2022",$0.02293,$0.02325,$0.02139,$0.02241,"$361,879","$9,920,544"
"Nov 13, 2022",$0.02199,$0.02379,$0.02093,$0.02293,"$174,264","$10,153,622"
"Nov 12, 2022",$0.02389,$0.02411,$0.02166,$0.02199,"$35,337","$9,736,468"
"Nov 11, 2022",$0.0238,$0.02427,$0.02357,$0.02389,"$97,689","$10,577,176"
"Nov 10, 2022",$0.02303,$0.02414,$0.02221,$0.0238,"$156,553","$10,537,158"
"Nov 09, 2022",$0.02399,$0.02449,$0.02211,$0.02303,"$416,531","$10,196,143"
"Nov 08, 2022",$0.02521,$0.02532,$0.02378,$0.02399,"$275,286","$10,623,019"
"Nov 07, 2022",$0.02495,$0.02528,$0.02483,$0.02521,"$83,529","$11,162,875"
"Nov 06, 2022",$0.02527,$0.02548,$0.02484,$0.02494,"$90,771","$11,042,366"
"Nov 05, 2022",$0.02518,$0.02536,$0.02458,$0.02527,"$33,453","$11,187,264"
"Nov 04, 2022",$0.02479,$0.02515,$0.02467,$0.02515,"$78,283","$11,134,850"
"Nov 03, 2022",$0.0247,$0.025,$0.02464,$0.02479,"$98,201","$10,975,774"
"Nov 02, 2022",$0.02508,$0.02559,$0.02467,$0.0247,"$167,999","$10,936,350"
"Nov 01, 2022",$0.02535,$0.02549,$0.02487,$0.02508,"$74,686","$11,101,770"
"Oct 31, 2022",$0.02482,$0.02535,$0.02463,$0.02535,"$123,724","$11,221,813"
"Oct 30, 2022",$0.02587,$0.0259,$0.02462,$0.02482,"$133,297","$10,990,490"
"Oct 29, 2022",$0.02553,$0.02594,$0.02541,$0.02587,"$53,221","$11,454,395"
"Oct 28, 2022",$0.02587,$0.02592,$0.02536,$0.02553,"$101,535","$11,301,436"
"Oct 27, 2022",$0.02605,$0.02664,$0.02552,$0.02588,"$204,751","$11,456,281"
"Oct 26, 2022",$0.02582,$0.02677,$0.0256,$0.02605,"$213,162","$11,533,099"
"Oct 25, 2022",$0.02564,$0.02584,$0.02537,$0.02582,"$69,892","$11,431,841"
"Oct 24, 2022",$0.02769,$0.02784,$0.02543,$0.02564,"$44,930","$11,351,515"
"Oct 23, 2022",$0.02754,$0.02789,$0.02728,$0.02769,"$42,189","$12,259,149"
"Oct 22, 2022",$0.0268,$0.02754,$0.02621,$0.02754,"$63,897","$12,193,047"
"Oct 21, 2022",$0.02649,$0.0274,$0.02591,$0.02679,"$103,640","$11,859,374"
"Oct 20, 2022",$0.0265,$0.02688,$0.02579,$0.02647,"$99,553","$11,717,369"
"Oct 19, 2022",$0.02771,$0.02822,$0.02633,$0.0265,"$145,376","$11,732,360"
"Oct 18, 2022",$0.02782,$0.02847,$0.02653,$0.02771,"$187,351","$12,268,319"
"Oct 17, 2022",$0.02642,$0.02957,$0.02642,$0.02741,"$743,094","$12,136,031"
"Oct 16, 2022",$0.02703,$0.0286,$0.02642,$0.02642,"$345,079","$11,695,846"
"Oct 15, 2022",$0.02636,$0.02712,$0.02605,$0.02703,"$43,844","$11,966,391"
"Oct 14, 2022",$0.02643,$0.02677,$0.02582,$0.02607,"$83,180","$11,540,671"
"Oct 13, 2022",$0.02762,$0.02765,$0.02504,$0.02643,"$290,705","$11,699,470"
"Oct 12, 2022",$0.02783,$0.02827,$0.02651,$0.02762,"$167,837","$12,229,289"
"Oct 11, 2022",$0.02839,$0.02848,$0.02719,$0.0279,"$282,537","$12,352,341"
"Oct 10, 2022",$0.02976,$0.02976,$0.02799,$0.02839,"$96,667","$12,567,530"
"Oct 09, 2022",$0.02978,$0.02981,$0.02908,$0.02976,"$16,519","$13,174,638"
"Oct 08, 2022",$0.02999,$0.03005,$0.02891,$0.02978,"$48,977","$13,184,329"
"Oct 07, 2022",$0.03037,$0.03043,$0.02898,$0.03,"$95,614","$13,280,609"
"Oct 06, 2022",$0.0312,$0.0316,$0.0301,$0.03037,"$109,484","$13,445,191"
"Oct 05, 2022",$0.02973,$0.03259,$0.02946,$0.0312,"$468,241","$13,811,729"
"Oct 04, 2022",$0.02971,$0.03015,$0.02895,$0.02973,"$44,784","$13,162,680"
"Oct 03, 2022",$0.02883,$0.02976,$0.02862,$0.02971,"$51,262","$13,152,234"
"Oct 02, 2022",$0.02889,$0.03018,$0.02856,$0.02905,"$100,793","$12,863,185"
"Oct 01, 2022",$0.02901,$0.02911,$0.02852,$0.02889,"$57,805","$12,789,512"
"Sep 30, 2022",$0.02976,$0.0311,$0.02865,$0.029,"$83,448","$12,837,531"
"Sep 29, 2022",$0.03043,$0.03162,$0.02928,$0.02976,"$221,207","$13,176,025"
"Sep 28, 2022",$0.03537,$0.0354,$0.02953,$0.03043,"$243,356","$13,472,033"
