Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0007853,$0.0008221,$0.0007794,$0.0007794,"$109,973","$1,133,656"
"Dec 30, 2022",$0.0008153,$0.0008217,$0.0007345,$0.0007853,"$137,595","$1,142,251"
"Dec 29, 2022",$0.00086,$0.0008616,$0.0007833,$0.0008153,"$135,030","$1,185,911"
"Dec 28, 2022",$0.0009594,$0.001095,$0.0008291,$0.00086,"$372,325","$1,250,915"
"Dec 27, 2022",$0.0007779,$0.001049,$0.0007749,$0.0009594,"$198,862","$1,395,443"
"Dec 26, 2022",$0.0008204,$0.0008244,$0.0007779,$0.000778,"$113,771","$1,131,532"
"Dec 25, 2022",$0.000784,$0.000823,$0.0007801,$0.0008204,"$110,737","$1,193,286"
"Dec 24, 2022",$0.000815,$0.0008191,$0.0007782,$0.000784,"$109,459","$1,140,315"
"Dec 23, 2022",$0.0007835,$0.000816,$0.0007651,$0.000815,"$113,980","$1,185,357"
"Dec 22, 2022",$0.0007835,$0.0008186,$0.0007715,$0.0007835,"$117,050","$1,139,631"
"Dec 21, 2022",$0.0007864,$0.0008172,$0.000776,$0.0007835,"$19,678","$1,139,633"
"Dec 20, 2022",$0.0007795,$0.0008186,$0.0007252,$0.0007864,"$38,219","$1,143,878"
"Dec 19, 2022",$0.0007801,$0.0008184,$0.0007681,$0.0007795,"$28,538","$1,133,802"
"Dec 18, 2022",$0.0007863,$0.0008186,$0.0007722,$0.0007801,"$5,371","$1,134,636"
"Dec 17, 2022",$0.0007597,$0.0008216,$0.000731,$0.0007863,"$35,921","$1,143,724"
"Dec 16, 2022",$0.0007822,$0.000814,$0.0007596,$0.0007597,"$15,081","$1,104,933"
"Dec 15, 2022",$0.000793,$0.0008269,$0.00078,$0.0007823,"$13,616","$1,137,816"
"Dec 14, 2022",$0.0007866,$0.0008211,$0.0007741,$0.000793,"$18,593","$1,153,483"
"Dec 13, 2022",$0.0007788,$0.0008143,$0.0007771,$0.0007866,"$15,998","$1,144,091"
"Dec 12, 2022",$0.0008137,$0.0008562,$0.0007788,$0.0007788,"$36,681","$1,132,823"
"Dec 11, 2022",$0.0008178,$0.0008194,$0.0007818,$0.0008137,"$23,557","$1,183,524"
"Dec 10, 2022",$0.0008206,$0.000824,$0.0007842,$0.0008178,"$34,134","$1,189,561"
"Dec 09, 2022",$0.0008206,$0.0008252,$0.0007735,$0.0008206,"$7,916","$1,193,567"
