Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$18.92,$19.24,$18.92,$19.00,"$810,445","$38,737,126"
"Dec 30, 2022",$18.92,$19.01,$18.71,$18.96,"$597,603","$38,651,355"
"Dec 29, 2022",$18.96,$20.09,$18.70,$18.92,"$2,308,312","$38,567,697"
"Dec 28, 2022",$18.96,$19.28,$18.83,$18.97,"$1,126,191","$38,665,937"
"Dec 27, 2022",$19.31,$19.33,$18.85,$18.96,"$584,018","$38,644,051"
"Dec 26, 2022",$19.22,$19.40,$19.19,$19.31,"$578,201","$39,362,436"
"Dec 25, 2022",$19.27,$19.47,$19.10,$19.21,"$592,452","$39,168,740"
"Dec 24, 2022",$19.01,$19.28,$19.01,$19.27,"$547,833","$39,281,180"
"Dec 23, 2022",$18.97,$19.22,$18.94,$19.01,"$652,883","$38,759,130"
"Dec 22, 2022",$19.14,$20.50,$18.63,$18.96,"$2,592,025","$38,658,097"
"Dec 21, 2022",$19.25,$19.31,$18.99,$19.14,"$582,190","$39,013,899"
"Dec 20, 2022",$18.62,$19.39,$18.58,$19.25,"$617,935","$39,234,790"
"Dec 19, 2022",$19.30,$20.76,$18.57,$18.62,"$2,315,614","$37,957,545"
"Dec 18, 2022",$19.17,$19.35,$19.17,$19.30,"$493,973","$39,342,568"
"Dec 17, 2022",$18.71,$19.45,$18.62,$19.17,"$1,234,338","$39,074,926"
"Dec 16, 2022",$20.46,$20.59,$18.63,$18.68,"$940,354","$38,085,806"
"Dec 15, 2022",$21.06,$21.07,$20.44,$20.45,"$644,700","$41,691,979"
"Dec 14, 2022",$20.87,$21.17,$20.79,$21.06,"$1,154,817","$42,934,490"
"Dec 13, 2022",$21.16,$21.17,$20.41,$20.86,"$1,393,995","$42,532,708"
"Dec 12, 2022",$21.44,$21.71,$20.87,$21.17,"$3,470,997","$43,147,988"
"Dec 11, 2022",$21.21,$21.62,$21.21,$21.45,"$1,203,395","$43,718,941"
"Dec 10, 2022",$21.49,$22.43,$21.20,$21.21,"$2,070,310","$43,229,183"
"Dec 09, 2022",$21.38,$21.66,$21.35,$21.49,"$859,102","$43,807,994"
"Dec 08, 2022",$20.82,$21.46,$20.70,$21.38,"$924,450","$43,581,025"
"Dec 07, 2022",$21.46,$21.46,$20.80,$20.82,"$910,716","$42,436,651"
"Dec 06, 2022",$21.68,$21.78,$21.16,$21.47,"$1,859,182","$43,764,950"
"Dec 05, 2022",$21.16,$23.87,$21.13,$21.68,"$8,603,646","$44,190,742"
