Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001525,$0.001539,$0.001507,$0.001527,"$30,665","$1,471,655"
"Dec 30, 2022",$0.001619,$0.001639,$0.001502,$0.001525,"$36,040","$1,470,669"
"Dec 29, 2022",$0.001675,$0.00168,$0.001618,$0.001619,"$27,914","$1,560,416"
"Dec 28, 2022",$0.001688,$0.001692,$0.001605,$0.001675,"$37,352","$1,615,273"
"Dec 27, 2022",$0.001751,$0.001867,$0.001637,$0.001686,"$41,286","$1,625,179"
"Dec 26, 2022",$0.001637,$0.00189,$0.001612,$0.001752,"$50,202","$1,689,042"
"Dec 25, 2022",$0.001697,$0.001757,$0.001594,$0.001637,"$36,720","$1,578,092"
"Dec 24, 2022",$0.001622,$0.001759,$0.001589,$0.001697,"$44,141","$1,636,015"
"Dec 23, 2022",$0.001621,$0.001707,$0.001584,$0.001622,"$42,160","$1,563,692"
"Dec 22, 2022",$0.001605,$0.00168,$0.001589,$0.001618,"$38,191","$1,559,883"
"Dec 21, 2022",$0.001596,$0.001605,$0.001584,$0.001604,"$39,294","$1,546,487"
"Dec 20, 2022",$0.001604,$0.001634,$0.001559,$0.001594,"$37,259","$1,536,901"
"Dec 19, 2022",$0.001595,$0.001639,$0.001566,$0.001605,"$35,215","$1,547,456"
"Dec 18, 2022",$0.001672,$0.001675,$0.001573,$0.001593,"$33,169","$1,536,002"
"Dec 17, 2022",$0.00162,$0.001921,$0.001601,$0.001672,"$58,865","$1,612,184"
"Dec 16, 2022",$0.001669,$0.001681,$0.00159,$0.00162,"$40,686","$1,562,038"
"Dec 15, 2022",$0.001647,$0.001698,$0.001609,$0.001668,"$46,586","$1,608,194"
"Dec 14, 2022",$0.001726,$0.001813,$0.001608,$0.001647,"$45,356","$1,587,991"
"Dec 13, 2022",$0.001724,$0.001843,$0.001656,$0.001726,"$49,049","$1,664,014"
"Dec 12, 2022",$0.001631,$0.0023,$0.001588,$0.001723,"$101,023","$1,661,271"
"Dec 11, 2022",$0.001601,$0.001678,$0.001557,$0.001631,"$43,659","$1,572,521"
"Dec 10, 2022",$0.001667,$0.00175,$0.001556,$0.0016,"$56,931","$1,542,582"
"Dec 09, 2022",$0.001643,$0.001731,$0.001632,$0.001669,"$46,329","$1,609,124"
"Dec 08, 2022",$0.00153,$0.002328,$0.00152,$0.001681,"$109,717","$1,620,808"
"Dec 07, 2022",$0.001532,$0.001605,$0.001475,$0.00153,"$58,042","$1,475,031"
"Dec 06, 2022",$0.001476,$0.001552,$0.001468,$0.001532,"$50,013","$1,477,069"
"Dec 05, 2022",$0.001516,$0.001593,$0.001462,$0.001473,"$49,841","$1,420,153"
"Dec 04, 2022",$0.001496,$0.001548,$0.001452,$0.001517,"$55,841","$1,462,670"
"Dec 03, 2022",$0.001523,$0.0018,$0.001483,$0.001502,"$76,681","$1,448,121"
"Dec 02, 2022",$0.001452,$0.001545,$0.001449,$0.001523,"$52,356","$1,468,374"
"Dec 01, 2022",$0.0015,$0.001572,$0.001447,$0.001452,"$49,471","$1,399,892"
"Nov 30, 2022",$0.00153,$0.001583,$0.001461,$0.0015,"$53,615","$1,446,128"
"Nov 29, 2022",$0.001501,$0.001673,$0.001464,$0.001526,"$56,981","$1,470,795"
"Nov 28, 2022",$0.001759,$0.002598,$0.00144,$0.001503,"$144,434","$1,449,472"
"Nov 27, 2022",$0.00142,$0.001971,$0.00142,$0.001759,"$101,446","$1,696,091"
