Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.005761,$0.005823,$0.005578,$0.005631,"$125,793","$3,937,526"
"Dec 30, 2022",$0.005806,$0.005812,$0.005739,$0.005758,"$96,410","$4,026,051"
"Dec 29, 2022",$0.005867,$0.005967,$0.005767,$0.005806,"$64,782","$4,059,582"
"Dec 28, 2022",$0.00596,$0.00651,$0.005813,$0.005867,"$169,964","$4,102,145"
"Dec 27, 2022",$0.005851,$0.006492,$0.00579,$0.005959,"$200,639","$4,166,535"
"Dec 26, 2022",$0.005956,$0.006123,$0.005818,$0.005852,"$104,283","$3,373,868"
"Dec 25, 2022",$0.005905,$0.005958,$0.005823,$0.005952,"$29,331","$3,431,248"
"Dec 24, 2022",$0.005747,$0.00664,$0.005729,$0.005905,"$213,746","$3,404,532"
"Dec 23, 2022",$0.005711,$0.005752,$0.005634,$0.005747,"$55,826","$3,313,467"
"Dec 22, 2022",$0.005756,$0.005765,$0.005688,$0.005711,"$29,037","$3,292,477"
"Dec 21, 2022",$0.005703,$0.005768,$0.005657,$0.005751,"$47,944","$3,315,278"
"Dec 20, 2022",$0.00558,$0.005978,$0.005579,$0.005703,"$49,665","$3,287,678"
"Dec 19, 2022",$0.005594,$0.005664,$0.005571,$0.00558,"$81,692","$3,217,143"
"Dec 18, 2022",$0.005743,$0.005768,$0.005582,$0.005594,"$99,829","$3,225,030"
"Dec 17, 2022",$0.005852,$0.005885,$0.005625,$0.005743,"$72,370","$3,310,725"
"Dec 16, 2022",$0.006027,$0.006073,$0.00582,$0.005852,"$125,593","$3,373,697"
"Dec 15, 2022",$0.006486,$0.006498,$0.005992,$0.006027,"$173,908","$3,474,644"
"Dec 14, 2022",$0.00641,$0.006711,$0.00627,$0.006485,"$157,404","$3,738,763"
"Dec 13, 2022",$0.006442,$0.006676,$0.006307,$0.006404,"$187,993","$3,691,993"
"Dec 12, 2022",$0.006711,$0.00678,$0.006416,$0.00644,"$213,155","$3,712,849"
"Dec 11, 2022",$0.006288,$0.00688,$0.006272,$0.006711,"$315,514","$3,868,955"
"Dec 10, 2022",$0.006309,$0.006354,$0.006274,$0.006288,"$202,836","$3,625,144"
"Dec 09, 2022",$0.006341,$0.006393,$0.006279,$0.006309,"$162,313","$3,636,964"
"Dec 08, 2022",$0.00634,$0.006391,$0.006271,$0.006341,"$193,726","$3,655,860"
"Dec 07, 2022",$0.006502,$0.00651,$0.006248,$0.00634,"$154,720","$3,654,833"
"Dec 06, 2022",$0.006541,$0.006555,$0.006344,$0.006498,"$137,586","$3,746,341"
"Dec 05, 2022",$0.006482,$0.006587,$0.00647,$0.006541,"$299,114","$3,771,023"
"Dec 04, 2022",$0.006342,$0.006517,$0.006334,$0.006472,"$77,917","$3,731,259"
"Dec 03, 2022",$0.006526,$0.006682,$0.006273,$0.006337,"$188,173","$3,653,610"
"Dec 02, 2022",$0.00645,$0.006546,$0.00633,$0.006531,"$134,514","$3,765,072"
"Dec 01, 2022",$0.00655,$0.00657,$0.006444,$0.006448,"$159,850","$3,717,527"
"Nov 30, 2022",$0.006433,$0.006697,$0.006427,$0.00655,"$251,343","$3,776,390"
"Nov 29, 2022",$0.006279,$0.006567,$0.006258,$0.006433,"$238,874","$3,708,688"
"Nov 28, 2022",$0.006458,$0.00647,$0.006194,$0.006281,"$132,744","$3,621,069"
"Nov 27, 2022",$0.006763,$0.006835,$0.006442,$0.006458,"$143,336","$3,723,008"
"Nov 26, 2022",$0.006503,$0.006894,$0.006496,$0.006767,"$128,300","$3,901,463"
"Nov 25, 2022",$0.006577,$0.007875,$0.006452,$0.006502,"$291,948","$3,748,626"
"Nov 24, 2022",$0.006602,$0.006691,$0.006509,$0.006577,"$125,714","$3,791,913"
"Nov 23, 2022",$0.006118,$0.007035,$0.006107,$0.006604,"$217,308","$3,807,167"
"Nov 22, 2022",$0.006275,$0.00665,$0.006111,$0.006121,"$183,199","$3,528,877"
"Nov 21, 2022",$0.006378,$0.006468,$0.006187,$0.006275,"$117,661","$3,617,490"
"Nov 20, 2022",$0.006559,$0.006582,$0.006335,$0.006387,"$121,001","$3,682,295"
"Nov 19, 2022",$0.006616,$0.00662,$0.006548,$0.006559,"$116,001","$3,781,315"
"Nov 18, 2022",$0.00633,$0.00662,$0.006323,$0.006619,"$108,205","$3,815,781"
"Nov 17, 2022",$0.006422,$0.006971,$0.00615,$0.006325,"$225,755","$3,646,190"
"Nov 16, 2022",$0.00632,$0.006676,$0.00618,$0.006425,"$152,988","$3,703,948"
"Nov 15, 2022",$0.006526,$0.006539,$0.006264,$0.006316,"$149,278","$3,641,413"
"Nov 14, 2022",$0.006656,$0.00669,$0.006406,$0.006526,"$139,735","$3,762,431"
"Nov 13, 2022",$0.006874,$0.007002,$0.006598,$0.006657,"$180,121","$3,837,866"
"Nov 12, 2022",$0.007561,$0.007639,$0.006846,$0.006871,"$132,887","$3,960,965"
"Nov 11, 2022",$0.007475,$0.007605,$0.007303,$0.007557,"$295,776","$4,356,549"
"Nov 10, 2022",$0.007109,$0.00788,$0.00708,$0.007481,"$209,176","$4,312,822"
"Nov 09, 2022",$0.008391,$0.008404,$0.007071,$0.007115,"$275,206","$4,101,674"
"Nov 08, 2022",$0.008472,$0.008669,$0.007779,$0.008391,"$312,502","$4,837,265"
"Nov 07, 2022",$0.008526,$0.008739,$0.008372,$0.008472,"$228,482","$4,884,195"
"Nov 06, 2022",$0.008642,$0.008691,$0.008519,$0.008529,"$301,720","$4,917,297"
"Nov 05, 2022",$0.008578,$0.008676,$0.008471,$0.008641,"$75,829","$4,981,793"
"Nov 04, 2022",$0.008497,$0.008888,$0.008298,$0.008578,"$223,902","$4,945,499"
"Nov 03, 2022",$0.008437,$0.009166,$0.008422,$0.008498,"$307,238","$4,899,374"
"Nov 02, 2022",$0.008678,$0.008919,$0.008388,$0.008437,"$266,321","$4,864,055"
"Nov 01, 2022",$0.008758,$0.008903,$0.008518,$0.008678,"$267,969","$5,002,700"
"Oct 31, 2022",$0.008717,$0.00883,$0.008417,$0.008758,"$240,966","$5,049,256"
"Oct 30, 2022",$0.008597,$0.00872,$0.008564,$0.008717,"$300,345","$5,025,266"
"Oct 29, 2022",$0.00891,$0.008974,$0.008536,$0.008597,"$151,020","$4,956,038"
"Oct 28, 2022",$0.008395,$0.00906,$0.008333,$0.00891,"$256,088","$5,136,767"
"Oct 27, 2022",$0.00893,$0.008955,$0.008278,$0.008395,"$364,223","$4,839,814"
"Oct 26, 2022",$0.008915,$0.009506,$0.0089,$0.00893,"$439,952","$5,148,188"
"Oct 25, 2022",$0.009212,$0.009345,$0.008873,$0.008923,"$358,373","$5,144,283"
"Oct 24, 2022",$0.009171,$0.009342,$0.009138,$0.009212,"$192,184","$5,310,769"
"Oct 23, 2022",$0.01035,$0.01096,$0.009129,$0.009167,"$362,614","$5,284,990"
"Oct 22, 2022",$0.008159,$0.01111,$0.008135,$0.01035,"$859,633","$5,966,706"
"Oct 21, 2022",$0.008147,$0.008167,$0.007922,$0.008159,"$255,202","$4,703,820"
"Oct 20, 2022",$0.008195,$0.00848,$0.007977,$0.008147,"$285,053","$4,696,541"
