Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.07,$1.07,$1.07,$1.07,"$295,538","$26,662,170"
"Dec 30, 2022",$1.06,$1.07,$1.06,$1.07,"$1,073,884","$26,617,225"
"Dec 29, 2022",$1.06,$1.07,$1.06,$1.06,"$437,424","$26,396,248"
"Dec 28, 2022",$1.06,$1.07,$1.06,$1.06,"$533,495","$26,463,935"
"Dec 27, 2022",$1.06,$1.07,$1.06,$1.06,"$835,434","$26,812,653"
"Dec 26, 2022",$1.06,$1.06,$1.06,$1.06,"$196,577","$26,462,767"
"Dec 25, 2022",$1.06,$1.07,$1.06,$1.06,"$198,492","$26,435,664"
"Dec 24, 2022",$1.06,$1.07,$1.06,$1.06,"$431,908","$26,506,143"
"Dec 23, 2022",$1.06,$1.06,$1.06,$1.06,"$346,457","$26,502,927"
"Dec 22, 2022",$1.06,$1.07,$1.06,$1.06,"$1,776,934","$26,464,513"
"Dec 21, 2022",$1.06,$1.06,$1.06,$1.06,"$772,273","$26,419,623"
"Dec 20, 2022",$1.06,$1.06,$1.06,$1.06,"$741,187","$26,449,302"
"Dec 19, 2022",$1.06,$1.06,$1.06,$1.06,"$813,721","$26,599,665"
"Dec 18, 2022",$1.06,$1.06,$1.06,$1.06,"$123,501","$26,802,129"
"Dec 17, 2022",$1.06,$1.06,$1.06,$1.06,"$118,616","$26,841,806"
"Dec 16, 2022",$1.06,$1.07,$1.06,$1.06,"$944,284","$26,876,620"
"Dec 15, 2022",$1.07,$1.07,$1.06,$1.06,"$889,268","$26,922,192"
"Dec 14, 2022",$1.06,$1.07,$1.06,$1.07,"$1,289,583","$27,231,030"
"Dec 13, 2022",$1.05,$1.07,$1.05,$1.06,"$1,653,501","$27,226,777"
"Dec 12, 2022",$1.05,$1.08,$1.05,$1.05,"$544,018","$26,916,412"
"Dec 11, 2022",$1.05,$1.05,$1.05,$1.05,"$88,145","$27,074,058"
"Dec 10, 2022",$1.05,$1.06,$1.05,$1.05,"$820,615","$27,057,228"
"Dec 09, 2022",$1.05,$1.06,$1.05,$1.05,"$291,210","$27,071,943"
"Dec 08, 2022",$1.05,$1.06,$1.05,$1.05,"$643,640","$27,124,832"
"Dec 07, 2022",$1.05,$1.05,$1.05,$1.05,"$808,532","$27,041,194"
"Dec 06, 2022",$1.05,$1.05,$1.05,$1.05,"$411,577","$27,005,230"
"Dec 05, 2022",$1.05,$1.06,$1.05,$1.05,"$1,108,412","$27,067,189"
"Dec 04, 2022",$1.05,$1.05,$1.05,$1.05,"$447,084","$27,134,935"
"Dec 03, 2022",$1.05,$1.05,$1.05,$1.05,"$146,037","$27,099,909"
"Dec 02, 2022",$1.05,$1.06,$1.05,$1.05,"$2,973,573","$27,105,047"
"Dec 01, 2022",$1.04,$1.05,$1.04,$1.05,"$4,813,280","$26,891,038"
"Nov 30, 2022",$1.04,$1.04,$1.03,$1.04,"$1,461,061","$26,491,404"
"Nov 29, 2022",$1.04,$1.04,$1.03,$1.04,"$1,348,713","$26,413,620"
"Nov 28, 2022",$1.04,$1.05,$1.04,$1.04,"$1,988,375","$26,342,966"
"Nov 27, 2022",$1.04,$1.04,$1.04,$1.04,"$229,572","$26,396,023"
"Nov 26, 2022",$1.04,$1.04,$1.04,$1.04,"$565,689","$26,390,787"
"Nov 25, 2022",$1.04,$1.04,$1.04,$1.04,"$1,041,706","$26,433,720"
"Nov 24, 2022",$1.04,$1.04,$1.04,$1.04,"$1,442,567","$26,543,279"
"Nov 23, 2022",$1.03,$1.04,$1.03,$1.04,"$1,659,683","$26,734,520"
"Nov 22, 2022",$1.03,$1.03,$1.02,$1.03,"$376,720","$26,476,959"
"Nov 21, 2022",$1.03,$1.03,$1.02,$1.02,"$1,362,062","$30,913,227"
"Nov 20, 2022",$1.03,$1.03,$1.03,$1.03,"$581,824","$41,489,499"
"Nov 19, 2022",$1.03,$1.03,$1.03,$1.03,"$179,458","$41,497,039"
