Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0001581,$0.0001583,$0.0001506,$0.000153,"$13,212","$9,772,605"
"Dec 30, 2022",$0.0001538,$0.0001582,$0.0001506,$0.000158,"$5,792","$10,090,673"
"Dec 29, 2022",$0.0001504,$0.0001544,$0.0001491,$0.0001538,"$3,960","$9,824,660"
"Dec 28, 2022",$0.0001545,$0.0001549,$0.0001482,$0.0001504,"$7,723","$9,610,516"
"Dec 27, 2022",$0.000162,$0.0001631,$0.0001504,$0.0001543,"$22,764","$9,854,285"
"Dec 26, 2022",$0.0001587,$0.0001624,$0.0001577,$0.0001624,"$7,523","$10,371,108"
"Dec 25, 2022",$0.000159,$0.0001623,$0.0001584,$0.0001588,"$8,326","$10,146,036"
"Dec 24, 2022",$0.0001516,$0.000159,$0.0001512,$0.000159,"$13,061","$10,156,256"
"Dec 23, 2022",$0.0001494,$0.000157,$0.0001491,$0.0001516,"$15,209","$9,682,699"
"Dec 22, 2022",$0.0001453,$0.0001512,$0.0001451,$0.0001495,"$9,109","$9,547,616"
"Dec 21, 2022",$0.0001547,$0.0001552,$0.0001443,$0.0001452,"$8,963","$9,274,544"
"Dec 20, 2022",$0.0001437,$0.000156,$0.0001433,$0.0001547,"$8,378","$9,883,467"
"Dec 19, 2022",$0.0001499,$0.0001513,$0.0001421,$0.0001437,"$10,491","$9,181,599"
"Dec 18, 2022",$0.0001479,$0.0001534,$0.0001454,$0.0001499,"$4,932","$9,574,598"
"Dec 17, 2022",$0.0001391,$0.0001485,$0.0001343,$0.000148,"$8,264","$9,455,485"
"Dec 16, 2022",$0.000159,$0.0001647,$0.0001366,$0.0001394,"$40,071","$8,901,964"
"Dec 15, 2022",$0.000163,$0.0001639,$0.0001578,$0.0001589,"$5,917","$10,150,723"
"Dec 14, 2022",$0.0001718,$0.0001753,$0.0001597,$0.0001631,"$20,952","$10,419,280"
"Dec 13, 2022",$0.0001617,$0.0001764,$0.0001424,$0.0001716,"$65,930","$10,959,447"
"Dec 12, 2022",$0.0001677,$0.0001677,$0.0001572,$0.000162,"$42,391","$10,346,403"
"Dec 11, 2022",$0.0001777,$0.0001789,$0.0001613,$0.0001677,"$33,491","$10,712,923"
"Dec 10, 2022",$0.0001813,$0.0001825,$0.0001681,$0.0001777,"$30,562","$11,350,307"
"Dec 09, 2022",$0.0001847,$0.0001875,$0.0001799,$0.0001813,"$12,160","$11,584,189"
"Dec 08, 2022",$0.0001781,$0.0001847,$0.0001757,$0.0001847,"$10,509","$11,796,332"
"Dec 07, 2022",$0.0001819,$0.0001843,$0.0001767,$0.0001781,"$9,915","$11,377,373"
"Dec 06, 2022",$0.0001783,$0.0001824,$0.0001778,$0.0001817,"$7,125","$11,608,329"
"Dec 05, 2022",$0.0001812,$0.0001897,$0.0001735,$0.0001783,"$27,748","$11,388,349"
"Dec 04, 2022",$0.0001851,$0.000189,$0.0001788,$0.0001816,"$28,379","$11,602,225"
"Dec 03, 2022",$0.0001929,$0.0001934,$0.0001714,$0.0001855,"$34,723","$11,847,729"
"Dec 02, 2022",$0.0001906,$0.000193,$0.000186,$0.000193,"$9,355","$12,326,694"
"Dec 01, 2022",$0.0001971,$0.0001986,$0.000186,$0.0001905,"$22,595","$12,170,845"
"Nov 30, 2022",$0.0001934,$0.0002018,$0.0001913,$0.0001971,"$30,284","$12,589,046"
"Nov 29, 2022",$0.0001836,$0.0001959,$0.0001814,$0.0001934,"$11,483","$12,351,417"
"Nov 28, 2022",$0.0002021,$0.0002047,$0.0001734,$0.0001836,"$28,299","$11,727,088"
"Nov 27, 2022",$0.0002093,$0.0002104,$0.0002021,$0.0002021,"$5,026","$12,909,762"
"Nov 26, 2022",$0.0001838,$0.0002131,$0.0001835,$0.0002094,"$32,130","$13,375,662"
"Nov 25, 2022",$0.0001905,$0.0001909,$0.0001795,$0.0001836,"$14,350","$11,730,505"
"Nov 24, 2022",$0.0001947,$0.000195,$0.000188,$0.0001905,"$10,885","$12,171,589"
"Nov 23, 2022",$0.0001798,$0.0001975,$0.0001785,$0.0001947,"$59,966","$12,439,622"
