Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.04017,$0.04346,$0.03923,$0.0394,"$18,326,523","$22,983,937"
"Dec 30, 2022",$0.04001,$0.04097,$0.03409,$0.04025,"$1,747,675","$23,469,403"
"Dec 29, 2022",$0.03547,$0.04032,$0.03403,$0.03999,"$1,335,952","$23,305,657"
"Dec 28, 2022",$0.038,$0.04246,$0.03528,$0.03547,"$1,485,072","$20,659,479"
"Dec 27, 2022",$0.04359,$0.04617,$0.03783,$0.038,"$821,997","$22,126,462"
"Dec 26, 2022",$0.03865,$0.04361,$0.03738,$0.04359,"$1,124,474","$25,367,736"
"Dec 25, 2022",$0.04092,$0.04162,$0.03848,$0.03865,"$676,496","$22,478,843"
"Dec 24, 2022",$0.03888,$0.04105,$0.03867,$0.04094,"$920,487","$23,803,583"
"Dec 23, 2022",$0.03992,$0.03994,$0.03876,$0.03888,"$980,696","$22,594,195"
"Dec 22, 2022",$0.03996,$0.04056,$0.03893,$0.03992,"$2,757,138","$23,187,016"
"Dec 21, 2022",$0.04016,$0.0406,$0.03929,$0.03998,"$2,943,861","$23,207,779"
"Dec 20, 2022",$0.03688,$0.04057,$0.03663,$0.04017,"$10,189,621","$23,304,911"
"Dec 19, 2022",$0.03913,$0.03915,$0.03666,$0.0369,"$1,567,044","$21,399,800"
"Dec 18, 2022",$0.03949,$0.03959,$0.03831,$0.03908,"$769,389","$22,654,791"
"Dec 17, 2022",$0.03978,$0.03991,$0.0375,$0.03947,"$3,664,038","$22,869,167"
"Dec 16, 2022",$0.04021,$0.04386,$0.03945,$0.03976,"$12,911,608","$23,021,772"
"Dec 15, 2022",$0.0409,$0.04098,$0.03981,$0.04023,"$4,464,559","$23,286,420"
"Dec 14, 2022",$0.0411,$0.04132,$0.04066,$0.04079,"$1,118,926","$23,596,524"
"Dec 13, 2022",$0.03911,$0.04114,$0.03873,$0.04114,"$3,327,883","$23,787,838"
"Dec 12, 2022",$0.04056,$0.04056,$0.03863,$0.03908,"$1,248,472","$22,586,001"
"Dec 11, 2022",$0.04121,$0.04141,$0.04042,$0.04052,"$1,451,737","$23,406,699"
"Dec 10, 2022",$0.04086,$0.04196,$0.04069,$0.04119,"$9,544,739","$23,780,231"
"Dec 09, 2022",$0.04122,$0.04166,$0.04077,$0.04086,"$2,150,822","$23,581,525"
"Dec 08, 2022",$0.04082,$0.04124,$0.03883,$0.04121,"$6,184,335","$23,374,925"
"Dec 07, 2022",$0.04087,$0.04597,$0.04068,$0.04084,"$58,546,941","$23,152,886"
"Dec 06, 2022",$0.03992,$0.04079,$0.0393,$0.04079,"$556,697","$23,110,569"
"Dec 05, 2022",$0.04006,$0.04047,$0.03969,$0.03992,"$717,369","$22,604,318"
"Dec 04, 2022",$0.03994,$0.03994,$0.03947,$0.03979,"$715,191","$22,521,978"
"Dec 03, 2022",$0.03977,$0.04028,$0.0393,$0.03969,"$519,113","$22,452,978"
"Dec 02, 2022",$0.04079,$0.04087,$0.0391,$0.03976,"$1,213,666","$22,485,049"
"Dec 01, 2022",$0.03979,$0.04144,$0.03966,$0.04075,"$3,796,893","$23,031,955"
"Nov 30, 2022",$0.04092,$0.04177,$0.03899,$0.03979,"$939,787","$22,478,846"
"Nov 29, 2022",$0.0404,$0.04208,$0.03877,$0.04092,"$2,078,321","$23,104,975"
"Nov 28, 2022",$0.03975,$0.04049,$0.03765,$0.04042,"$1,266,492","$22,807,638"
"Nov 27, 2022",$0.04245,$0.04267,$0.03954,$0.03968,"$1,473,293","$22,380,917"
