Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0704,$0.07147,$0.0697,$0.07066,"$345,747","$22,066,460"
"Dec 30, 2022",$0.07032,$0.07063,$0.06918,$0.07039,"$434,660","$21,981,432"
"Dec 29, 2022",$0.06902,$0.07114,$0.06816,$0.07032,"$874,854","$21,959,421"
"Dec 28, 2022",$0.07215,$0.07254,$0.06862,$0.06901,"$967,192","$21,549,888"
"Dec 27, 2022",$0.07257,$0.07297,$0.07104,$0.07216,"$561,417","$22,534,620"
"Dec 26, 2022",$0.07374,$0.07378,$0.07159,$0.07257,"$691,913","$22,663,258"
"Dec 25, 2022",$0.07492,$0.07525,$0.07286,$0.07374,"$720,858","$23,027,703"
"Dec 24, 2022",$0.07525,$0.07549,$0.07469,$0.07492,"$457,715","$23,395,843"
"Dec 23, 2022",$0.07533,$0.07594,$0.07463,$0.07524,"$624,238","$23,496,395"
"Dec 22, 2022",$0.07516,$0.07603,$0.0734,$0.07533,"$899,430","$23,523,971"
"Dec 21, 2022",$0.07673,$0.07698,$0.0742,$0.07537,"$685,167","$23,535,900"
"Dec 20, 2022",$0.0735,$0.07714,$0.07342,$0.07673,"$793,258","$23,960,642"
"Dec 19, 2022",$0.078,$0.07874,$0.07263,$0.07349,"$1,096,624","$22,949,433"
"Dec 18, 2022",$0.07777,$0.07812,$0.07653,$0.07797,"$787,542","$24,350,167"
"Dec 17, 2022",$0.07963,$0.07979,$0.07592,$0.07777,"$1,162,877","$24,285,295"
"Dec 16, 2022",$0.09026,$0.09139,$0.07913,$0.07963,"$2,109,763","$24,867,106"
"Dec 15, 2022",$0.0889,$0.09229,$0.08741,$0.09026,"$2,229,195","$28,187,640"
"Dec 14, 2022",$0.08823,$0.08917,$0.08728,$0.0889,"$1,300,039","$27,763,271"
"Dec 13, 2022",$0.08686,$0.08857,$0.08359,$0.08824,"$1,338,270","$27,554,616"
"Dec 12, 2022",$0.08676,$0.08694,$0.08385,$0.08685,"$1,052,089","$27,123,329"
"Dec 11, 2022",$0.08619,$0.08893,$0.08616,$0.08675,"$1,423,033","$27,091,388"
"Dec 10, 2022",$0.08582,$0.08719,$0.08574,$0.08618,"$969,270","$26,913,988"
"Dec 09, 2022",$0.08469,$0.0889,$0.08441,$0.08582,"$1,768,121","$26,799,023"
"Dec 08, 2022",$0.08349,$0.08487,$0.08247,$0.0847,"$1,801,398","$26,449,354"
"Dec 07, 2022",$0.08716,$0.08724,$0.08287,$0.08354,"$2,070,693","$26,087,108"
"Dec 06, 2022",$0.08566,$0.08723,$0.08528,$0.08715,"$1,884,416","$27,216,109"
"Dec 05, 2022",$0.08688,$0.08879,$0.08485,$0.08579,"$2,151,264","$26,789,622"
"Dec 04, 2022",$0.08732,$0.08848,$0.08595,$0.0869,"$1,882,502","$27,136,596"
"Dec 03, 2022",$0.08829,$0.09,$0.08698,$0.0873,"$2,257,078","$27,261,733"
"Dec 02, 2022",$0.08656,$0.08846,$0.08609,$0.08827,"$2,126,773","$27,566,019"
"Dec 01, 2022",$0.08784,$0.08883,$0.08604,$0.08656,"$2,938,280","$27,031,626"
"Nov 30, 2022",$0.08322,$0.0882,$0.08318,$0.08784,"$2,310,623","$27,431,175"
"Nov 29, 2022",$0.08167,$0.08508,$0.08101,$0.08329,"$2,428,041","$26,010,098"
"Nov 28, 2022",$0.08235,$0.0835,$0.07896,$0.0817,"$2,857,699","$25,513,017"
"Nov 27, 2022",$0.0834,$0.08471,$0.08223,$0.08227,"$1,492,555","$25,692,792"
"Nov 26, 2022",$0.0825,$0.08408,$0.08227,$0.08342,"$1,783,172","$26,049,403"
"Nov 25, 2022",$0.08203,$0.08281,$0.08043,$0.08248,"$1,526,410","$25,758,298"
"Nov 24, 2022",$0.08162,$0.08268,$0.08064,$0.082,"$1,718,413","$25,608,432"
"Nov 23, 2022",$0.07791,$0.08194,$0.07763,$0.08161,"$1,920,931","$25,485,783"
"Nov 22, 2022",$0.07517,$0.07943,$0.07382,$0.07788,"$2,320,753","$24,320,032"
"Nov 21, 2022",$0.07637,$0.07643,$0.07359,$0.0752,"$2,296,725","$23,485,078"
"Nov 20, 2022",$0.07925,$0.08286,$0.07616,$0.07637,"$5,062,062","$23,848,351"
"Nov 19, 2022",$0.07935,$0.07977,$0.0776,$0.07921,"$1,560,112","$24,735,539"
