Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$4.21,$4.23,$4.13,$4.15,"$2,311,006","$301,535,590"
"Dec 30, 2022",$4.35,$4.36,$4.20,$4.21,"$3,582,460","$305,979,595"
"Dec 29, 2022",$4.30,$4.42,$4.29,$4.35,"$2,743,914","$315,882,757"
"Dec 28, 2022",$4.54,$4.54,$4.28,$4.31,"$3,507,419","$312,730,810"
"Dec 27, 2022",$4.74,$4.76,$4.53,$4.54,"$4,216,031","$329,690,292"
"Dec 26, 2022",$4.77,$4.79,$4.73,$4.74,"$2,865,196","$344,266,444"
"Dec 25, 2022",$4.75,$4.78,$4.74,$4.77,"$4,754,959","$346,802,267"
"Dec 24, 2022",$4.73,$4.76,$4.70,$4.75,"$3,268,613","$344,751,191"
"Dec 23, 2022",$4.64,$4.78,$4.64,$4.73,"$5,654,424","$342,601,341"
"Dec 22, 2022",$4.95,$4.97,$4.62,$4.64,"$5,454,296","$75,259,984"
"Dec 21, 2022",$5.03,$5.12,$4.89,$4.95,"$5,166,586","$80,195,933"
"Dec 20, 2022",$5.02,$5.21,$5.00,$5.03,"$5,431,189","$81,592,390"
"Dec 19, 2022",$5.28,$5.33,$5.01,$5.02,"$4,774,181","$81,313,914"
"Dec 18, 2022",$5.17,$5.32,$5.14,$5.28,"$3,166,513","$85,581,613"
"Dec 17, 2022",$5.16,$5.21,$5.10,$5.17,"$3,768,860","$83,722,389"
"Dec 16, 2022",$5.48,$5.49,$5.16,$5.16,"$7,425,558","$83,718,033"
"Dec 15, 2022",$5.69,$5.72,$5.40,$5.48,"$6,872,791","$88,850,782"
"Dec 14, 2022",$5.65,$5.84,$5.64,$5.69,"$5,976,674","$92,293,997"
"Dec 13, 2022",$5.67,$5.82,$5.43,$5.65,"$10,335,901","$91,560,200"
"Dec 12, 2022",$5.84,$5.85,$5.57,$5.67,"$6,532,487","$91,883,500"
"Dec 11, 2022",$6.05,$6.08,$5.84,$5.84,"$5,514,726","$94,742,981"
"Dec 10, 2022",$6.12,$6.29,$6.05,$6.05,"$6,023,064","$98,098,680"
"Dec 09, 2022",$6.01,$6.20,$6.01,$6.12,"$6,271,599","$99,135,136"
"Dec 08, 2022",$5.74,$6.17,$5.70,$6.01,"$16,485,722","$97,413,120"
"Dec 07, 2022",$5.35,$5.98,$5.34,$5.74,"$27,230,576","$93,019,819"
"Dec 06, 2022",$5.27,$5.39,$5.17,$5.35,"$7,310,765","$86,708,085"
"Dec 05, 2022",$4.94,$5.31,$4.94,$5.27,"$9,978,592","$85,434,491"
"Dec 04, 2022",$4.83,$4.95,$4.82,$4.94,"$2,773,542","$80,121,870"
"Dec 03, 2022",$4.87,$4.88,$4.82,$4.83,"$2,043,318","$78,334,533"
"Dec 02, 2022",$4.86,$4.93,$4.82,$4.87,"$2,811,049","$78,976,963"
"Dec 01, 2022",$4.91,$4.92,$4.83,$4.86,"$3,354,000","$78,773,314"
"Nov 30, 2022",$4.61,$4.92,$4.61,$4.92,"$5,183,944","$79,717,873"
"Nov 29, 2022",$4.67,$4.77,$4.61,$4.61,"$4,209,898","$74,774,889"
"Nov 28, 2022",$4.58,$4.75,$4.53,$4.67,"$6,164,482","$75,647,725"
"Nov 27, 2022",$4.62,$4.65,$4.58,$4.58,"$2,402,031","$74,257,673"
"Nov 26, 2022",$4.60,$4.67,$4.58,$4.62,"$2,758,973","$74,873,578"
"Nov 25, 2022",$4.54,$4.62,$4.48,$4.60,"$2,894,187","$74,508,670"
"Nov 24, 2022",$4.47,$4.55,$4.43,$4.54,"$3,115,535","$73,565,464"
"Nov 23, 2022",$4.31,$4.75,$4.31,$4.47,"$14,967,399","$72,422,532"
"Nov 22, 2022",$4.32,$4.37,$4.23,$4.31,"$3,454,423","$69,793,684"
"Nov 21, 2022",$4.42,$4.44,$4.28,$4.32,"$3,443,661","$70,071,298"
"Nov 20, 2022",$4.53,$4.64,$4.42,$4.42,"$2,369,195","$71,626,642"
"Nov 19, 2022",$4.43,$4.58,$4.43,$4.53,"$2,018,510","$73,415,447"
"Nov 18, 2022",$4.42,$4.50,$4.41,$4.43,"$1,893,740","$71,786,232"
"Nov 17, 2022",$4.60,$4.64,$4.32,$4.42,"$6,909,629","$71,696,545"
"Nov 16, 2022",$4.71,$4.75,$4.57,$4.60,"$2,474,406","$74,624,032"
"Nov 15, 2022",$4.72,$4.81,$4.68,$4.71,"$2,523,318","$76,326,522"
"Nov 14, 2022",$4.63,$4.76,$4.46,$4.72,"$4,865,161","$76,540,550"
"Nov 13, 2022",$4.45,$4.64,$4.42,$4.63,"$7,515,306","$75,062,174"
"Nov 12, 2022",$4.94,$4.94,$4.35,$4.44,"$6,265,445","$72,047,975"
"Nov 11, 2022",$5.37,$5.41,$4.92,$4.94,"$9,094,031","$80,123,840"
"Nov 10, 2022",$5.26,$5.50,$5.13,$5.38,"$10,292,350","$87,134,235"
"Nov 09, 2022",$5.56,$5.56,$5.23,$5.26,"$17,953,330","$85,313,403"
"Nov 08, 2022",$6.71,$6.71,$5.46,$5.56,"$16,749,803","$90,117,607"
"Nov 07, 2022",$6.89,$6.89,$6.68,$6.70,"$4,346,820","$108,596,958"
"Nov 06, 2022",$6.99,$7.19,$6.89,$6.89,"$5,635,897","$111,757,098"
"Nov 05, 2022",$6.89,$7.14,$6.89,$6.99,"$5,484,887","$113,371,180"
"Nov 04, 2022",$6.52,$6.96,$6.50,$6.89,"$11,600,176","$111,728,819"
"Nov 03, 2022",$6.34,$6.62,$6.33,$6.52,"$7,418,230","$105,680,220"
"Nov 02, 2022",$6.58,$6.59,$6.31,$6.34,"$6,554,922","$102,848,011"
"Nov 01, 2022",$6.88,$6.88,$6.55,$6.58,"$6,690,167","$106,644,803"
"Oct 31, 2022",$6.65,$6.88,$6.59,$6.88,"$9,033,632","$111,484,439"
"Oct 30, 2022",$6.95,$7.09,$6.64,$6.65,"$8,018,050","$107,816,804"
"Oct 29, 2022",$6.35,$7.13,$6.35,$6.95,"$20,499,301","$112,728,373"
"Oct 28, 2022",$6.07,$6.36,$5.95,$6.36,"$8,227,996","$103,020,044"
"Oct 27, 2022",$6.11,$6.20,$6.04,$6.07,"$6,635,812","$98,435,576"
"Oct 26, 2022",$6.00,$6.15,$5.99,$6.11,"$6,836,922","$99,001,834"
"Oct 25, 2022",$5.90,$6.09,$5.80,$6.00,"$7,848,337","$97,195,188"
"Oct 24, 2022",$6.13,$6.20,$5.88,$5.90,"$4,786,996","$95,575,094"
"Oct 23, 2022",$6.01,$6.15,$5.69,$6.13,"$6,313,286","$99,431,821"
"Oct 22, 2022",$6.19,$6.20,$5.98,$6.01,"$3,961,863","$97,438,284"
"Oct 21, 2022",$6.15,$6.33,$6.11,$6.19,"$8,099,700","$100,297,481"
"Oct 20, 2022",$6.10,$6.21,$6.07,$6.15,"$5,814,677","$99,629,987"
"Oct 19, 2022",$6.70,$6.78,$6.10,$6.11,"$12,872,223","$98,992,213"
"Oct 18, 2022",$6.11,$7.02,$6.11,$6.69,"$25,662,866","$108,521,654"
"Oct 17, 2022",$6.02,$6.16,$5.89,$6.11,"$7,359,647","$99,066,566"
"Oct 16, 2022",$6.00,$6.28,$5.85,$6.02,"$14,635,779","$97,542,122"
"Oct 15, 2022",$5.25,$6.02,$5.25,$6.00,"$25,274,283","$97,299,148"
"Oct 14, 2022",$4.89,$5.29,$4.89,$5.26,"$6,232,011","$85,186,122"
"Oct 13, 2022",$4.82,$4.90,$4.70,$4.90,"$5,689,056","$79,348,567"
"Oct 12, 2022",$4.87,$4.96,$4.81,$4.81,"$4,014,399","$78,017,779"
"Oct 11, 2022",$5.11,$5.11,$4.86,$4.87,"$4,180,897","$78,976,064"
"Oct 10, 2022",$5.08,$5.21,$5.04,$5.11,"$6,227,446","$82,862,084"
"Oct 09, 2022",$5.06,$5.15,$5.00,$5.08,"$5,748,303","$82,414,737"
"Oct 08, 2022",$4.88,$5.10,$4.88,$5.06,"$9,804,020","$82,037,357"
"Oct 07, 2022",$4.75,$4.89,$4.73,$4.88,"$5,093,982","$79,148,805"
"Oct 06, 2022",$4.73,$4.78,$4.72,$4.75,"$4,385,425","$76,953,225"
"Oct 05, 2022",$4.71,$4.87,$4.63,$4.73,"$9,541,820","$76,599,597"
"Oct 04, 2022",$4.47,$4.71,$4.45,$4.71,"$9,678,673","$76,359,795"
"Oct 03, 2022",$4.20,$4.52,$4.18,$4.47,"$6,161,459","$72,411,546"
"Oct 02, 2022",$4.28,$4.35,$4.15,$4.20,"$7,079,029","$68,085,192"
"Oct 01, 2022",$4.11,$4.43,$4.07,$4.28,"$13,829,911","$69,379,576"
"Sep 30, 2022",$4.11,$4.33,$4.09,$4.11,"$11,618,369","$66,632,076"
"Sep 29, 2022",$4.10,$4.15,$4.05,$4.11,"$4,961,397","$66,586,230"
"Sep 28, 2022",$4.25,$4.25,$4.01,$4.10,"$6,622,715","$66,498,864"
"Sep 27, 2022",$4.34,$4.40,$4.20,$4.25,"$7,899,429","$68,880,618"
"Sep 26, 2022",$4.34,$4.38,$4.29,$4.34,"$4,045,716","$70,270,681"
"Sep 25, 2022",$4.27,$4.35,$4.26,$4.34,"$3,178,498","$70,277,701"
"Sep 24, 2022",$4.33,$4.35,$4.25,$4.27,"$3,868,060","$69,166,067"
"Sep 23, 2022",$4.44,$4.50,$4.25,$4.33,"$6,565,230","$70,130,963"
"Sep 22, 2022",$4.45,$4.48,$4.35,$4.44,"$7,907,714","$71,982,129"
"Sep 21, 2022",$4.77,$4.86,$4.36,$4.45,"$19,362,953","$72,139,059"
