Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1563,$0.1599,$0.152,$0.1577,"$1,531,443","$64,407,199"
"Dec 30, 2022",$0.1567,$0.1589,$0.1536,$0.1565,"$257,154","$63,926,102"
"Dec 29, 2022",$0.1591,$0.1597,$0.1556,$0.1566,"$289,770","$63,978,964"
"Dec 28, 2022",$0.1672,$0.1677,$0.1589,$0.1591,"$269,306","$64,985,136"
"Dec 27, 2022",$0.1691,$0.1695,$0.1659,$0.1672,"$246,012","$68,311,596"
"Dec 26, 2022",$0.1725,$0.1728,$0.167,$0.1691,"$295,470","$69,072,592"
"Dec 25, 2022",$0.1738,$0.1747,$0.1724,$0.1726,"$308,900","$70,521,516"
"Dec 24, 2022",$0.171,$0.1743,$0.1708,$0.174,"$213,680","$71,067,328"
"Dec 23, 2022",$0.173,$0.1733,$0.1702,$0.1709,"$383,424","$69,831,344"
"Dec 22, 2022",$0.1762,$0.1779,$0.1716,$0.1729,"$375,567","$70,650,563"
"Dec 21, 2022",$0.1751,$0.1764,$0.173,$0.1762,"$467,870","$71,962,712"
"Dec 20, 2022",$0.1678,$0.1819,$0.1674,$0.1751,"$1,963,672","$71,541,492"
"Dec 19, 2022",$0.1693,$0.1697,$0.1651,$0.1677,"$726,017","$68,504,841"
"Dec 18, 2022",$0.1679,$0.1711,$0.1674,$0.1693,"$174,070","$69,170,991"
"Dec 17, 2022",$0.1714,$0.1719,$0.1675,$0.1679,"$267,050","$68,600,913"
"Dec 16, 2022",$0.1782,$0.1803,$0.1707,$0.1715,"$456,648","$70,062,724"
"Dec 15, 2022",$0.1822,$0.1828,$0.1781,$0.1781,"$287,039","$72,771,889"
"Dec 14, 2022",$0.1863,$0.1865,$0.1814,$0.1821,"$346,351","$74,409,340"
"Dec 13, 2022",$0.1755,$0.1864,$0.1755,$0.1863,"$517,848","$76,123,131"
"Dec 12, 2022",$0.1766,$0.1766,$0.1741,$0.1752,"$524,795","$71,575,765"
"Dec 11, 2022",$0.1824,$0.1824,$0.1716,$0.1765,"$381,690","$72,095,937"
"Dec 10, 2022",$0.1781,$0.1853,$0.1771,$0.1826,"$760,261","$74,581,572"
"Dec 09, 2022",$0.174,$0.1782,$0.1731,$0.178,"$622,846","$72,708,641"
"Dec 08, 2022",$0.1732,$0.1741,$0.1704,$0.1739,"$259,211","$71,052,992"
"Dec 07, 2022",$0.1769,$0.1777,$0.1731,$0.1731,"$284,209","$70,735,125"
"Dec 06, 2022",$0.1768,$0.1791,$0.1746,$0.1771,"$1,056,545","$72,333,946"
"Dec 05, 2022",$0.1742,$0.1949,$0.173,$0.1767,"$2,839,766","$72,172,008"
"Dec 04, 2022",$0.1727,$0.1748,$0.1722,$0.1742,"$250,469","$71,172,172"
"Dec 03, 2022",$0.1752,$0.176,$0.1724,$0.1727,"$163,442","$70,565,924"
"Dec 02, 2022",$0.174,$0.1755,$0.1724,$0.1752,"$146,003","$71,565,883"
"Dec 01, 2022",$0.1752,$0.1767,$0.1726,$0.174,"$214,088","$71,066,502"
"Nov 30, 2022",$0.1659,$0.1762,$0.1656,$0.1752,"$385,734","$71,569,061"
"Nov 29, 2022",$0.1649,$0.1675,$0.164,$0.166,"$164,767","$67,806,706"
"Nov 28, 2022",$0.168,$0.1685,$0.1645,$0.1648,"$225,333","$67,341,733"
"Nov 27, 2022",$0.1728,$0.1729,$0.1678,$0.1679,"$177,147","$68,607,412"
"Nov 26, 2022",$0.1706,$0.174,$0.1703,$0.1724,"$199,533","$70,448,818"
"Nov 25, 2022",$0.1726,$0.1728,$0.1687,$0.1707,"$332,350","$69,740,019"
"Nov 24, 2022",$0.1737,$0.175,$0.1708,$0.1726,"$340,201","$70,507,368"
"Nov 23, 2022",$0.1691,$0.1744,$0.1672,$0.1736,"$376,567","$70,919,506"
"Nov 22, 2022",$0.1681,$0.1695,$0.1602,$0.1691,"$495,506","$69,086,672"
"Nov 21, 2022",$0.185,$0.186,$0.1621,$0.1678,"$1,424,616","$68,557,911"
"Nov 20, 2022",$0.1757,$0.2011,$0.1724,$0.185,"$2,098,809","$75,589,817"
"Nov 19, 2022",$0.1671,$0.1757,$0.1651,$0.1756,"$315,031","$71,751,150"
