Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01066,$0.01168,$0.01052,$0.01089,"$1,275","$1,969,146"
"Dec 30, 2022",$0.01148,$0.01151,$0.01053,$0.01066,"$1,801","$1,927,745"
"Dec 29, 2022",$0.01148,$0.0117,$0.01116,$0.01148,"$1,430","$2,076,588"
"Dec 28, 2022",$0.01103,$0.01153,$0.01075,$0.01148,"$5,305","$2,075,930"
"Dec 27, 2022",$0.0097,$0.01103,$0.00965,$0.01103,"$1,950","$1,993,656"
"Dec 26, 2022",$0.01221,$0.01232,$0.009666,$0.009696,"$2,215","$1,753,072"
"Dec 25, 2022",$0.01176,$0.01267,$0.01171,$0.01221,$602,"$2,207,884"
"Dec 24, 2022",$0.01078,$0.01182,$0.01072,$0.01176,"$1,609","$2,126,740"
"Dec 23, 2022",$0.01162,$0.01203,$0.01062,$0.01078,"$1,619","$1,949,986"
"Dec 22, 2022",$0.01106,$0.01194,$0.01105,$0.01162,"$2,472","$2,101,317"
"Dec 21, 2022",$0.01188,$0.01189,$0.011,$0.01106,"$1,022","$1,999,168"
"Dec 20, 2022",$0.0107,$0.01189,$0.01066,$0.01188,"$7,858","$2,148,386"
"Dec 19, 2022",$0.01215,$0.01222,$0.01044,$0.0107,"$2,681","$1,934,254"
"Dec 18, 2022",$0.01214,$0.01269,$0.01134,$0.01215,"$1,068","$2,197,678"
"Dec 17, 2022",$0.01169,$0.01234,$0.01121,$0.01214,"$8,769","$2,195,155"
"Dec 16, 2022",$0.01296,$0.01311,$0.01167,$0.01169,"$2,765","$2,114,453"
"Dec 15, 2022",$0.01197,$0.01355,$0.01183,$0.01296,"$2,228","$2,343,402"
"Dec 14, 2022",$0.01136,$0.01244,$0.01135,$0.01197,"$2,667","$2,165,194"
"Dec 13, 2022",$0.01192,$0.01228,$0.01132,$0.01136,"$1,273","$2,053,788"
"Dec 12, 2022",$0.01256,$0.01256,$0.01174,$0.01192,"$2,280","$2,155,683"
"Dec 11, 2022",$0.01143,$0.01281,$0.01133,$0.01256,"$2,781","$2,270,286"
"Dec 10, 2022",$0.01242,$0.01242,$0.01118,$0.01143,"$1,693","$2,066,853"
"Dec 09, 2022",$0.01153,$0.01397,$0.01139,$0.01242,$879,"$2,245,311"
"Dec 08, 2022",$0.01225,$0.01228,$0.01093,$0.01153,"$1,833","$2,084,765"
"Dec 07, 2022",$0.01203,$0.01226,$0.01154,$0.01225,"$7,679","$2,214,751"
"Dec 06, 2022",$0.01265,$0.01295,$0.01173,$0.01203,"$28,977","$2,175,455"
"Dec 05, 2022",$0.01211,$0.01265,$0.01115,$0.01265,"$16,225","$2,288,060"
"Dec 04, 2022",$0.01193,$0.01216,$0.0119,$0.01211,"$2,221","$2,189,448"
"Dec 03, 2022",$0.01173,$0.01204,$0.01155,$0.01193,"$13,353","$2,157,604"
"Dec 02, 2022",$0.01175,$0.01201,$0.01141,$0.01172,"$1,159","$2,119,760"
"Dec 01, 2022",$0.01224,$0.01226,$0.01172,$0.01175,"$2,507","$2,123,798"
"Nov 30, 2022",$0.01191,$0.01233,$0.01182,$0.01224,"$3,974","$2,212,910"
"Nov 29, 2022",$0.01137,$0.01243,$0.01133,$0.01191,"$2,480","$2,153,976"
"Nov 28, 2022",$0.01181,$0.01186,$0.01136,$0.01137,"$3,637","$2,055,960"
"Nov 27, 2022",$0.0119,$0.01201,$0.01171,$0.01181,"$2,528","$2,134,681"
"Nov 26, 2022",$0.01171,$0.01218,$0.01171,$0.01191,"$1,010","$2,152,670"
"Nov 25, 2022",$0.01215,$0.01215,$0.0117,$0.01171,"$4,114","$2,117,331"
"Nov 24, 2022",$0.01205,$0.01222,$0.01179,$0.01215,"$1,115","$2,196,027"
"Nov 23, 2022",$0.0118,$0.01241,$0.01117,$0.01205,"$3,977","$2,177,974"
"Nov 22, 2022",$0.01178,$0.01218,$0.01128,$0.0118,"$10,084","$2,133,785"
"Nov 21, 2022",$0.01195,$0.0122,$0.01111,$0.01151,"$18,918","$2,080,243"
"Nov 20, 2022",$0.01257,$0.01269,$0.01129,$0.01194,"$11,976","$2,159,492"
"Nov 19, 2022",$0.01175,$0.01259,$0.01139,$0.01257,"$1,090","$2,273,595"
"Nov 18, 2022",$0.01201,$0.01243,$0.01164,$0.01176,$572,"$2,125,563"
"Nov 17, 2022",$0.01178,$0.01256,$0.01177,$0.01201,"$4,291","$2,171,605"
"Nov 16, 2022",$0.01217,$0.0128,$0.01154,$0.012,"$3,261","$2,170,314"
"Nov 15, 2022",$0.01116,$0.01234,$0.01104,$0.01206,"$5,475","$2,180,326"
"Nov 14, 2022",$0.01188,$0.0124,$0.01093,$0.01118,"$8,493","$2,021,266"
"Nov 13, 2022",$0.01251,$0.01297,$0.01132,$0.01237,"$7,300","$2,237,451"
"Nov 12, 2022",$0.01275,$0.01349,$0.01202,$0.01266,"$2,009","$2,289,343"
"Nov 11, 2022",$0.01328,$0.0137,$0.01159,$0.01275,"$10,124","$2,305,148"
"Nov 10, 2022",$0.0112,$0.01416,$0.01104,$0.01329,"$7,981","$2,403,384"
"Nov 09, 2022",$0.01122,$0.01356,$0.0104,$0.01121,"$19,466","$2,027,625"
"Nov 08, 2022",$0.01492,$0.01498,$0.01051,$0.01122,"$17,531","$2,029,144"
"Nov 07, 2022",$0.01444,$0.01528,$0.01441,$0.01492,"$6,252","$2,697,875"
"Nov 06, 2022",$0.01524,$0.01529,$0.01313,$0.01445,"$4,144","$2,611,892"
"Nov 05, 2022",$0.01448,$0.01674,$0.01445,$0.01525,"$6,400","$2,757,419"
"Nov 04, 2022",$0.01343,$0.01473,$0.01329,$0.01447,"$6,120","$2,616,626"
"Nov 03, 2022",$0.01356,$0.01378,$0.01308,$0.01343,"$3,891","$2,428,095"
"Nov 02, 2022",$0.01374,$0.01385,$0.01302,$0.01356,"$6,191","$2,451,189"
"Nov 01, 2022",$0.01423,$0.01443,$0.01344,$0.01374,"$3,661","$2,485,084"
"Oct 31, 2022",$0.01385,$0.01433,$0.01342,$0.01423,"$2,693","$2,573,497"
"Oct 30, 2022",$0.01449,$0.01504,$0.01353,$0.01385,"$5,396","$2,504,245"
"Oct 29, 2022",$0.01426,$0.01468,$0.01421,$0.01449,"$2,445","$2,619,186"
"Oct 28, 2022",$0.01372,$0.01454,$0.01305,$0.01426,"$5,164","$2,578,649"
"Oct 27, 2022",$0.01395,$0.01402,$0.0132,$0.01372,"$2,175","$2,480,946"
"Oct 26, 2022",$0.01356,$0.0142,$0.01354,$0.01395,"$2,340","$2,522,684"
"Oct 25, 2022",$0.01328,$0.014,$0.01303,$0.01357,"$7,818","$2,452,854"
"Oct 24, 2022",$0.01344,$0.01375,$0.0131,$0.01328,$403,"$2,401,157"
"Oct 23, 2022",$0.01339,$0.01381,$0.01288,$0.01343,"$2,173","$2,428,350"
"Oct 22, 2022",$0.01367,$0.01379,$0.01306,$0.01339,"$2,057","$2,421,817"
"Oct 21, 2022",$0.0131,$0.01426,$0.01296,$0.01365,"$4,967","$2,468,655"
"Oct 20, 2022",$0.01402,$0.01429,$0.01306,$0.0131,"$5,657","$2,368,958"
"Oct 19, 2022",$0.01357,$0.01476,$0.01292,$0.01402,"$14,709","$2,535,013"
"Oct 18, 2022",$0.01368,$0.01544,$0.01317,$0.01357,"$14,541","$2,452,796"
"Oct 17, 2022",$0.01332,$0.01406,$0.01302,$0.01368,"$1,472","$2,474,284"
"Oct 16, 2022",$0.01367,$0.01413,$0.01266,$0.01332,"$2,408","$2,408,500"
"Oct 15, 2022",$0.01325,$0.01417,$0.01286,$0.01367,"$1,966","$2,471,954"
"Oct 14, 2022",$0.01399,$0.0142,$0.01307,$0.01325,"$1,610","$2,395,170"
"Oct 13, 2022",$0.01289,$0.01418,$0.01261,$0.01399,"$6,429","$2,529,163"
"Oct 12, 2022",$0.01299,$0.01326,$0.01285,$0.01289,"$1,437","$2,331,187"
"Oct 11, 2022",$0.01344,$0.0135,$0.01285,$0.01299,"$1,892","$2,349,459"
"Oct 10, 2022",$0.01396,$0.01401,$0.01314,$0.01344,"$4,056","$2,430,194"
"Oct 09, 2022",$0.01353,$0.01399,$0.01328,$0.01396,"$2,944","$2,524,951"
"Oct 08, 2022",$0.01382,$0.01418,$0.0133,$0.01353,"$3,856","$2,446,095"
