Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.006463,$0.006643,$0.006418,$0.006582,"$223,896","$2,727,109"
"Dec 30, 2022",$0.006179,$0.00652,$0.006173,$0.006459,"$271,448","$2,676,221"
"Dec 29, 2022",$0.005879,$0.006242,$0.005847,$0.006179,"$258,791","$2,560,206"
"Dec 28, 2022",$0.006069,$0.006094,$0.005872,$0.005877,"$158,484","$2,434,983"
"Dec 27, 2022",$0.006034,$0.006123,$0.006017,$0.006065,"$106,323","$2,512,746"
"Dec 26, 2022",$0.00599,$0.006046,$0.005965,$0.006046,"$68,231","$2,504,891"
"Dec 25, 2022",$0.006006,$0.006047,$0.00597,$0.005989,"$69,479","$3,746,090"
"Dec 24, 2022",$0.005975,$0.006045,$0.005928,$0.006006,"$75,589","$3,730,193"
"Dec 23, 2022",$0.006008,$0.006017,$0.005896,$0.005976,"$134,959","$3,657,400"
"Dec 22, 2022",$0.006069,$0.006088,$0.005917,$0.006006,"$76,136","$6,413,206"
"Dec 21, 2022",$0.006088,$0.006161,$0.006011,$0.006066,"$93,262","$6,478,904"
"Dec 20, 2022",$0.005754,$0.006088,$0.005719,$0.006088,"$79,133","$6,495,361"
"Dec 19, 2022",$0.006035,$0.006097,$0.005737,$0.00575,"$105,981","$6,134,123"
"Dec 18, 2022",$0.006081,$0.006148,$0.005955,$0.006047,"$106,456","$6,450,727"
"Dec 17, 2022",$0.006042,$0.006149,$0.005975,$0.006081,"$103,729","$6,486,793"
"Dec 16, 2022",$0.006718,$0.006765,$0.006012,$0.006039,"$125,027","$6,444,524"
"Dec 15, 2022",$0.006802,$0.00683,$0.00668,$0.006717,"$121,447","$7,164,422"
"Dec 14, 2022",$0.007285,$0.007315,$0.00679,$0.006802,"$223,390","$4,144,892"
"Dec 13, 2022",$0.008147,$0.008225,$0.007258,$0.007278,"$310,644","$4,434,872"
"Dec 12, 2022",$0.007671,$0.008215,$0.007562,$0.008149,"$333,709","$4,965,356"
"Dec 11, 2022",$0.007761,$0.007777,$0.007672,$0.007674,"$190,932","$4,675,809"
"Dec 10, 2022",$0.007755,$0.007828,$0.007692,$0.007761,"$184,000","$4,728,920"
"Dec 09, 2022",$0.007882,$0.007912,$0.007726,$0.007757,"$114,240","$4,726,498"
"Dec 08, 2022",$0.007766,$0.007934,$0.007698,$0.007882,"$134,173","$4,802,536"
"Dec 07, 2022",$0.007942,$0.007955,$0.007704,$0.007766,"$170,498","$4,732,080"
"Dec 06, 2022",$0.008074,$0.008109,$0.00788,$0.007943,"$194,695","$4,839,988"
"Dec 05, 2022",$0.00822,$0.008288,$0.008027,$0.00807,"$175,886","$4,917,513"
"Dec 04, 2022",$0.008182,$0.008279,$0.008124,$0.008226,"$222,156","$5,011,844"
"Dec 03, 2022",$0.008705,$0.008731,$0.008153,$0.008191,"$431,041","$4,990,658"
"Dec 02, 2022",$0.008413,$0.008711,$0.008386,$0.008707,"$531,191","$5,306,759"
"Dec 01, 2022",$0.00845,$0.008466,$0.008234,$0.008411,"$522,407","$5,126,233"
"Nov 30, 2022",$0.008191,$0.008461,$0.008189,$0.008447,"$278,248","$5,147,021"
"Nov 29, 2022",$0.008168,$0.008379,$0.008134,$0.008196,"$292,076","$4,996,982"
"Nov 28, 2022",$0.008463,$0.008511,$0.008109,$0.00817,"$283,840","$4,983,327"
"Nov 27, 2022",$0.008582,$0.008701,$0.008462,$0.008465,"$298,038","$5,163,537"
"Nov 26, 2022",$0.008675,$0.008815,$0.008544,$0.008583,"$219,066","$5,235,620"
"Nov 25, 2022",$0.00878,$0.00878,$0.008523,$0.008674,"$287,844","$5,253,312"
"Nov 24, 2022",$0.008788,$0.008892,$0.008679,$0.008781,"$365,837","$3,593,197"
"Nov 23, 2022",$0.008721,$0.008942,$0.008652,$0.008785,"$779,426","$3,596,803"
"Nov 22, 2022",$0.008674,$0.008761,$0.008483,$0.008726,"$121,791","$3,374,020"
"Nov 21, 2022",$0.009191,$0.009202,$0.008548,$0.008662,"$157,634","$3,349,398"
"Nov 20, 2022",$0.009285,$0.009591,$0.00916,$0.009188,"$488,504","$3,553,337"
"Nov 19, 2022",$0.009443,$0.009452,$0.009231,$0.00928,"$110,318","$3,586,601"
"Nov 18, 2022",$0.009443,$0.009563,$0.00938,$0.00944,"$99,258","$3,650,079"
"Nov 17, 2022",$0.009619,$0.009637,$0.009286,$0.009445,"$103,172","$3,651,870"
"Nov 16, 2022",$0.009933,$0.01013,$0.00949,$0.009623,"$142,362","$3,722,448"
"Nov 15, 2022",$0.009684,$0.01012,$0.009575,$0.009927,"$127,506","$3,852,133"
"Nov 14, 2022",$0.009577,$0.009863,$0.009163,$0.00968,"$144,725","$3,754,846"
"Nov 13, 2022",$0.01079,$0.01086,$0.009424,$0.009569,"$224,008","$3,717,810"
"Nov 12, 2022",$0.01113,$0.01173,$0.01069,$0.01079,"$549,833","$4,194,388"
"Nov 11, 2022",$0.01184,$0.01205,$0.01095,$0.01112,"$343,210","$4,326,506"
"Nov 10, 2022",$0.01025,$0.01214,$0.0102,$0.01184,"$326,054","$4,606,247"
"Nov 09, 2022",$0.01368,$0.01377,$0.01013,$0.01027,"$297,421","$3,996,477"
"Nov 08, 2022",$0.01726,$0.0173,$0.01351,$0.01368,"$368,669","$5,332,831"
"Nov 07, 2022",$0.01633,$0.01752,$0.016,$0.01726,"$924,652","$6,692,545"
"Nov 06, 2022",$0.01581,$0.0177,$0.01573,$0.01632,"$414,550","$6,322,915"
"Nov 05, 2022",$0.01534,$0.01602,$0.01529,$0.01581,"$184,566","$6,117,791"
"Nov 04, 2022",$0.01482,$0.01538,$0.01463,$0.01532,"$222,515","$5,926,985"
"Nov 03, 2022",$0.01373,$0.01491,$0.01373,$0.01483,"$167,648","$5,732,255"
"Nov 02, 2022",$0.01417,$0.01427,$0.01364,$0.01373,"$112,312","$5,302,216"
"Nov 01, 2022",$0.01368,$0.01445,$0.01364,$0.01417,"$276,992","$5,476,066"
"Oct 31, 2022",$0.01319,$0.01403,$0.0131,$0.01368,"$860,302","$5,282,352"
"Oct 30, 2022",$0.01323,$0.01349,$0.01311,$0.01319,"$666,408","$5,089,846"
"Oct 29, 2022",$0.01307,$0.01341,$0.01305,$0.01322,"$629,796","$5,102,821"
"Oct 28, 2022",$0.01268,$0.01316,$0.01258,$0.01307,"$368,156","$5,043,522"
"Oct 27, 2022",$0.01294,$0.01307,$0.01264,$0.01267,"$336,870","$4,747,234"
"Oct 26, 2022",$0.01264,$0.0132,$0.01262,$0.01295,"$800,915","$4,850,655"
"Oct 25, 2022",$0.01204,$0.01289,$0.01193,$0.01264,"$1,810,052","$4,735,659"
"Oct 24, 2022",$0.01221,$0.01223,$0.01197,$0.01204,"$565,767","$4,513,628"
"Oct 23, 2022",$0.01189,$0.01221,$0.01184,$0.0122,"$559,092","$4,576,792"
"Oct 22, 2022",$0.01192,$0.01199,$0.0118,$0.01188,"$280,516","$4,457,848"
"Oct 21, 2022",$0.01205,$0.0121,$0.01167,$0.01192,"$1,117,049","$4,473,293"
"Oct 20, 2022",$0.01189,$0.01305,$0.01177,$0.01205,"$881,835","$4,521,803"
"Oct 19, 2022",$0.01206,$0.01206,$0.01185,$0.01189,"$265,289","$4,278,655"
"Oct 18, 2022",$0.01208,$0.01251,$0.01202,$0.01206,"$313,500","$4,336,944"
