Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.007953,$0.007976,$0.007832,$0.007866,"$507,906","$3,749,548"
"Dec 30, 2022",$0.007948,$0.008019,$0.007852,$0.007944,"$51,343","$3,786,647"
"Dec 29, 2022",$0.008623,$0.008707,$0.007806,$0.007948,"$229,453","$3,788,563"
"Dec 28, 2022",$0.008774,$0.008792,$0.008574,$0.008623,"$64,235","$4,110,322"
"Dec 27, 2022",$0.008477,$0.009568,$0.00831,$0.008771,"$92,132","$4,180,800"
"Dec 26, 2022",$0.008856,$0.008904,$0.008377,$0.008478,"$138,710","$4,041,452"
"Dec 25, 2022",$0.009838,$0.009933,$0.008664,$0.008857,"$113,475","$4,221,714"
"Dec 24, 2022",$0.008995,$0.009983,$0.008756,$0.009839,"$95,954","$4,689,759"
"Dec 23, 2022",$0.008807,$0.009107,$0.008782,$0.008997,"$366,158","$4,288,509"
"Dec 22, 2022",$0.008867,$0.008925,$0.008639,$0.008807,"$70,268","$4,197,873"
"Dec 21, 2022",$0.009274,$0.009511,$0.008843,$0.00886,"$139,405","$4,196,891"
"Dec 20, 2022",$0.008972,$0.00933,$0.008888,$0.009274,"$64,651","$4,393,036"
"Dec 19, 2022",$0.009722,$0.009804,$0.008873,$0.008972,"$122,007","$4,249,590"
"Dec 18, 2022",$0.0099,$0.01022,$0.009545,$0.009722,"$136,506","$4,605,012"
"Dec 17, 2022",$0.009776,$0.01003,$0.009387,$0.009909,"$206,026","$4,693,434"
"Dec 16, 2022",$0.01012,$0.01062,$0.009611,$0.009795,"$288,520","$4,639,849"
"Dec 15, 2022",$0.01049,$0.01049,$0.01006,$0.01011,"$135,424","$4,789,779"
"Dec 14, 2022",$0.01066,$0.01085,$0.0104,$0.0105,"$190,313","$4,972,375"
"Dec 13, 2022",$0.01076,$0.01154,$0.009799,$0.01065,"$840,164","$5,043,434"
"Dec 12, 2022",$0.0107,$0.01082,$0.01046,$0.01076,"$659,771","$5,097,644"
"Dec 11, 2022",$0.01129,$0.01437,$0.01068,$0.0107,"$4,523,016","$5,035,850"
"Dec 10, 2022",$0.0104,$0.01377,$0.0104,$0.01129,"$2,748,059","$5,313,868"
"Dec 09, 2022",$0.009671,$0.01131,$0.009581,$0.0104,"$515,785","$4,896,779"
"Dec 08, 2022",$0.009591,$0.0102,$0.009524,$0.009671,"$75,998","$4,551,688"
"Dec 07, 2022",$0.009813,$0.009857,$0.009513,$0.009591,"$124,918","$4,514,343"
"Dec 06, 2022",$0.01016,$0.01019,$0.009705,$0.009804,"$167,089","$4,614,523"
"Dec 05, 2022",$0.01037,$0.01052,$0.01007,$0.01016,"$215,924","$4,780,120"
"Dec 04, 2022",$0.00985,$0.01038,$0.009838,$0.01038,"$281,413","$4,883,629"
"Dec 03, 2022",$0.009862,$0.0106,$0.00978,$0.009861,"$252,873","$4,641,345"
"Dec 02, 2022",$0.009443,$0.01006,$0.00943,$0.009867,"$75,619","$4,644,049"
"Dec 01, 2022",$0.009639,$0.009648,$0.00938,$0.009437,"$63,971","$4,441,729"
"Nov 30, 2022",$0.0102,$0.0104,$0.009407,$0.009639,"$64,517","$4,537,008"
"Nov 29, 2022",$0.009417,$0.01027,$0.00932,$0.01022,"$50,430","$4,808,538"
"Nov 28, 2022",$0.009657,$0.01042,$0.009107,$0.009415,"$63,687","$4,431,305"
"Nov 27, 2022",$0.009885,$0.01006,$0.009657,$0.009657,"$70,862","$4,545,310"
"Nov 26, 2022",$0.009923,$0.01015,$0.009698,$0.009888,"$145,110","$4,653,928"
"Nov 25, 2022",$0.009597,$0.009967,$0.009385,$0.009917,"$77,841","$4,667,888"
"Nov 24, 2022",$0.009715,$0.009876,$0.009545,$0.009597,"$106,518","$4,494,835"
"Nov 23, 2022",$0.009476,$0.01044,$0.009425,$0.009718,"$88,248","$4,551,735"
"Nov 22, 2022",$0.009126,$0.009503,$0.009012,$0.009486,"$124,304","$4,443,151"
"Nov 21, 2022",$0.01027,$0.01028,$0.009104,$0.009123,"$232,191","$4,273,068"
"Nov 20, 2022",$0.01052,$0.01066,$0.01022,$0.01028,"$130,301","$4,787,046"
"Nov 19, 2022",$0.01038,$0.01059,$0.01011,$0.01052,"$155,771","$4,900,696"
"Nov 18, 2022",$0.009955,$0.01039,$0.009941,$0.01039,"$103,189","$4,840,371"
"Nov 17, 2022",$0.009478,$0.009997,$0.009176,$0.009949,"$171,698","$4,610,111"
"Nov 16, 2022",$0.01,$0.01025,$0.009422,$0.009482,"$68,288","$4,393,831"
"Nov 15, 2022",$0.009447,$0.01013,$0.0094,$0.009998,"$86,609","$4,632,965"
"Nov 14, 2022",$0.01049,$0.01054,$0.009231,$0.009425,"$181,572","$4,367,149"
"Nov 13, 2022",$0.01116,$0.01132,$0.01034,$0.01049,"$148,480","$4,858,767"
"Nov 12, 2022",$0.01138,$0.01405,$0.01096,$0.01116,"$98,141","$5,172,412"
"Nov 11, 2022",$0.01184,$0.01208,$0.0112,$0.01138,"$125,889","$5,271,472"
"Nov 10, 2022",$0.01107,$0.0122,$0.01048,$0.01185,"$171,199","$5,492,746"
"Nov 09, 2022",$0.01467,$0.01482,$0.01088,$0.01111,"$240,930","$5,147,633"
"Nov 08, 2022",$0.01547,$0.01763,$0.01384,$0.01467,"$256,329","$6,798,664"
"Nov 07, 2022",$0.01608,$0.0162,$0.0152,$0.01547,"$115,114","$7,167,967"
"Nov 06, 2022",$0.01713,$0.01737,$0.01607,$0.01608,"$144,465","$7,442,594"
"Nov 05, 2022",$0.01662,$0.01719,$0.01625,$0.01713,"$161,083","$7,925,023"
"Nov 04, 2022",$0.01556,$0.01682,$0.01555,$0.0166,"$108,625","$7,681,140"
"Nov 03, 2022",$0.01534,$0.01572,$0.01531,$0.01556,"$155,402","$7,200,197"
"Nov 02, 2022",$0.01662,$0.01701,$0.0152,$0.01535,"$120,654","$7,102,616"
"Nov 01, 2022",$0.01597,$0.01679,$0.01583,$0.01666,"$118,186","$7,710,559"
"Oct 31, 2022",$0.01624,$0.0168,$0.01577,$0.01597,"$108,073","$7,389,088"
"Oct 30, 2022",$0.01573,$0.01628,$0.01536,$0.01624,"$146,781","$7,512,826"
"Oct 29, 2022",$0.01682,$0.01694,$0.0156,$0.01573,"$55,979","$7,281,186"
"Oct 28, 2022",$0.01711,$0.01736,$0.01674,$0.01683,"$157,295","$7,786,718"
"Oct 27, 2022",$0.01671,$0.01716,$0.01647,$0.01711,"$139,630","$7,916,729"
"Oct 26, 2022",$0.01594,$0.01689,$0.0159,$0.01671,"$92,304","$7,734,040"
"Oct 25, 2022",$0.01538,$0.01713,$0.015,$0.01594,"$129,106","$7,375,465"
"Oct 24, 2022",$0.01611,$0.01611,$0.01513,$0.01538,"$117,200","$7,118,933"
"Oct 23, 2022",$0.01585,$0.01612,$0.01577,$0.01611,"$90,810","$7,454,896"
"Oct 22, 2022",$0.01579,$0.01595,$0.01562,$0.01584,"$114,848","$7,327,970"
"Oct 21, 2022",$0.01573,$0.01584,$0.01549,$0.01579,"$117,393","$7,306,957"
"Oct 20, 2022",$0.01573,$0.01593,$0.01559,$0.01572,"$106,791","$7,275,646"
"Oct 19, 2022",$0.01611,$0.01625,$0.01573,$0.01573,"$103,498","$7,174,244"
"Oct 18, 2022",$0.01634,$0.01635,$0.01579,$0.01611,"$172,646","$7,345,558"
"Oct 17, 2022",$0.0163,$0.01651,$0.01607,$0.01634,"$230,817","$7,452,061"
"Oct 16, 2022",$0.0165,$0.0171,$0.01618,$0.0163,"$521,605","$7,434,519"
"Oct 15, 2022",$0.01588,$0.01686,$0.0158,$0.01651,"$401,408","$7,530,350"
"Oct 14, 2022",$0.01593,$0.01665,$0.01577,$0.01589,"$308,389","$7,248,597"
"Oct 13, 2022",$0.01644,$0.01656,$0.01546,$0.01594,"$242,795","$7,270,015"
"Oct 12, 2022",$0.01557,$0.01697,$0.0155,$0.01644,"$510,318","$7,500,111"
"Oct 11, 2022",$0.01596,$0.01608,$0.01539,$0.01556,"$161,115","$7,094,533"
"Oct 10, 2022",$0.01623,$0.01638,$0.01594,$0.01596,"$174,586","$7,278,515"
"Oct 09, 2022",$0.01597,$0.01731,$0.01593,$0.01623,"$388,692","$7,402,550"
"Oct 08, 2022",$0.01614,$0.01641,$0.01592,$0.01597,"$154,935","$7,285,474"
"Oct 07, 2022",$0.01628,$0.01725,$0.01603,$0.01615,"$413,970","$7,366,492"
"Oct 06, 2022",$0.0165,$0.0167,$0.01627,$0.01628,"$107,930","$7,426,488"
"Oct 05, 2022",$0.01638,$0.01661,$0.0162,$0.0165,"$121,582","$7,526,535"
