Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0003166,$0.000318,$0.0003089,$0.0003107,"$290,991","$3,621,432"
"Dec 30, 2022",$0.0003192,$0.0003214,$0.0003116,$0.0003165,"$282,799","$3,689,397"
"Dec 29, 2022",$0.0003146,$0.0003289,$0.000311,$0.0003192,"$331,866","$3,721,224"
"Dec 28, 2022",$0.0003247,$0.0003251,$0.0003072,$0.0003146,"$282,493","$3,667,790"
"Dec 27, 2022",$0.0003297,$0.0003305,$0.0003197,$0.0003244,"$238,699","$3,781,792"
"Dec 26, 2022",$0.0003302,$0.0003326,$0.0003195,$0.0003298,"$193,912","$3,844,581"
"Dec 25, 2022",$0.000343,$0.0003457,$0.0003275,$0.0003301,"$228,065","$3,848,478"
"Dec 24, 2022",$0.0003474,$0.000351,$0.0003396,$0.000343,"$302,580","$3,998,451"
"Dec 23, 2022",$0.0003305,$0.0003566,$0.0003264,$0.0003475,"$417,169","$4,050,917"
"Dec 22, 2022",$0.000339,$0.0003429,$0.0003235,$0.0003306,"$424,257","$3,853,595"
"Dec 21, 2022",$0.0003228,$0.0003517,$0.0003193,$0.0003387,"$655,838","$3,948,470"
"Dec 20, 2022",$0.0002798,$0.0003341,$0.0002797,$0.0003228,"$547,030","$3,762,553"
"Dec 19, 2022",$0.0002895,$0.0002924,$0.0002794,$0.0002798,"$343,787","$3,261,504"
"Dec 18, 2022",$0.0003043,$0.0003062,$0.0002863,$0.0002895,"$269,309","$3,375,283"
"Dec 17, 2022",$0.0003104,$0.0003112,$0.0002986,$0.0003036,"$219,489","$3,539,480"
"Dec 16, 2022",$0.0003283,$0.0003313,$0.0003069,$0.0003103,"$170,362","$3,617,835"
"Dec 15, 2022",$0.0003275,$0.0003336,$0.0003248,$0.0003284,"$210,747","$3,828,037"
"Dec 14, 2022",$0.0003295,$0.0003348,$0.0003259,$0.0003275,"$180,568","$3,818,094"
"Dec 13, 2022",$0.0003605,$0.0003646,$0.0003271,$0.0003274,"$497,619","$3,816,240"
"Dec 12, 2022",$0.0003433,$0.0003629,$0.0003287,$0.0003603,"$721,076","$4,199,630"
"Dec 11, 2022",$0.0003446,$0.0003498,$0.0003386,$0.0003433,"$734,864","$4,002,078"
"Dec 10, 2022",$0.0003243,$0.0003638,$0.0003218,$0.0003446,"$638,491","$4,017,335"
"Dec 09, 2022",$0.0003213,$0.0003373,$0.0003207,$0.0003243,"$700,888","$3,780,879"
"Dec 08, 2022",$0.0003218,$0.000325,$0.0003149,$0.0003213,"$522,356","$3,745,410"
"Dec 07, 2022",$0.0003269,$0.0003356,$0.0003162,$0.0003218,"$625,232","$3,751,090"
"Dec 06, 2022",$0.0003198,$0.0003294,$0.0003178,$0.0003266,"$1,065,241","$3,807,252"
"Dec 05, 2022",$0.000327,$0.0003292,$0.0003105,$0.0003198,"$1,109,206","$3,727,820"
"Dec 04, 2022",$0.0003321,$0.0003366,$0.0003174,$0.0003265,"$396,146","$3,805,930"
"Dec 03, 2022",$0.0003363,$0.0003432,$0.000332,$0.000332,"$354,916","$3,870,616"
"Dec 02, 2022",$0.0003183,$0.0003566,$0.0003181,$0.0003364,"$532,839","$3,921,266"
"Dec 01, 2022",$0.0003149,$0.0003193,$0.0003073,$0.0003183,"$238,412","$3,710,916"
"Nov 30, 2022",$0.0003036,$0.0003175,$0.0003027,$0.0003148,"$287,043","$3,669,931"
"Nov 29, 2022",$0.0003118,$0.0003226,$0.0003033,$0.0003036,"$277,311","$3,538,911"
"Nov 28, 2022",$0.0003463,$0.0003562,$0.0003068,$0.0003118,"$551,938","$3,634,294"
"Nov 27, 2022",$0.0003674,$0.0004094,$0.0003213,$0.0003463,"$1,219,175","$4,037,402"
"Nov 26, 2022",$0.0003212,$0.000388,$0.000319,$0.0003676,"$856,611","$4,285,697"
"Nov 25, 2022",$0.0003066,$0.0003392,$0.0003007,$0.000321,"$489,881","$3,741,778"
"Nov 24, 2022",$0.0003137,$0.0003162,$0.0003041,$0.0003066,"$311,366","$3,574,416"
"Nov 23, 2022",$0.0003229,$0.0003247,$0.0003071,$0.000314,"$356,162","$3,660,152"
"Nov 22, 2022",$0.0003312,$0.000335,$0.0003193,$0.000323,"$339,176","$3,765,230"
"Nov 21, 2022",$0.0003423,$0.0003469,$0.0003193,$0.0003312,"$512,910","$3,860,812"
"Nov 20, 2022",$0.0003193,$0.0003919,$0.0003149,$0.000343,"$1,183,520","$3,999,030"
"Nov 19, 2022",$0.0003405,$0.0003416,$0.0003162,$0.0003193,"$354,686","$3,722,656"
"Nov 18, 2022",$0.0003681,$0.0003696,$0.0003346,$0.0003406,"$330,500","$3,970,096"
"Nov 17, 2022",$0.0004029,$0.000409,$0.000365,$0.0003654,"$290,877","$4,259,195"
"Nov 16, 2022",$0.0004031,$0.0004059,$0.0003974,$0.000403,"$189,936","$4,698,108"
"Nov 15, 2022",$0.0004133,$0.0004157,$0.0004006,$0.0004028,"$374,170","$4,695,114"
"Nov 14, 2022",$0.000443,$0.0004457,$0.0004122,$0.0004133,"$481,133","$4,818,089"
"Nov 13, 2022",$0.0004698,$0.0004716,$0.0004422,$0.0004433,"$408,373","$5,167,818"
"Nov 12, 2022",$0.0005025,$0.0005044,$0.0004634,$0.0004675,"$351,333","$5,449,616"
"Nov 11, 2022",$0.000514,$0.0005154,$0.0004999,$0.0005018,"$305,752","$5,850,246"
"Nov 10, 2022",$0.0005172,$0.0005443,$0.0005099,$0.0005143,"$404,555","$5,995,674"
"Nov 09, 2022",$0.0005516,$0.0005771,$0.0005166,$0.0005169,"$412,182","$6,025,837"
"Nov 08, 2022",$0.0005769,$0.0005956,$0.0005496,$0.0005516,"$443,343","$6,429,915"
"Nov 07, 2022",$0.0005874,$0.0005945,$0.0005763,$0.0005769,"$418,108","$6,725,245"
"Nov 06, 2022",$0.0005852,$0.0006619,$0.0005836,$0.0005874,"$795,789","$6,848,048"
"Nov 05, 2022",$0.0006103,$0.0006146,$0.0005799,$0.0005847,"$452,635","$6,816,549"
"Nov 04, 2022",$0.000624,$0.0006346,$0.0006081,$0.0006098,"$417,568","$7,109,031"
"Nov 03, 2022",$0.0006441,$0.0006488,$0.000622,$0.0006246,"$398,576","$7,280,785"
"Nov 02, 2022",$0.0006714,$0.0006803,$0.0006411,$0.0006441,"$365,985","$7,508,518"
"Nov 01, 2022",$0.0006787,$0.0006787,$0.0006652,$0.0006714,"$322,812","$7,827,094"
"Oct 31, 2022",$0.00067,$0.0006817,$0.0006677,$0.0006787,"$365,736","$7,911,780"
"Oct 30, 2022",$0.0006756,$0.0006821,$0.000666,$0.00067,"$343,231","$7,810,919"
"Oct 29, 2022",$0.0006839,$0.0006876,$0.0006626,$0.0006756,"$394,493","$7,875,229"
"Oct 28, 2022",$0.00071,$0.000714,$0.0006787,$0.0006839,"$404,753","$7,972,116"
"Oct 27, 2022",$0.0007352,$0.0007353,$0.0007022,$0.00071,"$404,199","$8,277,276"
"Oct 26, 2022",$0.000759,$0.0007599,$0.0007266,$0.0007352,"$389,898","$8,570,141"
"Oct 25, 2022",$0.0007521,$0.0007631,$0.0007499,$0.0007589,"$423,670","$8,847,324"
"Oct 24, 2022",$0.0007667,$0.0007676,$0.00075,$0.0007521,"$417,098","$8,768,025"
"Oct 23, 2022",$0.0007666,$0.0007704,$0.0007553,$0.0007667,"$419,782","$8,937,473"
"Oct 22, 2022",$0.0007634,$0.0007695,$0.0007551,$0.0007666,"$414,704","$8,936,416"
"Oct 21, 2022",$0.0007561,$0.0007663,$0.0007492,$0.0007634,"$295,168","$8,899,129"
"Oct 20, 2022",$0.0007628,$0.0007729,$0.0007474,$0.000755,"$439,065","$8,801,726"
"Oct 19, 2022",$0.0007667,$0.0007736,$0.0007573,$0.0007626,"$431,111","$8,889,693"
"Oct 18, 2022",$0.0007859,$0.0007886,$0.0007565,$0.0007666,"$435,373","$8,936,921"
"Oct 17, 2022",$0.0007775,$0.0007872,$0.0007721,$0.0007859,"$431,823","$9,161,347"
"Oct 16, 2022",$0.0007858,$0.0007915,$0.0007721,$0.0007775,"$463,238","$9,064,043"
"Oct 15, 2022",$0.0007861,$0.0007909,$0.0007748,$0.000786,"$426,219","$9,163,080"
"Oct 14, 2022",$0.0007785,$0.0007891,$0.0007715,$0.0007862,"$467,224","$9,165,489"
"Oct 13, 2022",$0.0007919,$0.0007947,$0.0007745,$0.0007785,"$509,552","$9,074,966"
"Oct 12, 2022",$0.0007935,$0.0008092,$0.0007869,$0.0007919,"$528,244","$9,231,209"
"Oct 11, 2022",$0.000834,$0.0008348,$0.0007858,$0.0007936,"$493,319","$9,051,946"
"Oct 10, 2022",$0.0008347,$0.0008641,$0.0008091,$0.0008338,"$625,933","$9,510,927"
"Oct 09, 2022",$0.0008248,$0.000842,$0.00082,$0.0008345,"$480,723","$9,518,805"
"Oct 08, 2022",$0.0008287,$0.0008334,$0.0008178,$0.0008248,"$425,963","$9,408,186"
"Oct 07, 2022",$0.0008253,$0.0008295,$0.0008067,$0.0008287,"$459,794","$9,297,232"
"Oct 06, 2022",$0.0008339,$0.0008483,$0.0008204,$0.0008253,"$502,885","$9,259,487"
"Oct 05, 2022",$0.0008275,$0.0008435,$0.0008234,$0.0008339,"$464,009","$9,355,209"
"Oct 04, 2022",$0.0008198,$0.0008325,$0.0008039,$0.0008276,"$451,754","$9,066,818"
"Oct 03, 2022",$0.0007994,$0.0008487,$0.0007929,$0.0008196,"$493,554","$8,979,751"
"Oct 02, 2022",$0.0007983,$0.000808,$0.0007933,$0.0007994,"$421,920","$8,757,872"
"Oct 01, 2022",$0.0007853,$0.000801,$0.0007825,$0.0007991,"$465,567","$8,754,999"
"Sep 30, 2022",$0.0007904,$0.0007949,$0.000778,$0.0007853,"$867,499","$8,488,445"
"Sep 29, 2022",$0.0007934,$0.0007965,$0.0007779,$0.0007904,"$1,884,590","$8,543,415"
"Sep 28, 2022",$0.0007921,$0.0007945,$0.0007818,$0.0007934,"$2,039,381","$8,576,217"
"Sep 27, 2022",$0.0007876,$0.0008019,$0.0007808,$0.0007922,"$2,740,209","$8,526,531"
"Sep 26, 2022",$0.0008419,$0.0008635,$0.0007847,$0.0007876,"$2,775,078","$8,332,835"
"Sep 25, 2022",$0.0008016,$0.0008566,$0.0007874,$0.000842,"$5,091,845","$8,908,395"
"Sep 24, 2022",$0.0008078,$0.0008163,$0.0007922,$0.0008016,"$1,039,936","$8,481,082"
"Sep 23, 2022",$0.0008018,$0.0008106,$0.0007866,$0.0008078,"$1,045,851","$8,434,491"
"Sep 22, 2022",$0.0008182,$0.0008225,$0.0008018,$0.0008018,"$812,640","$8,371,376"
"Sep 21, 2022",$0.0008241,$0.0008285,$0.0008046,$0.0008183,"$473,270","$8,543,835"
"Sep 20, 2022",$0.0008143,$0.0008782,$0.0007992,$0.0008228,"$788,207","$8,552,658"
"Sep 19, 2022",$0.0007995,$0.0008137,$0.0007784,$0.0008134,"$560,903","$8,267,069"
"Sep 18, 2022",$0.0008231,$0.000826,$0.0007957,$0.0007994,"$1,433,772","$8,124,527"
"Sep 17, 2022",$0.0008255,$0.0008288,$0.0008088,$0.0008225,"$964,315","$8,359,856"
"Sep 16, 2022",$0.0008427,$0.0008427,$0.0008194,$0.0008256,"$592,919","$8,391,245"
"Sep 15, 2022",$0.0008579,$0.0008596,$0.0008395,$0.0008425,"$876,949","$8,562,487"
"Sep 14, 2022",$0.0009045,$0.0009071,$0.0008544,$0.0008577,"$1,546,305","$8,677,891"
"Sep 13, 2022",$0.0009211,$0.0009237,$0.0008986,$0.0008996,"$1,899,281","$8,808,621"
"Sep 12, 2022",$0.0009393,$0.0009415,$0.0009161,$0.0009213,"$1,001,785","$9,021,018"
"Sep 11, 2022",$0.0009618,$0.0009676,$0.0009325,$0.0009384,"$1,086,611","$9,188,228"
"Sep 10, 2022",$0.0009757,$0.0009817,$0.0009403,$0.0009626,"$1,574,897","$9,425,826"
"Sep 09, 2022",$0.0009306,$0.000984,$0.0009283,$0.0009758,"$1,794,617","$9,555,139"
"Sep 08, 2022",$0.0009387,$0.0009515,$0.0009273,$0.0009308,"$1,316,556","$9,113,998"
"Sep 07, 2022",$0.0009752,$0.0009803,$0.0009024,$0.0009386,"$787,835","$9,190,116"
"Sep 06, 2022",$0.0009905,$0.001031,$0.0009724,$0.0009754,"$918,385","$9,490,495"
"Sep 05, 2022",$0.0009969,$0.001016,$0.0009895,$0.000991,"$684,733","$9,596,488"
"Sep 04, 2022",$0.001015,$0.001016,$0.0009742,$0.0009969,"$634,071","$9,606,535"
"Sep 03, 2022",$0.001118,$0.001118,$0.001012,$0.001015,"$981,504","$9,733,632"
"Sep 02, 2022",$0.0009463,$0.001195,$0.0009455,$0.001119,"$3,958,961","$10,677,618"
"Sep 01, 2022",$0.000951,$0.0009558,$0.0009267,$0.0009464,"$971,889","$8,988,862"
"Aug 31, 2022",$0.0009307,$0.0009528,$0.0009282,$0.000951,"$645,719","$8,944,087"
"Aug 30, 2022",$0.0009436,$0.0009754,$0.0009286,$0.0009306,"$1,049,096","$8,751,889"
"Aug 29, 2022",$0.000936,$0.0009632,$0.0009344,$0.0009437,"$815,066","$8,715,906"
"Aug 28, 2022",$0.0009754,$0.0009977,$0.0009295,$0.0009361,"$643,895","$8,646,060"
"Aug 27, 2022",$0.001061,$0.001067,$0.0009641,$0.0009753,"$839,661","$9,007,123"
"Aug 26, 2022",$0.001145,$0.00115,$0.001054,$0.001061,"$1,118,934","$9,649,976"
"Aug 25, 2022",$0.001288,$0.001292,$0.001048,$0.001145,"$3,418,725","$10,414,077"
"Aug 24, 2022",$0.001331,$0.001334,$0.001285,$0.001288,"$1,063,968","$11,718,286"
"Aug 23, 2022",$0.001362,$0.00137,$0.001325,$0.001331,"$1,510,547","$11,797,638"
"Aug 22, 2022",$0.001398,$0.001402,$0.001352,$0.001361,"$1,252,978","$12,067,142"
"Aug 21, 2022",$0.001376,$0.001401,$0.00137,$0.001398,"$1,500,050","$12,394,388"
"Aug 20, 2022",$0.001378,$0.001395,$0.001365,$0.001376,"$1,585,185","$12,197,180"
"Aug 19, 2022",$0.001411,$0.00143,$0.001364,$0.001378,"$1,101,334","$12,211,043"
"Aug 18, 2022",$0.001412,$0.001439,$0.001375,$0.001411,"$1,446,782","$12,179,050"
"Aug 17, 2022",$0.001405,$0.00142,$0.001373,$0.001412,"$713,340","$12,189,713"
"Aug 16, 2022",$0.001411,$0.001438,$0.001378,$0.001405,"$824,882","$12,127,471"
"Aug 15, 2022",$0.001422,$0.001445,$0.001378,$0.001411,"$448,782","$12,180,609"
"Aug 14, 2022",$0.00148,$0.001506,$0.001392,$0.001422,"$438,712","$12,278,264"
"Aug 13, 2022",$0.001432,$0.001514,$0.001414,$0.00148,"$772,954","$12,711,456"
"Aug 12, 2022",$0.001457,$0.001458,$0.001398,$0.001432,"$709,683","$12,233,915"
"Aug 11, 2022",$0.001427,$0.001472,$0.001418,$0.001457,"$1,087,963","$12,382,499"
"Aug 10, 2022",$0.001402,$0.001429,$0.001397,$0.001427,"$609,140","$11,725,926"
"Aug 09, 2022",$0.001429,$0.001469,$0.001391,$0.001402,"$759,798","$11,527,205"
"Aug 08, 2022",$0.0014,$0.001433,$0.001391,$0.001429,"$1,194,032","$11,743,224"
"Aug 07, 2022",$0.001389,$0.001413,$0.001382,$0.0014,"$863,248","$11,509,170"
"Aug 06, 2022",$0.001428,$0.001436,$0.001388,$0.001389,"$805,694","$11,414,419"
"Aug 05, 2022",$0.001372,$0.001435,$0.001364,$0.001428,"$1,112,998","$11,737,761"
"Aug 04, 2022",$0.001418,$0.001431,$0.001355,$0.001373,"$665,555","$11,074,998"
"Aug 03, 2022",$0.001418,$0.00146,$0.001408,$0.001418,"$905,222","$11,434,553"
"Aug 02, 2022",$0.001424,$0.00144,$0.001391,$0.001418,"$460,828","$11,194,944"
"Aug 01, 2022",$0.001469,$0.001481,$0.001403,$0.001424,"$486,892","$11,241,505"
"Jul 31, 2022",$0.001491,$0.001518,$0.001469,$0.001469,"$518,384","$11,600,232"
"Jul 30, 2022",$0.001529,$0.001537,$0.001491,$0.001491,"$531,252","$11,773,265"
"Jul 29, 2022",$0.001533,$0.001564,$0.001505,$0.001529,"$871,442","$12,068,872"
"Jul 28, 2022",$0.001611,$0.00162,$0.001522,$0.001533,"$829,579","$11,660,649"
"Jul 27, 2022",$0.001581,$0.001627,$0.001541,$0.001611,"$793,229","$12,252,641"
"Jul 26, 2022",$0.001532,$0.001627,$0.001503,$0.001581,"$1,842,421","$12,029,274"
"Jul 25, 2022",$0.001613,$0.001627,$0.001515,$0.001532,"$1,587,990","$11,655,966"
"Jul 24, 2022",$0.001608,$0.001687,$0.001602,$0.001616,"$2,056,118","$5,621,880"
"Jul 23, 2022",$0.001565,$0.001608,$0.001543,$0.001608,"$877,037","$5,593,700"
"Jul 22, 2022",$0.001538,$0.001581,$0.001527,$0.001565,"$940,014","$5,443,642"
"Jul 21, 2022",$0.001603,$0.001607,$0.001497,$0.001538,"$1,279,645","$5,351,429"
"Jul 20, 2022",$0.001988,$0.002,$0.001574,$0.001603,"$3,206,184","$5,577,320"
"Jul 19, 2022",$0.001631,$0.001986,$0.001604,$0.001985,"$3,137,779","$6,906,620"
"Jul 18, 2022",$0.001498,$0.001641,$0.001467,$0.001631,"$1,047,554","$5,673,171"
"Jul 17, 2022",$0.001526,$0.001549,$0.001487,$0.001498,"$742,418","$5,209,702"
"Jul 16, 2022",$0.001563,$0.001569,$0.001511,$0.001526,"$915,888","$5,308,759"
"Jul 15, 2022",$0.001418,$0.001564,$0.001418,$0.001564,"$905,388","$5,438,778"
"Jul 14, 2022",$0.001428,$0.001447,$0.001401,$0.001418,"$964,398","$4,931,929"
"Jul 13, 2022",$0.001671,$0.00169,$0.001334,$0.001428,"$2,313,048","$4,966,052"
"Jul 12, 2022",$0.001566,$0.001682,$0.001559,$0.001671,"$939,230","$5,814,274"
"Jul 11, 2022",$0.001673,$0.001684,$0.001544,$0.001566,"$1,188,872","$5,448,542"
"Jul 10, 2022",$0.001458,$0.001731,$0.001453,$0.001673,"$1,143,649","$5,821,349"
"Jul 09, 2022",$0.001448,$0.001465,$0.001436,$0.001458,"$686,172","$5,071,055"
"Jul 08, 2022",$0.001402,$0.001456,$0.001395,$0.001448,"$724,779","$5,038,591"
"Jul 07, 2022",$0.001399,$0.001433,$0.001388,$0.001402,"$690,515","$4,878,245"
"Jul 06, 2022",$0.001455,$0.001462,$0.001394,$0.001399,"$586,249","$4,866,609"
"Jul 05, 2022",$0.001442,$0.00146,$0.001429,$0.001455,"$571,395","$5,062,629"
"Jul 04, 2022",$0.001412,$0.001444,$0.0014,$0.001442,"$424,482","$5,016,982"
"Jul 03, 2022",$0.001392,$0.001417,$0.001378,$0.001412,"$397,337","$4,912,210"
"Jul 02, 2022",$0.001432,$0.001437,$0.001379,$0.001392,"$436,129","$4,841,615"
"Jul 01, 2022",$0.001449,$0.001464,$0.001417,$0.001432,"$458,013","$4,980,522"
"Jun 30, 2022",$0.001508,$0.001515,$0.001435,$0.001449,"$530,035","$5,039,983"
"Jun 29, 2022",$0.001476,$0.00152,$0.001463,$0.001508,"$1,134,741","$5,245,071"
"Jun 28, 2022",$0.001531,$0.001567,$0.001472,$0.001476,"$1,110,886","$5,133,082"
"Jun 27, 2022",$0.001517,$0.001574,$0.001505,$0.001531,"$1,189,416","$5,325,792"
"Jun 26, 2022",$0.001479,$0.00153,$0.00147,$0.001517,"$1,103,036","$5,275,633"
"Jun 25, 2022",$0.001532,$0.001566,$0.001458,$0.001479,"$1,165,851","$5,144,210"
"Jun 24, 2022",$0.001483,$0.001564,$0.001475,$0.001532,"$1,218,774","$5,329,311"
"Jun 23, 2022",$0.001475,$0.001524,$0.001464,$0.001483,"$1,116,238","$5,158,073"
"Jun 22, 2022",$0.001637,$0.001641,$0.001464,$0.001475,"$1,253,714","$5,130,711"
"Jun 21, 2022",$0.001619,$0.001655,$0.001589,$0.001638,"$1,266,776","$5,696,377"
"Jun 20, 2022",$0.001689,$0.001699,$0.001602,$0.001619,"$1,259,338","$5,632,710"
"Jun 19, 2022",$0.001589,$0.001701,$0.00157,$0.001689,"$1,646,313","$5,874,091"
"Jun 18, 2022",$0.001527,$0.001697,$0.001437,$0.00159,"$2,034,402","$5,529,265"
"Jun 17, 2022",$0.0015,$0.001528,$0.001473,$0.001527,"$1,250,934","$5,311,738"
"Jun 16, 2022",$0.001531,$0.001595,$0.001493,$0.0015,"$1,469,092","$5,216,266"
"Jun 15, 2022",$0.001468,$0.001543,$0.001402,$0.001532,"$1,393,065","$5,328,865"
"Jun 14, 2022",$0.001371,$0.001519,$0.001347,$0.001468,"$1,596,879","$5,106,339"
"Jun 13, 2022",$0.001654,$0.001654,$0.001335,$0.001371,"$1,599,002","$4,769,728"
"Jun 12, 2022",$0.001633,$0.001674,$0.001543,$0.001654,"$1,666,139","$5,753,153"
"Jun 11, 2022",$0.001608,$0.00169,$0.001588,$0.001633,"$2,211,839","$5,680,623"
"Jun 10, 2022",$0.001677,$0.001991,$0.001594,$0.001608,"$3,020,562","$5,592,187"
"Jun 09, 2022",$0.001702,$0.001711,$0.001625,$0.001677,"$1,508,549","$5,833,718"
"Jun 08, 2022",$0.00174,$0.001777,$0.001684,$0.001702,"$2,275,318","$5,920,108"
"Jun 07, 2022",$0.002152,$0.002153,$0.001734,$0.001741,"$8,715,254","$6,054,871"
"Jun 06, 2022",$0.00236,$0.00296,$0.002146,$0.002152,"$26,784,017","$7,486,740"
"Jun 05, 2022",$0.001399,$0.002644,$0.001385,$0.002363,"$25,986,390","$8,219,385"
"Jun 04, 2022",$0.00139,$0.001406,$0.00136,$0.001397,"$1,360,962","$4,861,213"
"Jun 03, 2022",$0.00149,$0.001509,$0.001376,$0.00139,"$1,498,272","$4,836,223"
"Jun 02, 2022",$0.001578,$0.001585,$0.001484,$0.00149,"$1,599,267","$5,182,464"
"Jun 01, 2022",$0.001718,$0.001718,$0.001554,$0.001578,"$1,731,445","$5,488,325"
"May 31, 2022",$0.001812,$0.001822,$0.001674,$0.001718,"$1,981,843","$5,974,493"
"May 30, 2022",$0.001699,$0.001822,$0.00168,$0.001812,"$2,498,816","$6,304,163"
