Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0801,$0.08181,$0.077,$0.07711,"$406,892","$2,147,932"
"Dec 30, 2022",$0.08227,$0.08235,$0.08004,$0.08005,"$441,938","$2,229,716"
"Dec 29, 2022",$0.0912,$0.09155,$0.08183,$0.08227,"$380,340","$2,291,650"
"Dec 28, 2022",$0.07611,$0.09634,$0.07298,$0.0912,"$668,246","$2,540,380"
"Dec 27, 2022",$0.07552,$0.07936,$0.07022,$0.07612,"$239,292","$2,120,456"
"Dec 26, 2022",$0.07246,$0.0756,$0.07091,$0.07553,"$331,166","$2,103,863"
"Dec 25, 2022",$0.0772,$0.07738,$0.07088,$0.07239,"$270,625","$2,016,539"
"Dec 24, 2022",$0.07487,$0.08115,$0.07259,$0.0772,"$368,617","$2,150,381"
"Dec 23, 2022",$0.08001,$0.0984,$0.0744,$0.07489,"$792,411","$2,086,069"
"Dec 22, 2022",$0.07284,$0.08374,$0.07256,$0.08001,"$350,229","$2,228,795"
"Dec 21, 2022",$0.07813,$0.07978,$0.07244,$0.0728,"$309,613","$2,027,917"
"Dec 20, 2022",$0.0792,$0.08275,$0.07804,$0.07813,"$344,398","$2,176,482"
"Dec 19, 2022",$0.06933,$0.08382,$0.06891,$0.0792,"$484,218","$2,206,210"
"Dec 18, 2022",$0.06485,$0.07428,$0.06453,$0.06933,"$418,813","$1,931,309"
"Dec 17, 2022",$0.06397,$0.06606,$0.06165,$0.06484,"$373,330","$1,806,087"
"Dec 16, 2022",$0.06989,$0.07106,$0.06349,$0.064,"$291,339","$1,782,796"
"Dec 15, 2022",$0.07829,$0.1078,$0.06879,$0.07091,"$451,289","$1,975,113"
"Dec 14, 2022",$0.07291,$0.08038,$0.06999,$0.07822,"$705,834","$2,178,867"
"Dec 13, 2022",$0.07005,$0.07848,$0.06829,$0.07289,"$501,782","$2,030,344"
"Dec 12, 2022",$0.06555,$0.07688,$0.06399,$0.07004,"$544,980","$1,951,046"
"Dec 11, 2022",$0.0674,$0.0741,$0.06323,$0.06555,"$414,535","$1,825,946"
"Dec 10, 2022",$0.06058,$0.06975,$0.06,$0.06737,"$430,215","$1,876,683"
"Dec 09, 2022",$0.06102,$0.06517,$0.06028,$0.06058,"$410,582","$1,687,614"
"Dec 08, 2022",$0.05871,$0.06523,$0.05832,$0.06102,"$505,485","$1,699,683"
"Dec 07, 2022",$0.06331,$0.06343,$0.05835,$0.05871,"$364,993","$1,635,407"
"Dec 06, 2022",$0.06396,$0.06403,$0.06049,$0.06329,"$423,048","$1,762,980"
"Dec 05, 2022",$0.06347,$0.06463,$0.05925,$0.06396,"$557,022","$1,781,513"
"Dec 04, 2022",$0.06277,$0.06428,$0.0623,$0.06351,"$665,024","$1,769,228"
"Dec 03, 2022",$0.06708,$0.06901,$0.0626,$0.06271,"$940,042","$1,746,794"
"Dec 02, 2022",$0.07226,$0.07273,$0.06593,$0.06715,"$758,573","$1,870,497"
"Dec 01, 2022",$0.06922,$0.07456,$0.06492,$0.0722,"$802,518","$2,011,298"
"Nov 30, 2022",$0.0682,$0.07246,$0.06476,$0.06927,"$332,552","$1,929,432"
"Nov 29, 2022",$0.06684,$0.0725,$0.06637,$0.0682,"$227,257","$1,899,751"
"Nov 28, 2022",$0.07099,$0.07308,$0.05948,$0.06687,"$290,259","$1,862,674"
"Nov 27, 2022",$0.06591,$0.07704,$0.06588,$0.07099,"$190,372","$1,977,438"
"Nov 26, 2022",$0.07049,$0.07544,$0.06515,$0.06595,"$154,227","$1,836,971"
"Nov 25, 2022",$0.07457,$0.07497,$0.07035,$0.0705,"$156,564","$1,963,728"
"Nov 24, 2022",$0.06892,$0.07619,$0.06665,$0.07457,"$190,013","$2,077,136"
"Nov 23, 2022",$0.06813,$0.07269,$0.06609,$0.06891,"$98,020","$1,919,548"
"Nov 22, 2022",$0.06301,$0.06828,$0.06208,$0.06814,"$133,413","$1,898,213"
"Nov 21, 2022",$0.0595,$0.07277,$0.05888,$0.06301,"$127,031","$1,755,099"
"Nov 20, 2022",$0.06465,$0.06604,$0.05849,$0.05952,"$148,452","$1,657,977"
"Nov 19, 2022",$0.06384,$0.0663,$0.0634,$0.06465,"$132,631","$1,800,910"
"Nov 18, 2022",$0.07083,$0.07184,$0.06352,$0.06388,"$170,572","$1,779,473"
"Nov 17, 2022",$0.07176,$0.07256,$0.06854,$0.07081,"$160,551","$1,972,556"
