Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.9853,$0.9939,$0.9822,$0.9849,"$351,000","$597,865,583"
"Dec 30, 2022",$0.9846,$1.00,$0.9825,$0.9853,"$386,713","$598,102,290"
"Dec 29, 2022",$0.9843,$0.9909,$0.9791,$0.9846,"$474,412","$597,704,427"
"Dec 28, 2022",$0.9894,$0.9936,$0.9801,$0.9843,"$503,172","$597,514,932"
"Dec 27, 2022",$0.9989,$0.9996,$0.9843,$0.9894,"$483,546","$600,620,648"
"Dec 26, 2022",$0.9913,$0.999,$0.9738,$0.9989,"$305,900","$606,411,261"
"Dec 25, 2022",$0.9959,$0.9962,$0.9608,$0.9913,"$297,162","$601,763,299"
"Dec 24, 2022",$0.9789,$1.00,$0.9673,$0.9959,"$319,994","$604,552,868"
"Dec 23, 2022",$1.00,$1.01,$0.9668,$0.9789,"$349,112","$594,258,907"
"Dec 22, 2022",$0.9993,$1.01,$0.9831,$1.00,"$732,684","$608,276,173"
"Dec 21, 2022",$1.01,$1.01,$0.966,$0.9993,"$270,761","$606,627,665"
"Dec 20, 2022",$1.01,$1.01,$0.9799,$1.01,"$418,422","$610,955,325"
"Dec 19, 2022",$1.00,$1.01,$0.9852,$1.01,"$717,326","$610,517,720"
"Dec 18, 2022",$1.01,$1.01,$0.9775,$1.00,"$295,554","$609,516,873"
"Dec 17, 2022",$1.01,$1.01,$0.9777,$1.01,"$372,246","$613,642,694"
"Dec 16, 2022",$1.00,$1.01,$0.9998,$1.01,"$784,304","$612,222,543"
"Dec 15, 2022",$1.01,$1.01,$1.00,$1.00,"$606,122","$609,635,447"
"Dec 14, 2022",$1.01,$1.02,$1.00,$1.01,"$488,335","$610,654,241"
"Dec 13, 2022",$1.01,$1.02,$0.9999,$1.01,"$565,340","$616,150,557"
"Dec 12, 2022",$1.01,$1.02,$0.9972,$1.01,"$718,024","$613,324,419"
"Dec 11, 2022",$1.01,$1.02,$0.9961,$1.01,"$418,206","$612,192,770"
"Dec 10, 2022",$1.00,$1.02,$0.9997,$1.01,"$516,041","$611,026,980"
"Dec 09, 2022",$1.01,$1.02,$0.9945,$1.00,"$839,105","$609,836,826"
"Dec 08, 2022",$1.01,$1.02,$0.9993,$1.01,"$482,908","$610,438,866"
"Dec 07, 2022",$1.01,$1.01,$1.00,$1.01,"$610,695","$611,558,708"
"Dec 06, 2022",$1.00,$1.01,$0.9999,$1.01,"$738,522","$612,159,797"
"Dec 05, 2022",$0.9952,$1.01,$0.9912,$1.00,"$427,627","$609,783,754"
"Dec 04, 2022",$1.00,$1.02,$0.99,$0.9951,"$357,441","$604,087,783"
"Dec 03, 2022",$1.01,$1.01,$0.9937,$1.00,"$331,062","$608,644,547"
"Dec 02, 2022",$1.01,$1.02,$0.9979,$1.01,"$652,443","$610,979,294"
"Dec 01, 2022",$1.00,$1.01,$0.9959,$1.01,"$330,090","$610,589,950"
"Nov 30, 2022",$1.01,$1.02,$0.9965,$1.00,"$496,182","$609,974,773"
"Nov 29, 2022",$0.9998,$1.01,$0.9964,$1.01,"$569,015","$610,736,827"
"Nov 28, 2022",$1.01,$1.01,$0.9997,$0.9997,"$1,200,972","$606,843,234"
"Nov 27, 2022",$1.01,$1.02,$1.00,$1.01,"$664,122","$611,840,181"
"Nov 26, 2022",$1.01,$1.02,$1.00,$1.01,"$453,430","$612,381,855"
"Nov 25, 2022",$1.01,$1.01,$1.01,$1.01,"$610,822","$611,579,563"
"Nov 24, 2022",$1.01,$1.01,$0.9997,$1.01,"$3,711,838","$613,262,289"
"Nov 23, 2022",$1.01,$1.01,$0.9966,$1.01,"$1,796,284","$612,928,969"
"Nov 22, 2022",$1.01,$1.02,$1.00,$1.01,"$6,780,757","$615,304,195"
"Nov 21, 2022",$1.01,$1.01,$1.00,$1.01,"$4,614,065","$619,003,431"
"Nov 20, 2022",$1.01,$1.02,$1.00,$1.01,"$7,637,619","$620,005,264"
"Nov 19, 2022",$1.02,$1.02,$1.01,$1.01,"$3,984,674","$624,408,085"
"Nov 18, 2022",$1.01,$1.03,$1.01,$1.01,"$2,157,818","$627,629,269"
"Nov 17, 2022",$1.00,$1.02,$0.9976,$1.01,"$19,538,783","$628,807,859"
"Nov 16, 2022",$1.01,$1.01,$1.00,$1.01,"$16,843,697","$650,258,744"
"Nov 15, 2022",$1.00,$1.02,$0.9986,$1.01,"$711,785","$797,885,003"
"Nov 14, 2022",$1.00,$1.02,$0.9926,$1.00,"$993,237","$794,320,893"
"Nov 13, 2022",$1.01,$1.02,$1.00,$1.00,"$658,911","$795,169,149"
"Nov 12, 2022",$1.01,$1.02,$1.01,$1.01,"$996,557","$827,684,583"
"Nov 11, 2022",$1.00,$1.01,$0.9898,$1.01,"$1,333,505","$834,272,980"
"Nov 10, 2022",$0.9985,$1.02,$0.9817,$1.00,"$1,827,447","$871,737,896"
"Nov 09, 2022",$0.9995,$1.01,$0.9555,$1.00,"$2,821,240","$791,769,228"
"Nov 08, 2022",$1.00,$1.01,$0.9834,$0.9996,"$2,497,608","$796,743,271"
"Nov 07, 2022",$1.00,$1.01,$0.9985,$1.00,"$547,089","$790,532,870"
"Nov 06, 2022",$1.00,$1.01,$0.9996,$1.00,"$419,736","$788,437,151"
