Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.002075,$0.002075,$0.001923,$0.001939,"$24,046","$1,362,343"
"Dec 30, 2022",$0.001905,$0.002075,$0.001902,$0.002073,"$25,129","$1,456,801"
"Dec 29, 2022",$0.002148,$0.002157,$0.001894,$0.001905,"$78,510","$1,338,693"
"Dec 28, 2022",$0.002103,$0.002259,$0.002004,$0.002148,"$57,697","$1,509,709"
"Dec 27, 2022",$0.002117,$0.002132,$0.00209,$0.002103,"$12,742","$1,478,219"
"Dec 26, 2022",$0.00212,$0.002268,$0.002092,$0.002117,"$19,503","$1,488,005"
"Dec 25, 2022",$0.002051,$0.002123,$0.002003,$0.002118,"$19,337","$1,488,722"
"Dec 24, 2022",$0.002067,$0.002074,$0.002006,$0.002051,"$12,756","$1,441,355"
"Dec 23, 2022",$0.002111,$0.002143,$0.002062,$0.002068,"$13,655","$1,453,226"
"Dec 22, 2022",$0.002278,$0.002284,$0.002105,$0.002111,"$53,210","$1,483,155"
"Dec 21, 2022",$0.002243,$0.002286,$0.002192,$0.002276,"$54,340","$1,599,752"
"Dec 20, 2022",$0.002207,$0.002423,$0.002067,$0.002244,"$56,398","$1,577,273"
"Dec 19, 2022",$0.002489,$0.002512,$0.002188,$0.002207,"$63,740","$1,551,237"
"Dec 18, 2022",$0.002341,$0.002613,$0.002341,$0.002489,"$43,398","$1,749,098"
"Dec 17, 2022",$0.002153,$0.002603,$0.002081,$0.002341,"$170,898","$1,644,834"
"Dec 16, 2022",$0.002539,$0.002565,$0.002137,$0.002154,"$143,009","$1,513,753"
"Dec 15, 2022",$0.002668,$0.002943,$0.002403,$0.002539,"$175,970","$1,784,250"
"Dec 14, 2022",$0.003647,$0.00381,$0.002636,$0.002666,"$493,717","$1,873,164"
"Dec 13, 2022",$0.002601,$0.004089,$0.002401,$0.003646,"$248,514","$2,562,258"
"Dec 12, 2022",$0.002655,$0.002665,$0.002478,$0.002601,"$14,750","$1,827,587"
"Dec 11, 2022",$0.00275,$0.002816,$0.002647,$0.002655,"$5,362","$1,865,577"
"Dec 10, 2022",$0.002644,$0.002759,$0.002573,$0.00275,"$14,300","$1,932,731"
"Dec 09, 2022",$0.002893,$0.002907,$0.002634,$0.002644,"$15,933","$1,858,399"
"Dec 08, 2022",$0.002752,$0.002903,$0.002689,$0.002893,"$16,956","$2,032,991"
"Dec 07, 2022",$0.0032,$0.003206,$0.002682,$0.002752,"$34,352","$1,934,066"
"Dec 06, 2022",$0.002807,$0.003258,$0.002806,$0.003199,"$44,147","$2,247,931"
"Dec 05, 2022",$0.003131,$0.003159,$0.002779,$0.002807,"$41,450","$1,972,667"
"Dec 04, 2022",$0.003379,$0.003518,$0.003121,$0.003133,"$48,579","$2,201,982"
"Dec 03, 2022",$0.003299,$0.00354,$0.003123,$0.003375,"$49,694","$2,371,934"
"Dec 02, 2022",$0.002572,$0.003896,$0.002572,$0.003302,"$220,314","$2,320,710"
"Dec 01, 2022",$0.003311,$0.003315,$0.002309,$0.002541,"$81,897","$1,785,416"
"Nov 30, 2022",$0.002654,$0.003573,$0.002651,$0.003311,"$48,374","$2,326,846"
"Nov 29, 2022",$0.002407,$0.003437,$0.002393,$0.002654,"$198,662","$1,865,175"
"Nov 28, 2022",$0.002074,$0.002805,$0.002074,$0.002408,"$55,159","$1,691,952"
"Nov 27, 2022",$0.002336,$0.00241,$0.002072,$0.002074,"$26,613","$1,457,318"
"Nov 26, 2022",$0.002465,$0.002482,$0.002322,$0.002337,"$7,420","$1,642,535"
"Nov 25, 2022",$0.002423,$0.002486,$0.00238,$0.002465,"$17,228","$1,732,283"
"Nov 24, 2022",$0.002419,$0.002425,$0.002186,$0.002423,"$22,002","$1,702,960"
"Nov 23, 2022",$0.002338,$0.002498,$0.002323,$0.002419,"$13,334","$1,699,646"
"Nov 22, 2022",$0.002411,$0.002438,$0.002284,$0.002339,"$16,602","$1,643,550"
"Nov 21, 2022",$0.002511,$0.002513,$0.002357,$0.002411,"$13,989","$1,694,162"
"Nov 20, 2022",$0.00253,$0.003554,$0.002498,$0.002512,"$80,473","$1,765,421"
"Nov 19, 2022",$0.002699,$0.002701,$0.002197,$0.00253,"$80,511","$1,778,167"
"Nov 18, 2022",$0.002351,$0.003015,$0.002302,$0.002701,"$93,257","$1,897,967"
"Nov 17, 2022",$0.002692,$0.003093,$0.002348,$0.002351,"$53,407","$1,651,842"
"Nov 16, 2022",$0.002809,$0.00284,$0.002634,$0.002694,"$22,237","$1,893,188"
"Nov 15, 2022",$0.002917,$0.003087,$0.002806,$0.002808,"$29,684","$1,973,362"
"Nov 14, 2022",$0.002748,$0.002927,$0.002451,$0.002917,"$57,179","$2,049,870"
"Nov 13, 2022",$0.00278,$0.002786,$0.002642,$0.002747,"$13,567","$1,930,350"
"Nov 12, 2022",$0.002906,$0.002968,$0.002709,$0.002778,"$35,826","$1,952,273"
"Nov 11, 2022",$0.00302,$0.003038,$0.002793,$0.002906,"$18,071","$2,042,140"
"Nov 10, 2022",$0.002751,$0.003119,$0.00266,$0.003023,"$39,940","$2,124,560"
"Nov 09, 2022",$0.003425,$0.003433,$0.002691,$0.002758,"$49,174","$1,938,035"
"Nov 08, 2022",$0.003676,$0.003721,$0.003092,$0.003424,"$53,049","$2,405,936"
"Nov 07, 2022",$0.003686,$0.00374,$0.003602,$0.003676,"$20,223","$2,582,934"
"Nov 06, 2022",$0.003896,$0.003908,$0.003682,$0.003687,"$28,293","$2,591,082"
"Nov 05, 2022",$0.003665,$0.003915,$0.003384,$0.003896,"$63,812","$2,738,221"
"Nov 04, 2022",$0.00355,$0.003682,$0.003443,$0.003668,"$27,690","$2,577,865"
"Nov 03, 2022",$0.003334,$0.003617,$0.003328,$0.00355,"$35,610","$2,494,859"
"Nov 02, 2022",$0.003237,$0.003659,$0.003126,$0.003334,"$121,313","$2,342,867"
"Nov 01, 2022",$0.003547,$0.003609,$0.002979,$0.003237,"$99,853","$2,274,517"
"Oct 31, 2022",$0.003958,$0.004033,$0.003496,$0.003547,"$52,336","$2,492,687"
"Oct 30, 2022",$0.003993,$0.004127,$0.003897,$0.003958,"$50,748","$2,781,806"
"Oct 29, 2022",$0.003717,$0.004018,$0.003704,$0.003993,"$55,649","$2,805,710"
"Oct 28, 2022",$0.003518,$0.003734,$0.003464,$0.003717,"$53,713","$2,612,054"
"Oct 27, 2022",$0.003387,$0.003611,$0.003349,$0.003518,"$28,983","$2,472,169"
"Oct 26, 2022",$0.003418,$0.003574,$0.003263,$0.003387,"$50,861","$2,380,536"
"Oct 25, 2022",$0.003238,$0.003614,$0.003145,$0.003422,"$35,569","$2,404,615"
"Oct 24, 2022",$0.003422,$0.003471,$0.003183,$0.003238,"$25,569","$2,275,147"
"Oct 23, 2022",$0.003644,$0.003669,$0.003413,$0.003422,"$40,739","$2,404,701"
"Oct 22, 2022",$0.003544,$0.003675,$0.003538,$0.003644,"$11,573","$2,560,598"
"Oct 21, 2022",$0.003789,$0.003792,$0.003503,$0.003544,"$40,942","$2,490,824"
"Oct 20, 2022",$0.003731,$0.004006,$0.003671,$0.003789,"$30,820","$2,662,608"
"Oct 19, 2022",$0.003737,$0.003838,$0.003597,$0.003731,"$36,718","$2,622,192"
"Oct 18, 2022",$0.003616,$0.003782,$0.003448,$0.003737,"$67,138","$2,625,972"
"Oct 17, 2022",$0.004108,$0.004262,$0.003588,$0.003607,"$62,666","$2,534,853"
"Oct 16, 2022",$0.003469,$0.004171,$0.003431,$0.0041,"$351,524","$2,881,204"
"Oct 15, 2022",$0.003098,$0.003569,$0.003005,$0.003464,"$57,042","$2,434,298"
"Oct 14, 2022",$0.003005,$0.003128,$0.003003,$0.003098,"$10,934","$2,176,964"
"Oct 13, 2022",$0.002972,$0.003032,$0.00282,$0.003005,"$28,900","$2,111,525"
"Oct 12, 2022",$0.002943,$0.002998,$0.002871,$0.002982,"$15,212","$2,095,780"
"Oct 11, 2022",$0.003191,$0.003191,$0.002838,$0.002943,"$32,582","$2,068,000"
"Oct 10, 2022",$0.003296,$0.003477,$0.003137,$0.003191,"$89,539","$2,242,302"
"Oct 09, 2022",$0.003225,$0.003371,$0.003221,$0.003296,"$10,360","$2,316,115"
"Oct 08, 2022",$0.003061,$0.003246,$0.003061,$0.003225,"$24,205","$2,266,507"
"Oct 07, 2022",$0.00326,$0.00341,$0.002812,$0.003061,"$99,532","$2,151,247"
"Oct 06, 2022",$0.003703,$0.003729,$0.003103,$0.003269,"$197,668","$2,297,231"
"Oct 05, 2022",$0.002995,$0.004742,$0.002955,$0.003703,"$546,521","$2,602,012"
"Oct 04, 2022",$0.003056,$0.003124,$0.002727,$0.002995,"$127,273","$2,104,876"
"Oct 03, 2022",$0.003032,$0.003108,$0.003012,$0.003047,"$28,913","$2,140,953"
"Oct 02, 2022",$0.003062,$0.003096,$0.00284,$0.00303,"$34,295","$2,129,244"
"Oct 01, 2022",$0.002994,$0.003087,$0.002911,$0.003059,"$62,410","$2,149,533"
"Sep 30, 2022",$0.003115,$0.00316,$0.002758,$0.002989,"$87,336","$2,100,806"
"Sep 29, 2022",$0.003213,$0.003235,$0.003089,$0.003135,"$48,298","$2,203,328"
"Sep 28, 2022",$0.003136,$0.003463,$0.003074,$0.003217,"$85,652","$2,260,505"
"Sep 27, 2022",$0.003242,$0.003283,$0.003112,$0.003133,"$68,579","$2,201,394"
"Sep 26, 2022",$0.003404,$0.003467,$0.003198,$0.003243,"$68,094","$2,279,080"
"Sep 25, 2022",$0.003402,$0.003494,$0.003377,$0.003388,"$37,899","$2,380,726"
"Sep 24, 2022",$0.003409,$0.003453,$0.003343,$0.003401,"$27,677","$2,389,921"
"Sep 23, 2022",$0.003492,$0.003514,$0.003384,$0.00341,"$26,649","$2,396,123"
