Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.13,$1.17,$1.12,$1.14,"$51,055","$13,038,764"
"Dec 30, 2022",$1.13,$1.17,$1.09,$1.13,"$185,544","$12,832,183"
"Dec 29, 2022",$1.04,$1.19,$1.02,$1.13,"$318,258","$12,879,615"
"Dec 28, 2022",$0.8624,$1.11,$0.8527,$1.04,"$334,056","$11,811,816"
"Dec 27, 2022",$0.8461,$0.8702,$0.8416,$0.869,"$43,106","$9,895,900"
"Dec 26, 2022",$0.8432,$0.8471,$0.8215,$0.8462,"$23,287","$9,636,315"
"Dec 25, 2022",$0.8226,$0.8585,$0.8207,$0.8428,"$69,113","$9,598,090"
"Dec 24, 2022",$0.8053,$0.8232,$0.7936,$0.8226,"$56,114","$9,368,179"
"Dec 23, 2022",$0.6988,$0.9557,$0.6914,$0.8054,"$226,523","$9,172,585"
"Dec 22, 2022",$0.685,$0.7129,$0.6493,$0.6993,"$82,305","$7,964,278"
"Dec 21, 2022",$0.6614,$0.6943,$0.658,$0.6847,"$45,705","$7,797,725"
"Dec 20, 2022",$0.5833,$0.7003,$0.5796,$0.6616,"$77,819","$7,534,799"
"Dec 19, 2022",$0.6241,$0.6298,$0.5765,$0.5833,"$74,730","$6,643,144"
"Dec 18, 2022",$0.6376,$0.6399,$0.6211,$0.6241,"$3,977","$7,107,754"
"Dec 17, 2022",$0.6064,$0.6386,$0.6053,$0.6376,"$23,568","$7,260,616"
"Dec 16, 2022",$0.7089,$0.7168,$0.6039,$0.6065,"$77,434","$6,907,505"
"Dec 15, 2022",$0.6737,$0.7997,$0.6611,$0.7088,"$180,515","$8,072,262"
"Dec 14, 2022",$0.6569,$0.7044,$0.6553,$0.6731,"$88,053","$7,665,537"
"Dec 13, 2022",$0.6501,$0.699,$0.636,$0.6568,"$81,218","$7,479,363"
"Dec 12, 2022",$0.6143,$0.6541,$0.6027,$0.6501,"$44,909","$7,403,173"
"Dec 11, 2022",$0.6147,$0.6275,$0.6142,$0.6143,"$4,749","$6,995,669"
"Dec 10, 2022",$0.6232,$0.6387,$0.6137,$0.6147,"$27,622","$6,999,922"
"Dec 09, 2022",$0.6652,$0.6684,$0.6009,$0.6232,"$98,782","$7,097,491"
"Dec 08, 2022",$0.6468,$0.6723,$0.6342,$0.6652,"$23,407","$7,575,452"
"Dec 07, 2022",$0.7122,$0.7135,$0.6419,$0.6468,"$75,101","$7,366,111"
"Dec 06, 2022",$0.6664,$0.7142,$0.6566,$0.7121,"$42,880","$8,109,408"
"Dec 05, 2022",$0.6429,$0.7081,$0.6412,$0.6664,"$91,847","$7,589,404"
"Dec 04, 2022",$0.5696,$0.6499,$0.569,$0.6432,"$76,523","$7,325,035"
"Dec 03, 2022",$0.5677,$0.5905,$0.5518,$0.5692,"$36,840","$6,481,941"
"Dec 02, 2022",$0.5874,$0.5911,$0.545,$0.5681,"$148,334","$6,470,027"
"Dec 01, 2022",$0.6167,$0.6193,$0.5805,$0.587,"$52,327","$6,684,968"
"Nov 30, 2022",$0.5371,$0.6221,$0.5363,$0.6167,"$138,828","$7,023,096"
"Nov 29, 2022",$0.5958,$0.5977,$0.4575,$0.5371,"$545,928","$6,116,356"
"Nov 28, 2022",$0.6419,$0.6451,$0.5957,$0.596,"$109,578","$6,787,653"
"Nov 27, 2022",$0.6598,$0.6696,$0.6407,$0.6419,"$34,598","$7,310,437"
"Nov 26, 2022",$0.677,$0.6858,$0.6448,$0.6601,"$60,656","$7,516,909"
"Nov 25, 2022",$0.7468,$0.7468,$0.676,$0.677,"$55,664","$7,709,877"
"Nov 24, 2022",$0.7566,$0.7947,$0.74,$0.7468,"$87,271","$8,504,532"
"Nov 23, 2022",$0.7209,$0.7709,$0.7209,$0.7565,"$63,844","$8,615,343"
"Nov 22, 2022",$0.7106,$0.7361,$0.7,$0.721,"$31,694","$8,211,013"
"Nov 21, 2022",$0.7304,$0.7434,$0.6935,$0.7106,"$31,739","$8,092,003"
"Nov 20, 2022",$0.7779,$0.784,$0.7266,$0.7306,"$34,087","$8,320,548"
"Nov 19, 2022",$0.7715,$0.7833,$0.7503,$0.7779,"$19,280","$8,858,391"
"Nov 18, 2022",$0.762,$0.7823,$0.7593,$0.772,"$22,144","$8,791,661"
"Nov 17, 2022",$0.7583,$0.7767,$0.7371,$0.7618,"$47,691","$8,675,446"
"Nov 16, 2022",$0.7504,$0.7942,$0.729,$0.7587,"$55,341","$8,640,237"
"Nov 15, 2022",$0.7591,$0.7924,$0.7374,$0.7503,"$28,876","$8,544,689"
"Nov 14, 2022",$0.716,$0.7803,$0.6928,$0.759,"$50,474","$8,643,567"
"Nov 13, 2022",$0.7803,$0.7914,$0.6718,$0.7159,"$173,245","$8,152,382"
"Nov 12, 2022",$0.7567,$0.7927,$0.7427,$0.7797,"$45,420","$8,879,079"
