Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02068,$0.02204,$0.02058,$0.0206,"$5,156,653","$20,588,933"
"Dec 30, 2022",$0.02134,$0.02167,$0.02051,$0.02068,"$4,007,270","$20,664,993"
"Dec 29, 2022",$0.02165,$0.02339,$0.0212,$0.02134,"$12,453,662","$21,323,371"
"Dec 28, 2022",$0.02075,$0.02393,$0.01929,$0.02171,"$23,585,266","$21,691,660"
"Dec 27, 2022",$0.0195,$0.02254,$0.01862,$0.02075,"$29,363,006","$20,733,812"
"Dec 26, 2022",$0.01758,$0.01964,$0.01723,$0.01951,"$11,840,268","$19,496,682"
"Dec 25, 2022",$0.01848,$0.01856,$0.01748,$0.01758,"$2,984,664","$17,568,863"
"Dec 24, 2022",$0.01729,$0.02003,$0.01729,$0.01848,"$13,002,864","$18,465,165"
"Dec 23, 2022",$0.01598,$0.01871,$0.01575,$0.0173,"$13,931,476","$17,291,356"
"Dec 22, 2022",$0.01587,$0.01621,$0.01553,$0.01597,"$2,092,509","$15,959,748"
"Dec 21, 2022",$0.0163,$0.01664,$0.01567,$0.01586,"$2,789,856","$15,847,718"
"Dec 20, 2022",$0.01629,$0.01685,$0.01605,$0.0163,"$2,114,049","$16,285,798"
"Dec 19, 2022",$0.01627,$0.01756,$0.01602,$0.01629,"$5,928,619","$16,275,428"
"Dec 18, 2022",$0.01585,$0.01764,$0.01562,$0.01626,"$5,300,861","$16,247,703"
"Dec 17, 2022",$0.01546,$0.0162,$0.01404,$0.01585,"$3,052,829","$15,839,647"
"Dec 16, 2022",$0.01717,$0.01749,$0.015,$0.01547,"$4,675,757","$15,456,019"
"Dec 15, 2022",$0.01822,$0.01845,$0.01677,$0.01717,"$4,180,755","$17,161,974"
"Dec 14, 2022",$0.01759,$0.021,$0.01753,$0.01822,"$12,426,094","$18,211,242"
"Dec 13, 2022",$0.01873,$0.01978,$0.01683,$0.01759,"$7,229,665","$17,579,984"
"Dec 12, 2022",$0.01859,$0.02153,$0.01836,$0.01871,"$11,358,889","$18,700,805"
"Dec 11, 2022",$0.01907,$0.0241,$0.01855,$0.01861,"$41,187,329","$18,595,289"
"Dec 10, 2022",$0.01772,$0.02158,$0.01676,$0.01906,"$27,407,739","$19,047,121"
"Dec 09, 2022",$0.0164,$0.01809,$0.01618,$0.01771,"$9,279,818","$17,692,166"
"Dec 08, 2022",$0.01563,$0.01697,$0.01552,$0.01641,"$6,772,739","$16,393,869"
"Dec 07, 2022",$0.01741,$0.01765,$0.01527,$0.01562,"$10,516,001","$15,612,602"
"Dec 06, 2022",$0.01469,$0.019,$0.01464,$0.01729,"$17,484,222","$17,278,593"
"Dec 05, 2022",$0.01426,$0.01618,$0.01423,$0.01469,"$8,543,834","$14,677,850"
"Dec 04, 2022",$0.01422,$0.01463,$0.01421,$0.01427,"$2,800,245","$14,259,080"
"Dec 03, 2022",$0.01484,$0.0149,$0.01421,$0.01422,"$3,243,922","$14,211,187"
"Dec 02, 2022",$0.01419,$0.01577,$0.01395,$0.01484,"$5,861,105","$14,832,182"
"Dec 01, 2022",$0.01454,$0.01464,$0.01358,$0.01419,"$6,796,095","$14,183,426"
"Nov 30, 2022",$0.01334,$0.01526,$0.01324,$0.01455,"$6,711,752","$14,542,747"
"Nov 29, 2022",$0.01337,$0.01428,$0.01312,$0.01334,"$4,677,705","$13,325,475"
"Nov 28, 2022",$0.01287,$0.0146,$0.01244,$0.01338,"$13,713,226","$13,366,124"
"Nov 27, 2022",$0.01283,$0.01358,$0.01254,$0.01287,"$2,756,955","$12,860,555"
"Nov 26, 2022",$0.01263,$0.01358,$0.01259,$0.01283,"$2,653,358","$12,819,243"
"Nov 25, 2022",$0.01345,$0.01413,$0.01182,$0.01263,"$7,862,240","$12,623,038"
"Nov 24, 2022",$0.01267,$0.01554,$0.01253,$0.01345,"$14,975,431","$13,440,391"
"Nov 23, 2022",$0.01199,$0.01274,$0.01186,$0.01267,"$2,106,708","$12,662,513"
"Nov 22, 2022",$0.01138,$0.01208,$0.0111,$0.01198,"$2,047,039","$11,976,125"
"Nov 21, 2022",$0.01118,$0.01278,$0.01065,$0.01138,"$4,525,551","$11,374,144"
"Nov 20, 2022",$0.0118,$0.01341,$0.01107,$0.01118,"$5,377,836","$11,173,749"
"Nov 19, 2022",$0.01174,$0.01215,$0.01153,$0.0118,"$1,388,696","$11,795,887"
"Nov 18, 2022",$0.01282,$0.01301,$0.01154,$0.01174,"$2,267,406","$11,732,812"
"Nov 17, 2022",$0.01281,$0.01298,$0.01249,$0.01282,"$726,116","$12,814,911"
"Nov 16, 2022",$0.01299,$0.01307,$0.01269,$0.01281,"$547,685","$12,801,055"
"Nov 15, 2022",$0.01263,$0.01332,$0.01263,$0.013,"$738,707","$12,991,442"
"Nov 14, 2022",$0.01255,$0.01291,$0.01185,$0.01263,"$702,417","$12,621,353"
"Nov 13, 2022",$0.01289,$0.01361,$0.0124,$0.01256,"$1,164,035","$12,545,984"
"Nov 12, 2022",$0.01259,$0.01299,$0.01213,$0.01289,"$794,063","$12,875,776"
"Nov 11, 2022",$0.01408,$0.01442,$0.01216,$0.01259,"$1,238,339","$12,584,548"
