Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.28,$1.30,$1.27,$1.29,"$3,707,459","$18,346,255"
"Dec 30, 2022",$1.26,$1.28,$1.24,$1.28,"$3,107,062","$18,173,146"
"Dec 29, 2022",$1.28,$1.29,$1.22,$1.26,"$5,053,628","$17,928,000"
"Dec 28, 2022",$1.29,$1.30,$1.23,$1.28,"$3,486,267","$18,132,674"
"Dec 27, 2022",$1.34,$1.34,$1.26,$1.29,"$3,622,755","$18,259,411"
"Dec 26, 2022",$1.29,$1.34,$1.29,$1.34,"$3,211,666","$19,006,378"
"Dec 25, 2022",$1.34,$1.35,$1.27,$1.29,"$4,268,580","$18,384,017"
"Dec 24, 2022",$1.36,$1.37,$1.34,$1.34,"$2,407,349","$19,047,355"
"Dec 23, 2022",$1.36,$1.36,$1.35,$1.36,"$2,818,591","$19,336,648"
"Dec 22, 2022",$1.36,$1.37,$1.32,$1.36,"$3,287,453","$19,280,990"
"Dec 21, 2022",$1.40,$1.40,$1.34,$1.36,"$3,082,827","$19,254,144"
"Dec 20, 2022",$1.34,$1.41,$1.33,$1.40,"$3,716,132","$19,913,922"
"Dec 19, 2022",$1.37,$1.42,$1.33,$1.34,"$6,640,642","$18,965,606"
"Dec 18, 2022",$1.40,$1.40,$1.35,$1.37,"$3,283,229","$19,388,057"
"Dec 17, 2022",$1.37,$1.41,$1.31,$1.40,"$6,441,060","$19,939,808"
"Dec 16, 2022",$1.60,$1.62,$1.36,$1.37,"$5,288,504","$19,510,681"
"Dec 15, 2022",$1.64,$1.64,$1.59,$1.60,"$3,087,004","$22,748,889"
"Dec 14, 2022",$1.68,$1.70,$1.61,$1.64,"$3,704,654","$23,278,448"
"Dec 13, 2022",$1.65,$1.70,$1.57,$1.68,"$6,812,661","$23,857,580"
"Dec 12, 2022",$1.71,$1.71,$1.61,$1.65,"$3,994,089","$23,463,881"
"Dec 11, 2022",$1.78,$1.79,$1.71,$1.71,"$3,441,575","$24,328,387"
"Dec 10, 2022",$1.80,$1.81,$1.77,$1.78,"$3,455,522","$25,290,307"
"Dec 09, 2022",$1.78,$1.83,$1.77,$1.80,"$4,632,183","$25,618,112"
"Dec 08, 2022",$1.75,$1.79,$1.71,$1.78,"$4,014,269","$25,325,567"
"Dec 07, 2022",$1.77,$1.79,$1.68,$1.75,"$7,086,114","$24,802,329"
"Dec 06, 2022",$1.80,$1.81,$1.74,$1.77,"$4,229,858","$25,183,746"
"Dec 05, 2022",$1.81,$1.85,$1.74,$1.80,"$6,630,875","$25,541,371"
"Dec 04, 2022",$1.81,$1.86,$1.77,$1.81,"$5,440,990","$25,680,049"
"Dec 03, 2022",$1.87,$1.87,$1.79,$1.81,"$4,744,763","$25,759,971"
"Dec 02, 2022",$1.84,$1.87,$1.77,$1.87,"$7,674,109","$26,496,721"
"Dec 01, 2022",$1.87,$2.00,$1.79,$1.84,"$14,355,631","$26,190,805"
"Nov 30, 2022",$1.73,$1.88,$1.73,$1.87,"$8,453,915","$26,597,041"
"Nov 29, 2022",$1.69,$1.76,$1.66,$1.73,"$6,989,529","$24,596,400"
"Nov 28, 2022",$1.67,$1.70,$1.59,$1.68,"$6,034,348","$23,918,563"
"Nov 27, 2022",$1.65,$1.72,$1.64,$1.67,"$5,352,827","$23,668,894"
"Nov 26, 2022",$1.68,$1.73,$1.62,$1.65,"$6,289,398","$23,385,657"
"Nov 25, 2022",$1.66,$1.77,$1.59,$1.68,"$9,854,038","$23,882,551"
"Nov 24, 2022",$1.69,$1.70,$1.63,$1.65,"$4,048,121","$23,494,649"
"Nov 23, 2022",$1.61,$1.69,$1.59,$1.69,"$5,325,483","$23,929,657"
"Nov 22, 2022",$1.53,$1.63,$1.48,$1.61,"$4,689,651","$22,792,909"
"Nov 21, 2022",$1.54,$1.57,$1.47,$1.53,"$5,670,461","$21,756,029"
"Nov 20, 2022",$1.71,$1.71,$1.54,$1.54,"$7,548,773","$21,855,841"
"Nov 19, 2022",$1.71,$1.74,$1.68,$1.70,"$6,551,537","$24,184,141"
"Nov 18, 2022",$1.67,$1.72,$1.66,$1.71,"$6,209,075","$24,244,268"
"Nov 17, 2022",$1.70,$1.75,$1.65,$1.67,"$6,404,358","$23,649,839"
"Nov 16, 2022",$1.76,$1.87,$1.66,$1.70,"$11,010,490","$24,086,762"
"Nov 15, 2022",$1.80,$1.83,$1.72,$1.76,"$10,730,717","$24,978,279"
"Nov 14, 2022",$1.71,$1.84,$1.57,$1.81,"$14,444,390","$25,628,701"
"Nov 13, 2022",$1.70,$1.81,$1.64,$1.71,"$9,963,022","$24,221,247"
"Nov 12, 2022",$1.84,$1.84,$1.60,$1.70,"$12,645,623","$24,144,301"
"Nov 11, 2022",$1.81,$2.23,$1.70,$1.84,"$45,425,529","$26,116,491"
"Nov 10, 2022",$1.45,$1.87,$1.44,$1.81,"$26,240,686","$25,673,391"
"Nov 09, 2022",$1.85,$1.90,$1.41,$1.45,"$20,933,340","$20,559,581"
"Nov 08, 2022",$2.33,$2.53,$1.70,$1.84,"$46,245,418","$26,185,958"
