Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.03151,$0.03239,$0.03113,$0.03117,"$30,754","$2,471,462"
"Dec 30, 2022",$0.034,$0.03403,$0.03145,$0.03149,"$183,248","$2,496,314"
"Dec 29, 2022",$0.03581,$0.03592,$0.03343,$0.034,"$620,575","$2,695,434"
"Dec 28, 2022",$0.03757,$0.03765,$0.03561,$0.03581,"$428,615","$2,838,749"
"Dec 27, 2022",$0.03922,$0.03996,$0.03737,$0.03758,"$553,376","$2,979,402"
"Dec 26, 2022",$0.03708,$0.03938,$0.03692,$0.03923,"$332,532","$3,110,028"
"Dec 25, 2022",$0.0376,$0.03768,$0.03557,$0.03705,"$229,823","$2,937,549"
"Dec 24, 2022",$0.03808,$0.03812,$0.0358,$0.0376,"$231,555","$2,980,733"
"Dec 23, 2022",$0.03414,$0.04293,$0.03382,$0.03809,"$342,625","$3,020,202"
"Dec 22, 2022",$0.0348,$0.0349,$0.0326,$0.03417,"$97,756","$2,708,882"
"Dec 21, 2022",$0.03241,$0.0348,$0.03178,$0.03478,"$81,090","$2,757,785"
"Dec 20, 2022",$0.03107,$0.03343,$0.03077,$0.03241,"$37,834","$2,569,836"
"Dec 19, 2022",$0.03409,$0.03441,$0.03107,$0.03107,"$18,532","$2,463,609"
"Dec 18, 2022",$0.03384,$0.0344,$0.03367,$0.03409,"$7,274","$2,702,957"
"Dec 17, 2022",$0.03427,$0.03451,$0.033,$0.03383,"$10,629","$2,682,374"
"Dec 16, 2022",$0.03626,$0.03664,$0.03401,$0.03428,"$15,179","$2,717,918"
"Dec 15, 2022",$0.03767,$0.03774,$0.03464,$0.03625,"$37,308","$2,874,244"
"Dec 14, 2022",$0.03916,$0.0396,$0.03763,$0.03764,"$24,971","$2,984,284"
"Dec 13, 2022",$0.04049,$0.04896,$0.03671,$0.03914,"$206,796","$3,103,396"
"Dec 12, 2022",$0.03438,$0.04446,$0.03332,$0.04048,"$259,326","$3,209,681"
"Dec 11, 2022",$0.03367,$0.03591,$0.0333,$0.03438,"$30,310","$2,725,870"
"Dec 10, 2022",$0.03398,$0.0361,$0.0333,$0.03367,"$24,086","$2,669,160"
"Dec 09, 2022",$0.03756,$0.03856,$0.03395,$0.03398,"$64,369","$2,693,674"
"Dec 08, 2022",$0.0336,$0.03824,$0.03338,$0.03756,"$118,003","$2,977,995"
"Dec 07, 2022",$0.03284,$0.03393,$0.03251,$0.0336,"$34,327","$2,664,170"
"Dec 06, 2022",$0.03302,$0.03348,$0.03232,$0.03283,"$10,976","$2,603,048"
"Dec 05, 2022",$0.03404,$0.03437,$0.03214,$0.03302,"$23,883","$2,617,742"
"Dec 04, 2022",$0.03345,$0.03465,$0.03231,$0.03406,"$58,103","$2,700,457"
"Dec 03, 2022",$0.03649,$0.03668,$0.03336,$0.03342,"$24,484","$2,649,476"
"Dec 02, 2022",$0.03691,$0.03701,$0.03532,$0.03652,"$17,847","$2,895,719"
"Dec 01, 2022",$0.0389,$0.03894,$0.03571,$0.03688,"$27,546","$2,924,146"
"Nov 30, 2022",$0.03566,$0.03922,$0.03493,$0.0389,"$43,734","$3,084,096"
"Nov 29, 2022",$0.0372,$0.03855,$0.03495,$0.03566,"$32,628","$2,827,463"
"Nov 28, 2022",$0.03841,$0.03859,$0.03695,$0.03722,"$3,880","$2,950,623"
"Nov 27, 2022",$0.03838,$0.03944,$0.03812,$0.03841,"$12,220","$3,044,919"
"Nov 26, 2022",$0.03949,$0.04042,$0.03824,$0.03839,"$4,296","$3,043,892"
"Nov 25, 2022",$0.04053,$0.04053,$0.03637,$0.03949,"$40,686","$3,131,108"
"Nov 24, 2022",$0.0381,$0.04084,$0.03796,$0.04053,"$25,956","$3,213,425"
"Nov 23, 2022",$0.03679,$0.03893,$0.03655,$0.0381,"$11,281","$3,020,426"
"Nov 22, 2022",$0.03849,$0.03879,$0.03437,$0.0368,"$37,657","$2,917,634"
"Nov 21, 2022",$0.04006,$0.04045,$0.0376,$0.03848,"$14,146","$3,051,053"
"Nov 20, 2022",$0.04269,$0.04291,$0.03936,$0.04008,"$20,729","$3,177,311"
"Nov 19, 2022",$0.04314,$0.04318,$0.04153,$0.04269,"$17,139","$3,384,616"
"Nov 18, 2022",$0.04153,$0.04422,$0.04133,$0.04318,"$23,586","$3,423,168"
"Nov 17, 2022",$0.04165,$0.04245,$0.04118,$0.04152,"$17,054","$3,291,830"
"Nov 16, 2022",$0.04375,$0.04424,$0.03878,$0.04168,"$29,032","$3,304,312"
"Nov 15, 2022",$0.04252,$0.04752,$0.0424,$0.04373,"$52,764","$3,467,433"
"Nov 14, 2022",$0.04192,$0.0441,$0.04075,$0.04252,"$9,719","$3,371,082"
"Nov 13, 2022",$0.0444,$0.04475,$0.04183,$0.04191,"$15,377","$3,322,736"
"Nov 12, 2022",$0.04523,$0.04531,$0.04239,$0.04437,"$27,812","$3,517,614"
"Nov 11, 2022",$0.04456,$0.04671,$0.04201,$0.04523,"$13,063","$3,586,285"
"Nov 10, 2022",$0.0396,$0.0492,$0.03934,$0.04461,"$61,870","$3,536,661"
"Nov 09, 2022",$0.04738,$0.04746,$0.03873,$0.0397,"$52,232","$3,147,366"
"Nov 08, 2022",$0.0507,$0.05165,$0.04211,$0.04738,"$59,290","$3,756,087"
"Nov 07, 2022",$0.05071,$0.05236,$0.05023,$0.0507,"$24,728","$4,019,777"
"Nov 06, 2022",$0.0532,$0.05384,$0.05034,$0.05073,"$34,694","$4,022,110"
"Nov 05, 2022",$0.05301,$0.05407,$0.05278,$0.0532,"$21,268","$4,217,535"
"Nov 04, 2022",$0.05246,$0.05661,$0.05243,$0.05305,"$45,544","$4,206,257"
"Nov 03, 2022",$0.05167,$0.05416,$0.05157,$0.05246,"$26,038","$4,159,273"
"Nov 02, 2022",$0.05371,$0.05501,$0.05092,$0.05167,"$15,099","$4,096,197"
"Nov 01, 2022",$0.0553,$0.05643,$0.05349,$0.05371,"$14,460","$4,258,310"
"Oct 31, 2022",$0.0553,$0.05675,$0.05419,$0.0553,"$24,239","$4,384,361"
"Oct 30, 2022",$0.05586,$0.05651,$0.05482,$0.0553,"$13,552","$4,384,733"
"Oct 29, 2022",$0.05565,$0.05788,$0.05448,$0.05586,"$35,129","$4,428,792"
