Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.04416,$0.04428,$0.04403,$0.04414,"$4,745","$1,195,246"
"Dec 30, 2022",$0.04467,$0.0449,$0.04403,$0.04418,"$4,827","$1,194,761"
"Dec 29, 2022",$0.04484,$0.0449,$0.04465,$0.04481,"$4,668","$1,210,936"
"Dec 28, 2022",$0.04552,$0.0457,$0.04465,$0.0447,"$4,980","$1,206,361"
"Dec 27, 2022",$0.04546,$0.0457,$0.04544,$0.0456,"$4,880","$1,228,645"
"Dec 26, 2022",$0.0456,$0.0457,$0.04544,$0.04566,"$4,860","$1,228,349"
"Dec 25, 2022",$0.04568,$0.0457,$0.04544,$0.04556,"$4,906","$1,225,399"
"Dec 24, 2022",$0.04564,$0.04572,$0.04545,$0.04565,"$4,907","$1,225,898"
"Dec 23, 2022",$0.04571,$0.04572,$0.04543,$0.04555,"$4,909","$1,221,541"
"Dec 22, 2022",$0.04578,$0.0459,$0.04547,$0.0456,"$4,860","$1,221,424"
"Dec 21, 2022",$0.04632,$0.04655,$0.04565,$0.04583,"$5,068","$1,227,119"
"Dec 20, 2022",$0.04553,$0.04708,$0.04553,$0.04633,"$5,227","$1,238,549"
"Dec 19, 2022",$0.04686,$0.04709,$0.04549,$0.04557,"$5,213","$1,217,452"
"Dec 18, 2022",$0.04705,$0.049,$0.04666,$0.04674,"$5,675","$1,247,002"
"Dec 17, 2022",$0.04725,$0.04745,$0.04702,$0.04705,"$5,005","$1,253,025"
"Dec 16, 2022",$0.04811,$0.04813,$0.04719,$0.04724,"$5,184","$1,257,500"
"Dec 15, 2022",$0.04816,$0.04823,$0.04782,$0.04809,"$5,150","$1,277,980"
"Dec 14, 2022",$0.04819,$0.04891,$0.04793,$0.04811,"$5,441","$1,277,132"
"Dec 13, 2022",$0.04823,$0.04845,$0.04796,$0.04819,"$4,957","$1,277,791"
"Dec 12, 2022",$0.05083,$0.05089,$0.04817,$0.04837,"$5,554","$1,280,771"
"Dec 11, 2022",$0.05065,$0.05089,$0.05061,$0.05086,"$5,501","$1,345,638"
"Dec 10, 2022",$0.05067,$0.05089,$0.05061,$0.05068,"$5,455","$1,339,498"
"Dec 09, 2022",$0.05079,$0.05089,$0.05061,$0.05067,"$5,277","$1,337,135"
"Dec 08, 2022",$0.05091,$0.05106,$0.0506,$0.05086,"$5,404","$1,340,724"
"Dec 07, 2022",$0.05179,$0.05179,$0.05078,$0.05105,"$5,621","$1,344,030"
"Dec 06, 2022",$0.0516,$0.05179,$0.0515,$0.05171,"$5,537","$1,359,772"
"Dec 05, 2022",$0.05172,$0.05179,$0.0515,$0.05152,"$5,541","$1,351,708"
"Dec 04, 2022",$0.05163,$0.05179,$0.05146,$0.05174,"$5,518","$1,357,094"
"Dec 03, 2022",$0.0516,$0.05178,$0.05146,$0.05152,"$5,498","$1,349,799"
"Dec 02, 2022",$0.05151,$0.05176,$0.05146,$0.05146,"$5,476","$1,346,840"
"Dec 01, 2022",$0.05162,$0.0518,$0.05148,$0.05151,"$5,465","$1,346,148"
"Nov 30, 2022",$0.05156,$0.05177,$0.05146,$0.0517,"$5,559","$1,349,508"
"Nov 29, 2022",$0.05155,$0.05175,$0.05136,$0.05147,"$5,562","$1,341,909"
"Nov 28, 2022",$0.05262,$0.05274,$0.05108,$0.05156,"$5,860","$1,343,009"
"Nov 27, 2022",$0.05214,$0.05273,$0.05214,$0.05263,"$5,638","$1,369,104"
"Nov 26, 2022",$0.0526,$0.05275,$0.05213,$0.05219,"$5,543","$1,355,855"
"Nov 25, 2022",$0.05259,$0.05275,$0.05244,$0.0526,"$5,420","$1,364,107"
"Nov 24, 2022",$0.05264,$0.05283,$0.05242,$0.05261,"$5,326","$1,363,749"
"Nov 23, 2022",$0.04964,$0.05284,$0.04964,$0.05264,"$6,096","$1,362,885"
"Nov 22, 2022",$0.04731,$0.05002,$0.04703,$0.04969,"$5,254","$1,284,779"
"Nov 21, 2022",$0.04736,$0.0475,$0.04705,$0.04732,"$5,039","$1,221,675"
"Nov 20, 2022",$0.04696,$0.04751,$0.04689,$0.04742,"$5,116","$1,222,753"
"Nov 19, 2022",$0.04704,$0.04721,$0.04692,$0.0471,"$5,075","$1,212,961"
"Nov 18, 2022",$0.04732,$0.04755,$0.04695,$0.04716,"$5,014","$1,213,207"
"Nov 17, 2022",$0.04721,$0.04756,$0.04696,$0.04733,"$5,140","$1,216,449"
"Nov 16, 2022",$0.04706,$0.04737,$0.04693,$0.04723,"$5,061","$1,212,371"
"Nov 15, 2022",$0.04629,$0.04723,$0.04626,$0.04711,"$5,074","$1,207,669"
"Nov 14, 2022",$0.04621,$0.04712,$0.04477,$0.04645,"$4,926","$1,189,281"
"Nov 13, 2022",$0.04792,$0.04813,$0.04566,$0.04622,"$5,333","$1,181,878"
"Nov 12, 2022",$0.0481,$0.04814,$0.04782,$0.04796,"$5,143","$1,224,978"
"Nov 11, 2022",$0.0476,$0.04812,$0.04757,$0.0481,"$5,147","$1,227,048"
"Nov 10, 2022",$0.04167,$0.0479,$0.04156,$0.0476,"$6,105","$1,212,595"
"Nov 09, 2022",$0.049,$0.04906,$0.04137,$0.04172,"$5,709","$1,061,680"
"Nov 08, 2022",$0.05557,$0.05566,$0.04775,$0.04902,"$6,672","$1,245,502"
"Nov 07, 2022",$0.05617,$0.05631,$0.05527,$0.05552,"$6,046","$1,409,079"
"Nov 06, 2022",$0.05736,$0.05781,$0.05599,$0.05609,"$6,168","$1,421,777"
"Nov 05, 2022",$0.05732,$0.05776,$0.05681,$0.05738,"$6,164","$1,452,530"
"Nov 04, 2022",$0.05593,$0.05789,$0.0557,$0.0573,"$6,323","$1,448,858"
"Nov 03, 2022",$0.05452,$0.05689,$0.05434,$0.05593,"$6,067","$1,411,587"
"Nov 02, 2022",$0.05415,$0.05698,$0.05202,$0.05451,"$6,261","$1,374,640"
"Nov 01, 2022",$0.05416,$0.05557,$0.05379,$0.05421,"$6,080","$1,365,259"
"Oct 31, 2022",$0.0551,$0.05632,$0.05163,$0.05416,"$6,240","$1,362,144"
"Oct 30, 2022",$0.05496,$0.05938,$0.05444,$0.0551,"$5,977","$1,384,155"
"Oct 29, 2022",$0.05445,$0.05525,$0.05417,$0.05496,"$5,906","$1,378,553"
"Oct 28, 2022",$0.05497,$0.05508,$0.05443,$0.0545,"$5,811","$1,365,445"
"Oct 27, 2022",$0.05492,$0.05664,$0.0548,$0.05494,"$6,307","$1,374,688"
"Oct 26, 2022",$0.0543,$0.05564,$0.05403,$0.05492,"$6,455","$1,372,450"
"Oct 25, 2022",$0.05042,$0.05438,$0.05042,$0.05409,"$5,918","$1,349,987"
"Oct 24, 2022",$0.05062,$0.05078,$0.05042,$0.05043,"$5,430","$1,257,511"
"Oct 23, 2022",$0.05124,$0.05127,$0.05051,$0.05051,"$5,521","$1,257,562"
"Oct 22, 2022",$0.05127,$0.05129,$0.05093,$0.05117,"$5,541","$1,271,997"
"Oct 21, 2022",$0.05249,$0.05276,$0.05097,$0.05114,"$5,761","$1,269,781"
"Oct 20, 2022",$0.05255,$0.0529,$0.05245,$0.05248,"$5,773","$1,302,006"
"Oct 19, 2022",$0.05996,$0.06043,$0.04504,$0.05257,"$10,299","$1,302,406"
"Oct 18, 2022",$0.06275,$0.06287,$0.05986,$0.06009,"$7,071","$1,486,805"
"Oct 17, 2022",$0.06279,$0.06292,$0.06252,$0.06262,"$6,748","$1,546,840"
"Oct 16, 2022",$0.06258,$0.06293,$0.06257,$0.06284,"$6,719","$1,551,032"
"Oct 15, 2022",$0.06286,$0.06293,$0.06255,$0.06274,"$6,689","$1,546,488"
"Oct 14, 2022",$0.06343,$0.06375,$0.06255,$0.06258,"$6,813","$1,540,338"
"Oct 13, 2022",$0.06395,$0.06411,$0.0633,$0.06357,"$6,926","$1,562,782"
"Oct 12, 2022",$0.06393,$0.06411,$0.06362,$0.06395,"$6,783","$1,570,083"
"Oct 11, 2022",$0.0691,$0.06914,$0.06359,$0.06388,"$7,626","$1,566,076"
"Oct 10, 2022",$0.06907,$0.06915,$0.06875,$0.06906,"$7,394","$1,690,956"
"Oct 09, 2022",$0.06955,$0.06963,$0.06876,$0.06888,"$7,246","$1,684,079"
"Oct 08, 2022",$0.07028,$0.07041,$0.0692,$0.06948,"$7,544","$1,696,471"
"Oct 07, 2022",$0.07022,$0.07044,$0.06996,$0.07021,"$7,560","$1,712,272"
"Oct 06, 2022",$0.06941,$0.07034,$0.0694,$0.07032,"$7,142","$1,712,251"
"Oct 05, 2022",$0.06944,$0.07034,$0.06897,$0.06941,"$5,501","$1,687,935"
"Oct 04, 2022",$0.06804,$0.06962,$0.06775,$0.06943,"$7,433","$1,686,471"
"Oct 03, 2022",$0.07062,$0.07065,$0.06774,$0.06788,"$7,688","$1,646,414"
"Oct 02, 2022",$0.07089,$0.07106,$0.07054,$0.07064,"$7,609","$1,711,364"
"Oct 01, 2022",$0.07007,$0.07098,$0.0696,$0.07059,"$7,671","$1,707,783"
"Sep 30, 2022",$0.06751,$0.07387,$0.06749,$0.0697,"$9,508","$1,683,764"
"Sep 29, 2022",$0.06624,$0.07591,$0.06598,$0.06769,"$10,804","$1,632,931"
"Sep 28, 2022",$0.06734,$0.06759,$0.0661,$0.06637,"$7,298","$1,598,750"
"Sep 27, 2022",$0.06877,$0.07474,$0.06717,$0.06751,"$8,801","$1,624,151"
