Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0722,$0.07575,$0.06855,$0.07447,"$895,871","$7,314,231"
"Dec 30, 2022",$0.06775,$0.07406,$0.066,$0.07223,"$880,752","$7,093,778"
"Dec 29, 2022",$0.07143,$0.0742,$0.06691,$0.06773,"$825,961","$6,652,197"
"Dec 28, 2022",$0.07218,$0.08034,$0.0702,$0.07138,"$1,171,440","$7,010,428"
"Dec 27, 2022",$0.06722,$0.09296,$0.06666,$0.07218,"$1,879,918","$7,089,120"
"Dec 26, 2022",$0.06612,$0.06745,$0.06171,$0.06724,"$932,715","$6,604,291"
"Dec 25, 2022",$0.0618,$0.08346,$0.05818,$0.06615,"$1,098,136","$6,496,461"
"Dec 24, 2022",$0.05597,$0.06746,$0.05355,$0.06185,"$876,419","$6,074,502"
"Dec 23, 2022",$0.05528,$0.05717,$0.05341,$0.05597,"$662,168","$5,496,658"
"Dec 22, 2022",$0.05338,$0.05549,$0.05266,$0.05528,"$526,665","$5,429,697"
"Dec 21, 2022",$0.05331,$0.07056,$0.05049,$0.05338,"$792,509","$5,243,038"
"Dec 20, 2022",$0.07096,$0.07112,$0.0514,$0.05331,"$838,534","$5,235,867"
"Dec 19, 2022",$0.07118,$0.07287,$0.06895,$0.07096,"$892,933","$6,969,165"
"Dec 18, 2022",$0.05699,$0.0744,$0.05538,$0.07104,"$1,799,863","$6,976,668"
"Dec 17, 2022",$0.04931,$0.07825,$0.04741,$0.05697,"$1,895,068","$5,594,699"
"Dec 16, 2022",$0.06571,$0.06904,$0.04776,$0.04931,"$1,025,137","$4,843,017"
"Dec 15, 2022",$0.04958,$0.06822,$0.04908,$0.06574,"$1,385,977","$6,456,271"
"Dec 14, 2022",$0.04841,$0.05183,$0.04744,$0.04956,"$771,925","$4,867,769"
"Dec 13, 2022",$0.04813,$0.05093,$0.04658,$0.04837,"$729,929","$4,750,527"
"Dec 12, 2022",$0.04811,$0.04929,$0.04689,$0.04817,"$699,721","$4,731,254"
"Dec 11, 2022",$0.04541,$0.04813,$0.04348,$0.04813,"$1,540,642","$4,727,347"
"Dec 10, 2022",$0.04651,$0.06033,$0.04384,$0.04541,"$625,377","$4,459,779"
"Dec 09, 2022",$0.04609,$0.04725,$0.04303,$0.04651,"$632,049","$4,567,922"
"Dec 08, 2022",$0.04559,$0.04793,$0.04404,$0.04615,"$676,579","$4,532,224"
"Dec 07, 2022",$0.04304,$0.04805,$0.04295,$0.04561,"$1,016,816","$4,479,779"
"Dec 06, 2022",$0.04183,$0.04306,$0.04091,$0.04302,"$850,717","$4,225,101"
"Dec 05, 2022",$0.04319,$0.04386,$0.04133,$0.04183,"$918,604","$4,108,060"
"Dec 04, 2022",$0.04022,$0.04385,$0.03994,$0.04321,"$2,080,883","$4,244,268"
"Dec 03, 2022",$0.0404,$0.04123,$0.03973,$0.04022,"$1,401,308","$3,950,186"
"Dec 02, 2022",$0.04037,$0.04063,$0.03921,$0.0404,"$495,092","$3,967,373"
"Dec 01, 2022",$0.04066,$0.04149,$0.03987,$0.04037,"$580,687","$3,964,403"
"Nov 30, 2022",$0.03985,$0.04233,$0.03931,$0.04066,"$1,332,265","$3,993,340"
"Nov 29, 2022",$0.0404,$0.04047,$0.03871,$0.03986,"$815,463","$3,914,405"
"Nov 28, 2022",$0.03867,$0.04157,$0.03828,$0.04035,"$605,721","$3,963,019"
"Nov 27, 2022",$0.03947,$0.03998,$0.03784,$0.03868,"$554,770","$3,798,480"
"Nov 26, 2022",$0.03837,$0.04057,$0.03823,$0.03947,"$849,250","$3,876,052"
"Nov 25, 2022",$0.03795,$0.03903,$0.03703,$0.03843,"$513,129","$3,773,945"
"Nov 24, 2022",$0.03768,$0.0397,$0.03707,$0.03797,"$530,822","$3,729,547"
"Nov 23, 2022",$0.0386,$0.03942,$0.03694,$0.03772,"$594,810","$3,704,826"
