Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.007579,$0.007629,$0.00757,$0.007624,"$259,036","$20,843,826"
"Dec 30, 2022",$0.007479,$0.00759,$0.007472,$0.007579,"$1,217,665","$20,720,122"
"Dec 29, 2022",$0.007448,$0.007481,$0.007447,$0.007479,"$107,324","$20,446,311"
"Dec 28, 2022",$0.007555,$0.007557,$0.007406,$0.007448,"$202,373","$20,362,698"
"Dec 27, 2022",$0.00749,$0.00756,$0.007471,$0.007556,"$55,122","$20,657,515"
"Dec 26, 2022",$0.007482,$0.007494,$0.007477,$0.00749,"$87,398","$20,477,891"
"Dec 25, 2022",$0.007412,$0.007963,$0.00739,$0.007479,"$574,707","$20,447,449"
"Dec 24, 2022",$0.007476,$0.00748,$0.007404,$0.007412,"$36,466","$20,262,977"
"Dec 23, 2022",$0.007575,$0.007623,$0.007365,$0.007477,"$954,943","$20,442,426"
"Dec 22, 2022",$0.007569,$0.00764,$0.007543,$0.007575,"$42,746","$20,710,118"
"Dec 21, 2022",$0.007612,$0.007613,$0.007558,$0.007569,"$443,690","$20,694,276"
"Dec 20, 2022",$0.007284,$0.007617,$0.007271,$0.007612,"$1,675,069","$20,809,927"
"Dec 19, 2022",$0.007293,$0.007331,$0.007274,$0.007284,"$349,103","$19,914,093"
"Dec 18, 2022",$0.007281,$0.007481,$0.007253,$0.007293,"$525,543","$19,939,352"
"Dec 17, 2022",$0.007281,$0.007288,$0.00723,$0.007281,"$210,199","$19,906,697"
"Dec 16, 2022",$0.007441,$0.007451,$0.00724,$0.00728,"$156,066","$19,903,508"
"Dec 15, 2022",$0.007416,$0.007461,$0.007305,$0.007441,"$1,227,634","$20,343,078"
"Dec 14, 2022",$0.007354,$0.0075,$0.007347,$0.007415,"$487,944","$20,271,914"
"Dec 13, 2022",$0.0073,$0.007355,$0.007271,$0.007354,"$182,132","$20,105,966"
"Dec 12, 2022",$0.007337,$0.007366,$0.007291,$0.007301,"$215,269","$19,959,560"
"Dec 11, 2022",$0.007337,$0.00741,$0.007308,$0.007337,"$14,817","$20,059,517"
"Dec 10, 2022",$0.007309,$0.007602,$0.007303,$0.007337,"$124,055","$20,060,237"
"Dec 09, 2022",$0.007294,$0.007326,$0.007281,$0.007309,"$168,280","$19,982,466"
"Dec 08, 2022",$0.007276,$0.007311,$0.007271,$0.007294,"$63,336","$19,942,579"
"Dec 07, 2022",$0.00729,$0.007295,$0.00723,$0.007276,"$417,594","$19,892,378"
"Dec 06, 2022",$0.007449,$0.007468,$0.007233,$0.00729,"$131,526","$19,930,457"
"Dec 05, 2022",$0.00733,$0.007492,$0.007298,$0.007449,"$615,715","$20,365,947"
"Dec 04, 2022",$0.007787,$0.007808,$0.007309,$0.007329,"$21,154","$20,036,816"
"Dec 03, 2022",$0.007349,$0.007803,$0.007332,$0.007783,"$254,802","$21,278,880"
"Dec 02, 2022",$0.007313,$0.007495,$0.007214,$0.007349,"$1,132,600","$20,092,847"
"Dec 01, 2022",$0.007172,$0.007313,$0.007124,$0.007312,"$757,063","$19,989,736"
"Nov 30, 2022",$0.007226,$0.007464,$0.007144,$0.007177,"$49,322","$19,621,753"
"Nov 29, 2022",$0.007145,$0.007277,$0.007124,$0.007226,"$57,730","$19,754,987"
"Nov 28, 2022",$0.007105,$0.007294,$0.007069,$0.007147,"$99,011","$19,540,187"
"Nov 27, 2022",$0.007151,$0.007203,$0.007079,$0.007105,"$13,688","$19,424,471"
"Nov 26, 2022",$0.007173,$0.00721,$0.007101,$0.007155,"$13,433","$19,562,794"
"Nov 25, 2022",$0.007179,$0.007223,$0.007067,$0.007173,"$36,876","$19,611,047"
