Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.00235,$0.002881,$0.002186,$0.002843,"$38,106","$2,689,610"
"Dec 30, 2022",$0.002282,$0.002389,$0.002282,$0.00235,"$32,343","$2,223,115"
"Dec 29, 2022",$0.002228,$0.002346,$0.002171,$0.002282,"$42,684","$2,158,811"
"Dec 28, 2022",$0.002651,$0.002651,$0.002049,$0.002228,"$26,873","$1,695,217"
"Dec 27, 2022",$0.002694,$0.002713,$0.002643,$0.002651,"$29,186","$2,017,398"
"Dec 26, 2022",$0.002451,$0.002759,$0.002338,$0.002694,"$80,298","$2,050,357"
"Dec 25, 2022",$0.002772,$0.002781,$0.002267,$0.002451,"$60,277","$1,865,412"
"Dec 24, 2022",$0.002647,$0.002791,$0.002549,$0.002772,"$43,668","$2,109,403"
"Dec 23, 2022",$0.002636,$0.002724,$0.002504,$0.002647,"$37,904","$2,014,635"
"Dec 22, 2022",$0.002982,$0.003073,$0.002514,$0.002636,"$73,415","$2,005,657"
"Dec 21, 2022",$0.003339,$0.00441,$0.002893,$0.002994,"$107,490","$2,278,243"
"Dec 20, 2022",$0.003135,$0.003369,$0.003127,$0.003369,"$64,043","$2,563,384"
"Dec 19, 2022",$0.002597,$0.00319,$0.00259,$0.003135,"$252,182","$2,385,700"
"Dec 18, 2022",$0.002467,$0.00262,$0.002455,$0.002597,"$51,196","$1,976,013"
"Dec 17, 2022",$0.002276,$0.002471,$0.002071,$0.002467,"$25,348","$1,876,998"
"Dec 16, 2022",$0.002392,$0.00246,$0.002224,$0.002276,"$56,704","$1,731,672"
"Dec 15, 2022",$0.002555,$0.00256,$0.002382,$0.002392,"$159,182","$1,820,056"
"Dec 14, 2022",$0.003113,$0.003345,$0.002545,$0.002553,"$236,683","$1,942,613"
"Dec 13, 2022",$0.003122,$0.003285,$0.003074,$0.003113,"$252,337","$2,368,578"
"Dec 12, 2022",$0.004148,$0.004148,$0.002935,$0.003122,"$589,136","$2,375,470"
"Dec 11, 2022",$0.007098,$0.007107,$0.003727,$0.004148,"$1,094,418","$3,156,416"
"Dec 10, 2022",$0.01018,$0.01039,$0.005559,$0.007098,"$947,914","$5,401,464"
"Dec 09, 2022",$0.01544,$0.01544,$0.007737,$0.01018,"$2,285,815","$7,744,119"
"Dec 08, 2022",$0.01396,$0.01849,$0.008687,$0.01544,"$380,558","$11,752,606"
"Dec 07, 2022",$0.01011,$0.02634,$0.009707,$0.01396,"$659,387","$10,624,341"
"Dec 06, 2022",$0.01051,$0.01051,$0.007494,$0.01011,"$511,590","$7,691,101"
