Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.04291,$0.04342,$0.0422,$0.04261,"$184,739","$10,283,465"
"Dec 30, 2022",$0.04207,$0.04293,$0.04154,$0.04288,"$188,710","$10,346,810"
"Dec 29, 2022",$0.04262,$0.04364,$0.04197,$0.04206,"$193,285","$10,147,618"
"Dec 28, 2022",$0.04422,$0.04503,$0.0418,$0.04265,"$252,511","$10,288,434"
"Dec 27, 2022",$0.0451,$0.04676,$0.04269,$0.04419,"$204,962","$10,656,854"
"Dec 26, 2022",$0.04644,$0.04683,$0.04296,$0.04507,"$226,951","$10,867,368"
"Dec 25, 2022",$0.0441,$0.04735,$0.04359,$0.04644,"$227,892","$11,195,996"
"Dec 24, 2022",$0.04338,$0.04466,$0.04271,$0.04412,"$187,850","$10,635,804"
"Dec 23, 2022",$0.04231,$0.04424,$0.04198,$0.04331,"$204,248","$10,437,120"
"Dec 22, 2022",$0.04473,$0.04573,$0.04111,$0.04232,"$273,751","$10,196,311"
"Dec 21, 2022",$0.04628,$0.047,$0.04364,$0.04471,"$213,256","$10,771,267"
"Dec 20, 2022",$0.04505,$0.04722,$0.04457,$0.04625,"$163,094","$11,140,561"
"Dec 19, 2022",$0.04855,$0.05019,$0.04445,$0.045,"$216,843","$10,837,626"
"Dec 18, 2022",$0.04815,$0.05094,$0.04719,$0.04864,"$179,501","$11,712,147"
"Dec 17, 2022",$0.04995,$0.05047,$0.04695,$0.04812,"$220,753","$11,582,719"
"Dec 16, 2022",$0.05377,$0.05407,$0.04976,$0.04995,"$217,468","$12,022,633"
"Dec 15, 2022",$0.05637,$0.0569,$0.05323,$0.05379,"$88,352","$12,944,981"
"Dec 14, 2022",$0.05686,$0.05774,$0.05524,$0.05641,"$273,125","$13,572,831"
"Dec 13, 2022",$0.05686,$0.05838,$0.05501,$0.05679,"$278,416","$13,660,714"
"Dec 12, 2022",$0.05801,$0.05859,$0.05415,$0.05687,"$259,475","$13,676,904"
"Dec 11, 2022",$0.05834,$0.06024,$0.05755,$0.05802,"$267,120","$13,951,828"
"Dec 10, 2022",$0.05807,$0.06006,$0.05723,$0.05833,"$229,754","$14,024,587"
"Dec 09, 2022",$0.05885,$0.05985,$0.05776,$0.0581,"$189,341","$13,964,957"
"Dec 08, 2022",$0.05835,$0.05985,$0.05783,$0.05883,"$158,742","$14,138,113"
"Dec 07, 2022",$0.05967,$0.06026,$0.05732,$0.05835,"$248,506","$14,021,270"
"Dec 06, 2022",$0.0597,$0.06088,$0.05895,$0.05968,"$262,259","$14,336,319"
"Dec 05, 2022",$0.06211,$0.06221,$0.05859,$0.05969,"$239,404","$14,336,755"
"Dec 04, 2022",$0.06094,$0.06224,$0.05867,$0.06209,"$295,192","$14,910,210"
"Dec 03, 2022",$0.06099,$0.06243,$0.05869,$0.06097,"$248,118","$14,638,362"
"Dec 02, 2022",$0.0585,$0.062,$0.05813,$0.06096,"$280,775","$14,633,883"
"Dec 01, 2022",$0.05999,$0.06293,$0.05806,$0.05853,"$345,406","$14,047,600"
"Nov 30, 2022",$0.05728,$0.06343,$0.05728,$0.05992,"$528,030","$14,377,430"
"Nov 29, 2022",$0.05763,$0.05897,$0.05533,$0.05724,"$269,985","$13,732,818"
"Nov 28, 2022",$0.05893,$0.05919,$0.05567,$0.05766,"$206,987","$13,831,652"
"Nov 27, 2022",$0.05998,$0.06156,$0.05775,$0.05875,"$167,297","$14,089,850"
"Nov 26, 2022",$0.05907,$0.06195,$0.05662,$0.05996,"$184,192","$14,378,154"
"Nov 25, 2022",$0.05555,$0.06155,$0.054,$0.0592,"$192,351","$14,192,971"
"Nov 24, 2022",$0.05576,$0.05649,$0.05425,$0.05558,"$129,013","$13,322,675"
"Nov 23, 2022",$0.05506,$0.05649,$0.05443,$0.05577,"$173,166","$13,365,176"
"Nov 22, 2022",$0.05408,$0.0552,$0.05003,$0.05506,"$217,018","$13,191,729"
"Nov 21, 2022",$0.05445,$0.05483,$0.0529,$0.05407,"$231,884","$12,952,873"
"Nov 20, 2022",$0.05772,$0.05777,$0.0544,$0.05444,"$309,485","$13,037,625"
"Nov 19, 2022",$0.05819,$0.05873,$0.05658,$0.05777,"$260,149","$13,834,627"
"Nov 18, 2022",$0.0555,$0.05851,$0.05545,$0.0582,"$264,017","$13,933,678"
"Nov 17, 2022",$0.05808,$0.05902,$0.05416,$0.05556,"$324,175","$13,298,519"
"Nov 16, 2022",$0.05808,$0.05943,$0.05527,$0.05802,"$302,840","$13,886,554"
"Nov 15, 2022",$0.05501,$0.06269,$0.05485,$0.05808,"$353,834","$13,896,113"
"Nov 14, 2022",$0.05537,$0.05773,$0.05215,$0.05495,"$441,212","$13,146,408"
"Nov 13, 2022",$0.06266,$0.06306,$0.05397,$0.05531,"$519,581","$13,229,287"
"Nov 12, 2022",$0.06719,$0.06744,$0.06225,$0.06266,"$364,303","$14,984,957"
"Nov 11, 2022",$0.0732,$0.07522,$0.06504,$0.06717,"$470,659","$16,059,263"
"Nov 10, 2022",$0.06373,$0.07607,$0.0637,$0.07321,"$546,713","$17,501,566"
"Nov 09, 2022",$0.07864,$0.07905,$0.06161,$0.06374,"$759,319","$15,233,370"
"Nov 08, 2022",$0.08798,$0.08818,$0.07428,$0.07858,"$825,351","$18,776,884"
"Nov 07, 2022",$0.08781,$0.08996,$0.08598,$0.08813,"$499,702","$21,055,025"
"Nov 06, 2022",$0.09492,$0.09492,$0.08755,$0.08781,"$486,961","$20,974,959"
"Nov 05, 2022",$0.09621,$0.1008,$0.09462,$0.0949,"$600,444","$22,664,153"
"Nov 04, 2022",$0.08979,$0.09675,$0.0888,$0.09606,"$716,282","$22,937,674"
"Nov 03, 2022",$0.09025,$0.09421,$0.08968,$0.08986,"$369,948","$21,450,970"
"Nov 02, 2022",$0.09703,$0.09772,$0.08987,$0.09029,"$620,697","$21,550,414"
"Nov 01, 2022",$0.09704,$0.09803,$0.09579,$0.09698,"$469,906","$23,142,078"
"Oct 31, 2022",$0.09743,$0.09978,$0.09682,$0.09704,"$424,369","$23,151,786"
"Oct 30, 2022",$0.1003,$0.1051,$0.09671,$0.09748,"$557,398","$23,252,243"
"Oct 29, 2022",$0.09768,$0.1014,$0.09753,$0.1002,"$829,270","$23,897,697"
"Oct 28, 2022",$0.09035,$0.09788,$0.0885,$0.09772,"$490,033","$23,301,762"
"Oct 27, 2022",$0.09203,$0.09322,$0.08985,$0.09035,"$408,140","$21,539,066"
"Oct 26, 2022",$0.09113,$0.09671,$0.09062,$0.09211,"$658,210","$21,955,342"
"Oct 25, 2022",$0.08416,$0.09451,$0.08356,$0.09102,"$794,994","$21,691,570"
"Oct 24, 2022",$0.08174,$0.08485,$0.08078,$0.08413,"$335,020","$20,045,635"
"Oct 23, 2022",$0.08311,$0.08459,$0.07938,$0.08172,"$344,908","$19,468,354"
"Oct 22, 2022",$0.08353,$0.08743,$0.08152,$0.08316,"$342,506","$19,807,833"
"Oct 21, 2022",$0.08214,$0.0855,$0.07964,$0.08351,"$416,225","$19,887,382"
"Oct 20, 2022",$0.08144,$0.08404,$0.07953,$0.08214,"$366,858","$19,555,163"
"Oct 19, 2022",$0.08532,$0.08589,$0.08127,$0.08145,"$323,645","$19,388,099"
"Oct 18, 2022",$0.08934,$0.09184,$0.08433,$0.08531,"$492,680","$20,303,788"
"Oct 17, 2022",$0.09363,$0.09394,$0.08742,$0.0892,"$601,623","$21,225,081"
"Oct 16, 2022",$0.08162,$0.09633,$0.08104,$0.09355,"$693,281","$22,255,015"
"Oct 15, 2022",$0.08102,$0.08242,$0.0792,$0.08151,"$342,194","$19,387,803"
"Oct 14, 2022",$0.08329,$0.08998,$0.08027,$0.08104,"$416,069","$19,273,046"
"Oct 13, 2022",$0.07885,$0.08322,$0.07328,$0.08314,"$536,730","$19,768,077"
"Oct 12, 2022",$0.08068,$0.08279,$0.07763,$0.07885,"$365,077","$18,744,606"
"Oct 11, 2022",$0.07967,$0.08202,$0.07622,$0.08067,"$477,137","$19,174,107"
"Oct 10, 2022",$0.08608,$0.08792,$0.0791,$0.07951,"$466,515","$18,892,737"
"Oct 09, 2022",$0.08497,$0.08631,$0.08379,$0.08608,"$349,663","$20,451,058"
"Oct 08, 2022",$0.08637,$0.08728,$0.08411,$0.08497,"$420,415","$20,183,562"
"Oct 07, 2022",$0.08855,$0.09108,$0.08563,$0.08637,"$471,090","$20,513,205"
"Oct 06, 2022",$0.09702,$0.09963,$0.08761,$0.08855,"$622,312","$21,026,173"
"Oct 05, 2022",$0.08986,$0.1033,$0.08846,$0.09702,"$1,463,666","$23,031,299"
"Oct 04, 2022",$0.08321,$0.09939,$0.08315,$0.08999,"$1,061,341","$21,360,547"
"Oct 03, 2022",$0.07287,$0.08368,$0.07239,$0.08321,"$612,138","$19,745,501"
"Oct 02, 2022",$0.07036,$0.0733,$0.06916,$0.07283,"$354,977","$17,280,284"
"Oct 01, 2022",$0.07293,$0.07298,$0.069,$0.07041,"$348,403","$16,703,347"
"Sep 30, 2022",$0.07375,$0.0752,$0.07268,$0.07293,"$358,266","$17,296,944"
"Sep 29, 2022",$0.07526,$0.07529,$0.07221,$0.07387,"$364,659","$17,516,833"
"Sep 28, 2022",$0.07348,$0.07551,$0.06994,$0.07529,"$369,926","$17,850,360"
"Sep 27, 2022",$0.07544,$0.07703,$0.07262,$0.07361,"$450,571","$17,447,194"
"Sep 26, 2022",$0.07297,$0.07767,$0.0714,$0.07543,"$408,790","$17,876,543"
"Sep 25, 2022",$0.07915,$0.07923,$0.07186,$0.07297,"$381,030","$17,290,218"
"Sep 24, 2022",$0.08217,$0.0826,$0.07773,$0.07915,"$470,399","$18,750,916"
"Sep 23, 2022",$0.08409,$0.08678,$0.07595,$0.08216,"$509,330","$19,460,694"
"Sep 22, 2022",$0.07961,$0.08488,$0.07946,$0.08409,"$380,787","$19,912,995"
"Sep 21, 2022",$0.08554,$0.08738,$0.07832,$0.07963,"$565,447","$18,853,800"
"Sep 20, 2022",$0.09288,$0.09321,$0.08553,$0.08554,"$455,156","$20,248,674"
"Sep 19, 2022",$0.09062,$0.09491,$0.08757,$0.09289,"$471,480","$21,982,697"
"Sep 18, 2022",$0.1006,$0.1014,$0.08825,$0.09084,"$477,944","$21,495,415"
"Sep 17, 2022",$0.09787,$0.1009,$0.09683,$0.1006,"$402,697","$23,809,233"
"Sep 16, 2022",$0.0979,$0.0998,$0.09658,$0.09787,"$466,477","$23,150,243"
"Sep 15, 2022",$0.09973,$0.1022,$0.09717,$0.0979,"$557,292","$23,152,164"
"Sep 14, 2022",$0.1009,$0.1028,$0.09819,$0.09973,"$482,777","$23,578,872"
"Sep 13, 2022",$0.1082,$0.1105,$0.09966,$0.101,"$622,840","$23,878,392"
"Sep 12, 2022",$0.1037,$0.1139,$0.1022,$0.1083,"$630,537","$25,591,269"
"Sep 11, 2022",$0.1066,$0.1109,$0.1007,$0.1037,"$592,908","$24,507,977"
"Sep 10, 2022",$0.1115,$0.1181,$0.1034,$0.1065,"$872,473","$25,166,481"
"Sep 09, 2022",$0.1074,$0.1206,$0.1065,$0.1115,"$698,990","$26,347,357"
"Sep 08, 2022",$0.101,$0.1134,$0.1007,$0.1072,"$551,016","$25,319,729"
"Sep 07, 2022",$0.1012,$0.1052,$0.0987,$0.101,"$501,233","$23,850,706"
"Sep 06, 2022",$0.1028,$0.1089,$0.09976,$0.1013,"$652,032","$23,906,672"
"Sep 05, 2022",$0.1001,$0.1038,$0.09849,$0.1027,"$422,992","$24,246,950"
"Sep 04, 2022",$0.1002,$0.1047,$0.09853,$0.09982,"$503,946","$23,555,686"
"Sep 03, 2022",$0.1038,$0.1079,$0.09806,$0.1002,"$404,135","$23,633,127"
"Sep 02, 2022",$0.1068,$0.1101,$0.1012,$0.1037,"$584,569","$24,470,909"
"Sep 01, 2022",$0.1085,$0.1095,$0.09935,$0.1068,"$1,099,134","$25,194,296"
"Aug 31, 2022",$0.1094,$0.1141,$0.1073,$0.1084,"$534,937","$25,565,223"
"Aug 30, 2022",$0.1151,$0.1177,$0.1088,$0.1094,"$750,213","$25,788,687"
"Aug 29, 2022",$0.1117,$0.125,$0.1095,$0.1151,"$1,179,800","$27,125,911"
"Aug 28, 2022",$0.1183,$0.1214,$0.1101,$0.1117,"$499,833","$26,326,490"
"Aug 27, 2022",$0.1252,$0.1276,$0.1022,$0.1183,"$1,155,209","$27,864,254"
"Aug 26, 2022",$0.1389,$0.1392,$0.1242,$0.1252,"$640,392","$29,486,402"
"Aug 25, 2022",$0.1368,$0.1437,$0.1365,$0.1388,"$436,798","$32,686,842"
"Aug 24, 2022",$0.1399,$0.1411,$0.136,$0.1368,"$472,885","$32,216,315"
"Aug 23, 2022",$0.138,$0.1464,$0.1355,$0.1399,"$520,776","$32,941,816"
"Aug 22, 2022",$0.1446,$0.1454,$0.1343,$0.1379,"$547,539","$32,461,158"
"Aug 21, 2022",$0.1359,$0.1499,$0.1356,$0.1445,"$506,732","$34,000,911"
"Aug 20, 2022",$0.1319,$0.1422,$0.1319,$0.1359,"$485,297","$31,975,723"
"Aug 19, 2022",$0.1424,$0.1424,$0.1307,$0.1319,"$760,371","$31,032,467"
"Aug 18, 2022",$0.1491,$0.1539,$0.1423,$0.1425,"$725,814","$33,514,061"
"Aug 17, 2022",$0.1621,$0.1687,$0.1482,$0.1491,"$926,875","$35,070,176"
"Aug 16, 2022",$0.1645,$0.1655,$0.1569,$0.1621,"$696,020","$38,104,186"
"Aug 15, 2022",$0.1751,$0.1861,$0.162,$0.1645,"$1,104,222","$38,672,476"
"Aug 14, 2022",$0.1745,$0.1877,$0.1736,$0.1751,"$1,080,315","$41,148,062"
"Aug 13, 2022",$0.1761,$0.1821,$0.1739,$0.1744,"$1,027,545","$40,970,890"
"Aug 12, 2022",$0.1672,$0.179,$0.1617,$0.1767,"$1,354,470","$41,501,250"
"Aug 11, 2022",$0.16,$0.1801,$0.1596,$0.1672,"$1,809,790","$39,279,413"
"Aug 10, 2022",$0.1555,$0.1626,$0.1497,$0.1598,"$902,985","$37,528,088"
"Aug 09, 2022",$0.1523,$0.1557,$0.1475,$0.1555,"$849,095","$36,500,674"
"Aug 08, 2022",$0.1464,$0.1649,$0.1401,$0.1523,"$1,637,325","$35,747,717"
"Aug 07, 2022",$0.1416,$0.1493,$0.1388,$0.1464,"$463,899","$34,367,394"
"Aug 06, 2022",$0.1426,$0.1442,$0.1401,$0.1417,"$493,087","$33,247,785"
"Aug 05, 2022",$0.1307,$0.1441,$0.1286,$0.1428,"$1,083,842","$33,512,944"
"Aug 04, 2022",$0.1409,$0.1454,$0.1291,$0.1291,"$823,448","$30,291,170"
"Aug 03, 2022",$0.1395,$0.1485,$0.1381,$0.1409,"$725,207","$33,052,830"
"Aug 02, 2022",$0.1425,$0.1456,$0.1359,$0.1395,"$671,483","$32,717,489"
"Aug 01, 2022",$0.1431,$0.1473,$0.1375,$0.1427,"$1,100,316","$33,445,719"
"Jul 31, 2022",$0.1552,$0.1598,$0.1416,$0.1431,"$987,497","$33,544,232"
"Jul 30, 2022",$0.1547,$0.1704,$0.1525,$0.155,"$793,927","$36,315,290"
"Jul 29, 2022",$0.1619,$0.1673,$0.1516,$0.1546,"$812,326","$36,222,347"
"Jul 28, 2022",$0.1502,$0.1619,$0.146,$0.1615,"$890,569","$37,826,962"
"Jul 27, 2022",$0.1366,$0.1519,$0.1353,$0.1502,"$751,624","$35,167,839"
"Jul 26, 2022",$0.1311,$0.1366,$0.1305,$0.1366,"$534,058","$31,973,509"
"Jul 25, 2022",$0.1441,$0.1457,$0.1308,$0.1308,"$761,887","$30,621,521"
"Jul 24, 2022",$0.1422,$0.1491,$0.1406,$0.1441,"$531,175","$33,736,347"
"Jul 23, 2022",$0.1485,$0.1551,$0.1363,$0.1419,"$641,116","$33,215,086"
"Jul 22, 2022",$0.1567,$0.1638,$0.1469,$0.1485,"$698,752","$34,742,728"
"Jul 21, 2022",$0.1506,$0.1596,$0.1437,$0.1574,"$1,119,314","$36,810,275"
"Jul 20, 2022",$0.1679,$0.1746,$0.1493,$0.1503,"$1,233,191","$35,160,412"
"Jul 19, 2022",$0.1688,$0.179,$0.1616,$0.1675,"$1,361,216","$39,160,092"
"Jul 18, 2022",$0.1462,$0.169,$0.146,$0.169,"$1,017,770","$39,511,241"
"Jul 17, 2022",$0.1549,$0.1599,$0.1455,$0.1462,"$856,840","$34,174,819"
"Jul 16, 2022",$0.1411,$0.1592,$0.141,$0.1548,"$878,300","$36,182,007"
"Jul 15, 2022",$0.1384,$0.1477,$0.1331,$0.1411,"$914,175","$32,966,530"
"Jul 14, 2022",$0.1215,$0.1394,$0.1161,$0.1384,"$992,412","$32,336,418"
"Jul 13, 2022",$0.1157,$0.1217,$0.112,$0.1215,"$655,138","$28,365,882"
"Jul 12, 2022",$0.1219,$0.1233,$0.1155,$0.1157,"$522,640","$27,021,793"
"Jul 11, 2022",$0.1279,$0.1307,$0.1201,$0.1219,"$797,648","$28,458,051"
"Jul 10, 2022",$0.136,$0.1406,$0.1211,$0.1279,"$923,678","$29,853,025"
"Jul 09, 2022",$0.1132,$0.1363,$0.1127,$0.1363,"$1,098,272","$31,819,299"
"Jul 08, 2022",$0.118,$0.1202,$0.1122,$0.1134,"$498,628","$26,448,903"
"Jul 07, 2022",$0.116,$0.1202,$0.1129,$0.118,"$601,649","$27,537,455"
"Jul 06, 2022",$0.1147,$0.1174,$0.1104,$0.116,"$635,981","$27,048,718"
"Jul 05, 2022",$0.1182,$0.1202,$0.1103,$0.1148,"$695,836","$26,767,332"
"Jul 04, 2022",$0.1134,$0.1206,$0.1108,$0.1182,"$610,607","$27,547,986"
"Jul 03, 2022",$0.1157,$0.1179,$0.1109,$0.1134,"$482,208","$26,427,411"
"Jul 02, 2022",$0.1134,$0.1187,$0.1089,$0.1157,"$711,119","$26,967,906"
"Jul 01, 2022",$0.1235,$0.126,$0.1132,$0.1136,"$728,124","$26,462,883"
"Jun 30, 2022",$0.1288,$0.1309,$0.116,$0.1229,"$712,401","$28,620,796"
"Jun 29, 2022",$0.1319,$0.1337,$0.1231,$0.1289,"$806,111","$30,010,885"
"Jun 28, 2022",$0.1343,$0.1429,$0.1315,$0.132,"$793,084","$30,733,079"
"Jun 27, 2022",$0.1309,$0.1442,$0.1307,$0.1343,"$884,186","$31,261,012"
"Jun 26, 2022",$0.1409,$0.1478,$0.1309,$0.1309,"$822,468","$30,464,818"
"Jun 25, 2022",$0.1417,$0.1476,$0.1346,$0.1409,"$923,531","$32,782,967"
"Jun 24, 2022",$0.1438,$0.1478,$0.1373,$0.1417,"$976,600","$32,969,554"
"Jun 23, 2022",$0.131,$0.1442,$0.1305,$0.1438,"$930,731","$33,457,769"
"Jun 22, 2022",$0.1353,$0.1384,$0.1282,$0.131,"$862,622","$30,477,919"
"Jun 21, 2022",$0.1354,$0.1515,$0.1326,$0.1351,"$1,196,189","$31,427,821"
"Jun 20, 2022",$0.1312,$0.1391,$0.1258,$0.1358,"$1,013,854","$31,584,197"
"Jun 19, 2022",$0.1243,$0.1347,$0.1204,$0.1305,"$911,953","$30,325,478"
"Jun 18, 2022",$0.1303,$0.1321,$0.1139,$0.125,"$2,191,327","$29,052,046"
"Jun 17, 2022",$0.1309,$0.1386,$0.1265,$0.1303,"$1,493,105","$30,274,211"
"Jun 16, 2022",$0.1541,$0.1562,$0.1278,$0.1308,"$1,562,428","$30,382,245"
"Jun 15, 2022",$0.1466,$0.1558,$0.1271,$0.1541,"$2,542,789","$35,787,758"
"Jun 14, 2022",$0.1455,$0.1584,$0.1371,$0.1462,"$1,591,585","$33,946,324"
"Jun 13, 2022",$0.153,$0.1543,$0.1332,$0.1455,"$2,414,731","$33,781,697"
"Jun 12, 2022",$0.1686,$0.1699,$0.1529,$0.1536,"$1,290,689","$35,651,001"
"Jun 11, 2022",$0.1762,$0.1818,$0.1626,$0.1686,"$1,284,869","$39,123,975"
"Jun 10, 2022",$0.1903,$0.1946,$0.1742,$0.1764,"$1,364,467","$40,935,746"
"Jun 09, 2022",$0.1974,$0.2141,$0.188,$0.1903,"$1,839,359","$44,148,098"
"Jun 08, 2022",$0.1879,$0.2125,$0.1833,$0.1963,"$2,499,230","$45,528,439"
"Jun 07, 2022",$0.1828,$0.1946,$0.1739,$0.1877,"$1,882,311","$43,531,580"
"Jun 06, 2022",$0.1693,$0.204,$0.1693,$0.1829,"$2,360,027","$42,407,452"
"Jun 05, 2022",$0.1793,$0.1801,$0.1682,$0.1694,"$846,142","$39,261,457"
"Jun 04, 2022",$0.17,$0.1795,$0.1689,$0.1794,"$759,017","$41,575,417"
"Jun 03, 2022",$0.1759,$0.178,$0.1649,$0.1699,"$1,383,788","$39,371,248"
"Jun 02, 2022",$0.1725,$0.1794,$0.1703,$0.1759,"$1,634,394","$40,760,017"
"Jun 01, 2022",$0.1879,$0.1931,$0.1684,$0.1727,"$1,801,802","$39,994,575"
"May 31, 2022",$0.1918,$0.194,$0.1798,$0.1879,"$1,855,346","$43,514,884"
"May 30, 2022",$0.1677,$0.1964,$0.1651,$0.1918,"$2,780,951","$44,407,586"
"May 29, 2022",$0.1639,$0.1727,$0.1568,$0.1684,"$805,588","$38,980,265"
"May 28, 2022",$0.1604,$0.1651,$0.1566,$0.164,"$1,049,476","$37,947,232"
"May 27, 2022",$0.1715,$0.1736,$0.1537,$0.1582,"$1,549,738","$36,608,074"
"May 26, 2022",$0.1898,$0.1978,$0.1665,$0.1723,"$1,602,530","$39,863,843"
"May 25, 2022",$0.1988,$0.2032,$0.1871,$0.1894,"$1,176,221","$43,811,000"
"May 24, 2022",$0.1918,$0.2034,$0.1798,$0.1998,"$1,558,017","$46,200,933"
"May 23, 2022",$0.1953,$0.2165,$0.1875,$0.1916,"$1,903,989","$44,307,438"
"May 22, 2022",$0.1873,$0.1984,$0.1829,$0.196,"$1,260,362","$45,308,487"
"May 21, 2022",$0.1771,$0.1934,$0.1728,$0.1877,"$1,277,469","$43,374,708"
"May 20, 2022",$0.1889,$0.1989,$0.1727,$0.1772,"$1,643,975","$40,953,667"
"May 19, 2022",$0.1696,$0.2006,$0.1664,$0.1891,"$1,662,604","$43,689,691"
