Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.6031,$0.6082,$0.5724,$0.5724,"$54,801","$16,493,289"
"Dec 30, 2022",$0.6264,$0.6309,$0.5704,$0.6031,"$70,942","$17,376,736"
"Dec 29, 2022",$0.5856,$0.6357,$0.5737,$0.6264,"$107,690","$18,046,806"
"Dec 28, 2022",$0.6852,$0.6899,$0.572,$0.5856,"$298,217","$16,871,757"
"Dec 27, 2022",$0.6089,$0.7024,$0.5961,$0.6861,"$282,517","$19,764,498"
"Dec 26, 2022",$0.573,$0.6109,$0.5639,$0.6097,"$119,212","$17,560,926"
"Dec 25, 2022",$0.5951,$0.5951,$0.5553,$0.573,"$74,294","$16,502,886"
"Dec 24, 2022",$0.5522,$0.6224,$0.544,$0.5951,"$258,868","$17,137,854"
"Dec 23, 2022",$0.4848,$0.5798,$0.473,$0.5522,"$214,526","$15,903,342"
"Dec 22, 2022",$0.4649,$0.5068,$0.4641,$0.4847,"$223,800","$13,957,570"
"Dec 21, 2022",$0.4157,$0.4813,$0.4069,$0.4649,"$138,412","$13,384,624"
"Dec 20, 2022",$0.3966,$0.4189,$0.3964,$0.4158,"$32,900","$11,970,903"
"Dec 19, 2022",$0.4269,$0.4271,$0.3915,$0.3983,"$40,097","$11,465,426"
"Dec 18, 2022",$0.4095,$0.4301,$0.4005,$0.4269,"$37,445","$12,289,789"
"Dec 17, 2022",$0.3958,$0.4138,$0.3869,$0.4095,"$53,443","$11,788,063"
"Dec 16, 2022",$0.4225,$0.4303,$0.3942,$0.3958,"$48,165","$11,391,884"
"Dec 15, 2022",$0.4408,$0.4452,$0.4192,$0.4225,"$38,154","$12,159,939"
"Dec 14, 2022",$0.4678,$0.4805,$0.4359,$0.4408,"$111,101","$12,685,520"
"Dec 13, 2022",$0.4615,$0.4742,$0.4587,$0.4678,"$33,387","$13,460,265"
"Dec 12, 2022",$0.4705,$0.4705,$0.4544,$0.4633,"$36,382","$13,331,227"
"Dec 11, 2022",$0.4548,$0.4742,$0.4491,$0.4705,"$39,559","$13,537,639"
"Dec 10, 2022",$0.4481,$0.4587,$0.4455,$0.4548,"$32,675","$13,084,291"
"Dec 09, 2022",$0.4477,$0.4539,$0.4422,$0.4479,"$41,788","$12,884,544"
"Dec 08, 2022",$0.4395,$0.4488,$0.4345,$0.4477,"$62,926","$12,876,828"
"Dec 07, 2022",$0.4437,$0.453,$0.4376,$0.4396,"$37,937","$12,641,966"
"Dec 06, 2022",$0.4458,$0.4489,$0.4323,$0.4437,"$24,676","$12,759,340"
"Dec 05, 2022",$0.4617,$0.4806,$0.4358,$0.4458,"$88,012","$12,819,760"
"Dec 04, 2022",$0.4459,$0.4614,$0.4255,$0.4614,"$50,514","$13,267,443"
"Dec 03, 2022",$0.4279,$0.4571,$0.4251,$0.4469,"$63,065","$12,849,924"
"Dec 02, 2022",$0.4263,$0.4304,$0.4163,$0.4279,"$58,241","$12,300,593"
"Dec 01, 2022",$0.4249,$0.4371,$0.4166,$0.4263,"$64,290","$12,253,978"
"Nov 30, 2022",$0.4091,$0.4252,$0.409,$0.4249,"$49,146","$12,213,561"
"Nov 29, 2022",$0.4123,$0.4186,$0.4054,$0.4091,"$41,609","$11,758,173"
"Nov 28, 2022",$0.4176,$0.4202,$0.4079,$0.4123,"$31,385","$11,850,599"
