Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01562,$0.01603,$0.01538,$0.01552,"$69,862","$10,924,708"
"Dec 30, 2022",$0.01697,$0.01737,$0.01555,$0.01561,"$141,265","$10,988,510"
"Dec 29, 2022",$0.01911,$0.01915,$0.01689,$0.01696,"$251,755","$11,934,888"
"Dec 28, 2022",$0.02176,$0.0228,$0.01901,$0.01911,"$712,743","$13,447,576"
"Dec 27, 2022",$0.01539,$0.02289,$0.01514,$0.02173,"$508,489","$15,289,752"
"Dec 26, 2022",$0.01441,$0.01535,$0.0144,$0.01535,"$79,761","$10,799,303"
"Dec 25, 2022",$0.01436,$0.01443,$0.01417,$0.01441,"$70,833","$10,138,594"
"Dec 24, 2022",$0.01428,$0.01445,$0.01416,$0.01436,"$63,740","$10,105,101"
"Dec 23, 2022",$0.014,$0.01449,$0.01397,$0.01427,"$70,217","$10,045,484"
"Dec 22, 2022",$0.01427,$0.01428,$0.0139,$0.014,"$64,955","$9,851,021"
"Dec 21, 2022",$0.01455,$0.01456,$0.01426,$0.01426,"$56,195","$10,034,236"
"Dec 20, 2022",$0.01403,$0.01461,$0.01398,$0.01455,"$67,498","$10,236,522"
"Dec 19, 2022",$0.01429,$0.01436,$0.01401,$0.01403,"$116,010","$9,872,031"
"Dec 18, 2022",$0.01401,$0.01436,$0.01394,$0.0143,"$106,296","$10,062,803"
"Dec 17, 2022",$0.01428,$0.01428,$0.01398,$0.01401,"$62,636","$9,858,208"
"Dec 16, 2022",$0.01517,$0.01549,$0.01421,$0.01429,"$94,906","$10,053,527"
"Dec 15, 2022",$0.01516,$0.01525,$0.01483,$0.01517,"$103,962","$10,674,897"
"Dec 14, 2022",$0.01538,$0.01565,$0.01516,$0.01516,"$91,199","$10,666,094"
"Dec 13, 2022",$0.01503,$0.01552,$0.01495,$0.01538,"$76,198","$10,822,354"
"Dec 12, 2022",$0.01526,$0.01527,$0.01484,$0.01503,"$73,098","$10,576,486"
"Dec 11, 2022",$0.01532,$0.01537,$0.01513,$0.01527,"$260,891","$10,746,501"
"Dec 10, 2022",$0.01559,$0.01569,$0.01529,$0.01532,"$71,377","$10,780,495"
"Dec 09, 2022",$0.01586,$0.01605,$0.01555,$0.01559,"$84,505","$10,970,385"
"Dec 08, 2022",$0.01542,$0.01652,$0.0154,$0.01588,"$246,152","$11,178,700"
"Dec 07, 2022",$0.01466,$0.01548,$0.01451,$0.01543,"$170,964","$10,857,637"
"Dec 06, 2022",$0.01472,$0.01488,$0.01454,$0.01467,"$70,371","$10,324,371"
"Dec 05, 2022",$0.01595,$0.01651,$0.01468,$0.01474,"$235,558","$10,369,986"
"Dec 04, 2022",$0.01573,$0.01616,$0.01569,$0.01595,"$71,072","$11,221,410"
"Dec 03, 2022",$0.01619,$0.01626,$0.01557,$0.01573,"$113,062","$11,070,861"
"Dec 02, 2022",$0.01525,$0.01652,$0.01522,$0.01618,"$111,314","$11,384,655"
"Dec 01, 2022",$0.01577,$0.0158,$0.01523,$0.01524,"$83,469","$10,726,686"
"Nov 30, 2022",$0.01525,$0.01591,$0.01524,$0.01577,"$136,690","$11,095,933"
"Nov 29, 2022",$0.01368,$0.01539,$0.01363,$0.01525,"$199,346","$10,732,818"
"Nov 28, 2022",$0.01415,$0.01435,$0.01355,$0.01368,"$94,613","$9,624,660"
"Nov 27, 2022",$0.01449,$0.0147,$0.01405,$0.01416,"$85,509","$9,961,554"
"Nov 26, 2022",$0.01421,$0.01451,$0.01421,$0.01448,"$84,130","$10,193,064"
"Nov 25, 2022",$0.01436,$0.01438,$0.01402,$0.01421,"$87,409","$10,002,911"
"Nov 24, 2022",$0.01452,$0.01487,$0.01406,$0.01436,"$164,914","$10,105,384"
"Nov 23, 2022",$0.01439,$0.01501,$0.01414,$0.01453,"$414,558","$10,224,707"
"Nov 22, 2022",$0.01173,$0.01491,$0.01155,$0.01439,"$504,868","$10,123,323"
"Nov 21, 2022",$0.01218,$0.01219,$0.0111,$0.01173,"$138,094","$8,257,896"
"Nov 20, 2022",$0.01231,$0.01236,$0.01217,$0.01218,"$132,221","$8,574,195"
"Nov 19, 2022",$0.0125,$0.01254,$0.01218,$0.01233,"$96,903","$8,673,468"
"Nov 18, 2022",$0.01252,$0.01275,$0.0125,$0.0125,"$100,477","$8,797,530"
"Nov 17, 2022",$0.01302,$0.01328,$0.01251,$0.01251,"$181,943","$8,806,948"
"Nov 16, 2022",$0.01293,$0.01362,$0.01269,$0.01301,"$281,492","$9,157,831"
"Nov 15, 2022",$0.01195,$0.01308,$0.01189,$0.01292,"$164,234","$9,095,448"
"Nov 14, 2022",$0.01181,$0.01234,$0.01158,$0.01195,"$147,105","$8,410,275"
"Nov 13, 2022",$0.01239,$0.01242,$0.01179,$0.01182,"$103,151","$8,318,360"
"Nov 12, 2022",$0.01305,$0.01309,$0.01229,$0.01239,"$144,727","$8,719,110"
"Nov 11, 2022",$0.01583,$0.01646,$0.01271,$0.01306,"$1,204,071","$9,190,161"
"Nov 10, 2022",$0.01054,$0.01627,$0.01047,$0.01584,"$866,321","$11,148,356"
"Nov 09, 2022",$0.01348,$0.01372,$0.01048,$0.01054,"$271,655","$7,419,515"
"Nov 08, 2022",$0.01652,$0.01666,$0.01294,$0.01348,"$774,663","$9,487,094"
"Nov 07, 2022",$0.01632,$0.01688,$0.01608,$0.01653,"$146,615","$11,632,494"
"Nov 06, 2022",$0.0168,$0.01685,$0.01626,$0.01634,"$137,184","$11,496,416"
