Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$4.06,$4.11,$4.04,$4.07,"$275,987","$19,129,058"
"Dec 30, 2022",$4.00,$4.06,$3.99,$4.05,"$272,563","$19,055,699"
"Dec 29, 2022",$4.05,$4.07,$4.00,$4.00,"$309,015","$18,810,295"
"Dec 28, 2022",$4.06,$4.07,$4.02,$4.05,"$294,755","$19,020,321"
"Dec 27, 2022",$4.09,$4.10,$4.05,$4.06,"$310,650","$19,096,695"
"Dec 26, 2022",$4.08,$4.10,$3.99,$4.09,"$287,794","$19,237,906"
"Dec 25, 2022",$4.00,$4.09,$3.98,$4.08,"$286,004","$19,165,369"
"Dec 24, 2022",$4.07,$4.08,$3.98,$4.00,"$304,341","$18,781,450"
"Dec 23, 2022",$4.08,$4.10,$4.06,$4.07,"$281,839","$19,144,658"
"Dec 22, 2022",$4.07,$4.11,$4.03,$4.08,"$296,592","$19,193,391"
"Dec 21, 2022",$4.08,$4.08,$4.03,$4.07,"$296,807","$19,129,813"
"Dec 20, 2022",$4.03,$4.10,$4.03,$4.08,"$310,751","$19,179,436"
"Dec 19, 2022",$4.05,$4.07,$3.99,$4.03,"$305,141","$18,954,663"
"Dec 18, 2022",$4.06,$4.08,$4.03,$4.05,"$300,374","$19,032,387"
"Dec 17, 2022",$4.03,$4.07,$4.03,$4.06,"$274,573","$19,099,248"
"Dec 16, 2022",$4.09,$4.11,$4.02,$4.03,"$317,398","$18,962,946"
"Dec 15, 2022",$4.12,$4.12,$4.08,$4.09,"$286,884","$19,216,291"
"Dec 14, 2022",$4.15,$4.19,$4.09,$4.11,"$325,187","$19,337,025"
"Dec 13, 2022",$4.13,$4.18,$4.11,$4.14,"$299,910","$19,481,256"
"Dec 12, 2022",$4.08,$4.13,$4.06,$4.13,"$316,516","$19,392,867"
"Dec 11, 2022",$4.09,$4.14,$4.07,$4.08,"$284,029","$19,169,347"
"Dec 10, 2022",$4.11,$4.13,$4.09,$4.09,"$293,541","$19,235,629"
"Dec 09, 2022",$4.12,$4.14,$3.88,$4.11,"$271,033","$19,298,536"
"Dec 08, 2022",$4.09,$4.15,$4.08,$4.12,"$281,275","$19,382,186"
"Dec 07, 2022",$4.15,$4.15,$4.08,$4.09,"$321,946","$19,222,238"
"Dec 06, 2022",$4.12,$4.15,$4.09,$4.15,"$278,140","$19,489,734"
"Dec 05, 2022",$4.15,$4.17,$4.10,$4.12,"$459,508","$19,372,715"
"Dec 04, 2022",$4.11,$4.17,$4.11,$4.15,"$546,095","$19,518,940"
"Dec 03, 2022",$4.17,$4.19,$4.09,$4.11,"$527,797","$19,304,803"
"Dec 02, 2022",$4.15,$4.18,$4.11,$4.17,"$540,937","$19,603,659"
"Dec 01, 2022",$4.15,$4.17,$4.11,$4.14,"$508,796","$19,465,081"
"Nov 30, 2022",$4.11,$4.17,$4.10,$4.15,"$516,800","$19,507,247"
"Nov 29, 2022",$4.07,$4.13,$4.06,$4.11,"$547,626","$19,295,258"
"Nov 28, 2022",$4.08,$4.10,$4.05,$4.07,"$526,328","$19,143,954"
"Nov 27, 2022",$4.10,$4.12,$4.07,$4.08,"$512,171","$19,192,059"
"Nov 26, 2022",$4.11,$4.14,$4.08,$4.10,"$510,507","$19,259,213"
"Nov 25, 2022",$4.11,$4.12,$4.07,$4.11,"$513,118","$19,334,602"
"Nov 24, 2022",$4.11,$4.13,$4.09,$4.11,"$554,652","$19,340,274"
"Nov 23, 2022",$4.07,$4.11,$4.06,$4.11,"$527,468","$19,294,424"
"Nov 22, 2022",$4.05,$4.09,$4.01,$4.07,"$572,782","$19,149,610"
"Nov 21, 2022",$4.07,$4.09,$4.01,$4.05,"$563,701","$19,030,624"
"Nov 20, 2022",$4.12,$4.13,$4.05,$4.07,"$494,167","$19,133,775"
"Nov 19, 2022",$4.12,$4.14,$4.10,$4.12,"$506,065","$19,386,649"
"Nov 18, 2022",$4.11,$4.14,$4.10,$4.12,"$525,719","$19,350,745"
"Nov 17, 2022",$4.13,$4.15,$4.09,$4.11,"$535,814","$19,301,153"
"Nov 16, 2022",$4.15,$4.17,$4.08,$4.13,"$474,327","$19,412,720"
"Nov 15, 2022",$4.15,$4.18,$4.11,$4.15,"$320,412","$19,488,503"
"Nov 14, 2022",$4.12,$4.19,$4.08,$4.15,"$678,165","$19,525,395"
"Nov 13, 2022",$4.14,$4.17,$4.10,$4.12,"$631,437","$19,367,872"
"Nov 12, 2022",$4.17,$4.18,$4.12,$4.14,"$531,214","$19,450,564"
"Nov 11, 2022",$4.18,$4.22,$4.09,$4.17,"$653,026","$19,621,846"
"Nov 10, 2022",$4.13,$4.29,$4.12,$4.18,"$796,178","$19,655,603"
"Nov 09, 2022",$4.28,$4.28,$4.08,$4.14,"$733,692","$19,441,948"
"Nov 08, 2022",$4.40,$4.45,$4.18,$4.28,"$830,906","$20,120,917"
"Nov 07, 2022",$4.37,$4.44,$4.35,$4.40,"$629,351","$20,700,448"
"Nov 06, 2022",$4.40,$4.42,$4.36,$4.37,"$620,848","$20,525,918"
"Nov 05, 2022",$4.12,$4.43,$4.12,$4.40,"$819,638","$20,667,915"
"Nov 04, 2022",$3.39,$4.13,$3.39,$4.13,"$920,783","$19,393,442"
"Nov 03, 2022",$3.11,$3.41,$3.11,$3.39,"$600,552","$15,923,684"
"Nov 02, 2022",$3.14,$3.18,$3.10,$3.11,"$520,725","$14,626,162"
"Nov 01, 2022",$3.16,$3.16,$3.13,$3.14,"$422,791","$14,748,859"
"Oct 31, 2022",$3.64,$3.68,$3.15,$3.16,"$865,476","$14,846,604"
"Oct 30, 2022",$3.66,$3.68,$3.62,$3.64,"$544,015","$17,129,972"
"Oct 29, 2022",$3.63,$3.69,$3.63,$3.66,"$496,576","$17,182,828"
"Oct 28, 2022",$3.60,$3.66,$3.58,$3.63,"$506,609","$17,078,890"
"Oct 27, 2022",$3.63,$3.64,$3.59,$3.60,"$568,747","$16,900,417"
