Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.17,$1.24,$1.15,$1.19,"$11,581,776","$59,697,628"
"Dec 30, 2022",$1.18,$1.21,$1.11,$1.17,"$15,795,672","$58,611,990"
"Dec 29, 2022",$1.10,$1.22,$1.10,$1.18,"$17,389,040","$58,776,334"
"Dec 28, 2022",$1.25,$1.25,$1.09,$1.10,"$25,525,481","$55,131,544"
"Dec 27, 2022",$1.29,$1.34,$1.23,$1.25,"$18,710,796","$62,351,207"
"Dec 26, 2022",$1.26,$1.31,$1.25,$1.29,"$11,425,651","$64,437,530"
"Dec 25, 2022",$1.44,$1.48,$1.23,$1.26,"$26,512,961","$62,765,251"
"Dec 24, 2022",$1.43,$1.51,$1.41,$1.44,"$13,649,165","$72,153,885"
"Dec 23, 2022",$1.45,$1.47,$1.41,$1.43,"$9,078,247","$71,660,441"
"Dec 22, 2022",$1.42,$1.53,$1.38,$1.45,"$27,551,988","$72,449,925"
"Dec 21, 2022",$1.43,$1.47,$1.37,$1.42,"$24,541,369","$70,767,451"
"Dec 20, 2022",$1.39,$1.47,$1.38,$1.43,"$17,580,617","$71,581,319"
"Dec 19, 2022",$1.60,$1.62,$1.37,$1.39,"$31,802,681","$69,254,381"
"Dec 18, 2022",$1.61,$1.65,$1.55,$1.60,"$22,520,512","$80,105,577"
"Dec 17, 2022",$1.77,$1.81,$1.51,$1.61,"$49,186,562","$80,529,428"
"Dec 16, 2022",$1.81,$1.93,$1.69,$1.77,"$58,739,688","$88,700,635"
"Dec 15, 2022",$1.77,$1.98,$1.68,$1.81,"$66,079,771","$90,607,060"
"Dec 14, 2022",$1.80,$1.90,$1.73,$1.77,"$34,890,821","$88,499,691"
"Dec 13, 2022",$1.88,$1.97,$1.70,$1.80,"$68,626,447","$89,937,505"
"Dec 12, 2022",$2.02,$2.08,$1.86,$1.88,"$100,999,208","$94,162,080"
"Dec 11, 2022",$2.49,$2.56,$2.01,$2.02,"$105,366,450","$100,970,508"
"Dec 10, 2022",$2.33,$3.09,$2.32,$2.49,"$324,746,966","$124,445,253"
"Dec 09, 2022",$2.37,$2.38,$2.27,$2.33,"$49,690,121","$116,445,662"
"Dec 08, 2022",$2.48,$2.52,$2.31,$2.37,"$72,601,551","$118,608,725"
"Dec 07, 2022",$2.27,$2.48,$2.20,$2.48,"$149,458,914","$123,952,075"
"Dec 06, 2022",$2.26,$2.35,$2.21,$2.27,"$74,604,872","$113,534,508"
"Dec 05, 2022",$2.25,$2.41,$2.17,$2.26,"$86,711,592","$113,061,068"
"Dec 04, 2022",$2.20,$2.52,$2.16,$2.25,"$157,105,636","$112,688,692"
"Dec 03, 2022",$2.47,$2.63,$2.15,$2.20,"$123,367,428","$109,945,441"
"Dec 02, 2022",$2.56,$2.93,$2.30,$2.47,"$301,022,362","$123,417,677"
"Dec 01, 2022",$2.27,$2.74,$2.01,$2.55,"$443,227,343","$127,646,532"
