Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$1.48,$1.50,$1.47,$1.49,"$72,100","$12,787,654"
"Dec 30, 2022",$1.51,$1.52,$1.48,$1.48,"$74,481","$12,757,074"
"Dec 29, 2022",$1.50,$1.53,$1.50,$1.51,"$64,636","$13,011,838"
"Dec 28, 2022",$1.52,$1.53,$1.50,$1.50,"$76,533","$12,928,184"
"Dec 27, 2022",$1.50,$1.53,$1.50,$1.52,"$69,439","$13,113,192"
"Dec 26, 2022",$1.50,$1.52,$1.49,$1.50,"$69,382","$12,899,624"
"Dec 25, 2022",$1.51,$1.51,$1.47,$1.50,"$66,344","$12,880,437"
"Dec 24, 2022",$1.49,$1.51,$1.48,$1.51,"$67,374","$12,956,817"
"Dec 23, 2022",$1.49,$1.50,$1.45,$1.49,"$66,988","$12,794,867"
"Dec 22, 2022",$1.56,$1.56,$1.48,$1.49,"$84,641","$12,797,494"
"Dec 21, 2022",$1.55,$1.57,$1.51,$1.56,"$71,993","$13,402,672"
"Dec 20, 2022",$1.54,$1.57,$1.54,$1.55,"$58,645","$13,363,296"
"Dec 19, 2022",$1.54,$1.56,$1.53,$1.54,"$73,219","$13,280,981"
"Dec 18, 2022",$1.51,$1.58,$1.50,$1.54,"$68,491","$13,291,147"
"Dec 17, 2022",$1.52,$1.54,$1.48,$1.51,"$75,166","$13,037,577"
"Dec 16, 2022",$1.57,$1.59,$1.51,$1.52,"$85,152","$13,059,762"
"Dec 15, 2022",$1.51,$1.59,$1.50,$1.57,"$103,179","$13,479,255"
"Dec 14, 2022",$1.51,$1.54,$1.49,$1.51,"$78,665","$12,995,886"
"Dec 13, 2022",$1.49,$1.53,$1.47,$1.52,"$85,190","$13,041,322"
"Dec 12, 2022",$1.45,$1.50,$1.44,$1.49,"$86,698","$12,796,603"
"Dec 11, 2022",$1.48,$1.49,$1.41,$1.44,"$140,728","$12,434,844"
"Dec 10, 2022",$1.45,$1.48,$1.42,$1.48,"$69,447","$12,733,490"
"Dec 09, 2022",$1.48,$1.48,$1.41,$1.45,"$94,397","$12,448,657"
"Dec 08, 2022",$1.52,$1.54,$1.43,$1.48,"$105,700","$12,753,892"
"Dec 07, 2022",$1.48,$1.52,$1.38,$1.52,"$84,463","$13,057,747"
"Dec 06, 2022",$1.47,$1.58,$1.46,$1.48,"$79,071","$12,731,822"
"Dec 05, 2022",$1.58,$1.64,$1.45,$1.47,"$118,876","$12,679,544"
"Dec 04, 2022",$1.57,$1.60,$1.55,$1.58,"$68,000","$13,564,100"
"Dec 03, 2022",$1.57,$1.60,$1.55,$1.57,"$70,032","$13,490,020"
"Dec 02, 2022",$1.61,$1.62,$1.52,$1.57,"$93,032","$13,517,723"
"Dec 01, 2022",$1.61,$1.62,$1.59,$1.61,"$70,272","$13,819,402"
"Nov 30, 2022",$1.61,$1.65,$1.58,$1.60,"$113,269","$13,802,718"
"Nov 29, 2022",$1.59,$1.61,$1.57,$1.60,"$84,980","$13,804,447"
"Nov 28, 2022",$1.68,$1.69,$1.55,$1.59,"$105,678","$13,669,665"
"Nov 27, 2022",$1.68,$1.70,$1.65,$1.68,"$68,777","$14,432,160"
"Nov 26, 2022",$1.60,$1.72,$1.60,$1.68,"$65,442","$14,465,933"
"Nov 25, 2022",$1.71,$1.72,$1.59,$1.60,"$88,204","$13,788,013"
"Nov 24, 2022",$1.76,$1.85,$1.70,$1.71,"$84,857","$14,704,304"
"Nov 23, 2022",$1.64,$1.81,$1.58,$1.76,"$91,899","$15,105,328"
"Nov 22, 2022",$1.64,$1.66,$1.60,$1.64,"$103,433","$14,128,085"
"Nov 21, 2022",$1.71,$1.71,$1.63,$1.64,"$88,523","$14,082,626"
"Nov 20, 2022",$1.76,$1.80,$1.70,$1.71,"$109,045","$14,676,189"
"Nov 19, 2022",$1.80,$1.82,$1.74,$1.76,"$90,595","$15,138,654"
"Nov 18, 2022",$1.85,$1.87,$1.78,$1.80,"$95,740","$15,449,272"
"Nov 17, 2022",$1.88,$1.90,$1.83,$1.85,"$100,898","$15,932,134"
"Nov 16, 2022",$1.88,$1.91,$1.85,$1.88,"$97,044","$16,204,446"
"Nov 15, 2022",$1.93,$2.35,$1.87,$1.89,"$125,000","$16,225,076"
"Nov 14, 2022",$1.97,$1.99,$1.81,$1.93,"$137,068","$16,571,073"
"Nov 13, 2022",$2.06,$2.13,$1.92,$1.97,"$142,864","$16,982,673"
"Nov 12, 2022",$2.14,$2.23,$2.05,$2.06,"$126,444","$17,708,968"
"Nov 11, 2022",$2.17,$2.23,$2.12,$2.14,"$130,226","$18,455,765"
"Nov 10, 2022",$2.04,$2.21,$1.98,$2.17,"$188,677","$18,657,892"
"Nov 09, 2022",$2.27,$2.28,$2.03,$2.04,"$1,007,972","$17,565,020"
"Nov 08, 2022",$2.48,$2.50,$2.21,$2.27,"$1,513,939","$19,567,905"
"Nov 07, 2022",$2.49,$2.51,$2.48,$2.48,"$545,545","$21,361,229"
"Nov 06, 2022",$2.53,$2.53,$2.48,$2.49,"$170,568","$21,395,446"
"Nov 05, 2022",$2.52,$2.54,$2.51,$2.53,"$375,441","$21,782,736"
"Nov 04, 2022",$2.49,$2.54,$2.48,$2.52,"$1,072,513","$21,719,588"
"Nov 03, 2022",$2.53,$2.53,$2.48,$2.49,"$1,681,982","$21,392,693"
"Nov 02, 2022",$2.55,$2.55,$2.49,$2.53,"$1,710,765","$21,771,620"
"Nov 01, 2022",$2.60,$2.60,$2.51,$2.55,"$931,553","$21,924,312"
"Oct 31, 2022",$2.62,$2.74,$2.58,$2.60,"$1,621,665","$22,339,267"
"Oct 30, 2022",$2.68,$2.70,$2.58,$2.62,"$358,520","$22,562,219"
"Oct 29, 2022",$2.85,$2.88,$2.67,$2.68,"$269,674","$23,065,298"
"Oct 28, 2022",$2.82,$2.86,$2.78,$2.85,"$200,006","$24,563,524"
"Oct 27, 2022",$2.92,$3.01,$2.80,$2.82,"$178,173","$24,298,835"
"Oct 26, 2022",$2.91,$3.04,$2.91,$2.92,"$438,063","$25,102,161"
"Oct 25, 2022",$2.88,$2.92,$2.86,$2.91,"$299,706","$25,050,662"
"Oct 24, 2022",$2.79,$2.88,$2.79,$2.88,"$176,727","$24,757,109"
"Oct 23, 2022",$2.77,$2.80,$2.75,$2.79,"$115,684","$24,015,646"
"Oct 22, 2022",$2.79,$2.80,$2.75,$2.77,"$115,477","$23,845,298"
"Oct 21, 2022",$2.86,$2.88,$2.76,$2.79,"$191,696","$24,001,705"
"Oct 20, 2022",$2.82,$2.88,$2.82,$2.86,"$177,959","$24,638,957"
"Oct 19, 2022",$2.77,$2.83,$2.74,$2.82,"$325,300","$24,306,253"
"Oct 18, 2022",$2.71,$2.78,$2.69,$2.77,"$301,166","$23,813,491"
"Oct 17, 2022",$2.69,$2.76,$2.68,$2.71,"$266,374","$23,331,833"
"Oct 16, 2022",$2.62,$2.69,$2.61,$2.69,"$483,874","$23,147,278"
"Oct 15, 2022",$2.62,$2.65,$2.61,$2.62,"$275,410","$22,538,871"
"Oct 14, 2022",$2.51,$2.68,$2.51,$2.62,"$474,099","$22,570,845"
"Oct 13, 2022",$2.51,$2.55,$2.42,$2.51,"$1,721,518","$21,632,546"
"Oct 12, 2022",$2.34,$2.52,$2.34,$2.51,"$1,418,288","$21,591,410"
"Oct 11, 2022",$2.33,$2.38,$2.30,$2.34,"$1,095,275","$20,172,096"
"Oct 10, 2022",$2.37,$2.51,$2.30,$2.33,"$1,171,243","$20,036,984"
"Oct 09, 2022",$2.31,$2.42,$2.27,$2.37,"$716,602","$20,380,136"
"Oct 08, 2022",$2.21,$2.34,$2.19,$2.31,"$858,111","$19,880,077"
"Oct 07, 2022",$2.24,$2.25,$2.15,$2.21,"$821,562","$19,027,723"
"Oct 06, 2022",$2.15,$2.24,$2.13,$2.24,"$558,216","$19,313,106"
"Oct 05, 2022",$2.15,$2.18,$2.12,$2.15,"$211,786","$18,526,377"
"Oct 04, 2022",$2.11,$2.15,$2.07,$2.15,"$208,310","$18,473,367"
"Oct 03, 2022",$2.07,$2.13,$2.05,$2.11,"$320,125","$18,193,248"
"Oct 02, 2022",$2.10,$2.12,$2.04,$2.07,"$334,338","$17,838,792"
"Oct 01, 2022",$2.08,$2.13,$2.07,$2.10,"$117,133","$18,101,886"
"Sep 30, 2022",$2.10,$2.15,$2.05,$2.08,"$763,053","$17,860,111"
"Sep 29, 2022",$2.15,$2.21,$2.06,$2.10,"$740,430","$18,050,606"
"Sep 28, 2022",$2.09,$2.20,$2.06,$2.15,"$1,119,404","$18,468,129"
"Sep 27, 2022",$2.04,$2.20,$2.04,$2.09,"$792,235","$18,023,914"
"Sep 26, 2022",$2.13,$2.16,$2.04,$2.04,"$957,750","$17,595,075"
"Sep 25, 2022",$2.03,$2.13,$2.02,$2.13,"$298,487","$18,339,813"
"Sep 24, 2022",$2.11,$2.12,$2.03,$2.03,"$445,579","$17,467,294"
"Sep 23, 2022",$2.15,$2.19,$2.06,$2.11,"$995,569","$18,164,907"
"Sep 22, 2022",$2.13,$2.18,$2.07,$2.15,"$1,183,671","$18,531,994"
"Sep 21, 2022",$2.24,$2.26,$2.11,$2.13,"$1,008,632","$18,356,503"
"Sep 20, 2022",$2.29,$2.31,$2.22,$2.24,"$466,391","$19,300,129"
"Sep 19, 2022",$2.30,$2.33,$2.27,$2.29,"$333,655","$19,713,719"
"Sep 18, 2022",$2.52,$2.55,$2.25,$2.30,"$1,049,031","$19,835,781"
"Sep 17, 2022",$2.41,$2.54,$2.38,$2.52,"$1,850,400","$21,672,520"
"Sep 16, 2022",$2.50,$2.54,$2.39,$2.41,"$2,645,865","$20,785,227"
"Sep 15, 2022",$2.58,$2.59,$2.45,$2.50,"$1,221,149","$21,534,226"
"Sep 14, 2022",$2.52,$2.59,$2.50,$2.58,"$1,010,946","$22,199,153"
"Sep 13, 2022",$2.61,$2.63,$2.47,$2.53,"$698,535","$21,762,693"
"Sep 12, 2022",$2.63,$2.68,$2.61,$2.61,"$134,416","$22,436,891"
"Sep 11, 2022",$2.72,$2.73,$2.63,$2.64,"$199,353","$22,691,716"
"Sep 10, 2022",$2.71,$2.75,$2.66,$2.72,"$167,277","$23,439,238"
"Sep 09, 2022",$2.65,$2.82,$2.64,$2.71,"$287,009","$23,288,995"
"Sep 08, 2022",$2.75,$2.78,$2.61,$2.65,"$232,929","$22,820,846"
"Sep 07, 2022",$2.64,$2.77,$2.62,$2.75,"$208,223","$23,650,648"
"Sep 06, 2022",$2.71,$2.77,$2.63,$2.64,"$293,262","$22,730,035"
"Sep 05, 2022",$2.86,$2.87,$2.56,$2.71,"$440,881","$23,339,992"
"Sep 04, 2022",$2.95,$2.95,$2.83,$2.86,"$120,484","$24,657,960"
"Sep 03, 2022",$2.74,$2.99,$2.72,$2.95,"$297,403","$25,372,497"
"Sep 02, 2022",$2.71,$2.75,$2.69,$2.74,"$160,408","$23,600,802"
"Sep 01, 2022",$2.71,$2.88,$2.71,$2.71,"$247,907","$23,326,203"
