Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.001653,$0.001658,$0.00165,$0.001656,"$61,946","$1,785,564"
"Dec 30, 2022",$0.001603,$0.001658,$0.00153,$0.001653,"$63,909","$1,781,980"
"Dec 29, 2022",$0.001536,$0.001622,$0.001535,$0.001603,"$65,725","$1,728,587"
"Dec 28, 2022",$0.001527,$0.001537,$0.00151,$0.001536,"$64,456","$1,656,147"
"Dec 27, 2022",$0.001527,$0.00177,$0.001514,$0.001525,"$68,873","$1,644,598"
"Dec 26, 2022",$0.001536,$0.001538,$0.001501,$0.001528,"$65,462","$1,647,223"
"Dec 25, 2022",$0.001576,$0.001771,$0.001483,$0.001536,"$64,008","$1,656,058"
"Dec 24, 2022",$0.001671,$0.001679,$0.00132,$0.001576,"$64,608","$1,699,959"
"Dec 23, 2022",$0.001573,$0.001746,$0.001569,$0.001671,"$61,880","$1,802,169"
"Dec 22, 2022",$0.00155,$0.001587,$0.001516,$0.001573,"$64,219","$1,696,409"
"Dec 21, 2022",$0.001714,$0.001716,$0.001548,$0.001549,"$63,899","$1,670,187"
"Dec 20, 2022",$0.001761,$0.001761,$0.001383,$0.001714,"$67,321","$1,848,222"
"Dec 19, 2022",$0.001866,$0.00209,$0.001558,$0.001761,"$77,784","$1,898,875"
"Dec 18, 2022",$0.001509,$0.001968,$0.001506,$0.001866,"$78,429","$2,011,885"
"Dec 17, 2022",$0.001823,$0.001826,$0.001495,$0.001506,"$75,669","$1,624,221"
"Dec 16, 2022",$0.00149,$0.001827,$0.001474,$0.001823,"$75,320","$1,965,738"
"Dec 15, 2022",$0.001642,$0.001644,$0.001487,$0.00149,"$74,344","$1,606,222"
"Dec 14, 2022",$0.001598,$0.001645,$0.001532,$0.001642,"$77,672","$1,770,232"
"Dec 13, 2022",$0.001592,$0.001601,$0.001574,$0.001597,"$75,040","$1,721,707"
"Dec 12, 2022",$0.001594,$0.001608,$0.001588,$0.001591,"$71,571","$1,715,324"
"Dec 11, 2022",$0.001583,$0.001599,$0.001578,$0.001594,"$69,255","$1,719,235"
"Dec 10, 2022",$0.001572,$0.0016,$0.001569,$0.001583,"$72,737","$1,707,214"
"Dec 09, 2022",$0.001591,$0.00164,$0.001568,$0.001572,"$73,766","$1,695,581"
