Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.01937,$0.02019,$0.01872,$0.01872,"$239,841","$2,318,926"
"Dec 30, 2022",$0.01928,$0.0194,$0.01865,$0.01936,"$233,569","$2,398,503"
"Dec 29, 2022",$0.02118,$0.02123,$0.01916,$0.01928,"$254,405","$2,388,211"
"Dec 28, 2022",$0.02048,$0.02128,$0.01994,$0.02118,"$262,658","$2,623,962"
"Dec 27, 2022",$0.0212,$0.02129,$0.01959,$0.02048,"$256,387","$2,536,529"
"Dec 26, 2022",$0.02141,$0.02253,$0.02045,$0.0212,"$246,493","$2,625,686"
"Dec 25, 2022",$0.02477,$0.02479,$0.02077,$0.02139,"$295,806","$2,648,909"
"Dec 24, 2022",$0.01984,$0.02534,$0.01978,$0.02477,"$258,313","$3,066,840"
"Dec 23, 2022",$0.02099,$0.021,$0.01838,$0.01984,"$285,410","$2,456,510"
"Dec 22, 2022",$0.02071,$0.02145,$0.02006,$0.02099,"$244,788","$2,598,585"
"Dec 21, 2022",$0.01884,$0.02103,$0.01797,$0.0207,"$308,786","$2,562,727"
"Dec 20, 2022",$0.01899,$0.02068,$0.01845,$0.01884,"$295,452","$2,331,900"
"Dec 19, 2022",$0.01953,$0.02197,$0.01877,$0.01899,"$325,100","$2,350,963"
"Dec 18, 2022",$0.01604,$0.02052,$0.01577,$0.01953,"$114,758","$2,417,040"
"Dec 17, 2022",$0.0175,$0.01853,$0.0153,$0.01604,"$257,505","$1,986,003"
"Dec 16, 2022",$0.02119,$0.02127,$0.01744,$0.0175,"$295,587","$2,165,692"
"Dec 15, 2022",$0.02771,$0.03241,$0.01821,$0.02119,"$438,734","$2,622,638"
"Dec 14, 2022",$0.01987,$0.03266,$0.01925,$0.02769,"$485,837","$3,424,692"
"Dec 13, 2022",$0.01192,$0.02383,$0.01158,$0.01986,"$430,439","$2,456,820"
"Dec 12, 2022",$0.01153,$0.01193,$0.01122,$0.01192,"$235,305","$1,396,086"
"Dec 11, 2022",$0.01181,$0.01214,$0.01144,$0.01153,"$200,425","$1,350,537"
"Dec 10, 2022",$0.01192,$0.0121,$0.01174,$0.01175,"$221,994","$1,376,566"
"Dec 09, 2022",$0.01253,$0.01253,$0.01187,$0.01192,"$241,329","$1,396,052"
"Dec 08, 2022",$0.01185,$0.0126,$0.01177,$0.01253,"$248,624","$1,467,326"
