Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$2.07,$2.09,$2.05,$2.07,"$588,967","$6,863,566"
"Dec 30, 2022",$2.05,$2.10,$2.01,$2.07,"$526,349","$6,857,840"
"Dec 29, 2022",$2.08,$2.11,$2.03,$2.05,"$401,142","$6,783,511"
"Dec 28, 2022",$2.14,$2.19,$2.07,$2.08,"$900,020","$6,887,890"
"Dec 27, 2022",$2.12,$2.22,$2.08,$2.14,"$1,146,182","$7,091,187"
"Dec 26, 2022",$2.09,$2.13,$2.06,$2.12,"$763,702","$7,037,686"
"Dec 25, 2022",$2.12,$2.18,$2.08,$2.09,"$1,018,855","$6,913,887"
"Dec 24, 2022",$2.17,$2.38,$2.10,$2.12,"$2,172,223","$7,037,913"
"Dec 23, 2022",$2.04,$2.42,$1.96,$2.17,"$2,646,693","$7,198,521"
"Dec 22, 2022",$2.00,$2.07,$1.98,$2.04,"$599,605","$6,766,064"
"Dec 21, 2022",$1.99,$2.02,$1.95,$2.01,"$603,711","$6,665,088"
"Dec 20, 2022",$1.92,$2.05,$1.92,$1.99,"$641,769","$6,584,370"
"Dec 19, 2022",$2.05,$2.09,$1.92,$1.92,"$934,626","$6,354,076"
"Dec 18, 2022",$2.02,$2.06,$1.98,$2.05,"$936,926","$6,792,429"
"Dec 17, 2022",$2.00,$2.09,$1.97,$2.02,"$972,159","$6,710,355"
"Dec 16, 2022",$2.06,$2.13,$2.00,$2.01,"$1,123,161","$6,654,559"
"Dec 15, 2022",$2.08,$2.14,$2.04,$2.06,"$997,620","$6,835,115"
"Dec 14, 2022",$2.01,$2.11,$2.00,$2.08,"$2,004,811","$6,897,369"
"Dec 13, 2022",$2.05,$2.06,$1.97,$2.01,"$1,483,006","$6,675,792"
"Dec 12, 2022",$2.05,$2.10,$2.00,$2.05,"$1,810,371","$6,786,888"
"Dec 11, 2022",$2.09,$2.11,$2.04,$2.05,"$1,177,297","$6,796,109"
"Dec 10, 2022",$2.05,$2.11,$2.04,$2.09,"$898,708","$6,925,171"
"Dec 09, 2022",$2.08,$2.10,$2.04,$2.05,"$920,447","$6,795,414"
"Dec 08, 2022",$2.08,$2.11,$2.01,$2.08,"$1,125,137","$6,896,663"
"Dec 07, 2022",$2.16,$2.18,$2.08,$2.08,"$1,020,643","$6,901,913"
"Dec 06, 2022",$2.18,$2.20,$2.11,$2.16,"$1,250,275","$7,166,419"
"Dec 05, 2022",$2.19,$2.22,$2.11,$2.18,"$1,166,838","$7,234,897"
"Dec 04, 2022",$2.18,$2.21,$2.14,$2.19,"$1,056,225","$7,255,735"
"Dec 03, 2022",$2.19,$2.23,$2.16,$2.18,"$2,110,125","$7,213,390"
"Dec 02, 2022",$2.18,$2.27,$2.16,$2.19,"$1,834,074","$7,266,139"
"Dec 01, 2022",$2.10,$2.35,$2.09,$2.18,"$2,084,643","$7,215,878"
"Nov 30, 2022",$2.12,$2.15,$2.09,$2.10,"$894,942","$6,973,311"
"Nov 29, 2022",$2.10,$2.13,$2.08,$2.12,"$956,058","$7,023,642"
"Nov 28, 2022",$2.13,$2.14,$2.04,$2.10,"$3,745,678","$6,966,456"
"Nov 27, 2022",$2.14,$2.17,$2.12,$2.13,"$3,260,590","$7,073,837"
"Nov 26, 2022",$2.16,$2.22,$2.12,$2.14,"$4,210,032","$7,093,676"
"Nov 25, 2022",$2.13,$2.17,$2.07,$2.16,"$1,488,117","$7,158,199"
"Nov 24, 2022",$2.17,$2.18,$2.13,$2.13,"$956,919","$7,066,924"
"Nov 23, 2022",$2.14,$2.19,$2.12,$2.17,"$956,626","$7,200,590"
"Nov 22, 2022",$2.10,$2.15,$2.07,$2.14,"$911,975","$7,101,469"
"Nov 21, 2022",$2.20,$2.22,$2.06,$2.10,"$986,290","$6,964,360"
"Nov 20, 2022",$2.39,$2.41,$2.16,$2.20,"$927,919","$7,285,299"
"Nov 19, 2022",$2.43,$2.45,$2.29,$2.39,"$969,681","$7,935,698"
"Nov 18, 2022",$2.37,$2.46,$2.34,$2.43,"$1,115,663","$8,053,762"
"Nov 17, 2022",$2.31,$2.40,$2.27,$2.37,"$970,978","$7,866,826"
"Nov 16, 2022",$2.33,$2.41,$2.26,$2.31,"$1,028,981","$7,660,336"
