Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$35.67,$36.33,$35.19,$35.57,"$127,726","$3,333,563"
"Dec 30, 2022",$34.66,$35.83,$33.91,$35.67,"$163,292","$3,342,777"
"Dec 29, 2022",$35.70,$35.88,$34.24,$34.66,"$131,963","$3,248,878"
"Dec 28, 2022",$37.08,$38.54,$35.52,$35.70,"$209,533","$3,346,437"
"Dec 27, 2022",$38.39,$38.60,$36.31,$37.06,"$136,146","$3,473,629"
"Dec 26, 2022",$38.58,$38.80,$37.61,$38.40,"$186,478","$3,598,722"
"Dec 25, 2022",$38.86,$39.42,$37.54,$38.56,"$196,930","$3,614,476"
"Dec 24, 2022",$39.71,$40.96,$38.63,$38.86,"$153,448","$3,641,994"
"Dec 23, 2022",$41.77,$42.37,$37.90,$39.71,"$341,608","$3,722,197"
"Dec 22, 2022",$41.57,$42.91,$40.70,$41.77,"$121,436","$3,915,108"
"Dec 21, 2022",$42.59,$42.63,$40.21,$41.56,"$209,840","$3,894,791"
"Dec 20, 2022",$43.49,$45.80,$41.69,$42.61,"$203,066","$3,993,815"
"Dec 19, 2022",$43.37,$44.24,$43.22,$43.49,"$132,518","$4,076,199"
"Dec 18, 2022",$44.52,$44.55,$41.69,$43.37,"$122,074","$4,065,287"
"Dec 17, 2022",$42.98,$44.60,$42.44,$44.51,"$161,779","$4,171,882"
"Dec 16, 2022",$46.72,$47.20,$42.59,$42.98,"$255,604","$4,027,873"
"Dec 15, 2022",$47.41,$47.67,$44.70,$46.71,"$158,987","$4,377,939"
"Dec 14, 2022",$49.57,$49.95,$46.35,$47.38,"$193,187","$4,440,374"
"Dec 13, 2022",$52.24,$54.41,$49.52,$49.56,"$170,672","$4,644,917"
"Dec 12, 2022",$51.75,$52.27,$51.18,$52.23,"$117,943","$4,895,556"
"Dec 11, 2022",$51.57,$52.29,$50.31,$51.75,"$177,509","$4,850,333"
"Dec 10, 2022",$51.01,$51.67,$50.38,$51.57,"$105,051","$4,833,343"
"Dec 09, 2022",$51.14,$51.51,$50.47,$51.01,"$119,676","$4,780,859"
"Dec 08, 2022",$50.50,$51.64,$49.68,$51.14,"$120,664","$4,793,165"
"Dec 07, 2022",$52.03,$52.10,$49.25,$50.50,"$126,816","$4,732,749"
"Dec 06, 2022",$51.56,$53.80,$51.54,$52.01,"$157,157","$4,875,091"
"Dec 05, 2022",$52.78,$53.31,$51.39,$51.56,"$228,536","$4,832,641"
"Dec 04, 2022",$50.96,$53.61,$50.18,$52.81,"$320,605","$4,950,001"
"Dec 03, 2022",$51.28,$51.43,$50.22,$50.95,"$109,133","$4,775,459"
"Dec 02, 2022",$50.83,$52.01,$50.33,$51.29,"$149,297","$4,807,639"
"Dec 01, 2022",$53.01,$53.25,$50.73,$50.81,"$188,201","$4,761,998"
"Nov 30, 2022",$53.68,$53.69,$51.44,$53.01,"$209,962","$4,968,145"
"Nov 29, 2022",$53.56,$55.16,$53.42,$53.68,"$150,397","$5,031,020"
"Nov 28, 2022",$53.05,$53.64,$52.04,$53.57,"$131,968","$5,020,711"
"Nov 27, 2022",$57.20,$57.22,$53.01,$53.05,"$215,890","$4,971,771"
"Nov 26, 2022",$56.29,$57.42,$53.26,$57.23,"$610,246","$5,364,250"
"Nov 25, 2022",$52.93,$56.40,$50.65,$56.30,"$497,693","$5,276,394"
"Nov 24, 2022",$55.23,$55.83,$52.46,$52.93,"$200,482","$4,960,482"
"Nov 23, 2022",$54.34,$58.54,$53.82,$55.23,"$564,764","$5,176,288"
"Nov 22, 2022",$49.94,$54.45,$47.93,$54.35,"$453,372","$5,093,634"
"Nov 21, 2022",$52.24,$52.81,$49.02,$49.93,"$213,793","$4,680,078"
"Nov 20, 2022",$58.98,$59.04,$51.86,$52.24,"$446,704","$4,896,569"
"Nov 19, 2022",$54.31,$61.46,$52.79,$58.98,"$1,188,641","$5,527,519"
"Nov 18, 2022",$50.33,$60.38,$48.86,$54.34,"$736,442","$5,093,416"
"Nov 17, 2022",$52.12,$52.54,$49.25,$50.33,"$149,750","$4,717,524"
"Nov 16, 2022",$51.63,$53.10,$49.26,$52.13,"$196,806","$4,885,666"
"Nov 15, 2022",$53.75,$54.12,$50.85,$51.61,"$293,726","$4,837,613"
"Nov 14, 2022",$55.20,$59.35,$52.54,$53.75,"$590,720","$5,037,812"
"Nov 13, 2022",$47.71,$61.50,$45.65,$55.20,"$1,122,762","$5,173,271"
"Nov 12, 2022",$51.50,$51.54,$47.34,$47.71,"$164,793","$4,471,343"
"Nov 11, 2022",$53.02,$53.08,$49.10,$51.51,"$258,867","$4,827,510"
"Nov 10, 2022",$50.89,$53.04,$47.48,$53.03,"$398,634","$4,970,422"
"Nov 09, 2022",$61.25,$61.27,$50.67,$50.93,"$390,345","$4,773,658"
"Nov 08, 2022",$67.00,$67.38,$60.03,$61.25,"$353,306","$5,740,382"
