Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.08956,$0.08957,$0.06598,$0.06598,$710,"$7,593,687"
"Dec 30, 2022",$0.08957,$0.08957,$0.08956,$0.08956,$0,"$10,307,931"
"Dec 29, 2022",$0.08956,$0.08958,$0.08956,$0.08957,$0,"$10,308,716"
"Dec 28, 2022",$0.08499,$0.08958,$0.07299,$0.08956,"$1,107","$10,308,205"
"Dec 27, 2022",$0.085,$0.085,$0.08499,$0.08499,$0,"$9,781,475"
"Dec 26, 2022",$0.07135,$0.085,$0.07135,$0.085,$0,"$9,783,006"
"Dec 25, 2022",$0.07322,$0.07337,$0.07036,$0.07128,$0,"$8,204,231"
"Dec 24, 2022",$0.13,$0.13,$0.07307,$0.07322,$839,"$8,427,243"
"Dec 23, 2022",$0.0999,$0.13,$0.0999,$0.13,$833,"$14,961,738"
"Dec 22, 2022",$0.09128,$0.0999,$0.09127,$0.0999,"$2,731","$11,497,961"
"Dec 21, 2022",$0.07241,$0.09129,$0.07241,$0.09128,$547,"$10,505,959"
"Dec 20, 2022",$0.06946,$0.07357,$0.06929,$0.07241,$0,"$8,334,169"
"Dec 19, 2022",$0.08701,$0.08702,$0.06867,$0.06946,$378,"$7,994,436"
"Dec 18, 2022",$0.08701,$0.08702,$0.08701,$0.08701,$0,"$10,014,679"
"Dec 17, 2022",$0.08501,$0.09,$0.08501,$0.08701,"$1,839","$10,014,736"
"Dec 16, 2022",$0.08501,$0.08502,$0.085,$0.08501,$0,"$9,784,471"
"Dec 15, 2022",$0.08501,$0.08502,$0.085,$0.08501,$0,"$9,783,702"
"Dec 14, 2022",$0.085,$0.08501,$0.085,$0.08501,$0,"$9,783,970"
"Dec 13, 2022",$0.08501,$0.08505,$0.085,$0.085,$0,"$9,783,108"
"Dec 12, 2022",$0.08501,$0.08502,$0.085,$0.08501,$0,"$9,783,986"
"Dec 11, 2022",$0.09,$0.107,$0.085,$0.08501,"$1,929","$9,783,702"
"Dec 10, 2022",$0.09,$0.09001,$0.09,$0.09,$0,"$10,358,648"
"Dec 09, 2022",$0.08201,$0.09001,$0.082,$0.09,$956,"$10,358,763"
"Dec 08, 2022",$0.082,$0.08201,$0.082,$0.08201,$0,"$9,438,859"
"Dec 07, 2022",$0.08201,$0.08201,$0.082,$0.082,$0,"$9,437,681"
"Dec 06, 2022",$0.08201,$0.08201,$0.082,$0.08201,$0,"$9,438,385"
"Dec 05, 2022",$0.07928,$0.08302,$0.07928,$0.082,$2,"$9,438,172"
