Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1699,$0.1732,$0.1688,$0.1693,"$3,932,333","$470,508,432"
"Dec 30, 2022",$0.1695,$0.1716,$0.167,$0.1699,"$5,884,095","$472,301,916"
"Dec 29, 2022",$0.1698,$0.1719,$0.1667,$0.1701,"$5,896,117","$472,813,440"
"Dec 28, 2022",$0.1729,$0.1732,$0.1654,$0.1698,"$8,342,677","$471,848,735"
"Dec 27, 2022",$0.1761,$0.1767,$0.1718,$0.1729,"$6,277,330","$480,546,639"
"Dec 26, 2022",$0.1728,$0.1761,$0.1698,$0.176,"$6,399,060","$489,276,912"
"Dec 25, 2022",$0.1706,$0.1758,$0.1705,$0.1729,"$15,892,140","$480,467,048"
"Dec 24, 2022",$0.1699,$0.1708,$0.1684,$0.1706,"$3,198,965","$474,276,169"
"Dec 23, 2022",$0.1671,$0.1706,$0.1667,$0.1699,"$5,905,130","$472,251,348"
"Dec 22, 2022",$0.1654,$0.1674,$0.1639,$0.1671,"$6,360,629","$464,531,692"
"Dec 21, 2022",$0.1664,$0.1672,$0.1624,$0.1654,"$6,428,999","$459,651,035"
"Dec 20, 2022",$0.1598,$0.1672,$0.1591,$0.1666,"$6,732,291","$462,962,067"
"Dec 19, 2022",$0.1684,$0.1702,$0.1575,$0.1597,"$8,027,586","$443,832,636"
"Dec 18, 2022",$0.1712,$0.1724,$0.168,$0.1684,"$4,257,093","$468,168,708"
"Dec 17, 2022",$0.1645,$0.1716,$0.1633,$0.1712,"$9,807,468","$475,843,324"
"Dec 16, 2022",$0.1859,$0.1873,$0.163,$0.1645,"$19,168,687","$457,243,928"
"Dec 15, 2022",$0.1961,$0.1979,$0.1841,$0.1859,"$18,270,897","$516,830,375"
"Dec 14, 2022",$0.2043,$0.2057,$0.1947,$0.1961,"$18,996,458","$545,061,808"
"Dec 13, 2022",$0.2027,$0.2051,$0.1964,$0.2042,"$11,945,633","$567,672,460"
"Dec 12, 2022",$0.2079,$0.2079,$0.1987,$0.2027,"$9,222,126","$563,471,889"
"Dec 11, 2022",$0.209,$0.2114,$0.2078,$0.2079,"$5,651,656","$577,972,094"
"Dec 10, 2022",$0.2059,$0.2097,$0.2058,$0.209,"$8,566,395","$580,999,535"
"Dec 09, 2022",$0.2078,$0.2095,$0.2053,$0.2059,"$8,749,284","$572,280,102"
"Dec 08, 2022",$0.2057,$0.2084,$0.2024,$0.2079,"$8,750,029","$577,751,868"
"Dec 07, 2022",$0.2135,$0.2139,$0.2044,$0.2056,"$9,966,173","$571,610,155"
"Dec 06, 2022",$0.2145,$0.216,$0.2107,$0.2135,"$9,600,033","$593,525,218"
"Dec 05, 2022",$0.2123,$0.2165,$0.2121,$0.2147,"$8,985,254","$596,668,088"
"Dec 04, 2022",$0.2104,$0.2149,$0.2104,$0.2124,"$7,022,150","$590,312,586"
"Dec 03, 2022",$0.2139,$0.2161,$0.2103,$0.2105,"$6,122,866","$584,987,105"
"Dec 02, 2022",$0.2116,$0.2143,$0.2086,$0.2139,"$10,166,573","$594,461,344"
"Dec 01, 2022",$0.2161,$0.2169,$0.2102,$0.2116,"$8,503,269","$588,074,760"
"Nov 30, 2022",$0.2099,$0.217,$0.2099,$0.216,"$9,384,323","$600,516,738"
"Nov 29, 2022",$0.2077,$0.2123,$0.2061,$0.2099,"$7,825,084","$583,325,458"
"Nov 28, 2022",$0.2133,$0.2147,$0.204,$0.2077,"$8,788,141","$577,208,829"
"Nov 27, 2022",$0.2146,$0.2192,$0.2132,$0.2133,"$6,197,872","$592,947,040"
"Nov 26, 2022",$0.2118,$0.2164,$0.2118,$0.2146,"$5,959,080","$596,522,487"
"Nov 25, 2022",$0.2154,$0.2159,$0.2098,$0.2118,"$8,194,100","$588,779,513"
"Nov 24, 2022",$0.2196,$0.2204,$0.2124,$0.2153,"$12,365,784","$598,558,382"
"Nov 23, 2022",$0.2144,$0.2196,$0.2114,$0.2195,"$13,831,226","$610,137,335"
"Nov 22, 2022",$0.2146,$0.2157,$0.2056,$0.2143,"$13,396,501","$595,616,777"
"Nov 21, 2022",$0.2125,$0.2204,$0.2043,$0.2148,"$31,856,111","$596,947,580"
"Nov 20, 2022",$0.2227,$0.2291,$0.2121,$0.2127,"$17,407,299","$591,135,921"
"Nov 19, 2022",$0.2183,$0.2241,$0.2157,$0.2227,"$7,068,083","$618,869,492"
"Nov 18, 2022",$0.2184,$0.2219,$0.2163,$0.2191,"$7,063,701","$608,975,360"
"Nov 17, 2022",$0.2186,$0.2198,$0.2125,$0.2182,"$7,952,124","$606,532,005"
"Nov 16, 2022",$0.2231,$0.2276,$0.2152,$0.2184,"$8,055,245","$607,114,788"
