Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.2674,$0.2687,$0.2598,$0.26,"$25,951","$1,427,985"
"Dec 30, 2022",$0.2689,$0.27,$0.262,$0.2674,"$27,627","$1,468,304"
"Dec 29, 2022",$0.2697,$0.2719,$0.2652,$0.269,"$27,378","$1,477,061"
"Dec 28, 2022",$0.2652,$0.2745,$0.2632,$0.2697,"$27,955","$1,481,077"
"Dec 27, 2022",$0.2667,$0.2681,$0.2635,$0.2652,"$26,554","$1,456,532"
"Dec 26, 2022",$0.2653,$0.2678,$0.2626,$0.2667,"$27,802","$1,464,543"
"Dec 25, 2022",$0.2623,$0.2678,$0.261,$0.2653,"$26,166","$1,457,103"
"Dec 24, 2022",$0.2648,$0.2669,$0.2611,$0.2623,"$26,739","$1,440,453"
"Dec 23, 2022",$0.2659,$0.2675,$0.2609,$0.2648,"$27,909","$1,454,498"
"Dec 22, 2022",$0.2666,$0.2675,$0.2597,$0.2659,"$22,571","$1,460,152"
"Dec 21, 2022",$0.2692,$0.2713,$0.2611,$0.2666,"$27,101","$1,464,231"
"Dec 20, 2022",$0.2679,$0.2794,$0.2654,$0.2693,"$28,135","$1,478,689"
"Dec 19, 2022",$0.2757,$0.2766,$0.2645,$0.2679,"$27,407","$1,471,237"
"Dec 18, 2022",$0.2755,$0.2769,$0.2678,$0.2757,"$28,258","$1,514,185"
"Dec 17, 2022",$0.2708,$0.2767,$0.268,$0.2755,"$27,736","$1,512,739"
"Dec 16, 2022",$0.2737,$0.2811,$0.2678,$0.2708,"$27,931","$1,486,997"
"Dec 15, 2022",$0.281,$0.2863,$0.269,$0.2737,"$27,753","$1,503,131"
"Dec 14, 2022",$0.2641,$0.2881,$0.2606,$0.281,"$28,246","$1,543,055"
"Dec 13, 2022",$0.2745,$0.2783,$0.2583,$0.2641,"$28,395","$1,450,577"
"Dec 12, 2022",$0.2721,$0.2758,$0.2688,$0.2745,"$27,557","$1,507,373"
"Dec 11, 2022",$0.2674,$0.2752,$0.2629,$0.2721,"$27,153","$1,494,351"
"Dec 10, 2022",$0.2688,$0.2731,$0.2582,$0.2674,"$26,935","$1,468,684"
"Dec 09, 2022",$0.2648,$0.2707,$0.2584,$0.2687,"$27,699","$1,475,889"
"Dec 08, 2022",$0.27,$0.2805,$0.2564,$0.2648,"$26,988","$1,454,305"
