Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.0002699,$0.0003323,$0.0002108,$0.0002526,$125,"$2,491,376"
"Dec 30, 2022",$0.0002624,$0.0002699,$0.0002624,$0.0002699,$31,"$2,662,487"
"Dec 29, 2022",$0.000232,$0.0002653,$0.000232,$0.0002624,$54,"$2,588,911"
"Dec 28, 2022",$0.000251,$0.000251,$0.0002071,$0.000232,$274,"$2,288,819"
"Dec 27, 2022",$0.0002661,$0.000273,$0.000251,$0.000251,$267,"$2,476,011"
"Dec 26, 2022",$0.0002466,$0.0002843,$0.0002466,$0.0002661,$244,"$2,624,848"
"Dec 25, 2022",$0.0002522,$0.0002523,$0.0002461,$0.0002466,$57,"$2,432,887"
"Dec 24, 2022",$0.0002553,$0.000262,$0.0002434,$0.0002522,$173,"$2,487,717"
"Dec 23, 2022",$0.0002586,$0.000268,$0.0002181,$0.0002553,$84,"$2,518,209"
"Dec 22, 2022",$0.0002753,$0.0002755,$0.0002583,$0.0002586,$42,"$2,550,981"
"Dec 21, 2022",$0.0002676,$0.0002753,$0.0002676,$0.0002753,$12,"$2,715,379"
"Dec 20, 2022",$0.0002643,$0.0002676,$0.0002643,$0.0002676,$2,"$2,639,761"
"Dec 19, 2022",$0.0002592,$0.0002644,$0.0002555,$0.0002643,$66,"$2,607,195"
"Dec 18, 2022",$0.0002102,$0.0002592,$0.0002102,$0.0002592,$110,"$2,556,944"
"Dec 17, 2022",$0.000251,$0.00026,$0.0002102,$0.0002102,$225,"$2,073,870"
"Dec 16, 2022",$0.0002875,$0.0002876,$0.0002348,$0.000251,$100,"$2,476,251"
"Dec 15, 2022",$0.0002676,$0.0002957,$0.0002676,$0.0002875,$116,"$2,836,265"
"Dec 14, 2022",$0.0002687,$0.0002688,$0.0002676,$0.0002676,$84,"$2,639,844"
"Dec 13, 2022",$0.0002739,$0.0002742,$0.0002352,$0.0002687,$505,"$2,650,962"
"Dec 12, 2022",$0.0002625,$0.0002767,$0.0001994,$0.0002739,$215,"$2,701,997"
"Dec 11, 2022",$0.0002851,$0.0002851,$0.0002625,$0.0002625,$81,"$2,589,608"
"Dec 10, 2022",$0.000265,$0.0002994,$0.000265,$0.0002851,$100,"$2,812,122"
"Dec 09, 2022",$0.0002976,$0.0002976,$0.000265,$0.000265,$113,"$2,614,362"
"Dec 08, 2022",$0.0003023,$0.0003062,$0.0002835,$0.0002976,$168,"$2,935,777"
"Dec 07, 2022",$0.0003069,$0.0003086,$0.0002781,$0.0003023,$48,"$2,982,368"
"Dec 06, 2022",$0.0003017,$0.0003069,$0.0002787,$0.0003069,$131,"$3,027,181"
"Dec 05, 2022",$0.0003015,$0.0003444,$0.0003015,$0.0003017,$312,"$2,976,339"
"Dec 04, 2022",$0.0003327,$0.0003583,$0.0003,$0.0003015,$454,"$2,973,774"
"Dec 03, 2022",$0.000283,$0.0003848,$0.000283,$0.0003327,$373,"$3,282,195"
"Dec 02, 2022",$0.0002798,$0.0003965,$0.0002764,$0.000283,"$1,118","$2,792,003"
"Dec 01, 2022",$0.0002529,$0.0003178,$0.0002529,$0.0002798,$571,"$2,760,526"
"Nov 30, 2022",$0.0002489,$0.0002675,$0.000248,$0.0002529,$431,"$2,494,534"
