Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1348,$0.1373,$0.1338,$0.1341,"$1,000,314","$43,683,553"
"Dec 30, 2022",$0.1364,$0.1372,$0.1324,$0.1348,"$810,209","$43,890,845"
"Dec 29, 2022",$0.1396,$0.14,$0.1341,$0.1364,"$1,138,763","$44,420,567"
"Dec 28, 2022",$0.1463,$0.1464,$0.1389,$0.1396,"$940,424","$45,476,080"
"Dec 27, 2022",$0.1475,$0.148,$0.1455,$0.1463,"$852,239","$47,659,879"
"Dec 26, 2022",$0.1452,$0.1483,$0.1447,$0.1475,"$1,435,063","$48,030,472"
"Dec 25, 2022",$0.1465,$0.1466,$0.1428,$0.1452,"$624,573","$47,287,991"
"Dec 24, 2022",$0.1438,$0.147,$0.1436,$0.1465,"$1,264,289","$47,718,630"
"Dec 23, 2022",$0.1415,$0.1443,$0.1414,$0.1438,"$809,599","$46,850,056"
"Dec 22, 2022",$0.1426,$0.1435,$0.1383,$0.1415,"$1,334,530","$46,097,854"
"Dec 21, 2022",$0.1445,$0.1454,$0.1411,$0.1426,"$923,315","$46,432,361"
"Dec 20, 2022",$0.1402,$0.1449,$0.1398,$0.1445,"$1,059,402","$47,052,868"
"Dec 19, 2022",$0.1521,$0.1526,$0.1382,$0.1402,"$1,711,369","$45,678,915"
"Dec 18, 2022",$0.1518,$0.1534,$0.1497,$0.1521,"$1,083,857","$49,547,124"
"Dec 17, 2022",$0.1456,$0.1521,$0.1436,$0.1518,"$1,899,476","$49,430,128"
"Dec 16, 2022",$0.1626,$0.1653,$0.1445,$0.1455,"$2,164,981","$47,405,818"
"Dec 15, 2022",$0.1715,$0.1722,$0.1625,$0.1625,"$1,283,213","$52,937,082"
"Dec 14, 2022",$0.1728,$0.1774,$0.1711,$0.1714,"$1,663,812","$55,842,435"
"Dec 13, 2022",$0.1736,$0.1777,$0.1661,$0.1727,"$2,354,799","$56,251,242"
"Dec 12, 2022",$0.1744,$0.1779,$0.1699,$0.1736,"$2,723,620","$56,535,812"
"Dec 11, 2022",$0.1793,$0.1804,$0.1744,$0.1744,"$1,686,664","$56,820,899"
"Dec 10, 2022",$0.1757,$0.1955,$0.1738,$0.1793,"$6,225,947","$58,413,105"
"Dec 09, 2022",$0.1811,$0.1842,$0.1752,$0.1757,"$2,159,242","$57,241,626"
"Dec 08, 2022",$0.1675,$0.1874,$0.1665,$0.1811,"$5,707,406","$58,972,910"
"Dec 07, 2022",$0.1799,$0.181,$0.1673,$0.1675,"$1,831,701","$54,551,843"
"Dec 06, 2022",$0.1793,$0.1809,$0.1778,$0.1799,"$1,121,138","$58,603,322"
"Dec 05, 2022",$0.1869,$0.1901,$0.1766,$0.1793,"$2,233,689","$58,389,556"
"Dec 04, 2022",$0.1875,$0.1893,$0.1855,$0.1868,"$1,987,595","$60,858,088"
"Dec 03, 2022",$0.1957,$0.1958,$0.1821,$0.1875,"$4,939,050","$61,065,886"
"Dec 02, 2022",$0.1822,$0.2083,$0.1745,$0.1957,"$21,353,392","$63,734,958"
"Dec 01, 2022",$0.167,$0.1905,$0.1637,$0.1822,"$10,621,131","$59,334,159"
"Nov 30, 2022",$0.1616,$0.1672,$0.1616,$0.167,"$2,065,205","$54,392,651"
"Nov 29, 2022",$0.1601,$0.1656,$0.1587,$0.1617,"$3,541,615","$52,662,291"
"Nov 28, 2022",$0.1639,$0.164,$0.1576,$0.1602,"$2,022,586","$52,174,410"
"Nov 27, 2022",$0.1663,$0.1724,$0.1624,$0.1639,"$3,853,292","$53,372,526"
"Nov 26, 2022",$0.1592,$0.1777,$0.1591,$0.1663,"$6,176,423","$54,173,437"
"Nov 25, 2022",$0.161,$0.1611,$0.1569,$0.1592,"$1,140,312","$51,847,683"
"Nov 24, 2022",$0.1675,$0.1685,$0.1605,$0.161,"$2,004,023","$52,439,526"
"Nov 23, 2022",$0.1584,$0.1684,$0.1574,$0.1673,"$3,592,918","$54,493,798"
"Nov 22, 2022",$0.1553,$0.16,$0.1519,$0.1584,"$3,268,281","$51,596,067"
"Nov 21, 2022",$0.1579,$0.1806,$0.1516,$0.1553,"$12,283,148","$50,568,447"
"Nov 20, 2022",$0.1498,$0.2084,$0.1483,$0.1578,"$26,301,909","$51,392,039"
"Nov 19, 2022",$0.1498,$0.1504,$0.1476,$0.1498,"$1,083,792","$48,798,329"
"Nov 18, 2022",$0.1527,$0.1551,$0.1494,$0.1498,"$955,554","$48,780,920"
"Nov 17, 2022",$0.1561,$0.1576,$0.1477,$0.1527,"$1,479,216","$49,743,663"
"Nov 16, 2022",$0.1586,$0.1619,$0.155,$0.1561,"$1,233,995","$50,860,426"
"Nov 15, 2022",$0.1509,$0.1674,$0.15,$0.1586,"$2,165,993","$51,662,660"
"Nov 14, 2022",$0.1551,$0.156,$0.1445,$0.1509,"$2,224,205","$49,142,072"
"Nov 13, 2022",$0.1499,$0.1566,$0.1494,$0.1551,"$2,184,166","$50,528,803"
"Nov 12, 2022",$0.1557,$0.1557,$0.1485,$0.1499,"$1,347,765","$48,820,140"
"Nov 11, 2022",$0.1681,$0.1698,$0.1524,$0.1557,"$3,575,461","$50,713,733"
"Nov 10, 2022",$0.1419,$0.1758,$0.141,$0.1682,"$4,089,425","$54,772,710"
"Nov 09, 2022",$0.1928,$0.1929,$0.1389,$0.142,"$6,893,887","$46,249,811"
"Nov 08, 2022",$0.226,$0.226,$0.184,$0.1928,"$10,522,437","$62,814,254"
"Nov 07, 2022",$0.2238,$0.2304,$0.2202,$0.226,"$2,399,338","$73,623,114"
"Nov 06, 2022",$0.2383,$0.239,$0.2238,$0.2238,"$2,263,233","$72,885,548"
"Nov 05, 2022",$0.2299,$0.2491,$0.2296,$0.2383,"$4,237,685","$77,629,300"
"Nov 04, 2022",$0.2201,$0.233,$0.2197,$0.2299,"$2,846,270","$74,868,056"
"Nov 03, 2022",$0.213,$0.2242,$0.2128,$0.2202,"$2,462,142","$71,718,265"
"Nov 02, 2022",$0.219,$0.2229,$0.2115,$0.213,"$2,176,901","$69,374,506"
"Nov 01, 2022",$0.2244,$0.2255,$0.2185,$0.2191,"$1,687,210","$71,349,461"
"Oct 31, 2022",$0.2208,$0.2315,$0.2208,$0.2244,"$2,826,550","$73,077,067"
"Oct 30, 2022",$0.2267,$0.2301,$0.2194,$0.2208,"$2,320,344","$71,913,310"
"Oct 29, 2022",$0.2414,$0.2431,$0.2245,$0.2267,"$6,326,248","$73,851,537"
"Oct 28, 2022",$0.2428,$0.2788,$0.2414,$0.2414,"$22,892,564","$78,634,554"
"Oct 27, 2022",$0.2119,$0.2601,$0.2093,$0.2428,"$19,781,108","$79,079,498"
