Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.02807,$0.02863,$0.02779,$0.02781,"$200,341","$2,786,464"
"Dec 30, 2022",$0.02813,$0.02816,$0.02759,$0.02806,"$99,675","$2,811,563"
"Dec 29, 2022",$0.02731,$0.02819,$0.02731,$0.02817,"$100,723","$2,823,123"
"Dec 28, 2022",$0.02724,$0.02758,$0.02698,$0.02731,"$102,538","$2,736,973"
"Dec 27, 2022",$0.02715,$0.02741,$0.02694,$0.02723,"$96,467","$2,728,890"
"Dec 26, 2022",$0.02686,$0.02727,$0.0266,$0.02715,"$94,343","$2,721,178"
"Dec 25, 2022",$0.02686,$0.02717,$0.02654,$0.02682,"$238,019","$2,687,916"
"Dec 24, 2022",$0.02692,$0.027,$0.02654,$0.0269,"$216,429","$2,695,836"
"Dec 23, 2022",$0.02724,$0.02731,$0.02686,$0.02693,"$96,101","$2,698,461"
"Dec 22, 2022",$0.02646,$0.02731,$0.02626,$0.02723,"$98,812","$2,728,696"
"Dec 21, 2022",$0.02627,$0.0265,$0.02606,$0.02643,"$93,035","$2,648,575"
"Dec 20, 2022",$0.02574,$0.02651,$0.02555,$0.02628,"$93,103","$2,633,569"
"Dec 19, 2022",$0.02551,$0.02598,$0.02537,$0.02576,"$100,485","$2,581,223"
"Dec 18, 2022",$0.0257,$0.02626,$0.02552,$0.02552,"$98,602","$2,556,952"
"Dec 17, 2022",$0.02537,$0.02661,$0.02467,$0.0257,"$103,301","$2,575,900"
"Dec 16, 2022",$0.02771,$0.02843,$0.02525,$0.02536,"$211,300","$2,541,164"
"Dec 15, 2022",$0.02662,$0.02798,$0.02636,$0.02773,"$235,245","$2,778,445"
"Dec 14, 2022",$0.02732,$0.02768,$0.02656,$0.02662,"$103,849","$2,667,318"
"Dec 13, 2022",$0.02691,$0.02755,$0.02665,$0.02729,"$202,101","$2,734,568"
"Dec 12, 2022",$0.02819,$0.02824,$0.02671,$0.02688,"$102,053","$2,693,351"
"Dec 11, 2022",$0.02889,$0.02894,$0.02764,$0.02818,"$185,291","$2,824,208"
"Dec 10, 2022",$0.02911,$0.02938,$0.02846,$0.0289,"$199,126","$2,896,163"
"Dec 09, 2022",$0.02936,$0.02955,$0.0289,$0.02909,"$195,982","$2,915,504"
"Dec 08, 2022",$0.029,$0.02951,$0.02885,$0.02939,"$206,901","$2,945,632"
"Dec 07, 2022",$0.02914,$0.02958,$0.02882,$0.029,"$204,301","$2,905,750"
"Dec 06, 2022",$0.02813,$0.02916,$0.02799,$0.02912,"$205,569","$2,918,183"
"Dec 05, 2022",$0.02771,$0.02922,$0.02766,$0.02814,"$98,433","$2,819,762"
"Dec 04, 2022",$0.02718,$0.02779,$0.02692,$0.02775,"$94,964","$2,780,469"
"Dec 03, 2022",$0.02852,$0.02861,$0.02713,$0.02716,"$99,804","$2,721,413"
"Dec 02, 2022",$0.02846,$0.02908,$0.02811,$0.02854,"$98,141","$2,860,483"
"Dec 01, 2022",$0.02852,$0.02888,$0.02832,$0.02845,"$213,291","$2,851,333"
"Nov 30, 2022",$0.02856,$0.02916,$0.02836,$0.02851,"$85,465","$2,857,262"
"Nov 29, 2022",$0.0265,$0.0286,$0.02636,$0.02855,"$222,643","$2,861,207"
"Nov 28, 2022",$0.02704,$0.02717,$0.02595,$0.02651,"$214,553","$2,656,469"
"Nov 27, 2022",$0.02649,$0.02754,$0.02624,$0.02704,"$103,941","$2,709,880"
"Nov 26, 2022",$0.02646,$0.02698,$0.02631,$0.02652,"$206,725","$2,657,167"
"Nov 25, 2022",$0.02629,$0.02651,$0.02585,$0.02647,"$198,336","$2,653,012"
"Nov 24, 2022",$0.02658,$0.02694,$0.02627,$0.02629,"$102,782","$2,634,190"
"Nov 23, 2022",$0.0264,$0.02683,$0.02443,$0.02658,"$109,126","$2,663,663"
"Nov 22, 2022",$0.0244,$0.02643,$0.02416,$0.02642,"$118,011","$2,647,873"
"Nov 21, 2022",$0.02581,$0.02584,$0.02408,$0.02438,"$232,111","$2,442,719"
