Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.004622,$0.004994,$0.004241,$0.0046,"$312,114","$4,600,367"
"Dec 30, 2022",$0.00461,$0.004994,$0.004352,$0.004618,"$267,495","$4,618,083"
"Dec 29, 2022",$0.004882,$0.005076,$0.004209,$0.00461,"$326,181","$4,609,685"
"Dec 28, 2022",$0.005125,$0.005126,$0.004282,$0.004882,"$489,376","$4,881,590"
"Dec 27, 2022",$0.004742,$0.006076,$0.004394,$0.005128,"$1,672,316","$5,127,837"
"Dec 26, 2022",$0.004291,$0.005449,$0.004119,$0.004747,"$596,170","$4,747,360"
"Dec 25, 2022",$0.004475,$0.004483,$0.003923,$0.004289,"$149,623","$4,288,535"
"Dec 24, 2022",$0.004532,$0.004773,$0.004184,$0.004475,"$292,441","$4,475,314"
"Dec 23, 2022",$0.004775,$0.004907,$0.00453,$0.004533,"$203,591","$4,532,834"
"Dec 22, 2022",$0.00486,$0.005026,$0.00435,$0.004779,"$300,712","$4,778,824"
"Dec 21, 2022",$0.005251,$0.005391,$0.004736,$0.004856,"$254,248","$4,856,018"
"Dec 20, 2022",$0.005233,$0.005435,$0.004877,$0.005251,"$479,081","$5,251,325"
"Dec 19, 2022",$0.005767,$0.005891,$0.0048,$0.005233,"$998,545","$5,232,509"
"Dec 18, 2022",$0.005272,$0.006362,$0.004943,$0.005767,"$1,452,434","$5,767,397"
"Dec 17, 2022",$0.005608,$0.006152,$0.004651,$0.005271,"$1,055,232","$5,271,455"
"Dec 16, 2022",$0.007496,$0.007523,$0.005536,$0.005609,"$1,778,324","$5,609,357"
"Dec 15, 2022",$0.005578,$0.007795,$0.004305,$0.007495,"$5,034,797","$7,495,083"
"Dec 14, 2022",$0.003708,$0.006844,$0.003265,$0.005584,"$3,034,728","$5,583,684"
"Dec 13, 2022",$0.003685,$0.004371,$0.003392,$0.003705,"$170,288","$3,705,013"
"Dec 12, 2022",$0.00402,$0.004071,$0.003588,$0.00369,"$159,535","$3,690,284"
"Dec 11, 2022",$0.003817,$0.00414,$0.003777,$0.00402,"$205,895","$4,019,889"
"Dec 10, 2022",$0.004011,$0.00411,$0.00362,$0.003817,"$211,767","$3,817,026"
"Dec 09, 2022",$0.003971,$0.004348,$0.003948,$0.004011,"$130,206","$4,011,492"
"Dec 08, 2022",$0.003929,$0.004123,$0.003843,$0.003971,"$61,679","$3,970,699"
