Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.004807,$0.005386,$0.004762,$0.00528,"$1,604,695","$82,235,783"
"Dec 30, 2022",$0.004589,$0.005055,$0.004254,$0.004805,"$1,850,994","$74,712,068"
"Dec 29, 2022",$0.004697,$0.004839,$0.004531,$0.004589,"$1,346,621","$71,246,695"
"Dec 28, 2022",$0.004925,$0.004946,$0.004601,$0.004698,"$1,902,234","$72,816,554"
"Dec 27, 2022",$0.005114,$0.005123,$0.004621,$0.004927,"$1,712,336","$76,232,138"
"Dec 26, 2022",$0.005301,$0.005361,$0.005014,$0.005116,"$1,386,312","$79,033,162"
"Dec 25, 2022",$0.005225,$0.005354,$0.005203,$0.005302,"$1,339,500","$81,765,774"
"Dec 24, 2022",$0.005193,$0.005322,$0.005141,$0.005228,"$1,301,650","$80,496,848"
"Dec 23, 2022",$0.005753,$0.00582,$0.00517,$0.005194,"$1,638,058","$79,835,394"
"Dec 22, 2022",$0.005551,$0.005775,$0.005413,$0.005756,"$1,640,019","$88,331,639"
"Dec 21, 2022",$0.005141,$0.005691,$0.005122,$0.005549,"$1,832,105","$85,025,066"
"Dec 20, 2022",$0.005272,$0.005324,$0.004933,$0.005143,"$1,714,059","$78,648,471"
"Dec 19, 2022",$0.00567,$0.005838,$0.005073,$0.005275,"$1,776,499","$80,551,616"
"Dec 18, 2022",$0.006069,$0.006323,$0.00563,$0.005665,"$1,909,398","$86,369,360"
"Dec 17, 2022",$0.005201,$0.006075,$0.004974,$0.006069,"$1,864,061","$92,370,826"
"Dec 16, 2022",$0.005696,$0.00583,$0.005125,$0.005201,"$2,216,803","$79,025,810"
"Dec 15, 2022",$0.006121,$0.006234,$0.005675,$0.005692,"$1,761,455","$86,337,617"
"Dec 14, 2022",$0.006224,$0.006763,$0.006026,$0.006123,"$1,960,779","$92,718,661"
"Dec 13, 2022",$0.006913,$0.006972,$0.006011,$0.006227,"$2,272,996","$94,137,747"
"Dec 12, 2022",$0.006964,$0.007136,$0.006665,$0.006916,"$2,007,756","$104,386,238"
"Dec 11, 2022",$0.007261,$0.007362,$0.006924,$0.006965,"$1,811,882","$104,947,284"
"Dec 10, 2022",$0.007357,$0.007628,$0.007234,$0.007261,"$2,038,949","$109,216,367"
"Dec 09, 2022",$0.007322,$0.007686,$0.007095,$0.007363,"$2,145,429","$110,561,078"
"Dec 08, 2022",$0.007475,$0.007572,$0.007081,$0.007322,"$2,270,134","$109,765,432"
"Dec 07, 2022",$0.007633,$0.007971,$0.007415,$0.007473,"$2,054,252","$111,835,171"
"Dec 06, 2022",$0.008155,$0.008317,$0.007397,$0.007631,"$2,582,059","$113,986,177"
"Dec 05, 2022",$0.007247,$0.008324,$0.007113,$0.008162,"$2,395,757","$121,729,631"
"Dec 04, 2022",$0.00668,$0.00749,$0.00668,$0.007241,"$2,634,566","$107,794,407"
"Dec 03, 2022",$0.00721,$0.007641,$0.006541,$0.006672,"$2,628,729","$99,142,649"
"Dec 02, 2022",$0.008289,$0.008298,$0.007196,$0.007207,"$2,832,548","$106,906,347"
"Dec 01, 2022",$0.008702,$0.008747,$0.007957,$0.008289,"$3,231,810","$122,729,756"
"Nov 30, 2022",$0.008938,$0.008984,$0.008626,$0.0087,"$2,836,612","$128,571,030"
"Nov 29, 2022",$0.008927,$0.009194,$0.008636,$0.008944,"$3,068,581","$131,945,594"
"Nov 28, 2022",$0.009425,$0.009691,$0.00809,$0.008926,"$4,339,164","$131,434,929"
"Nov 27, 2022",$0.008897,$0.009755,$0.008821,$0.009423,"$3,780,618","$138,501,804"
"Nov 26, 2022",$0.009076,$0.009282,$0.008707,$0.008901,"$3,397,685","$130,587,570"
"Nov 25, 2022",$0.007852,$0.009383,$0.007773,$0.009079,"$3,617,365","$132,964,700"
"Nov 24, 2022",$0.00721,$0.007991,$0.007133,$0.007851,"$2,538,170","$114,766,805"
"Nov 23, 2022",$0.00741,$0.00767,$0.007154,$0.00721,"$2,342,564","$105,196,462"
