Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.07119,$0.09849,$0.07087,$0.07868,"$3,639,545","$67,720,524"
"Dec 30, 2022",$0.07032,$0.07128,$0.0694,$0.07114,"$289,681","$61,237,005"
"Dec 29, 2022",$0.07235,$0.07253,$0.06772,$0.07032,"$230,766","$60,531,367"
"Dec 28, 2022",$0.07349,$0.0742,$0.07198,$0.07235,"$218,122","$62,275,543"
"Dec 27, 2022",$0.0767,$0.07676,$0.07316,$0.0735,"$233,725","$63,264,788"
"Dec 26, 2022",$0.07631,$0.07784,$0.07561,$0.07669,"$597,327","$66,013,683"
"Dec 25, 2022",$0.07921,$0.07938,$0.07514,$0.07624,"$553,173","$65,627,282"
"Dec 24, 2022",$0.0772,$0.08159,$0.07717,$0.07921,"$1,811,557","$68,178,471"
"Dec 23, 2022",$0.0781,$0.08024,$0.07711,$0.07722,"$223,760","$66,466,988"
"Dec 22, 2022",$0.07824,$0.07897,$0.07585,$0.07816,"$349,230","$67,280,170"
"Dec 21, 2022",$0.07878,$0.0789,$0.07635,$0.0782,"$673,938","$67,313,774"
"Dec 20, 2022",$0.07267,$0.08298,$0.07249,$0.07878,"$1,423,600","$67,814,958"
"Dec 19, 2022",$0.07729,$0.07865,$0.07185,$0.07267,"$438,527","$62,555,124"
"Dec 18, 2022",$0.07498,$0.08061,$0.07491,$0.07729,"$291,146","$66,530,934"
"Dec 17, 2022",$0.07843,$0.07907,$0.07412,$0.07497,"$438,555","$64,527,433"
"Dec 16, 2022",$0.08511,$0.08562,$0.07785,$0.07847,"$490,961","$67,544,800"
"Dec 15, 2022",$0.08728,$0.08803,$0.08476,$0.08509,"$552,659","$73,245,356"
"Dec 14, 2022",$0.0902,$0.0905,$0.08697,$0.08721,"$1,063,498","$75,065,286"
"Dec 13, 2022",$0.08989,$0.09076,$0.08519,$0.09017,"$837,312","$77,611,433"
"Dec 12, 2022",$0.08626,$0.09233,$0.08612,$0.08988,"$1,480,280","$77,368,010"
"Dec 11, 2022",$0.08758,$0.09005,$0.08603,$0.08626,"$1,536,792","$74,251,586"
"Dec 10, 2022",$0.09414,$0.0942,$0.08741,$0.08758,"$1,645,393","$75,387,201"
"Dec 09, 2022",$0.08802,$0.1106,$0.08801,$0.09414,"$6,961,006","$81,028,275"
"Dec 08, 2022",$0.08502,$0.09577,$0.08395,$0.08802,"$408,906","$75,762,126"
"Dec 07, 2022",$0.08951,$0.08966,$0.08431,$0.08502,"$231,616","$73,186,107"
