Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 31, 2022",$0.1521,$0.1529,$0.1515,$0.1521,"$10,164,741","$467,377,533"
"Dec 30, 2022",$0.1526,$0.1527,$0.1499,$0.1521,"$15,870,672","$467,356,501"
"Dec 29, 2022",$0.1531,$0.1537,$0.1516,$0.1526,"$16,054,707","$468,674,183"
"Dec 28, 2022",$0.1584,$0.1588,$0.1528,$0.1531,"$17,465,869","$470,157,086"
"Dec 27, 2022",$0.1636,$0.1639,$0.1577,$0.1584,"$17,090,608","$486,420,496"
"Dec 26, 2022",$0.1643,$0.1654,$0.1628,$0.1636,"$15,572,445","$502,208,130"
"Dec 25, 2022",$0.1624,$0.1648,$0.1621,$0.1643,"$14,084,294","$504,197,559"
"Dec 24, 2022",$0.1614,$0.1627,$0.1614,$0.1624,"$12,283,921","$498,538,110"
"Dec 23, 2022",$0.1585,$0.1616,$0.1583,$0.1614,"$16,733,639","$495,102,451"
"Dec 22, 2022",$0.1586,$0.1592,$0.1566,$0.1586,"$16,675,469","$486,407,645"
"Dec 21, 2022",$0.157,$0.1586,$0.1553,$0.1586,"$18,009,347","$486,442,155"
"Dec 20, 2022",$0.1524,$0.1576,$0.1521,$0.157,"$21,168,481","$481,463,201"
"Dec 19, 2022",$0.1581,$0.1591,$0.1518,$0.1523,"$18,953,961","$467,086,278"
"Dec 18, 2022",$0.1575,$0.1588,$0.1566,$0.1581,"$19,153,656","$479,638,155"
"Dec 17, 2022",$0.1594,$0.16,$0.1542,$0.1575,"$22,284,394","$477,617,519"
"Dec 16, 2022",$0.1725,$0.1744,$0.1585,$0.1593,"$36,418,925","$483,252,911"
"Dec 15, 2022",$0.1808,$0.1808,$0.1722,$0.1725,"$20,027,539","$522,999,020"
"Dec 14, 2022",$0.1853,$0.1863,$0.1807,$0.1809,"$23,255,038","$548,306,442"
"Dec 13, 2022",$0.1828,$0.186,$0.1794,$0.1853,"$27,650,561","$561,703,650"
"Dec 12, 2022",$0.1846,$0.1851,$0.1803,$0.1828,"$19,483,912","$554,066,007"
"Dec 11, 2022",$0.1852,$0.187,$0.1846,$0.1846,"$18,823,808","$559,327,417"
"Dec 10, 2022",$0.1872,$0.188,$0.1851,$0.1852,"$22,313,083","$561,113,214"
"Dec 09, 2022",$0.1846,$0.1897,$0.1843,$0.1872,"$40,737,292","$566,924,818"
"Dec 08, 2022",$0.1783,$0.1847,$0.1776,$0.1846,"$30,503,807","$559,067,086"
"Dec 07, 2022",$0.1843,$0.1851,$0.1772,$0.1784,"$25,059,023","$540,024,496"
"Dec 06, 2022",$0.1879,$0.19,$0.1834,$0.1843,"$19,817,146","$558,031,773"
"Dec 05, 2022",$0.1878,$0.1924,$0.1864,$0.1879,"$23,742,675","$568,638,893"
"Dec 04, 2022",$0.1867,$0.188,$0.186,$0.1878,"$16,054,730","$568,407,391"
"Dec 03, 2022",$0.192,$0.1932,$0.1865,$0.1867,"$18,385,897","$564,890,288"
"Dec 02, 2022",$0.1899,$0.195,$0.1892,$0.192,"$22,886,959","$580,722,783"
"Dec 01, 2022",$0.19,$0.1916,$0.1883,$0.1899,"$20,878,766","$574,232,149"
"Nov 30, 2022",$0.1818,$0.1915,$0.1818,$0.19,"$28,750,624","$574,417,304"
"Nov 29, 2022",$0.1744,$0.1841,$0.1734,$0.1818,"$28,508,045","$549,787,673"
"Nov 28, 2022",$0.1778,$0.1786,$0.1729,$0.1745,"$19,090,375","$527,359,073"
"Nov 27, 2022",$0.1821,$0.1837,$0.1777,$0.1778,"$17,102,040","$537,497,519"
"Nov 26, 2022",$0.1783,$0.1837,$0.1777,$0.1821,"$29,901,814","$550,217,307"
"Nov 25, 2022",$0.1795,$0.1798,$0.175,$0.1783,"$30,329,815","$538,798,570"
"Nov 24, 2022",$0.183,$0.191,$0.1778,$0.1796,"$63,769,985","$542,406,816"
"Nov 23, 2022",$0.1628,$0.1845,$0.1624,$0.1831,"$60,977,648","$552,862,883"
"Nov 22, 2022",$0.1612,$0.1629,$0.1577,$0.1628,"$25,170,080","$491,583,555"
"Nov 21, 2022",$0.1713,$0.1713,$0.1604,$0.1612,"$29,651,152","$486,746,056"
"Nov 20, 2022",$0.1732,$0.1749,$0.1708,$0.1713,"$23,403,921","$516,998,788"
"Nov 19, 2022",$0.1718,$0.1738,$0.1704,$0.1732,"$18,043,035","$522,800,085"
"Nov 18, 2022",$0.1682,$0.1765,$0.168,$0.1717,"$30,332,556","$518,215,114"
"Nov 17, 2022",$0.1684,$0.1699,$0.1664,$0.1682,"$26,110,861","$507,394,639"
"Nov 16, 2022",$0.1732,$0.1738,$0.1675,$0.1684,"$28,396,837","$507,952,072"
"Nov 15, 2022",$0.1766,$0.1779,$0.1721,$0.1732,"$39,832,778","$522,403,780"
"Nov 14, 2022",$0.1718,$0.1784,$0.165,$0.1765,"$58,620,346","$532,186,411"
"Nov 13, 2022",$0.1792,$0.1814,$0.1702,$0.1719,"$42,305,118","$518,074,498"
"Nov 12, 2022",$0.1851,$0.1854,$0.1779,$0.1792,"$40,359,519","$540,153,468"
"Nov 11, 2022",$0.1861,$0.1909,$0.1815,$0.1851,"$62,658,955","$557,775,623"
"Nov 10, 2022",$0.159,$0.1882,$0.1583,$0.1861,"$97,893,609","$560,947,448"
"Nov 09, 2022",$0.1871,$0.1895,$0.1588,$0.159,"$101,281,089","$479,249,308"
"Nov 08, 2022",$0.2207,$0.2237,$0.1818,$0.1871,"$107,822,701","$563,680,031"
"Nov 07, 2022",$0.225,$0.2258,$0.2189,$0.2207,"$60,644,365","$664,996,475"
"Nov 06, 2022",$0.2345,$0.2365,$0.225,$0.225,"$62,733,092","$677,965,970"
"Nov 05, 2022",$0.2379,$0.2411,$0.2341,$0.2345,"$62,008,035","$706,414,984"
"Nov 04, 2022",$0.2382,$0.2387,$0.2326,$0.2379,"$72,485,514","$716,648,355"
"Nov 03, 2022",$0.2404,$0.2507,$0.2375,$0.2382,"$78,156,899","$735,381,557"
"Nov 02, 2022",$0.2498,$0.2555,$0.2401,$0.2404,"$113,458,275","$741,909,293"
"Nov 01, 2022",$0.2654,$0.2663,$0.249,$0.2498,"$102,582,545","$770,995,136"
"Oct 31, 2022",$0.275,$0.286,$0.2635,$0.2654,"$179,586,787","$818,945,305"
"Oct 30, 2022",$0.3088,$0.3095,$0.2748,$0.2751,"$196,752,588","$848,810,968"
"Oct 29, 2022",$0.2551,$0.3182,$0.2446,$0.3088,"$336,629,978","$952,865,216"
"Oct 28, 2022",$0.2504,$0.2597,$0.2468,$0.2552,"$211,920,804","$787,198,394"
"Oct 27, 2022",$0.2109,$0.2623,$0.2083,$0.2504,"$418,462,248","$772,487,000"
"Oct 26, 2022",$0.1935,$0.2134,$0.1933,$0.2109,"$166,594,418","$650,464,100"
"Oct 25, 2022",$0.2112,$0.2112,$0.1935,$0.1935,"$158,062,013","$596,873,536"
"Oct 24, 2022",$0.1779,$0.2119,$0.1754,$0.2111,"$393,761,027","$651,069,917"
"Oct 23, 2022",$0.1416,$0.1826,$0.1414,$0.1779,"$219,903,238","$548,467,356"
"Oct 22, 2022",$0.1443,$0.1443,$0.1401,$0.1416,"$50,753,782","$436,641,715"
"Oct 21, 2022",$0.1332,$0.1444,$0.1232,$0.1443,"$218,754,712","$444,822,702"
"Oct 20, 2022",$0.1386,$0.1386,$0.1329,$0.1332,"$27,212,268","$410,679,885"
"Oct 19, 2022",$0.1449,$0.1449,$0.1386,$0.1386,"$29,266,676","$427,240,185"
"Oct 18, 2022",$0.1436,$0.1452,$0.1428,$0.1449,"$30,568,650","$446,488,552"
"Oct 17, 2022",$0.1429,$0.1438,$0.1421,$0.1436,"$25,343,734","$442,683,711"
"Oct 16, 2022",$0.1433,$0.1447,$0.1419,$0.1429,"$21,882,192","$440,383,329"
"Oct 15, 2022",$0.1481,$0.1486,$0.1432,$0.1433,"$21,755,090","$441,561,023"
"Oct 14, 2022",$0.1525,$0.1552,$0.1473,$0.1481,"$41,755,643","$456,274,503"
"Oct 13, 2022",$0.1668,$0.167,$0.1484,$0.1525,"$69,255,106","$469,755,842"
"Oct 12, 2022",$0.173,$0.1736,$0.1667,$0.1668,"$30,509,838","$513,860,803"
"Oct 11, 2022",$0.1837,$0.1837,$0.173,$0.173,"$28,459,734","$533,013,296"
"Oct 10, 2022",$0.188,$0.1885,$0.1837,$0.1837,"$17,841,574","$562,121,816"
"Oct 09, 2022",$0.1875,$0.1882,$0.1871,$0.188,"$12,125,890","$575,176,353"
"Oct 08, 2022",$0.1882,$0.1886,$0.1869,$0.1875,"$13,230,409","$573,755,285"
"Oct 07, 2022",$0.19,$0.1903,$0.1876,$0.1882,"$19,345,502","$575,634,013"
"Oct 06, 2022",$0.1894,$0.1913,$0.1894,$0.1899,"$23,840,042","$581,023,603"
"Oct 05, 2022",$0.1907,$0.1908,$0.1877,$0.1894,"$27,066,451","$579,405,462"
"Oct 04, 2022",$0.1892,$0.1909,$0.1888,$0.1907,"$19,558,025","$583,333,670"
"Oct 03, 2022",$0.1881,$0.1894,$0.1871,$0.1892,"$20,943,793","$578,708,489"
"Oct 02, 2022",$0.1934,$0.1939,$0.1881,$0.1881,"$19,311,947","$575,122,949"
"Oct 01, 2022",$0.1956,$0.1957,$0.1933,$0.1934,"$15,623,954","$591,328,572"
"Sep 30, 2022",$0.1981,$0.1987,$0.195,$0.1957,"$32,785,710","$598,234,125"
"Sep 29, 2022",$0.1969,$0.1981,$0.1947,$0.1981,"$27,185,948","$605,631,352"
"Sep 28, 2022",$0.2023,$0.2028,$0.1958,$0.1969,"$34,152,646","$601,946,726"
"Sep 27, 2022",$0.2035,$0.2081,$0.2012,$0.2023,"$41,633,926","$618,285,330"
"Sep 26, 2022",$0.2022,$0.2038,$0.1993,$0.2035,"$30,013,262","$621,955,026"
"Sep 25, 2022",$0.2049,$0.2058,$0.2018,$0.2021,"$19,437,439","$614,641,743"
"Sep 24, 2022",$0.2066,$0.2079,$0.2047,$0.2049,"$22,631,492","$622,970,667"
"Sep 23, 2022",$0.2076,$0.2117,$0.2044,$0.2066,"$44,430,408","$628,067,147"
"Sep 22, 2022",$0.2006,$0.208,$0.2004,$0.2077,"$34,324,332","$631,292,501"
"Sep 21, 2022",$0.1985,$0.2072,$0.1975,$0.2007,"$36,315,876","$610,016,055"
"Sep 20, 2022",$0.197,$0.2013,$0.1957,$0.1985,"$31,414,610","$603,456,245"
"Sep 19, 2022",$0.1985,$0.1995,$0.1912,$0.197,"$38,066,530","$598,677,888"
